V29-179      44 00.6 N   24 32.4 W  3331 AOF13B-4CE
 V 29179         0.0      17.0      11.6
 V 29179         5.0      19.4      13.0
 V 29179        10.0      18.7      12.7
 V 29179        10.0      20.0      13.4
 V 29179        14.0      19.9      13.5
 V 29179        15.0      21.6      14.5
 V 29179        20.0      22.7      15.5
 V 29179        20.0      20.7      14.2
 V 29179        26.0      19.3      13.2
 V 29179        30.0      21.3      14.7
 V 29179        30.0      19.8      13.0
 V 29179        34.0      15.9      10.7
 V 29179        40.0      14.7       8.1
 V 29179        42.0      15.1       9.3
 V 29179        50.0      15.5       8.6
 V 29179        50.0      14.1       7.6
 V 29179        55.0      10.6       4.7
 V 29179        55.0      11.5       5.4
 V 29179        60.0      10.2       3.3
 V 29179        60.0      10.5       4.4
 V 29179        65.0       8.3       1.2
 V 29179        65.0       8.6       2.7
 V 29179        69.0       8.8       3.4
 V 29179        70.0      10.7       4.3
 V 29179        75.0       9.5       2.3
 V 29179        75.0       9.5       3.7
 V 29179        77.0      10.3       4.4
 V 29179        85.0       8.5       1.9
 V 29179        85.0      11.2       6.3
 V 29179        95.0      11.6       5.5
 V 29179        95.0      12.3       7.4
 V 29179       105.0      11.4       5.8
 V 29179       105.0      11.6       5.5
 V 29179       115.0      12.3       7.2
 V 29179       125.0      11.1       6.0
 V 29179       125.0      10.8       5.3
 V 29179       135.0      11.2       4.3
 V 29179       135.0      12.5       7.7
 V 29179       145.0       9.8       2.7
 V 29179       145.0      11.4       5.9
 V 29179       155.0      10.9       3.6
 V 29179       155.0      11.1       4.8
 V 29179       165.0      10.7       3.8
 V 29179       165.0      11.9       6.7
 V 29179       175.0      11.4       6.1
 V 29179       175.0      12.6       7.8
 V 29179       185.0      11.8       6.2
 V 29179       185.0      12.3       7.3
 V 29179       195.0      12.2       6.2
 V 29179       195.0      12.7       7.9
 V 29179       205.0      13.5       7.0
 V 29179       205.0      12.1       6.6
 V 29179       215.0      13.2       6.8
 V 29179       215.0      12.1       6.6
 V 29179       225.0      15.5       8.8
 V 29179       225.0      15.7       9.0
 V 29179       235.0      14.3       8.0
 V 29179       235.0      13.4       7.9
 V 29179       245.0      17.4      10.7
 V 29179       245.0      15.3       9.7
 V 29179       255.0      17.3      10.9
 V 29179       255.0      13.9       8.8
 V 29179       265.0      14.1       8.9
 V 29179       265.0      13.9       8.8
 V 29179       268.0      12.6       7.5
 V 29179       268.0      13.6       8.0
 V 29179       275.0      14.7       8.9
 V 29179       275.0      15.4      10.1
 V 29179       285.0      12.4       6.4
 V 29179       285.0      12.3       7.7
 V 29179       290.0      10.1       4.4
 V 29179       295.0      10.3       3.9
 V 29179       295.0      10.8       4.8
 V 29179       300.0      11.5       5.6
 V 29179       305.0      10.7       4.4
 V 29179       305.0      11.6       5.9
 V 29179       310.0      12.3       7.3
 V 29179       315.0      12.8       6.6
 V 29179       315.0      14.6       9.2
 V 29179       320.0      17.5      11.0
 V 29179       325.0      17.2      10.7
 V 29179       325.0      16.2       9.4
 V 29179       330.0      15.3       9.8
 V 29179       332.0      15.2       9.1
 V 29179       335.0      16.8      10.6
 V 29179       335.0      18.1      12.1
 V 29179       337.0      15.7      10.2
 V 29179       340.0      15.9      10.1
 V 29179       345.0      17.7      12.0
 V 29179       345.0      16.6      11.1
 V 29179       350.0      14.3       9.8
 V 29179       355.0      17.5      11.6
 V 29179       355.0      15.9      10.9
 V 29179       365.0      17.0      11.4
 V 29179       365.0      15.2      10.2
 V 29179       375.0      15.0       9.7
 V 29179       375.0      14.9      10.3
 V 29179       385.0      13.9       9.2
 V 29179       385.0      14.1       9.8
 V 29179       395.0      14.5       9.3
 V 29179       395.0      16.1      10.6
 V 29179       405.0      15.3       9.5
 V 29179       405.0      14.4       9.4
 V 29179       415.0      15.4       9.4
 V 29179       415.0      15.2       9.9
 V 29179       425.0      15.3      10.1
 V 29179       425.0      17.3      11.2
 V 29179       435.0      18.2      11.8
 V 29179       435.0      16.8      10.6
 V 29179       445.0      15.3       9.5
 V 29179       445.0      16.3      10.1
 V 29179       455.0      16.4      10.9
 V 29179       455.0      15.6      10.7
 V 29179       460.0      17.1      11.6
 V 29179       465.0      14.0       8.4
 V 29179       465.0      14.4       9.0
 V 29179       470.0      14.8       9.6
 V 29179       475.0      16.2      10.3
 V 29179       475.0      16.0      10.5
 V 29179       480.0      20.2      12.6
 V 29179       485.0      19.7      13.0
 V 29179       485.0      20.5      13.2
 V 29179       490.0      20.7      13.3
 V 29179       495.0      22.5      14.9
 V 29179       495.0      21.9      14.3
 V 29179       500.0      21.5      14.5
 V 29179       505.0      21.8      16.2
 V 29179       505.0      21.8      15.9
 V 29179       510.0      22.4      16.4
 V 29179       515.0      21.5      15.0
 V 29179       515.0      20.7      15.2
 V 29179       520.0      18.9      14.6
 V 29179       525.0      13.1       9.0
 V 29179       525.0      12.4       7.7
 V 29179       530.0      14.2      10.3
 V 29179       535.0      12.9       7.0
 V 29179       535.0      13.3       8.1
 V 29179       545.0      14.3       8.0
 V 29179       545.0      14.9       9.4
 V 29179       555.0      12.2       7.8
 V 29179       555.0      13.0       8.2
 V 29179       565.0      14.0       8.0
 V 29179       575.0      12.9       6.4
 V 29179       585.0      12.6       7.7
 V 29179       595.0      13.3       7.9
 V 29179       605.0      15.8      10.7
 V 29179       615.0      15.1       8.8
 V 29179       625.0      14.3       7.3
 V 29179       635.0      15.7       9.2
 V 29179       645.0      18.4      11.1
 V 29179       655.0      14.1       8.4
 V 29179       665.0      20.5      14.1
 V 29179       675.0      18.5      11.9
 V 29179       685.0      22.6      15.6
 V 29179       695.0      15.4       8.9

