V29-177      41 32.2 N   25 42.5 W  3391 AOF13B-4CE
 V 29177         5.0      20.1      13.9
 V 29177         8.0      21.7      15.2
 V 29177        15.0      19.6      12.9
 V 29177        15.0      19.9      13.9
 V 29177        15.0      20.6      14.6
 V 29177        24.0      16.9      12.9
 V 29177        25.0      17.1      10.8
 V 29177        27.0      15.1      11.1
 V 29177        30.0      16.6      11.6
 V 29177        33.0      15.5      10.4
 V 29177        35.0      13.5       7.5
 V 29177        36.0      13.9       9.0
 V 29177        42.0      16.0      10.4
 V 29177        45.0      15.6       8.7
 V 29177        45.0      14.1       7.7
 V 29177        47.0      13.5       7.8
 V 29177        55.0      14.9       8.5
 V 29177        65.0      13.5       8.2
 V 29177        75.0      15.0       9.0
 V 29177        85.0      16.0      10.6
 V 29177        85.0      14.4       9.6
 V 29177        95.0      16.4      10.8
 V 29177        95.0      15.3      10.6
 V 29177       100.0      13.9       9.2
 V 29177       102.0      14.2       9.2
 V 29177       103.0      14.8      10.0
 V 29177       105.0      14.0       8.6
 V 29177       105.0      12.6       9.3
 V 29177       108.0      14.2      10.3
 V 29177       112.0      14.7      11.4
 V 29177       115.0      15.6       9.6
 V 29177       115.0      13.4       9.9
 V 29177       116.0      13.2       9.1
 V 29177       120.0      14.7      10.0
 V 29177       125.0      16.0      10.0
 V 29177       125.0      15.5      10.0
 V 29177       130.0      17.6      12.1
 V 29177       135.0      18.8      12.9
 V 29177       135.0      18.4      12.7
 V 29177       140.0      18.5      13.2
 V 29177       145.0      16.8      11.8
 V 29177       145.0      16.3      10.5
 V 29177       150.0      16.2      10.7
 V 29177       155.0      18.1      12.0
 V 29177       155.0      16.9      11.6
 V 29177       160.0      14.8       9.9
 V 29177       165.0      16.2      10.9
 V 29177       165.0      14.2       8.2
 V 29177       175.0      17.5      12.1
 V 29177       185.0      16.8      11.5
 V 29177       195.0      17.3      11.9
 V 29177       205.0      20.5      14.2
 V 29177       215.0      21.4      15.2
 V 29177       225.0      21.0      14.9
 V 29177       235.0      16.8      11.3
 V 29177       245.0      17.6      11.6


