V23-23       56 04.5 N   44 33.0 W  3292 AOF13B-4CE
               depth    SSTwarm   SSTcold
 V 23 23         5.0       7.9       2.9
 V 23 23        10.0      10.1       4.2
 V 23 23        10.0      10.2       3.6
 V 23 23        15.0       7.9       2.5
 V 23 23        20.0       6.6       0.7
 V 23 23        25.0       8.8       3.3
 V 23 23        25.0       8.1       2.3
 V 23 23        30.0       6.4       0.4
 V 23 23        36.0       6.3       0.4
 V 23 23        38.0       6.1       0.1
 V 23 23        44.0       6.4       0.4
 V 23 23        55.0       6.0       0.0
 V 23 23        55.0       6.1       0.1
 V 23 23        65.0       6.3       0.3
 V 23 23        70.0       6.2       0.1
 V 23 23        70.0       6.3       0.3
 V 23 23        75.0       6.0       0.0
 V 23 23        85.0       6.2       0.2
 V 23 23        85.0       7.2       1.4
 V 23 23       102.0       6.2       0.1
 V 23 23       115.0       8.7       2.8
 V 23 23       130.0       6.1       0.1
 V 23 23       145.0       6.1       0.1
 V 23 23       160.0       6.1       0.1
 V 23 23       190.0       6.1       0.0
 V 23 23       205.0       6.2       0.3
 V 23 23       235.0       6.1       0.0
 V 23 23       250.0       6.0      -0.2
 V 23 23       265.0       6.0      -0.1
 V 23 23       280.0       6.1       0.1
 V 23 23       309.0       6.1       0.1
 V 23 23       324.0       6.2       0.2
 V 23 23       336.0       6.4       0.5
 V 23 23       337.0       6.3       0.3
 V 23 23       337.0       6.1       0.1
 V 23 23       340.0       6.1       0.1
 V 23 23       345.0       6.1       0.1
 V 23 23       385.0       6.0       0.0
 V 23 23       390.0       6.1       0.1
 V 23 23       395.0       6.3       0.3
 V 23 23       401.0       6.7       0.5
 V 23 23       401.0       6.2       0.1
 V 23 23       405.0       6.6       0.8
 V 23 23       410.0       6.8       0.7
 V 23 23       412.0       7.0       0.9
 V 23 23       415.0       7.6       1.0
 V 23 23       415.0       7.8       1.5
 V 23 23       417.0       7.5       1.4
 V 23 23       420.0       7.3       1.0
 V 23 23       422.0       7.9       1.4
 V 23 23       425.0       8.3       1.7
 V 23 23       430.0       6.2       0.1
 V 23 23       430.0       6.4       0.5
 V 23 23       445.0       6.1       0.0
 V 23 23       460.0       6.0      -0.1
 V 23 23       475.0       6.1       0.1
 V 23 23       490.0       6.0      -0.2
 V 23 23       505.0       6.4       0.2
 V 23 23       520.0       6.7       0.4
 V 23 23       535.0      11.6       6.2
 V 23 23       550.0      11.8       6.8
 V 23 23       565.0       8.6       3.6
 V 23 23       580.0       6.5       0.6
 V 23 23       595.0       6.8       1.1
 V 23 23       610.0       6.3       0.4
 V 23 23       625.0       6.1       0.0
 V 23 23       670.0       6.3       0.3
 V 23 23       685.0       6.0      -0.1
 V 23 23       700.0       6.1       0.0
 V 23 23       715.0       6.1       0.2
 V 23 23       730.0       6.1       0.0
 V 23 23       745.0       6.2       0.2
 V 23 23       760.0       6.2       0.1
 V 23 23       775.0       6.7       0.8
 V 23 23       790.0       7.4       1.5
 V 23 23       820.0       6.1       0.0
 V 23 23       835.0       6.8       0.9
 V 23 23       850.0      10.4       3.0
 V 23 23       865.0       6.0       0.0
 V 23 23       882.0       6.1       0.0
 V 23 23       895.0       6.1       0.0
 V 23 23       925.0       6.1       0.0
 V 23 23       940.0       6.0      -0.1
 V 23 23       955.0       6.3       0.4
 V 23 23       970.0       6.0      -0.1


