V29-206      64 54.3 N   29 17.4 W  1624 AOF13B-4CE
 V 29206         0.0      13.9       7.8
 V 29206         2.5      12.9       7.2
 V 29206         5.0      11.8       7.0
 V 29206         7.5      12.8       8.3
 V 29206        10.0      13.4       6.5
 V 29206        12.5      12.2       8.2
 V 29206        15.0      13.0       8.2
 V 29206        17.5      12.0       7.3
 V 29206        20.0      12.5       6.8
 V 29206        22.5      12.0       8.1
 V 29206        25.0      12.7       7.0
 V 29206        27.5      12.9       7.5
 V 29206        30.0      13.1       7.2
 V 29206        32.5      11.8       6.2
 V 29206        35.0      11.7       7.9
 V 29206        37.5      11.3       6.8
 V 29206        40.0      12.5       6.6
 V 29206        42.5      11.6       6.5
 V 29206        45.0      11.6       7.5
 V 29206        47.5      11.4       7.2
 V 29206        50.0      12.9       7.2
 V 29206        52.5      12.1       7.1
 V 29206        55.0      11.8       7.4
 V 29206        57.5      13.5       7.4
 V 29206        60.0      13.2       6.9
 V 29206        62.5      11.7       6.3
 V 29206        65.0      12.6       6.9
 V 29206        67.5      12.7       7.4
 V 29206        70.0      13.5       7.1
 V 29206        72.5      13.6       7.8
 V 29206        75.0      11.9       7.1
 V 29206        77.5      12.4       5.8
 V 29206        80.0      13.9       7.5
 V 29206        82.5      13.5       8.1
 V 29206        85.0      14.1       8.1
 V 29206        87.5      13.6       7.3
 V 29206        90.0      12.8       7.3
 V 29206        92.5      11.1       7.1
 V 29206        95.0      11.9       7.2
 V 29206        97.5      11.6       6.3
 V 29206       100.0      15.1       8.3
 V 29206       102.5      11.0       6.9
 V 29206       105.0      10.8       5.9
 V 29206       107.5      11.9       6.6
 V 29206       110.0      11.4       5.2
 V 29206       112.5      10.1       4.6
 V 29206       115.0       7.3       1.5
 V 29206       117.5       7.8       2.0
 V 29206       120.0       9.3       3.9
 V 29206       122.5       6.6       0.8
 V 29206       125.0       6.2       0.2
 V 29206       127.5       6.1       0.0
 V 29206       130.0       6.7       0.9
 V 29206       132.5       6.2       0.2
 V 29206       135.0       6.5       0.6
 V 29206       137.5       6.5       0.6
 V 29206       140.0       7.0       1.1
 V 29206       142.5       6.5       0.7
 V 29206       145.0       6.5       0.6
 V 29206       147.5       6.3       0.5
 V 29206       150.0       6.2       0.2
 V 29206       152.5       6.2       0.3
 V 29206       155.0       6.2       0.3
 V 29206       157.5       6.2       0.2
 V 29206       160.0       6.1       0.2
 V 29206       165.0       6.1       0.2
 V 29206       175.0       6.1       0.2
 V 29206       185.0       6.1       0.1
 V 29206       190.0       6.3       0.4
 V 29206       195.0       6.2       0.2
 V 29206       200.0       6.2       0.3
 V 29206       205.0       6.3       0.4

