V23-42       62 10.8 N   27 55.6 W  1514 AOF13B-4CE
               depth    SSTwarm   SSTcold
 V 23 42         0.0      12.9       8.3
 V 23 42        10.0      11.8       8.0
 V 23 42        12.0      11.1       7.3
 V 23 42        20.0      11.4       7.5
 V 23 42        24.0      11.3       6.9
 V 23 42        30.0      12.2       7.6
 V 23 42        34.0      10.8       4.6
 V 23 42        36.0       9.9       3.6
 V 23 42        40.0       7.4       1.4
 V 23 42        42.0      10.1       4.0
 V 23 42        42.0      10.7       5.1
 V 23 42        44.0       7.6       2.0
 V 23 42        46.0      10.7       5.3
 V 23 42        48.0       7.5       1.7
 V 23 42        50.0       6.5       0.3
 V 23 42        54.0       6.9       0.8
 V 23 42        58.0       6.7       0.7
 V 23 42        60.0       6.6       0.6
 V 23 42        70.0       6.8       0.7
 V 23 42        70.0       6.3       0.4
 V 23 42        80.0       6.1       0.0
 V 23 42        90.0       6.6       0.5
 V 23 42       100.0       6.8       0.9
 V 23 42       110.0       7.1       1.1
 V 23 42       120.0       6.7       0.7
 V 23 42       130.0       6.5       0.4
 V 23 42       140.0       6.7       0.6
 V 23 42       150.0       6.4       0.3
 V 23 42       160.0       6.5       0.6
 V 23 42       170.0       6.4       0.2
 V 23 42       180.0       6.2       0.0
 V 23 42       190.0       6.1       0.1
 V 23 42       200.0       6.4       0.2
 V 23 42       210.0       6.1       0.0
 V 23 42       220.0       6.1       0.0
 V 23 42       230.0       6.1       0.0
 V 23 42       236.0       6.2       0.1
 V 23 42       240.0       7.0       0.7
 V 23 42       242.0       7.7       1.3
 V 23 42       245.0       7.2       0.9
 V 23 42       248.0       6.6       0.7
 V 23 42       248.0       6.5       0.5
 V 23 42       250.0       6.1       0.0
 V 23 42       256.0       6.4       0.3
 V 23 42       260.0       7.1       0.7
 V 23 42       265.0       6.2       0.2
 V 23 42       270.0       6.5       0.4
 V 23 42       278.0       6.3       0.3
 V 23 42       280.0       6.5       0.5
 V 23 42       280.0       6.3       0.3
 V 23 42       282.0       6.3       0.3
 V 23 42       285.0       6.9       1.0
 V 23 42       288.0       9.6       3.4
 V 23 42       290.0       8.8       3.0
 V 23 42       290.0       9.2       3.2
 V 23 42       292.0       6.5       0.5
 V 23 42       295.0      10.0       4.2
 V 23 42       298.0       7.5       1.6
 V 23 42       300.0       8.4       2.4
 V 23 42       300.0       8.1       1.4
 V 23 42       302.0       9.2       2.5
 V 23 42       305.0       6.9       0.9
 V 23 42       308.0       8.8       2.9
 V 23 42       310.0       6.7       0.7
 V 23 42       310.0       6.9       0.8
 V 23 42       320.0       6.2       0.1
 V 23 42       330.0       6.5       0.3
 V 23 42       340.0       7.5       1.2
 V 23 42       350.0       6.9       0.7
 V 23 42       360.0       6.2       0.0
 V 23 42       370.0       6.1       0.1
 V 23 42       380.0       6.1       0.1
 V 23 42       390.0       6.5       0.5
 V 23 42       400.0       6.7       0.6
 V 23 42       410.0       6.9       0.8
 V 23 42       420.0       9.2       2.8
 V 23 42       430.0       7.2       1.5
 V 23 42       440.0      12.3       5.6
 V 23 42       450.0      11.7       7.5
 V 23 42       460.0      11.8       6.8
 V 23 42       470.0       6.6       0.8
 V 23 42       480.0       6.2       0.1
 V 23 42       490.0       6.1       0.0
 V 23 42       500.0       6.3       0.2
 V 23 42       510.0       6.1       0.0
 V 23 42       520.0       6.0      -0.1
 V 23 42       530.0       6.1       0.1
 V 23 42       540.0       7.4       1.5
 V 23 42       550.0       8.1       1.5
 V 23 42       560.0       6.2       0.2
 V 23 42       570.0       6.3       0.2
 V 23 42       580.0       6.4       0.5
 V 23 42       590.0       6.4       0.3
 V 23 42       600.0       6.6       0.4
 V 23 42       610.0       6.6       0.5
 V 23 42       620.0       6.3       0.2
 V 23 42       630.0       6.0      -0.1
 V 23 42       640.0       6.2       0.2
 V 23 42       650.0       6.4       0.4
 V 23 42       660.0       6.4       0.4
 V 23 42       670.0       6.0      -0.1
 V 23 42       679.0       6.1       0.1
 V 23 42       690.0       6.1       0.0
 V 23 42       700.0       6.4       0.3
 V 23 42       710.0       6.8       0.7
 V 23 42       720.0       6.1       0.0
 V 23 42       730.0       6.1       0.1
 V 23 42       740.0       6.1       0.1
 V 23 42       750.0       6.0      -0.1
 V 23 42       760.0       7.9       1.4
 V 23 42       779.0       7.5       1.4
 V 23 42       790.0       6.5       0.4
 V 23 42       800.0       6.8       1.0
 V 23 42       810.0       6.6       0.7
 V 23 42       820.0       6.1       0.1
 V 23 42       830.0       6.2       0.1
 V 23 42       840.0       6.1       0.1
 V 23 42       850.0       6.0      -0.1
 V 23 42       860.0       6.1       0.1
 V 23 42       870.0       7.5       0.9
 V 23 42       880.0       7.0       1.1
 V 23 42       887.0       8.3       2.1


