Depth(m),Age(kaBP),Deuterium(‰SMOW),dTemp(ºC)
3009.6,594.256,-417.5,-4.32
3010.15,594.821,-414.9,-3.89
3010.7,595.401,-418.2,-4.42
3011.25,595.959,-424.4,-5.44
3011.8,596.546,-429.8,-6.31
3012.35,597.19,-432.3,-6.7
3012.9,597.892,-430.8,-6.42
3013.45,598.667,-425.8,-5.54
3014,599.4,-424.9,-5.35
3014.55,600.096,-422.9,-4.99
3015.1,600.791,-424.2,-5.18
3015.65,601.487,-418.6,-4.23
3016.2,602.124,-419.3,-4.33
3016.75,602.788,-418.6,-4.19
3017.3,603.474,-418.9,-4.22
3017.85,604.15,-417.2,-3.92
3018.4,604.834,-414.8,-3.51
3018.95,605.507,-414.6,-3.47
3019.5,606.161,-413.1,-3.21
3020.05,606.819,-411.5,-2.94
3020.6,607.474,-407.9,-2.35
3021.15,608.079,-405.8,-2.01
3021.7,608.674,-404.1,-1.74
3022.25,609.269,-401.7,-1.37
3022.8,609.854,-399.9,-1.09
3023.35,610.425,-400.7,-1.26
3023.9,610.985,-401.8,-1.47
3024.45,611.541,-401.3,-1.43
3025,612.13,-401.2,-1.46
3025.55,612.717,-398.4,-1.04
3026.1,613.31,-400,-1.35
3026.65,613.878,-397.9,-1.04
3027.2,614.466,-399.2,-1.3
3027.75,615.06,-396.9,-0.97
3028.3,615.672,-398.5,-1.28
3028.85,616.273,-399.3,-1.46
3029.4,616.895,-401.9,-1.94
3029.95,617.533,-403.7,-2.28
3030.5,618.205,-400.4,-1.79
3031.05,618.904,-403.1,-2.29
3031.6,619.576,-403.4,-2.38
3032.15,620.278,-400.5,-1.96
3032.7,620.95,-400.1,-1.95
3033.25,621.644,-403.7,-2.59
3033.8,622.342,-402.9,-2.52
3034.35,623.054,-404.5,-2.84
3034.9,623.796,-402.9,-2.63
3035.45,624.562,-402.9,-2.69
3036,625.316,-399.6,-2.2
3036.55,626.073,-405.3,-3.19
3037.1,626.8,-412.5,-4.42
3037.65,627.597,-419,-5.54
3038.2,628.49,-428.7,-7.17
3038.75,629.486,-435.8,-8.37
3039.3,630.645,-437.8,-8.72
3039.85,631.964,-438.3,-8.8
3040.4,633.312,-434.9,-8.24
3040.95,634.676,-439,-8.9
3041.5,635.956,-439.2,-8.92
3042.05,637.31,-436.1,-8.39
3042.6,638.664,-438,-8.68
3043.15,639.948,-439.1,-8.84
3043.7,641.262,-439.3,-8.86
3044.25,642.589,-435.5,-8.21
3044.8,643.907,-432.7,-7.73
3045.35,645.119,-432.5,-7.68
3045.9,646.222,-432.7,-7.71
3046.45,647.328,-433.4,-7.82
3047,648.431,-431.2,-7.46
3047.55,649.522,-428.9,-7.07
3048.1,650.556,-431.3,-7.47
3048.65,651.553,-430.2,-7.29
3049.2,652.589,-432.9,-7.72
3049.75,653.588,-434.2,-7.92
3050.3,654.607,-432.2,-7.58
3050.85,655.611,-427.9,-6.87
3051.4,656.55,-426.9,-6.71
3051.95,657.42,-430.9,-7.38
3052.5,658.255,-431.7,-7.52
3053.05,659.093,-436.7,-8.36
3053.6,659.97,-434.6,-8.02
3054.15,660.865,-438.4,-8.64
3054.7,661.743,-436.3,-8.3
3055.25,662.653,-434.5,-8
3055.8,663.513,-433.5,-7.82
3056.35,664.289,-437.1,-8.42
3056.9,665.075,-440.3,-8.94
3057.45,665.887,-441,-9.05
3058,666.722,-441,-9.03
3058.55,667.546,-440.7,-8.95
3059.1,668.348,-440.5,-8.89
3059.65,669.129,-437.1,-8.31
3060.2,669.852,-430.7,-7.24
3060.75,670.509,-431,-7.28
3061.3,671.102,-433,-7.62
3061.85,671.706,-436.2,-8.16
3062.4,672.29,-436.8,-8.25
3062.95,672.908,-435.2,-7.99
3063.5,673.52,-433.4,-7.68
3064.05,674.132,-432.4,-7.51
3064.6,674.722,-429.7,-7.05
3065.15,675.293,-426.8,-6.54
3065.7,675.849,-423.2,-5.94
3066.25,676.364,-423.1,-5.89
3066.8,676.871,-428.2,-6.71
3067.35,677.33,-432.1,-7.34
3067.9,677.788,-429.5,-6.9
3068.45,678.267,-422,-5.65
3069,678.78,-416.2,-4.67
3069.55,679.269,-419.2,-5.15
3070.1,679.721,-424.1,-5.95
3070.65,680.122,-427.2,-6.46
3071.2,680.542,-430.7,-7.02
3071.75,680.987,-432.7,-7.34
3072.3,681.449,-430.5,-6.95
3072.85,681.935,-425.1,-6.02
3073.4,682.433,-422.6,-5.58
3073.95,682.912,-420.5,-5.2
3074.5,683.371,-421.5,-5.34
3075.05,683.792,-422.3,-5.46
3075.6,684.198,-421,-5.23
3076.15,684.61,-418.7,-4.83
3076.7,685.025,-417.9,-4.68
3077.25,685.431,-417.7,-4.62
3077.8,685.823,-417.8,-4.61
3078.35,686.211,-416.7,-4.41
3078.9,686.589,-414.8,-4.07
3079.45,686.965,-414.3,-3.97
3080,687.342,-413,-3.73
3080.55,687.708,-411.8,-3.5
3081.1,688.07,-411.6,-3.44
3081.65,688.435,-411.3,-3.36
3082.2,688.786,-412.3,-3.5
3082.75,689.136,-413.7,-3.7
3083.3,689.486,-411.7,-3.35
3083.85,689.836,-410.6,-3.14
3084.4,690.193,-410.2,-3.05
3084.95,690.54,-410.4,-3.05
3085.5,690.88,-407.7,-2.59
3086.05,691.219,-407.4,-2.51
3086.6,691.562,-409,-2.75
3087.15,691.888,-408.8,-2.7
3087.7,692.21,-407.7,-2.5
3088.25,692.539,-407.2,-2.39
3088.8,692.871,-405.2,-2.04
3089.35,693.188,-402.6,-1.6
3089.9,693.514,-402.4,-1.55
3090.45,693.83,-404.4,-1.86
3091,694.129,-404.2,-1.82
3091.55,694.439,-405.9,-2.08
3092.1,694.761,-405.5,-2
3092.65,695.072,-405.2,-1.94
3093.2,695.392,-404.6,-1.83
3093.75,695.713,-405.2,-1.92
3094.3,696.03,-404.3,-1.77
3094.85,696.351,-404.8,-1.85
3095.4,696.673,-406.1,-2.07
3095.95,696.992,-404.8,-1.86
3096.5,697.31,-403.7,-1.69
3097.05,697.637,-405.2,-1.94
3097.6,697.97,-404.8,-1.88
3098.15,698.299,-404.5,-1.84
3098.7,698.634,-404.9,-1.92
3099.25,698.974,-406.9,-2.26
3099.8,699.317,-408.6,-2.55
3100.35,699.665,-408.2,-2.49
3100.9,700.027,-409.7,-2.75
3101.45,700.404,-407.8,-2.45
3102,700.784,-406.9,-2.31
3102.55,701.177,-405.9,-2.16
3103.1,701.564,-403.4,-1.77
3103.65,701.952,-404.8,-2.02
3104.2,702.339,-406.9,-2.4
3104.75,702.719,-407.3,-2.49
3105.3,703.114,-406.3,-2.36
3105.85,703.529,-406.7,-2.45
3106.4,703.956,-408.5,-2.78
3106.95,704.384,-410,-3.05
3107.5,704.825,-410.8,-3.21
3108.05,705.287,-410.7,-3.21
3108.6,705.77,-412.1,-3.46
3109.15,706.27,-413.7,-3.75
3109.7,706.78,-413.3,-3.7
3110.25,707.312,-413,-3.67
3110.8,707.87,-412.2,-3.56
3111.35,708.436,-411.7,-3.5
3111.9,709.011,-414.7,-4.02
3112.45,709.591,-413.7,-3.88
3113,710.178,-414.5,-4.06
3113.55,710.806,-413.8,-4
3114.1,711.436,-413.8,-4.05
3114.65,712.087,-414.3,-4.19
3115.2,712.743,-414.5,-4.29
3115.75,713.41,-411.9,-3.9
3116.3,714.092,-412.4,-4.02
3116.85,714.808,-413.5,-4.23
3117.4,715.479,-419.2,-5.2
3117.95,716.162,-419.4,-5.26
3118.5,716.86,-421.3,-5.59
3119.05,717.625,-425.1,-6.23
3119.6,718.378,-426.6,-6.47
3120.15,719.147,-429.3,-6.92
3120.7,720.001,-430.7,-7.13
3121.25,720.764,-435.4,-7.9
3121.8,721.643,-440.9,-8.77
3122.35,722.534,-438.4,-8.32
3122.9,723.478,-431.5,-7.14
3123.45,724.233,-423.2,-5.75
3124,724.982,-419.9,-5.18
3124.55,725.802,-419.5,-5.07
3125.1,726.535,-425.9,-6.1
3125.65,727.213,-425.2,-5.96
3126.2,727.948,-425.9,-6.05
3126.75,728.662,-424.7,-5.83
3127.3,729.369,-424,-5.69
3127.85,730.05,-421.8,-5.31
3128.4,730.709,-421.4,-5.23
3128.95,731.331,-421.8,-5.28
3129.5,731.946,-419.2,-4.85
3130.05,732.602,-415.3,-4.2
3130.6,733.241,-412.9,-3.79
3131.15,733.803,-413.7,-3.93
3131.7,734.327,-413.7,-3.95
3132.25,734.843,-414.8,-4.15
3132.8,735.336,-413.7,-3.99
3133.35,735.855,-411.9,-3.72
3133.9,736.355,-413.6,-4.03
3134.45,736.837,-416.1,-4.47
3135,737.354,-416.2,-4.52
3135.55,737.809,-417.4,-4.76
3136.1,738.294,-420.9,-5.38
3136.65,738.799,-422.2,-5.62
3137.2,739.277,-425.9,-6.27
3137.75,739.778,-431.1,-7.16
3138.3,740.294,-436.5,-8.08
3138.85,740.867,-437.4,-8.24
3139.4,741.465,-437.4,-8.25
3139.95,742.086,-438.7,-8.47
3140.5,742.707,-439.4,-8.6
3141.05,743.325,-441.4,-8.95
3141.6,743.934,-440.5,-8.84
3142.15,744.545,-439.2,-8.67
3142.7,745.171,-437.4,-8.41
3143.25,745.782,-438.3,-8.56
3143.8,746.375,-438.3,-8.56
3144.35,746.947,-438.7,-8.62
3144.9,747.52,-438.8,-8.63
3145.45,748.091,-439.2,-8.69
3146,748.642,-438.7,-8.6
3146.55,749.203,-437.8,-8.44
3147.1,749.766,-437.1,-8.32
3147.65,750.322,-438.3,-8.5
3148.2,750.878,-439,-8.58
3148.75,751.428,-439.3,-8.59
3149.3,751.99,-438.5,-8.42
3149.85,752.561,-438.5,-8.37
3150.4,753.139,-438,-8.24
3150.95,753.716,-436.6,-7.97
3151.5,754.3,-435.8,-7.79
3152.05,754.886,-434.5,-7.54
3152.6,755.475,-432.8,-7.22
3153.15,756.06,-427.2,-6.25
3153.7,756.643,-422.9,-5.5
3154.25,757.22,-420.6,-5.09
3154.8,757.758,-422,-5.3
3155.35,758.265,-424.9,-5.77
3155.9,758.757,-426.8,-6.07
3156.45,759.282,-429,-6.43
3157,759.838,-433.3,-7.12
3157.55,760.417,-434.3,-7.27
3158.1,761.022,-434.8,-7.33
3158.65,761.692,-431.3,-6.72
3159.2,762.387,-425.8,-5.78
3159.75,763.083,-422.3,-5.16
3160.3,763.761,-419.8,-4.72
3160.85,764.399,-420.1,-4.76
3161.4,765.016,-422.2,-5.1
3161.95,765.628,-425,-5.56
3162.5,766.238,-429,-6.22
3163.05,766.88,-430.1,-6.4
3163.6,767.558,-427.8,-6
3164.15,768.299,-423.9,-5.33
3164.7,769.072,-419.2,-4.54
3165.25,769.831,-415,-3.84
3165.8,770.559,-414.6,-3.8
3166.35,771.249,-415.2,-3.93
3166.9,771.907,-417.3,-4.32
3167.45,772.553,-418.2,-4.52
3168,773.239,-415.6,-4.13
3168.55,773.957,-413.6,-3.82
3169.1,774.703,-411.4,-3.47
3169.65,775.442,-408.2,-2.96
3170.2,776.159,-406.6,-2.69
3170.75,776.861,-406.7,-2.7
3171.3,777.536,-406.6,-2.67
3171.85,778.201,-404.6,-2.34
3172.4,778.873,-403.6,-2.17
3172.95,779.549,-403.4,-2.13
3173.5,780.209,-403.6,-2.17
3174.05,780.863,-404.8,-2.37
3174.6,781.519,-404.2,-2.28
3175.15,782.18,-401.5,-1.84
3175.7,782.856,-402.7,-2.04
3176.25,783.528,-400.5,-1.7
3176.8,784.173,-400.5,-1.71
3177.35,784.83,-397,-1.15
3177.9,785.47,-396.3,-1.05
3178.45,786.105,-396.1,-1.04
3179,786.706,-393.4,-0.63
3179.55,787.298,-392.7,-0.54
3180.1,787.885,-399.8,-1.75
3180.65,788.442,-403.3,-2.37
3181.2,789.019,-404.4,-2.59
3181.75,789.635,-407.2,-3.09
3182.3,790.282,-410.7,-3.7
3182.85,790.937,-414,-4.27
3183.4,791.618,-418.6,-5.05
3183.95,792.331,-421.8,-5.61
3184.5,793.079,-423.5,-5.91
3185.05,793.876,-427.1,-6.51
3185.6,794.708,-432,-7.33
3186.15,795.556,-437.3,-8.23
3186.7,796.449,-439,-8.53
3187.25,797.408,-440.2,-8.73
3187.8,798.443,-439,-8.54
3188.35,799.501,-441.1,-8.88
3188.9,800.589,-441.4,-8.92
3189.45,801.662,-440.9,-8.82
