Depth(m),Age(kaBP),Deuterium(‰SMOW),dTemp(ºC)
2718.65,402.015,-388.8,1.58
2719.2,402.192,-385.2,2.18
2719.75,402.38,-389.4,1.49
2720.3,402.563,-387.6,1.79
2720.85,402.741,-385.5,2.14
2721.4,402.917,-385.1,2.2
2721.95,403.088,-382.6,2.62
2722.5,403.267,-385.6,2.12
2723.05,403.444,-384.7,2.27
2723.6,403.624,-386.3,2.01
2724.15,403.803,-385.1,2.2
2724.7,403.984,-386.9,1.9
2725.25,404.171,-388.5,1.64
2725.8,404.348,-383.8,2.41
2726.35,404.529,-385.7,2.1
2726.9,404.714,-387,1.88
2727.45,404.9,-387.6,1.78
2728,405.08,-384.9,2.22
2728.55,405.264,-388.9,1.56
2729.1,405.441,-383.7,2.41
2729.65,405.617,-383.2,2.49
2730.2,405.79,-382.2,2.65
2730.75,405.962,-381.8,2.71
2731.3,406.142,-384.7,2.22
2731.85,406.33,-387.3,1.79
2732.4,406.508,-383.3,2.44
2732.95,406.69,-384.3,2.27
2733.5,406.86,-378.9,3.15
2734.05,407.031,-380.4,2.9
2734.6,407.215,-384.6,2.19
2735.15,407.384,-380.3,2.9
2735.7,407.567,-385.3,2.06
2736.25,407.746,-382.9,2.45
2736.8,407.922,-381.5,2.67
2737.35,408.105,-384.5,2.17
2737.9,408.292,-385.5,1.99
2738.45,408.483,-386.8,1.77
2739,408.669,-386.4,1.83
2739.55,408.849,-384.7,2.09
2740.1,409.028,-383.9,2.21
2740.65,409.217,-386.8,1.73
2741.2,409.402,-384.3,2.13
2741.75,409.588,-386.2,1.8
2742.3,409.781,-386.6,1.73
2742.85,409.98,-387.5,1.57
2743.4,410.174,-387.4,1.58
2743.95,410.374,-386.5,1.72
2744.5,410.577,-387.9,1.47
2745.05,410.778,-386.4,1.72
2745.6,410.986,-387.8,1.47
2746.15,411.194,-388.4,1.37
2746.7,411.402,-386.7,1.64
2747.25,411.605,-390.8,0.95
2747.8,411.817,-392.1,0.72
2748.35,412.046,-393.8,0.44
2748.9,412.277,-393.4,0.49
2749.45,412.507,-393.7,0.43
2750,412.739,-395.8,0.08
2750.55,412.977,-392.2,0.66
2751.1,413.198,-393.3,0.48
2751.65,413.432,-394.7,0.23
2752.2,413.669,-391.9,0.68
2752.75,413.902,-392.5,0.57
2753.3,414.139,-396.4,-0.08
2753.85,414.392,-394.3,0.26
2754.4,414.639,-393.2,0.43
2754.95,414.882,-394.7,0.17
2755.5,415.132,-394.9,0.12
2756.05,415.384,-391.9,0.61
2756.6,415.626,-393.6,0.31
