Depth ice/snow [m],Gas age [ka BP],δ18O-O2 [‰]
1801.33,138.5366,0.915
1804.57,139.2037,0.934
1806.83,139.6653,0.923
1809.52,140.223,0.8896
1812.41,140.7992,0.852
1815.08,141.332,0.8025
1817.77,141.8758,0.7974
1817.83,141.8878,0.776
1823.33,143.0481,0.657
1828.83,144.1719,0.6465
1834.38,145.1796,0.644
1839.77,146.2147,0.558
1845.33,147.3163,0.5585
1867.27,151.6361,0.7282
1870.02,152.1936,0.6892
1872.23,152.6528,0.6343
1875,153.1788,0.7829
1877.75,153.6493,0.7022
1879.95,154.0401,0.7787
1880.5,154.1372,0.7195
1882.15,154.4561,0.8176
1884.9,155.0557,0.711
1886,155.3335,0.6962
1887.65,155.7528,0.7768
1888.75,156.03,0.7671
1889.85,156.3037,0.717
1891.45,156.7317,0.61
1891.5,156.7452,0.7207
1893.15,157.1561,0.7532
1894.25,157.4116,0.6349
1895.35,157.6548,0.6613
1901.9,159.0821,0.575
1902.5,159.208,0.6822
1904.07,159.4946,0.7016
1904.15,159.508,0.6891
1909.65,160.3988,0.7507
1910.2,160.4934,0.7718
1912.4,160.9073,0.6852
1913.5,161.1288,0.6915
1914.52,161.358,0.695
1915.15,161.5077,0.6542
1916.25,161.7802,0.5611
1917.35,162.0517,0.5082
1919,162.4383,0.5953
1921.75,163.0303,0.4387
1923.32,163.3439,0.5804
1923.95,163.4624,0.5789
1926.15,163.8654,0.5646
1927.25,164.0798,0.5021
1928.35,164.2817,0.5208
1930,164.6297,0.4861
1931.65,165.0072,0.4238
1933.85,165.5266,0.3148
1935.48,165.9304,0.1599
1937.15,166.3551,0.2081
1937.7,166.4934,0.1214
1941,167.3091,0.0427
1943.15,167.7604,-0.0796
1943.67,167.8552,-0.016
1944.85,168.0763,-0.0228
1946.48,168.3557,-0.1437
1946.5,168.3588,-0.0234
1948.15,168.6049,-0.0523
1949.25,168.7632,-0.0514
1950.35,168.9303,0.0123
1950.9,169.0164,-0.0199
1953.57,169.5041,-0.0471
1954.2,169.6291,-0.0015
1956.4,170.1338,-0.0609
1959.15,170.7878,-0.1446
1963.47,171.7777,-0.183
1965.15,172.1502,-0.2763
1968.5,172.8495,-0.1417
1970.15,173.221,-0.0759
1971.25,173.4882,-0.0496
1972.82,173.8756,-0.041
1972.85,173.8831,-0.1073
1974,174.1635,-0.035
1975.65,174.5725,-0.035
1976.75,174.8454,-0.044
1979.48,175.4877,-0.11
1980.05,175.6181,-0.0238
1982.17,176.096,0.024
1982.25,176.114,-0.0221
1983.35,176.3636,0.0576
1985,176.7824,0.0977
1986.65,177.2348,0.1588
1992.07,178.4656,0.3135
1993.23,178.6789,0.2979
1995.43,179.084,0.4377
1995.95,179.1737,0.3993
1997.65,179.4912,0.6259
1998.75,179.7183,0.6282
2001.45,180.3068,0.658
2001.5,180.3186,0.7713
2003.15,180.7231,0.6719
2004.25,181.0106,0.7156
2005.35,181.3011,0.7425
2007,181.7461,0.6617
2008.57,182.2033,0.7464
2009.2,182.3923,0.7557
2011.4,183.0143,0.7575
2012.5,183.2868,0.6847
2014.15,183.7055,0.768
2016.82,184.3729,0.7277
2020.15,185.2033,0.6152
2022.4,185.7726,0.7412
2023.5,186.0248,0.7206
2026.72,186.7321,0.5784
2026.75,186.7385,0.4317
2030.05,187.4455,0.5142
2031.15,187.6891,0.072
2032.8,188.0593,0.3965
2034.45,188.4086,0.233
2036.1,188.7486,0.1107
2036.62,188.8515,0.3737
2038.85,189.2388,0.3366
2039.95,189.4058,0.179
2041.6,189.6479,0.3072
2042.7,189.7982,0.3201
2044.35,190.0489,0.0684
2045.42,190.2413,0.2902
2046,190.3497,0.2525
2047.65,190.7005,0.2223
2052.05,191.7529,-0.0273
2052.6,191.9008,-0.011
2053.15,192.0461,-0.0076
2054.77,192.5168,-0.1382
2054.8,192.5253,-0.109
2055.9,192.8184,-0.126
2056.48,192.9611,-0.1722
2057.55,193.2049,-0.0415
2058.65,193.4247,-0.0759
2060.3,193.6962,-0.1144
2061.95,193.9296,-0.0812
2063.6,194.1811,-0.087
2064.15,194.2859,-0.0974
2064.67,194.39,-0.0659
2066.35,194.7516,-0.1189
2068,195.156,-0.0778
2069.65,195.5758,-0.1944
2069.68,195.5834,-0.1643
2071.3,195.9752,-0.2019
2072.4,196.2153,-0.2048
2072.95,196.3306,-0.1987
2075.67,196.835,-0.1893
2075.7,196.84,-0.1932
2078.45,197.2711,-0.1703
2080.65,197.6517,-0.16645
2082.3,197.9618,-0.1591
2083.95,198.288,-0.1446
2084.53,198.4083,-0.1338
2086.18,198.7505,-0.045
2087.8,199.0816,-0.0819
2088.32,199.1796,-0.0385
2089.45,199.3911,-0.0543
2091.65,199.7485,0.0845
2092.2,199.8318,0.008
2093.3,199.9791,0.0534
2095.5,200.1978,0.0915
2097.15,200.3703,0.1952
2099.9,200.7568,0.2218
2100.97,200.94,0.3218
2101,200.9453,0.255
2101.55,201.044,0.45
2102.1,201.1465,0.3339
2103.2,201.3417,0.3347
2103.75,201.4327,0.3789
2104.85,201.6141,0.3921
2105.95,201.7884,0.5192
2107.05,201.959,0.4987
2108.15,202.1299,0.5092
2108.18,202.1347,0.4599
2109.8,202.4091,0.5397
2111.42,202.7336,0.5588
2111.45,202.7402,0.5325
2113.65,203.2005,0.5083
2115.85,203.6648,0.5515
2117.5,203.9892,0.5502
2119.15,204.3065,0.5345
2120.8,204.6374,0.5161
2121.87,204.867,0.5312
2122.45,204.9964,0.5081
2124.1,205.3789,0.5334
2124.65,205.5043,0.4977
2125.75,205.7537,0.509
2127.4,206.0879,0.5275
2129.05,206.4054,0.4897
2132.35,206.9734,0.5243
2132.87,207.0574,0.3363
2134.55,207.3344,0.5074
2136.2,207.6141,0.4733
2137.85,207.8856,0.46
2140.05,208.2457,0.4803
2143.35,208.8166,0.4188
2146.07,209.2738,0.4425
2146.1,209.2787,0.4058
2147.75,209.5467,0.3791
2149.95,209.9134,0.3474
2151.6,210.1863,0.3079
2155.45,210.797,0.2971
2157.1,211.031,0.1817
2158.17,211.1744,0.1709
2158.75,211.2481,0.1891
2160.95,211.5288,0.0862
2166.45,212.4376,-0.0204
2168.1,212.7246,-0.0339
2170.3,213.0877,-0.0807
2171.95,213.3474,-0.0546
2173.6,213.595,-0.0529
2178,214.2925,-0.0347
2179.65,214.5673,-0.0685
2181.85,214.9843,-0.0411
2182.4,215.1015,-0.0029
2182.92,215.2073,-0.0348
2183.5,215.3194,-0.002
2185.7,215.7592,0.0025
2188.45,216.2441,0.0905
2190.1,216.4802,-0.0662
2190.65,216.5535,-0.1685
2192.85,216.8566,0.1484
2193.98,217.0355,0.1918
2194.5,217.1246,0.1782
2197.25,217.65,0.1672
2198.9,217.9877,0.1339
2200,218.2114,0.1241
2202.17,218.6734,0.1142
2203.85,219.0127,0.1209
2204.4,219.1232,0.145
2204.95,219.2423,0.1415
2206.05,219.4837,0.1314
2207.15,219.7467,0.1312
2208.25,220.0144,0.1468
2209.87,220.4097,0.1733
2210.45,220.5423,0.1552
2211.55,220.7881,0.2112
2212.65,221.0153,0.2333
2213.75,221.2346,0.2668
2214.85,221.459,0.31
2215.95,221.6831,0.3106
2216.47,221.7922,0.3688
2217.05,221.9202,0.3396
2219.8,222.6438,0.3944
2220.9,222.9956,0.414
2222,223.4032,0.4632
2223.07,223.7702,0.5117
2223.65,223.9758,0.4872
2224.75,224.3526,0.5627
2225.85,224.7173,0.571
2226.95,225.0567,0.5775
2228.05,225.3674,0.5917
2230.22,225.9586,0.6687
2230.25,225.9672,0.6505
2232.45,226.6346,0.8799
2233,226.7973,0.7858
2234.1,227.0896,0.8102
2235.75,227.4825,0.8241
2236.82,227.7305,0.8918
2236.85,227.7374,0.9116
2237.95,228.023,0.9114
2238.5,228.1735,0.9493
2240.7,228.7874,0.9279
2241.8,229.1197,0.8286
2242.9,229.4475,0.7738
2243.42,229.6056,0.7561
2244,229.7865,0.7078
2245.1,230.1297,0.7359
2246.2,230.4593,0.642
2248.4,231.0291,0.6519
2249.5,231.3083,0.6794
2251.12,231.7647,0.6204
2251.15,231.7738,0.6333
2252.25,232.1016,0.6241
2253.35,232.4211,0.5906
2254.45,232.7215,0.5815
2256.1,233.124,0.5451
2257.2,233.3652,0.5775
2258.85,233.7245,0.4963
2259.37,233.8419,0.5601
2261.62,234.3968,0.5404
2262.72,234.6838,0.4649
2263.82,234.9702,0.4527
2264.35,235.1093,0.439
2266,235.5562,0.3753
2266.03,235.5644,0.3545
2267.12,235.8542,0.2696
2268.17,236.1073,0.2863
2268.72,236.2344,0.3011
2268.75,236.2413,0.3215
2270.4,236.6019,0.2523
2270.43,236.6083,0.2477
2271.53,236.8384,0.1557
2272.05,236.9407,0.1864
2272.57,237.0406,0.1475
2273.67,237.2683,0.0528
2273.7,237.2745,0.1218
2274.8,237.4955,0.0805
2274.88,237.5117,0.0638
2275.87,237.7101,0.0782
2275.93,237.7222,0.0538
2276.45,237.8276,-0.0104
2277.12,237.9649,-0.0152
2279.17,238.3675,-0.0115
2279.36,238.406,-0.035
2279.75,238.4852,-0.0206
2280.82,238.6923,-0.0236
2281.4,238.801,0.0091
2281.43,238.8067,-0.0211
2283.05,239.1204,-0.0367
2283.72,239.2501,-0.0361
2285.18,239.5287,-0.0386
2285.25,239.5418,0.0721
2285.77,239.639,0.0346
2286.9,239.8571,-0.034
2288.12,240.0802,-0.007
2289.59,240.3591,0.0204
2290.32,240.4862,0.0278
2291.27,240.6413,0.0597
2291.85,240.7402,0.0364
2292.53,240.8608,0.11
2293.53,241.0345,0.1339
2294.57,241.2168,0.1544
2294.73,241.2457,0.1564
2295.67,241.4139,0.2496
2295.7,241.4192,0.1827
2296.93,241.6281,0.2287
2297.9,241.785,0.2838
2297.93,241.7895,0.2771
2298.97,241.9433,0.4281
2300.07,242.0976,0.4591
2300.1,242.1017,0.3644
2301.38,242.2775,0.4545
2302.3,242.3966,0.4833
2302.33,242.4001,0.5223
2303.57,242.5403,0.5823
2306.15,242.8415,0.6834
2308.9,243.198,0.7459
2310.55,243.4349,0.7378
2311.65,243.6013,0.7405
2313.3,243.8656,0.7709
2315.5,244.231,0.7338
2316.6,244.4167,0.721
2317.15,244.5147,0.7642
2318.25,244.7135,0.6762
2319.35,244.932,0.6886
2320.45,245.1611,0.6859
2321.55,245.3903,0.6546
2323.2,245.7552,0.6384
2324.3,246.0164,0.6297
2325.4,246.2972,0.6206
2326.5,246.5987,0.6015
2327.05,246.7514,0.5761
2328.15,247.0865,0.5525
2329.8,247.6499,0.5677
2330.35,247.8314,0.5866
2331.45,248.1719,0.6273
2332,248.3308,0.6151
2333.1,248.6459,0.6819
