Depth ice/snow [m],Gas age [ka BP],δ18O-O2 [‰]
2768.75,420.7006,0.6655
2769.25,420.9258,0.6611
2770.35,421.4651,0.6965
2770.9,421.7366,0.7047
2771.45,422.0139,0.6939
2772,422.2864,0.6542
2773.1,422.8358,0.6545
2773.14,422.8568,0.6495
2773.15,422.8621,0.674
2773.65,423.1243,0.7062
2774.2,423.415,0.7126
2774.23,423.4312,0.435
2774.75,423.713,0.7294
2775.3,424.0179,0.7313
2775.85,424.3144,0.7793
2776.43,424.619,0.801
2776.95,424.8997,0.9142
2777.5,425.1985,0.9986
2777.54,425.2194,0.9865
2777.55,425.2247,0.9825
2778.05,425.4857,1.0373
2778.6,425.7787,1.1667
2779.7,426.3092,1.3259
2780.25,426.558,1.4094
2780.8,426.8158,1.115
2780.83,426.8303,0.937
2781.35,427.0824,1.4464
2781.95,427.3968,1.4285
2782.11,427.4824,1.43
2782.45,427.6643,1.4202
2785.2,429.457,1.3508
2785.23,429.4808,1.3067
2785.75,429.8919,1.2739
2786.3,430.3703,1.3515
2786.34,430.4034,1.2775
2786.35,430.4117,1.2495
2786.85,430.825,1.2495
2787.4,431.3533,1.4573
2787.43,431.3833,1.292
2787.95,431.9042,1.28
2789.02,433.0784,1.2219
2789.05,433.112,1.205
2789.6,433.7396,1.1665
2789.63,433.7736,1.083
2790.15,434.363,1.1528
2790.7,434.9778,1.156
2790.75,435.0315,1.165
2791.25,435.5684,1.1544
2791.8,436.1362,1.1488
2792.35,436.7888,1.2516
2792.87,437.4377,1.0941
2793.175,437.8086,1.212
2793.725,438.4713,1.1105
2794.275,439.0901,0.9861
2795.1,439.977,0.9235
2795.15,440.0364,0.909
2795.31,440.2264,0.9195
2795.925,440.9662,0.845
2796.475,441.6266,0.77
2797.3,442.6011,0.6871
2797.82,443.2261,0.6276
2799.55,445.2755,0.462
2799.59,445.3228,0.4865
2803.95,450.2993,0.6275
2803.99,450.341,0.554
2806.62,453.2755,0.2062
2808.35,455.2868,0.492
2808.39,455.3314,0.514
2811.07,458.3624,0.4655
2812.75,460.2986,0.363
2812.78,460.3374,0.416
2814.87,463.0212,0.3609
2816.57,465.0809,0.1195
2817.15,465.7276,0.209
2817.19,465.7706,0.2055
2819.32,468.1198,0.645
2821.55,470.7301,0.548
2821.59,470.7762,0.5945
2822.47,471.7935,0.619
2823.67,473.0373,0.6175
2825.22,474.5252,0.6671
2825.87,475.0717,0.6316
2825.99,475.1667,0.7095
2827.97,476.8556,0.487
2828.07,476.9501,0.507
2830.27,479.0691,0.1684
2830.39,479.1704,0.27
2830.72,479.4454,0.108
2832.47,480.8265,0.1494
2833.47,481.6726,0.019
2834.15,482.2682,0.7205
2834.67,482.702,-0.2572
2834.8,482.8067,-0.017
2836.22,483.9115,-0.062
2836.87,484.4069,-0.4759
2838.97,485.8917,-0.026
2839.19,486.0444,0.0075
2839.62,486.3371,0.0448
2841.72,487.7479,0.203
2841.82,487.8152,0.1577
2843.47,488.934,0.3685
2843.59,489.0142,0.3315
2845.12,490.0226,0.518
2847.99,491.8508,0.7015
2848.42,492.122,0.731
2851.72,494.2605,0.7125
2852.39,494.7064,0.7375
2854.47,496.0796,0.593
2856.79,497.6422,0.4835
2857.77,498.3036,0.3765
2861.07,500.5462,0.1375
2861.19,500.627,0.151
2864.92,503.1564,0.0785
2865.61,503.6248,0.123
2868.22,505.3103,0.1395
2869.99,506.4146,0.3085
2871.52,507.4442,0.3615
2872.1,507.8475,0.6649
2874.025,509.1446,0.5733
2874.27,509.3105,0.587
2874.39,509.3927,0.664
2874.575,509.5199,0.6532
2874.82,509.6884,0.6695
2875.125,509.9078,0.6782
2875.675,510.322,0.724
2876.225,510.751,0.7842
2877.05,511.3826,0.8159
2877.875,512.0038,0.8165
2878.12,512.1865,0.8955
2878.425,512.4154,0.8828
2878.7,512.6219,0.8913
2878.79,512.6899,0.908
2878.975,512.8298,0.9674
2879.8,513.4547,0.9186
2880.9,514.2739,0.9338
2881.42,514.6531,0.948
2881.725,514.8748,0.971
2882.55,515.4755,0.9948
2883.18,515.9237,1.048
2883.375,516.0576,0.9335
2884.2,516.6293,0.9366
2885.025,517.2156,0.9057
2885.27,517.3897,0.917
2885.575,517.5989,0.8999
2886.125,517.9704,0.8417
2886.95,518.5244,0.818
2887.59,518.9696,0.8445
2887.775,519.0975,0.8039
2888.6,519.661,0.7201
2889.12,520.0016,0.707
2889.7,520.3904,0.6505
2890.25,520.7512,0.607
2890.8,521.1162,0.5635
2891.35,521.4819,0.5622
2891.9,521.847,0.4933
2891.99,521.9074,0.523
2892.725,522.4014,0.4333
2892.97,522.567,0.408
2893.275,522.7706,0.3709
2893.825,523.1386,0.3518
2894.375,523.5089,0.3148
2895.2,524.0985,0.2765
2896.025,524.6975,0.3566
2896.27,524.8756,0.2815
2896.41,524.9762,0.305
2896.575,525.0943,0.2781
2897.125,525.4969,0.2328
2897.675,525.927,0.1963
2898.5,526.5936,0.1691
2899.325,527.2465,0.1572
2899.57,527.4386,0.1545
2899.875,527.6769,0.1373
2900.425,528.111,0.062
2900.79,528.4015,0.061
2900.975,528.5478,0.0978
2901.525,528.9786,0.1087
2902.075,529.4131,0.0715
2902.87,530.0579,0.1415
2902.9,530.0823,0.0775
2903.42,530.5033,0.0835
2903.725,530.7441,0.1152
2904.275,531.183,0.1659
2904.825,531.6257,0.139
2905.18,531.9085,0.245
2905.375,532.0607,0.197
2905.925,532.4861,0.2812
2906.17,532.6739,0.274
2906.475,532.9123,0.3296
2907.025,533.3457,0.2925
2907.575,533.7953,0.2878
2908.125,534.2646,0.2558
2908.675,534.7538,0.2147
2908.92,534.9779,0.27
2909.5,535.5422,0.1932
2909.59,535.6344,0.181
2910.325,536.3825,0.1604
2910.875,536.9482,0.1637
2911.67,537.7686,0.256
2913.99,540.0121,0.324
2914.97,540.9121,0.364
2916.62,542.3835,0.289
2918.39,544.0293,0.516
2919.37,544.9068,0.5415
2919.92,545.3979,0.3395
2921.02,546.3588,0.263
2922.78,547.8573,0.2535
2923.77,548.708,0.1255
2925.97,550.54,0.094
2927.23,551.4667,0.0445
2928.72,552.5311,0.0105
2931.59,554.363,0.0725
2932.57,555.0238,0.0785
2935.32,556.6696,0.07
2935.99,557.0236,0.0755
2939.72,558.7613,0.454
2940.38,559.078,0.456
2944.12,560.9921,0.5315
2944.79,561.3587,0.4987
2948.52,563.171,0.604
2949.19,563.4554,0.587
2953.59,565.1734,0.589
2955.12,565.7399,0.5654
2957.99,566.7612,0.519
2961.72,567.9394,0.431
2962.39,568.1428,0.4225
2966.79,569.4486,0.1185
2968.87,570.1029,0.175
2969.42,570.2885,0.121
2971.19,570.8779,0.055
2974.92,572.1307,-0.086
2975.59,572.3514,-0.0712
2979.99,573.8019,-0.2755
2981.52,574.3481,-0.23
2984.39,575.4313,-0.271
2987.02,576.4863,-0.269
2988.79,577.226,-0.2965
2992.52,578.9934,-0.2505
2993.19,579.3422,-0.2455
2996.92,581.2968,0.033
2997.59,581.6741,0.0255
2999.67,583.0346,0.1535
3001.99,584.9829,0.231
3002.97,585.9729,0.4505
3004.62,587.6423,0.643
3006.39,589.4962,0.5325
3006.82,589.967,0.6095
3007.37,590.5443,0.565
3009.02,592.1573,0.359
3010.79,594.131,-0.0385
3011.22,594.6668,-0.0515
3011.77,595.3364,-0.072
3013.42,597.32,-0.0015
3015.07,599.5286,-0.0075
3015.19,599.7177,-0.0045
3017.27,602.8548,0.199
3018.92,605.1219,0.511
3019.59,606.0631,0.5085
3021.67,608.9257,0.6585
3023.32,611.0608,0.662
3023.99,611.8712,0.541
3026.07,614.2888,0.4275
3028.27,616.8404,0.152
3028.43,617.0217,0.0775
3030.47,619.3743,-0.0165
3031.57,620.6601,-0.056
3032.79,622.1719,-0.1045
3034.32,624.0983,-0.17
3035.97,626.1569,0.252
3037.07,627.6027,0.576
3037.19,627.7621,0.595
3038.72,629.7512,1.1
3039.82,631.2738,1.122
3040.47,632.3347,1.19
3040.92,633.1636,1.072
3041.59,634.5627,0.934
3042.02,635.494,0.835
3042.67,636.8984,0.677
3043.12,637.8236,0.5459
3044.22,640.1726,0.539
3044.86,641.4732,0.4967
3045.32,642.4044,0.3955
3045.99,643.7653,0.398
3046.42,644.6349,0.36
3047.07,645.8617,0.426
3047.52,646.6465,0.4085
3048.62,648.5311,0.4785
3049.24,649.5903,0.599
3049.72,650.3893,0.571
3050.39,651.4751,0.6415
3050.82,652.1834,0.6402
3051.47,653.2634,0.7262
3051.91,654.0001,0.6585
3053.02,655.8597,0.6268
3053.66,656.8571,0.6265
3054.67,658.3603,0.429
3054.78,658.5284,0.4983
3055.86,660.2431,0.3445
3056.32,660.9979,0.2248
3057.97,663.7184,0.0495
3058.07,663.8715,0.1435
3059.18,665.577,0.0025
3059.62,666.2883,-0.0705
3060.26,667.3519,-0.0125
3061.27,669.0176,0.201
3062.47,670.883,0.039
3063.44,672.1775,0.039
3063.59,672.3714,0.091
3064.64,673.7308,0.079
3065.67,675.1308,-0.10525
3066.86,676.752,0.42
3067.99,678.2201,0.5315
3068.42,678.7538,0.4675
3069.07,679.5227,0.591
3071.17,681.8332,0.5565
3071.26,681.9379,0.635
3072.39,683.2316,0.5665
3073.47,684.2898,0.4955
3074.47,685.2798,0.348
3075.67,686.5597,0.2525
3076.78,687.7623,0.189
3077.22,688.2125,0.065
3077.86,688.8222,0.0905
3080.07,690.7592,-0.1155
3081.07,691.5837,-0.1715
3081.18,691.6717,-0.1165
3082.24,692.5015,-0.156
3084.47,694.1575,-0.178
3084.92,694.4802,-0.256
3085.59,694.9498,-0.2555
3086.66,695.6786,-0.1235
3088.86,697.1442,0.0225
3089.32,697.4357,-0.0415
3089.99,697.8561,-0.003
3091.07,698.5155,0.1405
3093.17,699.7408,0.2475
3093.26,699.792,0.325
3094.39,700.4267,0.344
3095.47,701.0006,0.483
3097.66,702.1957,0.6875
3098.12,702.4462,0.6315
3098.78,702.8046,0.7485
3099.87,703.3972,0.716
3101.42,704.2375,0.793
3102.07,704.5943,0.889
3103.18,705.2035,0.8855
3104.26,705.8018,0.8705
3104.59,705.9874,0.819
3106.54,707.1259,0.8525
3107.53,707.7067,0.8005
3108.74,708.3988,0.7305
3110.77,709.5978,0.564
3110.97,709.719,0.612
3111.93,710.3101,0.4925
3112.42,710.6256,0.4059
3113.08,711.0649,0.3735
3113.52,711.3615,0.338
3115.16,712.5208,0.1863
3115.39,712.6863,0.278
3116.34,713.3686,0.2315
3117.43,714.1778,0.227
3118.47,714.9739,0.156
3119.79,716.0079,0.2995
3120.1,716.2605,0.3063
3120.74,716.7725,0.3515
3121.77,717.5893,0.3863
3121.93,717.7256,0.5235
3122.87,718.5411,0.51
3123.96,719.5665,0.4641
3124.15,719.7408,0.3125
3125.14,720.6948,0.157
3125.62,721.2042,0.0755
3126.17,721.8199,-0.0596
3126.35,721.9933,0.0945
3128.37,723.9485,0.08
3128.54,724.106,0.1663
3129.53,725.0576,0.18
3130.74,726.2556,0.2983
3132.12,727.5535,0.2
3133.01,728.419,0.2995
3133.93,729.3123,0.2435
3134.88,730.1427,0.247
3135.14,730.366,0.2825
3137.17,732.1579,0.2836
3137.34,732.3165,0.337
3138.34,733.2263,0.343
3138.69,733.5514,0.2745
3139.53,734.371,0.332
3140.51,735.3491,0.3453
3141.76,736.8066,0.248
3142.78,738.1602,0.195
3143.93,739.7343,0.1395
3145.98,742.6531,-0.0082
3146.14,742.879,0.1705
3147.14,744.2849,0.173
3148.17,745.7483,0.105
3148.34,745.9898,0.181
3148.73,746.5442,0.1287
3150.37,748.935,0.088
3150.55,749.1981,0.205
3151.49,750.5841,0.1355
3151.53,750.6445,0.212
3152.57,752.2253,0.0805
3152.76,752.5121,0.26
3154.78,755.553,0.1525
3154.84,755.6416,0.291
3155.93,757.2266,0.2905
3157.14,758.8544,0.3345
3157.53,759.3292,0.0483
3159.24,761.4197,0.184
3159.72,762.05,0.087
3160.28,762.8115,0.0936
3160.34,762.8986,0.1555
3161.6,764.8224,0.124
3162.34,765.9481,-0.0443
3163.57,767.6611,0.029
3163.74,767.8869,0.1215
3164.74,769.2079,0.107
3165.23,769.8816,-0.0577
3165.95,770.939,0.1935
3167.43,773.2542,0.078
3168.14,774.2796,0.392
3169.14,775.6112,0.3945
3169.63,776.2453,0.1194
3170.34,777.2163,0.497
3170.6,777.5826,0.4798
3172.55,780.288,0.3365
3173.53,781.5371,0.28
3174.74,783.0383,0.151
3175.67,784.1716,0.062
3176.99,785.7494,0.0725
3177.33,786.1589,-0.0033
3177.96,786.926,0.019
3179.14,788.3285,0.138
3180.08,789.4358,-0.0333
3181.39,790.8906,0.4325
3182.34,791.9064,0.4785
3183.58,793.2628,0.529
3185.74,796.0018,0.684
3186.81,797.5666,0.6495
3187.93,799.3826,0.587
3188.87,801.0465,0.487
3190.53,804.4784,0.2045
3191.14,805.8112,0.2732
