# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1012-tab.txt
# Complete Data
# File Created: 22-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      ODP1012
# Latitude:       32.16.58N	( 32.28278)
# Longitude:      118.23.01W	( -118.3836)
# Water Depth(m): 1783
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Depth is Herbert Science 2001 version of composite depth. Isotope Data analytical
#   error is ~0.1 per mil. The Uk'37 data have an analytical precision equal to +-
#   0.15 Degrees Celsius. The age model comes from tuning benthic d18O variations
#   to the SPECMAP c
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: ODP1012
depth	calyrBP 	d18Oforams-b	sst-uk37	uk37	notes
3351	423240	3.5	17.2	0.625	1012B 4H-3 135
3361	424170	4.13	16.6	0.603	1012B 4H-3 145
3371	425100	4.63	16.5	0.6	1012B 4H-4 5
3381	426030	3.83	18	0.652	1012B 4H-4 15
3391	426960	5	18.2	0.659	1012B 4H-4 25
3401	427890	4.94	17.5	0.636	1012B 4H-4 35
3411	428810	4.88	17.7	0.641	1012B 4H-4 45
3421	430550	4.98	17.8	0.645	1012B 4H-4 55
3431	432480	4.94	17.7	0.639	1012B 4H-4 65
3441	434420	-999	16.5	0.6	1012B 4H-4 75
3451	436350	4.86	14.4	0.529	1012B 4H-4 85
3461	438290	4.69	13.5	0.498	1012B 4H-4 95
3471	440220	4.46	13.1	0.485	1012B 4H-4 105
3481	442160	4.73	13.4	0.493	1012B 4H-4 115
3491	444090	4.64	13.1	0.483	1012B 4H-4 125
3501	445770	4.64	12.6	0.466	1012B 4H-4 135
3511	447380	4.59	12.8	0.475	1012B 4H-4 145
3521	448990	4.45	12.7	0.47	1012B 4H-5 4
3531	450600	4.64	12.3	0.457	1012B 4H-5 15
3541	452210	4.55	12.7	0.47	1012B 4H-5 25
3551	453810	4.49	13.2	0.489	1012B 4H-5 35
3561	-999	4.41	13.9	0.511	1012B 4H-5 45
3571	457030	4.36	13.2	0.487	1012B 4H-5 55
3581	458640	4.34	13.1	0.486	1012B 4H-5 65
3591	460250	4.35	13.3	0.491	1012B 4H-5 75
3601	461860	4.24	14.9	0.545	1012B 4H-5 85
3611	463470	4.19	14.4	0.527	1012B 4H-5 95
3621	465080	4.04	13.8	0.509	1012B 4H-5 105
3631	466690	4.2	14.1	0.519	1012B 4H-5 115
3641	468300	4.305	14.8	0.543	1012B 4H-5 125
3651	470190	4	15	0.551	1012B 4H-5 135
3661	472120	3.96	14.2	0.523	1012B 4H-5 145
3671	474050	3.86	14.6	0.535	1012B 4H-6 5
3681	475980	3.74	15.4	0.561	1012B 4H-6 15
3691	477910	3.69	14.6	0.537	1012B 4H-6 25
3701	479840	3.6	15.4	0.564	1012B 4H-6 35
3711	481770	3.1	16.3	0.592	1012B 4H-6 45
3721	483460	3.4	16.9	0.615	1012B 4H-6 55
3731	485120	3.28	17.4	0.63	1012B 4H-6 65
3741	486780	3.43	17.4	0.63	1012B 4H-6 75
3751	488440	3.59	17.4	0.629	1012B 4H-6 85
3761	490090	3.71	17.5	0.633	1012B 4H-6 95
3771	491750	3.525	16.9	0.612	1012B 4H-6 105
3781	493410	3.79	16.5	0.599	1012B 4H-6 115
3791	495070	3.68	16.7	0.606	1012B 4H-6 125
3801	496720	3.63	16.5	0.599	1012B 4H-6 135
3811	498380	3.65	16.2	0.59	1012B 4H-6 145
3821	500040	3.75	15.9	0.578	1012B 4H-7 5
3831	501700	3.965	16.1	0.587	1012B 4H-7 15
3841	503360	3.805	16.4	0.596	1012B 4H-7 25
3851	505010	3.91	16.2	0.59	1012B 4H-7 35
3861	506670	4.02	16.6	0.605	1012B 4H-7 45
3863	-999	-999	16.259	0.592	1012A 5H-3 4
3871	508330	3.92	16.3	0.593	1012B 4H-7 55
3873	-999	4.14	-999	-999	1012A 5H-3 15
3883	-999	4.17	16.342	0.595	1012A 5H-3 25
3893	-999	3.86	-999	-999	1012A 5H-3 35
3903	-999	3.93	16.75	0.609	1012A 5H-3 45
3913	-999	3.77	-999	-999	1012A 5H-3 55
3923	-999	3.98	16.847	0.612	1012A 5H-3 65
3933	-999	3.88	-999	-999	1012A 5H-3 75
3943	-999	3.76	16.476	0.599	1012A 5H-3 85
3953	-999	3.88	-999	-999	1012A 5H-3 95
3963	-999	3.86	15.642	0.571	1012A 5H-3 105
3973	-999	3.79	-999	-999	1012A 5H-3 115
3983	-999	3.84	12.969	0.48	1012A 5H-3 125
3993	-999	3.79	14.223	0.523	1012A 5H-3 135
4022	-999	3.86	12.451	0.462	1012A 5H-4 4
4032	-999	4.12	-999	-999	1012A 5H-4 15
4042	-999	4.24	11.488	0.43	1012A 5H-4 25
4052	-999	4.24	-999	-999	1012A 5H-4 35
4062	-999	4.32	13.073	0.483	1012A 5H-4 45
4072	-999	4.27	-999	-999	1012A 5H-4 55
4082	-999	4.36	13.792	0.508	1012A 5H-4 65
4092	-999	4.23	-999	-999	1012A 5H-4 75
4102	-999	4.25	12.18	0.453	1012A 5H-4 85
4112	-999	4.18	-999	-999	1012A 5H-4 95
4122	-999	4.23	12.742	0.472	1012A 5H-4 105
4132	-999	4.1	-999	-999	1012A 5H-4 115
4142	-999	4.04	-999	-999	1012A 5H-4 125
4152	-999	4.03	12.569	0.466	1012A 5H-4 135
4162	-999	4.2	-999	-999	1012A 5H-4 145
4172	-999	3.82	13.172	0.487	1012A 5H-5 5
4182	-999	3.84	-999	-999	1012A 5H-5 15
4192	-999	3.78	14.575	0.535	1012A 5H-5 25
4202	-999	3.77	-999	-999	1012A 5H-5 35
4212	-999	3.86	15.786	0.576	1012A 5H-5 45
4222	-999	3.76	-999	-999	1012A 5H-5 55
4232	-999	4.12	15.221	0.557	1012A 5H-5 65
4242	-999	3.8	-999	-999	1012A 5H-5 75
4252	-999	3.7	16.761	0.609	1012A 5H-5 85
4262	-999	3.53	-999	-999	1012A 5H-5 95
4272	-999	3.47	16.776	0.609	1012A 5H-5 105
4282	-999	3.29	-999	-999	1012A 5H-5 115
4292	-999	3.22	18.162	0.657	1012A 5H-5 125
4302	-999	3.33	-999	-999	1012A 5H-5 135
4312	-999	3.26	17.441	0.632	1012A 5H-5 145
4322	-999	3.56	-999	-999	1012A 5H-6 5
4332	-999	4.34	17.185	0.623	1012A 5H-6 15
4352	-999	3.74	15.765	0.575	1012A 5H-6 35
4362	-999	3.9	-999	-999	1012A 5H-6 45
4372	-999	4.04	15.109	0.553	1012A 5H-6 55
4382	-999	4.03	-999	-999	1012A 5H-6 65
4392	-999	4.05	15.404	0.563	1012A 5H-6 75
4402	-999	4.02	-999	-999	1012A 5H-6 85
4412	-999	4.02	17.191	0.623	1012A 5H-6 95
4422	-999	3.925	-999	-999	1012A 5H-6 105
4432	-999	3.91	16.604	0.604	1012A 5H-6 115
4442	-999	3.77	-999	-999	1012A 5H-6 125
4452	-999	3.88	17.858	0.646	1012A 5H-6 135
4462	-999	3.65	-999	-999	1012A 5H-6 145
4472	-999	3.89	16.63	0.604	1012A 5H-7 5
4482	-999	3.78	-999	-999	1012A 5H-7 15
4492	-999	-999	17.235	0.625	1012A 5H-7 25
