# NOAA Paleoclimatology Program - Paleocean Site Data
# odp846l6-tab.txt
# Complete Data
# File Created: 31-Jan-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP846
# Latitude:       3.05.42S	( -3.095)
# Longitude:      90.49.06W	( -90.81833)
# Water Depth(m): 3296
#
# Publications:
#   Lawrence, K.T., Z. Liu and T.D. Herbert. 2006. Evolution of the Eastern Tropical
#     Pacific Through Plio-Pleistocene Glaciation. Science, 312, 79-83.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific 5 Myr Alkenone SST and Paleoproductivity Reconstruction ( ODP846 )
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             c37nmol       C37 alkenone abundance (nmol/g)
#             sst-uk37      Sea Surface Temperature from Uk'37
#
# CORE: ODP846
depth	yrBP 	c37nmol	sst-uk37	notes
3734	1035502	6.96	23.4	846D 4H-1 115-116
3744	1038094	8.04	23.4	846D 4H-1 125-126
3753	1040276	7.18	23.5	846D 4H-1 135-136
3763	1042576	6.59	23.2	846D 4H-1 145-146
3773	1044758	7.71	23.3	846D 4H-2 6-7
3783	1046814	10.42	22.5	846D 4H-2 15-16
3792	1048643	8.76	22.6	846D 4H-2 25-26
3802	1050874	7.7	21.4	846D 4H-2 35-36
3812	1053154	10.78	21.6	846D 4H-2 45-46
3822	1055442	13.16	21.3	846D 4H-2 55-56
3832	1057716	11.31	21.3	846D 4H-2 65-66
3842	1059818	8.02	22	846D 4H-2 75-76
3852	1061894	8.79	22.9	846D 4H-2 85-86
3862	1064142	8.22	23.6	846D 4H-2 95-96
3871	1066879	4.49	24.2	846D 4H-2 105-106
3881	1069946	5.21	24.3	846D 4H-2 115-116
3891	1072342	3.56	24.8	846D 4H-2 125-126
3901	1074350	3.53	25.2	846D 4H-2 135-136
3912	1076303	4.82	24.5	846D 4H-2 145-146
3921	1077879	5.14	24.3	846D 4H-3 6-7
3931	1079558	4.56	24.7	846D 4H-3 15-16
3942	1081330	4.33	24.5	846D 4H-3 25-26
3952	1082938	3.95	24.5	846D 4H-3 35-36
3962	1084540	2.97	24.4	846D 4H-3 45-46
3972	1086140	3.35	24.2	846D 4H-3 55-56
3983	1087900	3.99	23.5	846D 4H-3 65-66
3994	1089660	5.24	23.2	846D 4H-3 75-76
4005	1091461	6.27	23.2	846D 4H-3 85-86
4017	1093615	10.8	22.8	846D 4H-3 95-96
4029	1095988	10.38	22.7	846D 4H-3 105-106
4039	1098086	8.13	22.7	846D 4H-3 115-116
4048	1100003	6.61	23.1	846D 4H-3 125-126
4056	1101713	6.3	23.2	846D 4H-3 135-136
4070	1104703	4.93	24	846D 4H-4 6-7
4077	1106194	4.25	24.3	846D 4H-4 15-16
4084	1107691	3.72	24.1	846D 4H-4 25-26
4091	1109163	1.82	23.7	846D 4H-4 35-36
4100	1110980	3.93	23.1	846D 4H-4 45-46
4110	1112884	5.11	23	846D 4H-4 55-56
4120	1114684	5.45	22.8	846D 4H-4 65-66
4133	1117096	11.13	22.5	846D 4H-4 75-76
4145	1119395	21.23	22	846D 4H-4 85-86
4158	1122031	18.25	21.6	846D 4H-4 95-96
4170	1124640	12.93	22	846D 4H-4 105-106
4180	1126936	13.25	22.2	846D 4H-4 115-116
4190	1129248	18.07	22.3	846D 4H-4 125-126
4199	1131328	16.75	22.4	846D 4H-4 135-136
4209	1133646	8.61	23.2	846D 4H-4 145-146
4217	1135498	10.89	23.1	846D 4H-5 6-7
4226	1137578	10.44	22.7	846D 4H-5 15-16
4236	1139888	10.93	22.9	846D 4H-5 25-26
4246	1142198	8.4	23.2	846D 4H-5 35-36
4256	1144476	13.12	23.3	846D 4H-5 45-46
4267	1146877	10.56	23	846D 4H-5 55-56
4277	1149038	10.67	23.6	846D 4H-5 65-66
4288	1151417	8.58	24.1	846D 4H-5 75-76
4298	1153578	5.98	24	846D 4H-5 85-86
4307	1155519	5.55	24.3	846D 4H-5 95-96
4317	1157686	4.96	24.6	846D 4H-5 105-106
4326	1159738	5.49	24.8	846D 4H-5 115-116
4336	1162360	5.94	25.1	846D 4H-5 125-126
4346	1165068	5.02	25.7	846D 4H-5 135-136
4356	1167770	5.61	25.5	846D 4H-5 145-146
4361	1169276	5.27	25.8	846D 4H-6 0-1
4372	1172864	4.75	24.9	846D 4H-6 11-12
4382	1176241	5.31	24.8	846D 4H-6 20-21
4392	1179614	5.41	25.1	846D 4H-6 30-31
4402	1183257	5.97	24.4	846D 4H-6 40-41
4411	1187097	7.7	24.3	846D 4H-6 50-51
4420	1190957	8.73	24	846D 4H-6 60-61
4429	1194817	9.31	23.3	846D 4H-6 70-71
4438	1198506	8.3	22.5	846D 4H-6 80-81
4448	1202106	9.54	22.7	846D 4H-6 90-91
4458	1205423	17.18	24	846D 4H-6 100-101
4469	1209067	9.74	24	846D 4H-6 110-111
4480	1212852	11.6	23.6	846D 4H-6 120-121
4491	1217112	10.09	23.3	846D 4H-6 130-131
4502	1221646	6.91	24.8	846D 4H-6 140-141
4512	1225700	7.7	25.6	846D 4H-7 0-1
4521	1229267	7.6	25.9	846D 4H-7 11-12
4530	1232830	6.81	26.1	846D 4H-7 20-21
4539	1236327	6.07	25.6	846D 4H-7 30-31
4548	1239316	6.24	25	846D 4H-7 40-41
4558	1241718	5.59	24.6	846D 4H-7 50-51
4573	1244782	6.57	24.4	846C 5H-1 90-91
4583	1246710	8.95	23.6	846C 5H-1 100-101
4593	1248420	7.36	22.4	846C 5H-1 110-111
4597	1249104	9.15	22.5	846C 5H-1 120-121
4606	1250690	10.97	22.1	846C 5H-1 130-131
4614	1252166	7.96	22.1	846C 5H-1 140-141
4625	1254310	8.39	21.6	846C 5H-2 0-1
4637	1256770	8.02	21.9	846C 5H-2 11-12
4646	1259044	12.99	22.2	846C 5H-2 20-21
4656	1262631	9.33	22.1	846C 5H-2 30-31
4666	1266653	11.68	22.4	846C 5H-2 40-41
4686	1274229	13.79	23.7	846C 5H-2 60-61
4697	1277985	18.69	23.1	846C 5H-2 70-71
4707	1280583	10.8	23.2	846C 5H-2 80-81
4716	1282554	8.9	22.9	846C 5H-2 90-91
4726	1284580	6.66	23.2	846C 5H-2 100-101
4736	1286447	5.75	23.4	846C 5H-2 110-111
4746	1288237	4.81	23.4	846C 5H-2 120-121
4756	1290027	5.38	23.5	846C 5H-2 130-131
4766	1291811	5.88	23.6	846C 5H-2 140-141
4776	1293548	16.81	23.1	846C 5H-2 150-151
4777	1293714	7.85	23.3	846C 5H-3 0-1
4786	1295211	6.21	23.2	846C 5H-3 11-12
4796	1296870	5.74	23.1	846C 5H-3 20-21
4806	1298530	5.16	23.6	846C 5H-3 30-31
4809	1299027	6.6	23.1	846D 5H-1 30-31
4816	1300187	7.3	23.1	846D 5H-1 40-41
4823	1301346	5.91	23	846D 5H-1 50-51
4826	1301843	7.89	23.2	846C 5H-3 50-51
4834	1303168	6.59	23	846D 5H-1 60-61
4836	1303499	5.81	23.2	846C 5H-3 60-61
4846	1305158	5.58	23.2	846C 5H-3 70-71
4847	1305324	10.22	23	846D 5H-1 70-71
4856	1306818	7.97	23.3	846C 5H-3 80-81
4861	1307648	8.36	23.4	846D 5H-1 80-81
4866	1308478	10.65	23	846C 5H-3 90-91
4876	1310143	7.89	23.8	846C 5H-3 100-101
4877	1310311	8.88	23.9	846D 5H-1 90-91
4886	1311820	7.42	23.8	846C 5H-3 110-111
4889	1312373	4.68	23.8	846D 5H-1 100-101
4896	1313663	8.39	24	846C 5H-3 120-121
4899	1314213	5.16	23.8	846D 5H-1 110-111
4906	1315527	5.16	24.2	846C 5H-3 130-131
4907	1315725	5.96	24.6	846D 5H-1 120-121
4914	1317235	6.68	25.1	846D 5H-1 130-131
4916	1317693	6.69	25.1	846C 5H-3 140-141
4921	1318840	8.38	25.3	846D 5H-1 140-141
4927	1320268	6.8	24.7	846D 5H-2 0-1
4933	1321737	9.94	23.9	846D 5H-2 11-12
4940	1323447	13.23	23.6	846D 5H-2 20-21
4946	1325095	8.94	23.5	846D 5H-2 30-31
4953	1327237	9.22	23.6	846D 5H-2 40-41
4961	1329685	8.98	23.6	846D 5H-2 50-51
4971	1332736	10.25	23.5	846D 5H-2 60-61
4983	1336395	12.28	23.6	846D 5H-2 70-71
4996	1340345	18.51	23.6	846D 5H-2 80-81
5008	1343875	19.07	23.9	846D 5H-2 90-91
5019	1346752	15.68	24.2	846D 5H-2 100-101
5029	1349227	8.48	24.8	846D 5H-2 110-111
5039	1351513	4.72	25.2	846D 5H-2 120-121
5048	1353566	3.96	25.3	846D 5H-2 130-131
5058	1355854	5.83	25.4	846D 5H-2 140-141
5068	1358050	6.69	25.6	846D 5H-3 0-1
5081	1360668	8.01	26.2	846D 5H-3 11-12
5094	1363383	6.17	26.1	846D 5H-3 20-21
5107	1366283	6.1	24.3	846D 5H-3 30-31
5118	1368936	13.16	23.5	846D 5H-3 40-41
5127	1371358	13.48	23.3	846D 5H-3 50-51
5128	1371648	12.95	23.3	846D 5H-3 50-51
5135	1373673	12.22	23.2	846D 5H-3 60-61
5144	1376355	13.28	23.2	846D 5H-3 70-71
5151	1378584	6.97	23.1	846D 5H-3 80-81
5158	1380861	8.43	23.4	846D 5H-3 90-91
5166	1383401	10.98	24	846D 5H-3 100-101
5174	1386051	15.3	23.2	846D 5H-3 110-111
5182	1388880	11.08	23.2	846D 5H-3 120-121
5192	1392344	9.14	23.7	846D 5H-3 130-131
5201	1395290	7.75	23.9	846D 5H-3 140-141
5210	1397903	5.65	24.2	846D 5H-4 0-1
5221	1400657	6.6	24.2	846D 5H-4 11-12
5231	1403180	3.03	24.3	846D 5H-4 20-21
5232	1403440	2.99	24.3	846D 5H-4 20-21
5242	1406030	8.09	24	846D 5H-4 30-31
5254	1409285	10.61	23.8	846D 5H-4 40-41
5266	1413085	10.52	23.8	846D 5H-4 50-51
5278	1416943	11.27	24.2	846D 5H-4 60-61
5288	1420168	12.18	24	846D 5H-4 70-71
5298	1423605	7.16	23.9	846D 5H-4 80-81
5306	1426681	8.32	24	846D 5H-4 90-91
5314	1429755	8.67	24.5	846D 5H-4 100-101
5322	1432837	7.58	24.7	846D 5H-4 110-111
5331	1436080	6.12	24.6	846D 5H-4 120-121
5340	1438681	5.36	24.6	846D 5H-4 130-131
5350	1441148	3.54	24.9	846D 5H-4 140-141
5360	1443609	3.26	25	846D 5H-5 0-1
5370	1446136	2.98	25.8	846D 5H-5 11-12
5381	1449178	5.39	25.6	846D 5H-5 20-21
5391	1451957	9.22	24	846D 5H-5 30-31
5401	1455167	12.29	23.5	846D 5H-5 40-41
5410	1458517	9.14	24.3	846D 5H-5 50-51
5419	1461827	18.09	23.8	846D 5H-5 60-61
5429	1465153	14.52	24.1	846D 5H-5 70-71
5440	1468034	11.08	24.2	846D 5H-5 80-81
5450	1470434	7.49	23.9	846D 5H-5 90-91
5461	1473128	7.72	24.1	846D 5H-5 100-101
5471	1475591	6.97	24.4	846D 5H-5 110-111
5481	1478058	6.25	25	846D 5H-5 120-121
5491	1480650	6.2	25.3	846D 5H-5 130-131
5500	1483398	5.53	25.2	846D 5H-5 140-141
5510	1486974	5.69	25	846D 5H-6 0-1
5520	1491164	12.02	22.9	846D 5H-6 11-12
5531	1496556	13.97	22.8	846D 5H-6 20-21
5541	1502624	9.11	23.1	846D 5H-6 30-31
5552	1508754	14.98	22.8	846D 5H-6 40-41
5562	1513340	6.01	23.8	846D 5H-6 50-51
5571	1517312	5.69	23.7	846D 5H-6 60-61
5581	1521283	7.73	23.9	846D 5H-6 70-71
5591	1525058	8.73	23.4	846D 5H-6 80-81
5601	1528753	11.9	22.6	846D 5H-6 90-91
5610	1532065	13.12	22.2	846D 5H-6 100-101
5620	1535718	16.75	22.1	846D 5H-6 110-111
5630	1539377	18.21	22.5	846D 5H-6 120-121
5639	1542590	20.03	22.9	846D 5H-6 130-131
5650	1546190	19.99	22.9	846D 5H-6 140-141
5662	1549643	11.58	23.4	846D 5H-7 0-1
5674	1552782	16.33	23.6	846D 5H-7 11-12
5687	1555823	20.15	23.7	846D 5H-7 20-21
5701	1559101	14.8	24.1	846D 5H-7 30-31
5715	1562373	10.03	24.2	846D 5H-7 40-41
5716	1562607	10.16	24.1	846D 6H-1 11-12
5727	1565383	12.23	23.7	846D 6H-1 20-21
5728	1565683	10.08	23.7	846D 5H-7 50-51
5740	1569536	10.46	23.7	846D 6H-1 30-31
5741	1569897	11.18	23.5	846D 6H-1 30-31
5746	1571706	18.31	23.1	846D 6H-1 40-41
5751	1573582	31.64	23.1	846B 6H-5 0-1
5752	1573966	15.62	23.1	846D 6H-1 50-51
5761	1577427	23.21	23.1	846D 6H-1 60-61
5768	1580120	25.47	23	846D 6H-1 70-71
5771	1581290	19.54	23.5	846B 6H-5 20-21
5779	1584421	11.64	23.7	846D 6H-1 80-81
5781	1585204	13.44	24	846B 6H-5 30-31
5791	1589119	12.71	23.4	846B 6H-5 40-41
5800	1592548	15.37	23.4	846D 6H-1 90-91
5801	1592916	21.26	23.5	846B 6H-5 50-51
5811	1596603	19.02	23.4	846B 6H-5 60-61
5812	1596974	21.78	23.3	846D 6H-1 100-101
5821	1600310	17.26	23.3	846B 6H-5 70-71
5822	1600680	22.34	23.1	846D 6H-1 110-111
5824	1601420	16.77	23.1	846D 6H-1 120-121
5828	1602830	13.79	23.2	846D 6H-1 130-131
5831	1603710	9.45	23.6	846B 6H-5 80-81
5833	1604306	10.55	23.6	846D 6H-1 140-141
5834	1604604	11.32	23.5	846D 6H-2 0-1
5839	1606088	15.74	23.5	846D 6H-2 11-12
5841	1606684	10.63	23.7	846B 6H-5 90-91
5846	1608168	17.88	23.7	846D 6H-2 20-21
5851	1609648	16.9	23.9	846B 6H-5 100-101
5859	1612030	14.13	23.7	846D 6H-2 30-31
5861	1612621	14.16	24	846B 6H-5 110-111
5871	1615584	10.29	24	846B 6H-5 120-121
5881	1618558	14.78	23.8	846B 6H-5 130-131
5882	1618854	12.52	23.6	846D 6H-2 40-41
5891	1621520	14.78	23.7	846B 6H-5 140-141
5900	1624227	16.48	23.2	846D 6H-2 50-51
5910	1627500	14.23	23.2	846D 6H-2 60-61
5917	1630090	11.06	23.9	846D 6H-2 70-71
5923	1632363	19.49	23.5	846D 6H-2 80-81
5927	1633932	32.75	22.6	846D 6H-2 90-91
5932	1635905	42.18	22.1	846D 6H-2 100-101
5938	1638270	50.92	21.7	846D 6H-2 110-111
5945	1641027	60.42	21.7	846D 6H-2 120-121
5956	1645302	55.4	21.6	846D 6H-2 130-131
5973	1651553	46.74	21.7	846D 6H-2 140-141
6001	1660713	50.6	21.7	846D 6H-3 0-1
6032	1668154	44.93	22	846D 6H-3 11-12
6040	1670008	48.99	21.3	846D 6H-3 20-21
6043	1670733	36.84	21.5	846D 6H-3 30-31
6044	1670980	56.54	21.6	846D 6H-3 35-36
6046	1671480	50.06	21.7	846D 6H-3 45-46
6049	1672230	48.51	21.9	846D 6H-3 50-51
6052	1672980	44.58	21.9	846D 6H-3 60-61
6055	1673730	28.92	22.6	846D 6H-3 70-71
6060	1674978	21.96	22.6	846D 6H-3 80-81
6078	1679429	16.08	23.3	846D 6H-3 90-91
6123	1690286	10.67	24.3	846D 6H-3 100-101
6131	1692900	9.7	24	846D 6H-3 110-111
6134	1693977	13.02	23.8	846D 6H-3 120-121
6136	1694690	19.97	22.7	846D 6H-3 130-131
6139	1695902	23.87	22.3	846D 6H-3 140-141
6141	1696706	24.4	22.1	846D 6H-4 0-1
6146	1698823	28.54	22.2	846D 6H-4 11-12
6150	1700683	28.35	22.6	846D 6H-4 20-21
6157	1704069	23.18	22.7	846D 6H-4 30-31
6170	1710308	20.78	22.8	846D 6H-4 40-41
6195	1720755	16.3	22.7	846D 6H-4 50-51
6212	1726619	12.82	23.5	846D 6H-4 60-61
6219	1728430	13.16	23.2	846D 6H-4 70-71
6225	1729793	13.45	23	846D 6H-4 80-81
6229	1730700	16.35	23.1	846D 6H-4 90-91
6235	1732061	15.33	23.3	846D 6H-4 100-101
6251	1735691	12.67	23.7	846D 6H-4 110-111
6273	1740925	16.45	23.8	846D 6H-4 120-121
6286	1745135	19.13	23.9	846D 6H-4 130-131
6294	1748188	19.93	23.9	846D 6H-4 140-141
6298	1749776	21.52	23.7	846D 6H-5 0-1
6306	1752916	22.27	23.6	846D 6H-5 10-11
6311	1754755	20.73	23.4	846D 6H-5 20-21
6317	1756794	31.84	23.1	846D 6H-5 30-31
6325	1759084	39.46	22.7	846D 6H-5 40-41
6335	1761310	27.96	23	846D 6H-5 50-51
6341	1762570	25	23.3	846B 7H-1 73-74
6347	1763821	15.78	23.8	846D 6H-5 60-61
6350.8	1764609	16.29	23.7	846B 7H-1 83-84
6360.6	1766640	11.98	24.2	846B 7H-1 93-94
6361	1766723	13.19	23.8	846D 6H-5 70-71
6370.5	1768693	10.68	24.6	846B 7H-1 103-104
6373	1769210	11.49	24.4	846D 6H-5 80-81
6380.3	1770719	9.35	24.6	846B 7H-1 113-114
6385	1771689	11.96	24.1	846D 6H-5 90-91
6392.1	1773155	8.47	24.9	846B 7H-1 123-124
6399	1774658	8.38	24.5	846D 6H-5 100-101
6400.7	1775053	8.77	24.6	846B 7H-1 133-134
6411	1777527	8.43	24.1	846D 6H-5 110-111
6413	1778046	10.56	24.1	846B 7H-1 143-144
6422	1780377	9.81	23.7	846D 6H-5 120-121
6425.8	1781360	25.93	23.3	846B 7H-2 3-4
6431	1782706	19.3	23.1	846D 6H-5 130-131
6436.7	1784194	25.61	23	846B 7H-2 13-14
6438	1784541	30.12	22.7	846D 6H-5 140-141
6445	1786578	32.1	22.7	846D 6H-6 0-1
6451.7	1788738	29.51	22.9	846B 7H-2 23-24
6457	1790500	36.57	22.4	846D 6H-6 11-12
6463	1792540	35.73	22.7	846B 7H-2 33-34
6468	1794278	13.48	23.3	846D 6H-6 20-21
6474	1796395	19.37	23.2	846B 7H-2 43-44
6479	1797298	31.37	22.6	846D 6H-6 30-31
6484	1797628	36.35	22.4	846B 7H-2 53-54
6488	1798044	33.56	22.6	846D 6H-6 40-41
6494	1798896	31.96	22.8	846B 7H-2 63-64
6497	1799322	32.09	22.6	846D 6H-6 50-51
6506	1800597	32.25	22.8	846B 7H-2 73-74
6507	1800738	22.71	23	846D 6H-6 60-61
6508	1800880	22.47	23	846D 6H-6 60-61
6514	1801728	33.37	23.1	846B 7H-2 83-84
6516	1802010	24.16	23.9	846D 6H-6 70-71
6523	1802998	27.01	24.1	846B 7H-2 93-94
6526	1803422	26.48	24.1	846D 6H-6 80-81
6533	1804416	29.58	23.5	846B 7H-2 103-104
6536	1804842	25.08	24.2	846D 6H-6 90-91
6542	1805696	24.5	24.3	846B 7H-2 113-114
6545	1806121	25.43	24.2	846D 6H-6 100-101
6552	1807108	26.14	24.4	846B 7H-2 123-124
6555	1807532	20.96	24.4	846D 6H-6 110-111
6563	1808666	22.91	24.4	846B 7H-2 133-134
6565	1808950	16.91	24.6	846D 6H-6 120-121
6573	1810086	19.01	24.5	846B 7H-2 143-144
6575	1810370	17.72	24.4	846D 6H-6 130-131
6583	1811551	20.68	24.1	846B 7H-3 3-4
6585	1811846	19.36	24	846D 6H-6 140-141
6594	1813175	17.44	24.3	846B 7H-3 13-14
6595	1813322	24.4	23.3	846D 6H-7 0-1
6604	1814710	22.22	23.9	846B 7H-3 23-24
6606	1815020	26.86	23.5	846D 6H-7 10-11
6614	1816252	22.27	23.5	846B 7H-3 33-34
6615	1816406	31.49	23.4	846D 6H-7 20-21
6623	1817649	29.13	23.4	846B 7H-3 43-44
6625	1817960	24.59	23.5	846D 6H-7 30-31
6626	1818114	24.16	23.5	846D 6H-7 30-31
6633	1819192	22.45	23.7	846B 7H-3 53-54
6635	1819500	25.24	23.8	846D 6H-7 40-41
6643	1820740	22.01	24	846B 7H-3 63-64
6645	1821050	26.73	23.9	846D 6H-7 50-51
6652	1822132	24.54	23.9	846B 7H-3 73-74
6654	1822441	23.93	23.7	846D 6H-7 60-61
6662	1823677	21.72	23.9	846B 7H-3 83-84
6672	1825221	22.01	24.1	846B 7H-3 93-94
6682	1826766	20.54	24.3	846B 7H-3 103-104
6692	1828311	25.86	24	846B 7H-3 113-114
6702	1829856	28.43	24	846B 7H-3 123-124
6712	1831401	28.77	23.6	846B 7H-3 133-134
6722	1832926	28.79	23.7	846B 7H-3 143-144
6732	1834438	28.28	23.3	846B 7H-4 3-4
6742	1835952	26.97	23.7	846B 7H-4 13-14
6745	1836407	21.19	23.9	846D 7H-1 43-44
6751	1837318	28.31	23.7	846B 7H-4 23-24
6762	1838977	23.19	23.9	846B 7H-4 33-34
6767.5	1839809	22.04	24.2	846D 7H-1 53-54
6772	1840489	19.84	24	846B 7H-4 43-44
6782	1842005	21.68	23.9	846B 7H-4 53-54
6783	1842157	20.15	24.1	846D 7H-1 63-64
6792	1843524	21.31	24.2	846B 7H-4 63-64
6793	1843676	22.86	24.1	846D 7H-1 73-74
6803	1845192	18.14	24.3	846D 7H-1 83-84
6813	1846707	20.77	24.1	846D 7H-1 93-94
6823	1848122	21.01	24.2	846D 7H-1 103-104
6833	1849408	23.25	24	846D 7H-1 113-114
6843	1850508	20.3	24	846D 7H-1 123-124
6853	1851528	19.31	24.1	846D 7H-1 133-134
6863	1852538	15.88	24.3	846D 7H-1 143-144
6873	1853588	18.52	24.3	846D 7H-2 3-4
6883	1854648	17.68	24.4	846D 7H-2 13-14
6893	1855708	17.81	24.2	846D 7H-2 23-24
6903	1856768	18.43	24	846D 7H-2 33-34
6913	1857828	16.77	23.9	846D 7H-2 43-44
6923	1858968	19.67	23.4	846D 7H-2 53-54
6933	1860264	22.58	23.4	846D 7H-2 63-64
6943	1861738	25.6	23.4	846D 7H-2 73-74
6953	1863304	22.84	23.3	846D 7H-2 83-84
6963	1864892	37.14	23.7	846D 7H-2 93-94
6973	1866482	35.62	23.6	846D 7H-2 103-104
6983	1868072	19.53	24	846D 7H-2 113-114
6993	1869654	21.51	24.3	846D 7H-2 123-124
7002	1871083	19	24.2	846B 7H-4 73-74
7003	1871242	22.98	24.4	846D 7H-2 133-134
7013	1872832	19.2	24.1	846D 7H-2 143-144
7023	1874462	14.36	23.7	846D 7H-3 3-4
7033	1876206	22.92	23.7	846D 7H-3 13-14
7043	1877968	18.56	24.3	846D 7H-3 23-24
7053	1879872	20.63	24	846D 7H-3 33-34
7063	1881700	19.13	24.1	846D 7H-3 43-44
7073	1883492	19.58	24	846D 7H-3 53-54
7083	1885282	11.86	24.2	846D 7H-3 63-64
7093	1887072	15.61	24	846D 7H-3 73-74
7103	1888854	11.26	24.3	846D 7H-3 83-84
7113	1890650	10.51	24.2	846D 7H-3 93-94
7123	1892538	10.21	24.6	846D 7H-3 103-104
7133	1894448	13.59	24.6	846D 7H-3 113-114
7143	1896358	18.25	24.1	846D 7H-3 123-124
7153	1898260	24.1	23.1	846D 7H-3 133-134
7163	1900504	22.54	23.5	846D 7H-3 143-144
7173	1902874	20.14	23.1	846D 7H-4 3-4
7183	1905262	14.67	23.8	846D 7H-4 13-14
7193	1907644	15.7	24.1	846D 7H-4 23-24
7203	1909976	24.05	24.2	846D 7H-4 33-34
7213	1912298	26.74	23.6	846D 7H-4 43-44
7223	1914625	25.88	23.2	846D 7H-4 53-54
7233	1916946	17.64	23.3	846D 7H-4 63-64
7243	1919098	20.69	23.8	846D 7H-4 73-74
7253	1921000	18.25	23.8	846D 7H-4 83-84
7263	1922898	20.32	24.1	846D 7H-4 93-94
7273	1924832	24.13	24.2	846D 7H-4 103-104
7283	1926764	18.56	24.4	846D 7H-4 113-114
7293	1928697	18.15	24	846D 7H-4 123-124
7303	1930630	15.45	24.5	846D 7H-4 133-134
7313	1932563	19.41	24.4	846D 7H-4 143-144
7323	1934358	19.31	24.4	846D 7H-4 3-4
7333	1936454	14.72	24.2	846D 7H-5 13-14
7343	1938954	18.36	24.1	846D 7H-5 23-24
7353	1941534	19.9	23.1	846D 7H-5 33-34
7363	1944114	20.04	23.2	846D 7H-5 43-44
7373	1946806	18.7	22.7	846D 7H-5 53-54
7383	1949550	16.29	23.2	846D 7H-5 63-64
7393	1952300	21.25	23.9	846D 7H-5 73-74
7403	1955138	20.88	23.9	846D 7H-5 83-84
7413	1958310	16.24	23.8	846D 7H-5 93-94
7423	1961432	18.53	24	846D 7H-5 103-104
7433	1964482	23.99	24.5	846D 7H-5 113-114
7443	1967530	22.65	23.8	846D 7H-5 123-124
7453	1970356	19.99	24.2	846D 7H-5 133-134
7463	1972614	21.19	24.7	846D 7H-5 143-144
7473	1974600	17.11	25.2	846D 7H-6 3-4
7483	1976550	15.76	25.5	846D 7H-6 13-14
7493	1978508	15.89	24.7	846D 7H-6 23-24
7503	1980468	20.99	24.9	846D 7H-6 33-34
7513	1982364	19.78	25	846D 7H-6 43-44
7523	1984244	25.21	25.1	846D 7H-6 53-54
7533	1986124	21.59	24.6	846D 7H-6 63-64
7543	1988012	19.63	25.2	846D 7H-6 73-74
7553	1989894	21.26	25.2	846D 7H-6 83-84
7563	1991774	25.94	25.2	846D 7H-6 93-94
7573	1993662	18.93	25.4	846D 7H-6 103-104
7583	1995544	19.98	25.4	846D 7H-6 113-114
7592	1997236	12.5	25	846B 8H-2 23-24
7593	1997424	20.98	25.2	846D 7H-6 123-124
7602	1999144	12.12	24.6	846B 8H-2 33-34
7603	1999336	19.09	25.2	846D 7H-6 133-134
7612	2001127	13.56	24.5	846B 8H-2 43-44
7612.6	2001248	15.85	24.4	846D 7H-6 143-144
7620	2002737	15.56	24.4	846D 7H-7 3-4
7622	2003140	13.34	24.4	846B 8H-2 53-54
7625	2003788	15.8	24.2	846D 7H-7 13-14
7631	2005140	12.3	24.3	846D 7H-7 23-24
7632	2005370	13.7	24	846B 8H-2 63-64
7636.5	2006399	14.32	24	846D 7H-7 33-34
7642	2007672	11.11	24.4	846B 8H-2 73-74
7642.3	2007742	11.6	24.6	846D 7H-7 43-44
7651.7	2010333	10.46	24.4	846B 8H-2 83-84
7662.3	2013360	9.77	24.3	846B 8H-2 93-94
7673.7	2016276	9.22	24.3	846B 8H-2 103-104
7683	2018447	11.9	24.2	846B 8H-2 113-114
7693	2020716	13.31	24.1	846B 8H-2 123-124
7704	2023207	13.35	23.9	846B 8H-2 133-134
7715	2025706	14.22	23.9	846B 8H-2 143-144
7725	2027968	15.44	23.7	846B 8H-3 3-4
7733	2029785	16.05	23.5	846B 8H-3 13-14
7743	2032053	17.8	23.8	846B 8H-3 23-24
7753	2034326	17.81	23.5	846B 8H-3 33-34
7763	2036596	20.42	22.2	846B 8H-3 43-44
7773	2038858	20.91	21.9	846B 8H-3 53-54
7783	2041126	21.16	21.7	846B 8H-3 63-64
7795	2043813	20.07	21.7	846B 8H-3 73-74
7804	2045940	26.24	21.1	846B 8H-3 83-84
7813	2048092	31.49	21.3	846B 8H-3 93-94
7824	2050722	31.98	21	846B 8H-3 103-104
7834	2053112	28.65	21.2	846B 8H-3 113-114
7843	2055651	34.34	22	846B 8H-3 123-124
7853	2058632	50.17	21.5	846B 8H-3 133-134
7861	2061023	33.48	21.6	846B 8H-3 143-144
7869.7	2063652	35.21	21.7	846D 8H-1 23-24
7873	2064669	48.52	21.2	846B 8H-4 3-4
7878	2066263	50.63	21.7	846D 8H-1 33-34
7883	2067870	43.29	21.5	846B 8H-4 13-14
7887	2069163	78.92	21.1	846D 8H-1 43-44
7893	2071102	44.43	21.8	846B 8H-4 23-24
7897	2072394	67.07	21.4	846D 8H-1 53-54
7903	2074332	47.34	21.1	846B 8H-4 33-34
7909.5	2076432	49.66	21.8	846D 8H-1 63-64
