# NOAA Paleoclimatology Program - Paleocean Site Data
# u938-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Philip P.E. Weaver
# Core/Site:      U938
# Latitude:       45.04.30S	( -45.075)
# Longitude:      179.29.54E	( 179.4983)
# Water Depth(m): 2700
#
# Publications:
#   Weaver, P.P.E., L. Carter, and H.L. Neil. 1998. Response of surface water masses
#     and circulation to late Quaternary climate change east of New Zealand. Paleoceanography
#     13(1):70-83.
#------------------
#
# Description & Notes:
#   Late Quaternary SW Pacific Foraminifer Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             commun        Communality
#             d13Cuvige     delta C13 PDB (Uvigerina sp.)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             d18Ouvige     delta O18 PDB (Uvigerina sp.)
#             forams-b      Benthic Foraminifers (Count)
#             foramsfrag    Foraminifers Fragments
#             frag%         Fragments percent
#             g.aequi       Globigerinella aequilateralis (Count)
#             g.bull        Globigerina bulloides (Count)
#             g.calid       Globigerina calida (Count)
#             g.cavern      Globorotalia cavernula (Count)
#             g.congl       Globigerinoides conglobatus (Count)
#             g.crass       Globorotalia crassaformis (Count)
#             g.crsula      Globorotalia crassula (Count)
#             g.digit       Globigerina digitata (Count)
#             g.duter       Globoquadrina dutertrei (Count)
#             g.falco       Globigerina falconensis (Count)
#             g.glut        Globigerinita glutinata (Count)
#             g.hirsu       Globorotalia hirsuta (Count)
#             g.infla       Globorotalia inflata (Count)
#             g.menar       Globorotalia menardii (Count)
#             g.pachy-l     Globigerina pachyderma (left coiling) (Count)
#             g.pachy-r     Globigerina pachyderma (right coiling) (Count)
#             g.quinq       Globigerina quinquiloba (Count)
#             g.rub-p       Globigerinoides ruber (pink) (Count)
#             g.rub-w       Globigerinoides ruber (white) (Count)
#             g.rubes       Globigerina rubescens (Count)
#             g.sac-ns      Globigerinoides sacculifer (no sac) (Count)
#             g.sac-ws      Globigerinoides sacculifer (with sac) (Count)
#             g.scit        Globorotalia scitula (Count)
#             g.tenn        Globigerinoides tenellus (Count)
#             g.trc-l       Globorotalia truncatulinoides (left coiling) (Count)
#             g.trc-r       Globorotalia truncatulinoides (right coiling) (Count)
#             g.tumi        Globorotalia tumida (Count)
#             gyrmar        Gyre margin foraminifer assemblage
#             o.univer      Orbulina universa (Count)
#             otherfor      Unidentified planktonic foraminifers (Count)
#             p.obliq       Pulleniatina obliquiloculata (Count)
#             pd            Globigerina pachyderma x Globoquadrina dutertrei intergrade (Count)
#             plank         Planktonic foraminifers (Count)
#             polar         Polar foraminifer assemblage
#             s.dehisc      Sphaeroidinella dehiscens (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             subpolar      Subpolar foraminifer assemblage
#             trans         Transitional foraminifer assemblage
#             trop/sub      Tropical/Subtropical foraminifer assemblage
#             upwell        Upwelling foraminifer assemblage
#             d13Cg.bull    delta C13 PDB (Globigerina bulloides)
#
# CORE: U938
depth	yrBP 	carb%	commun	d13Cuvige	d18Og.bull	d18Ouvige	forams-b	foramsfrag	frag%	g.aequi	g.bull	g.calid	g.cavern	g.congl	g.crass	g.crsula	g.digit	g.duter	g.falco	g.glut	g.hirsu	g.infla	g.menar	g.pachy-l	g.pachy-r	g.quinq	g.rub-p	g.rub-w	g.rubes	g.sac-ns	g.sac-ws	g.scit	g.tenn	g.trc-l	g.trc-r	g.tumi	gyrmar	o.univer	otherfor	p.obliq	pd	plank	polar	s.dehisc	sst-aug	sst-feb	subpolar	trans	trop/sub	upwell	d13Cg.bull	
136	-999	-999	-999	-0.59	3.14	4.69	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.72	
139	-999	14.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
140	25630	-999	0.994	-999	-999	-999	29	230	8.6	0	54	0	0	0	0	1	0	0	0	14	0	17	0	177	8	23	0	0	0	0	0	0	0	10	0	0	0.014	0	0	0	1	305	0.961	0	3.939	7.277	-0.197	0.095	-0.008	0.146	-999	
146	-999	-999	-999	-0.68	2.93	4.56	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.39	
149	-999	19.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
150	28660	-999	0.983	-999	-999	-999	19	190	7.1	0	73	0	0	0	0	0	0	0	0	7	0	10	0	182	2	16	0	0	0	0	0	1	0	18	0	0	0.023	0	0	0	0	309	0.931	0	3.12	6.469	-0.228	0.068	-0.016	0.24	-999	
155	-999	-999	-999	-999	3.09	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.93	
159	-999	25.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
160	31690	-999	0.973	-999	-999	-999	15	190	6.1	0	103	0	0	0	0	3	0	0	0	10	0	29	0	163	8	39	0	0	0	0	0	0	0	9	0	0	0.04	0	0	0	0	364	0.855	0	4.119	7.106	-0.351	0.144	-0.021	0.309	-999	
169	-999	18.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
170	34720	-999	0.933	-999	-999	-999	37	230	7.4	0	115	0	0	0	0	0	0	0	0	10	0	37	0	136	10	15	0	0	0	0	0	0	0	36	0	0	0.05	0	0	0	0	359	0.752	0	4.328	6.874	-0.402	0.218	-0.02	0.393	-999	
175	-999	-999	-999	-0.71	3.1	4.73	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.85	
179	-999	23	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
180	37750	-999	0.994	-999	-999	-999	28	200	6.4	0	52	0	0	0	0	0	0	0	0	8	0	31	0	229	3	27	0	0	0	0	0	0	0	15	1	0	0.013	0	0	0	0	366	0.976	0	2.831	5.986	-0.115	0.13	-0.014	0.108	-999	
185	-999	-999	-999	-0.65	3.41	4.57	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.76	
189	-999	31.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
190	40780	-999	0.997	-999	-999	-999	14	120	3.8	0	60	0	0	0	1	0	0	0	0	11	0	19	0	235	9	37	0	0	0	0	0	0	0	7	0	0	0.012	0	0	0	1	380	0.973	0	3.364	6.961	-0.169	0.078	-0.013	0.125	-999	
195	-999	-999	-999	-999	3.18	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.83	
199	-999	31.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
200	43810	-999	0.988	-999	-999	-999	22	170	5.1	0	84	0	0	0	5	0	0	0	0	15	0	17	0	194	15	43	0	0	0	0	0	1	0	21	0	0	0.022	0	0	0	0	395	0.92	0	4.343	7.408	-0.287	0.09	-0.011	0.224	-999	
205	-999	-999	-999	-0.72	3.16	4.32	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.74	
209	-999	31.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
210	46840	-999	0.981	-999	-999	-999	14	90	2.4	0	89	0	0	0	2	0	0	0	0	10	0	5	0	232	56	52	0	0	0	0	0	0	0	4	1	0	0.008	0	0	0	4	455	0.915	0	4.922	8.305	-0.35	0.047	-0.018	0.135	-999	
215	-999	-999	-999	-0.34	2.14	4.27	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.77	
219	-999	37.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
220	49870	-999	0.876	-999	-999	-999	5	60	1.9	0	78	0	0	0	3	0	0	0	0	16	0	14	0	118	93	50	0	0	0	0	0	0	0	9	0	0	0.002	0	0	0	2	383	0.706	0	6.289	9.885	-0.593	0.129	-0.012	0.093	-999	
225	-999	-999	-999	-0.36	2.96	4.16	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.6	
229	-999	44.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
230	52900	-999	0.893	-999	-999	-999	11	60	1.8	0	95	0	0	0	3	0	0	3	0	13	0	13	0	127	93	48	0	0	0	0	0	1	0	9	1	0	0.016	0	0	0	3	409	0.71	0	5.872	10.093	-0.596	0.121	-0.017	0.134	-999	
235	-999	-999	-999	-0.92	3.04	4.47	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.54	
239	-999	40.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
240	55930	-999	0.84	-999	-999	-999	14	64	2.2	0	100	0	0	0	0	0	0	0	0	7	0	11	0	63	110	40	0	0	0	0	0	0	0	7	0	0	0.011	0	0	0	19	357	0.423	0	5.017	9.588	-0.789	0.15	-0.026	0.13	-999	
245	-999	-999	-999	-0.84	3.16	4.49	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.43	
249	-999	32	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
250	58960	-999	0.842	-999	-999	-999	6	65	2.3	0	90	0	0	0	3	0	0	0	0	12	0	10	0	65	100	41	0	0	0	0	0	0	0	4	1	0	0.008	0	0	0	12	338	0.469	0	5.315	9.844	-0.767	0.139	-0.018	0.117	-999	
255	-999	-999	-999	-0.83	2.76	0.65	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.56	
259	-999	12.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
260	61950	-999	0.973	-999	-999	-999	41	180	6.8	0	34	0	0	0	0	0	0	0	0	1	0	19	0	223	1	1	0	0	0	0	0	0	0	28	0	0	0.005	0	0	0	0	307	0.976	0	1.809	5.129	-0.049	0.102	-0.015	0.083	-999	
265	-999	-999	-999	-1.1	2.8	4.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.36	
269	-999	11.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
270	64940	-999	0.982	-999	-999	-999	48	320	9.2	0	59	0	0	0	0	0	0	0	0	2	0	55	0	262	7	5	0	0	0	0	0	0	0	4	1	0	0.017	0	0	0	0	395	0.964	0	2.249	5.452	-0.087	0.196	-0.022	0.075	-999	
279	-999	17.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
280	67930	-999	0.985	-999	-999	-999	36	184	6.3	0	20	0	0	0	0	0	0	0	0	3	0	10	0	285	15	6	0	0	0	0	0	0	0	1	0	0	-0.005	0	0	0	0	340	0.991	0	2.089	6.344	-0.034	0.044	-0.014	-0.006	-999	
285	-999	-999	-999	-999	3.35	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.48	
289	-999	25.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
290	70920	-999	0.987	-999	-999	-999	20	100	3.7	0	40	0	0	0	0	0	0	0	0	1	0	8	0	240	19	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	322	0.986	0	2.583	6.52	-0.102	0.049	-0.018	0.045	-999	
295	-999	-999	-999	-999	3.36	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.98	
299	-999	49.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
300	73910	-999	0.952	-999	-999	-999	14	105	3.4	0	72	0	0	0	0	0	0	0	0	7	0	11	0	183	69	18	0	0	0	0	0	0	0	5	0	0	0.001	0	0	0	7	372	0.892	0	5.631	8.879	-0.378	0.099	-0.02	0.057	-999	
305	-999	-999	-999	-999	3.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.94	
309	-999	60.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
310	79590	-999	0.872	-999	-999	-999	17	100	2.9	0	126	0	1	0	0	0	0	1	0	19	0	38	0	85	109	20	0	0	0	0	0	0	0	11	1	0	0.027	0	0	0	13	424	0.484	0	6.311	10.687	-0.734	0.261	-0.018	0.172	-999	
315	-999	-999	-999	-999	2.79	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.03	
319	-999	68.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
320	85270	-999	0.938	-999	-999	-999	4	43	1.5	0	107	0	0	0	0	0	0	0	0	9	0	23	0	108	50	39	0	0	0	0	0	0	0	16	0	0	0.035	0	0	0	5	357	0.685	0	5.471	8.409	-0.586	0.174	-0.024	0.305	-999	
325	-999	-999	-999	-0.43	2.94	3.86	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.11	
329	-999	64.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
330	90950	-999	0.921	-999	-999	-999	6	23	0.9	0	135	0	0	0	0	0	0	0	0	11	0	21	0	91	10	26	0	0	0	0	0	0	0	7	0	0	0.064	0	0	0	0	301	0.592	0	4.079	8.105	-0.548	0.134	-0.024	0.498	-999	
335	-999	-999	-999	-0.26	2.92	4.36	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.03	
339	-999	76.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
340	95910	-999	0.897	-999	-999	-999	6	35	1.2	0	172	0	0	0	0	0	0	0	0	29	0	37	0	47	14	51	0	0	0	0	0	0	0	22	1	0	0.074	0	0	0	1	374	0.313	0	6.207	10.684	-0.658	0.185	-0.008	0.571	-999	
345	-999	-999	-999	-0.18	2.26	3.48	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.7	
349	-999	77.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
350	100870	-999	0.905	-999	-999	-999	5	20	0.7	0	135	1	0	0	0	0	0	0	0	19	0	34	0	52	25	41	0	0	0	0	0	1	0	22	1	0	0.066	0	0	0	2	333	0.393	0	5.842	9.94	-0.661	0.221	-0.013	0.511	-999	
355	-999	-999	-999	-0.32	2.83	3.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.65	
359	-999	70.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
360	105830	-999	0.826	-999	-999	-999	5	45	1.2	0	133	0	0	0	5	0	0	0	1	41	0	33	0	65	37	108	0	0	0	0	0	3	0	18	0	0	0.048	0	0	0	3	447	0.424	0	5.833	10.662	-0.668	0.157	0.008	0.416	-999	
365	-999	-999	-999	-0.26	2.68	4.33	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.97	
369	-999	61.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
370	110790	-999	0.899	-999	-999	-999	4	19	0.7	0	102	0	0	0	7	0	0	0	0	9	0	32	0	103	7	65	0	0	0	0	0	0	0	8	0	0	0.06	0	0	0	0	333	0.663	0	4.079	8.103	-0.489	0.168	-0.025	0.432	-999	
375	-999	-999	-999	0.03	2.57	3.63	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.08	
379	-999	73.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
380	114150	-999	0.921	-999	-999	-999	4	30	1	0	118	0	0	0	1	0	0	0	0	12	0	26	0	115	12	66	0	0	0	0	0	0	0	10	0	0	0.053	0	0	0	0	360	0.68	0	4.218	7.934	-0.505	0.134	-0.022	0.427	-999	
385	-999	-999	-999	-0.15	2.49	3.88	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.81	
389	-999	76.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
390	117520	-999	0.882	-999	-999	-999	7	40	1	0	174	0	0	0	2	0	0	0	0	36	0	48	0	112	22	103	0	0	0	0	0	0	0	24	0	0	0.057	0	0	0	0	521	0.547	0	5.32	9.43	-0.582	0.185	-0.005	0.455	-999	
395	-999	-999	-999	-0.41	2.74	4.09	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.4	
399	-999	78.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
400	120880	-999	0.825	-999	-999	-999	4	47	1.4	0	137	2	0	0	4	0	0	2	0	20	0	22	0	44	129	26	0	0	0	0	0	1	0	10	0	0	0.029	2	0	0	10	409	0.272	0	5.81	10.813	-0.82	0.187	-0.015	0.204	-999	
405	-999	-999	-999	-0.59	1.89	3.77	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.12	
