# NOAA Paleoclimatology Program - Paleocean Site Data
# e45-29-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E45-29
# Latitude:       44.53.00S	( -44.88334)
# Longitude:      106.31.00E	( 106.5167)
# Water Depth(m): 3863
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             drysedwtg     Dry sediment weight (g)
#             Dsqchord      Squared-chord distance
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             forams/g      Foraminifers per gram
#             foramsfrag    Foraminifers Fragments
#             g.bull%       Globigerina bulloides percent
#             g.crass%      Globorotalia crassaformis percent
#             g.falco%      Globigerina falconensis percent
#             g.glut%       Globigerinita glutinata percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             o.univer%     Orbulina universa percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             g.hirsu%      Globorotalia hirsuta percent
#             g.humil%      Globigerina humilis percent
#             g.scit%       Globorotalia scitula percent
#             g.rub%        Globigerinoides ruber percent
#             g.sac%        Globigerinoides sacculifer percent
#             g.duter%      Globoquadrina dutertrei percent
#             g.calid%      Globigerina calida percent
#             g.aequi%      Globigerinella aequilateralis percent
#
# CORE: E45-29
depth	yrBP 	d13C	d18O	carb%	cfrac%>150	drysedwtg	Dsqchord	Dsqchord_err	forams%	forams-b	forams-b%	forams/g	foramsfrag	g.bull%	g.crass%	g.falco%	g.glut%	g.infla%	g.quinq%	g.trc-l%	g.trc-r%	n.pachy-l%	n.pachy-r%	o.univer%	pd%	plank	radio	radio%	split	sst-aug	sst-aug_err	sst-feb	sst-feb_err	g.hirsu%	g.humil%	g.scit%	g.rub%	g.sac%	g.duter%	g.calid%	g.aequi%	notes
319	-999	-0.31	3.45	50.7	16.7	2.23	0.15	0.02	61.4	3	1.4	11874	130	70.1	-999	-999	1.5	4.8	-999	0.5	-999	21.7	1.5	-999	-999	207	9	4.2	0.0078	6.42	1.4	7.91	1.2	-999	-999	-999	-999	-999	-999	-999	-999	
329	151000	-0.26	3.51	24.9	9.8	2.05	0.13	0.03	53.8	2	1.1	5813	160	60.4	-999	-999	-999	13.7	-999	0.6	-999	24.2	1.1	-999	-999	186	39	17.3	0.0156	6.68	2.1	8.59	1.9	-999	-999	-999	-999	-999	-999	-999	-999	Event: 6.4
339	-999	-0.12	3.47	49.1	14.7	2.21	0.12	0.02	55.8	5	1.6	9178	250	55.1	-999	-999	-999	11.5	-999	1.9	-999	29	2.6	-999	-999	316	21	6.2	0.0156	5.8	1.9	7.82	1.7	-999	-999	-999	-999	-999	-999	-999	-999	
349	-999	0.17	3.47	51.7	16.8	2.15	0.15	0.02	41.1	4	1.3	8859	425	66.2	-999	-999	-999	8.5	0.3	0.3	-999	21.5	3.1	-999	-999	297	42	12.4	0.0156	6.79	1.5	8.31	1.5	-999	-999	-999	-999	-999	-999	-999	-999	
359	-999	-0.25	3.19	53.4	18.6	2.22	0.11	0.02	58.3	2	0.7	8906	220	53.1	-999	-999	0.7	11.7	-999	2.6	-999	31.3	0.3	-999	-999	308	14	4.4	0.0156	5.25	1.6	7.52	1.5	-999	-999	0.3	-999	-999	-999	-999	-999	
369	-999	-0.4	3.05	-999	-999	-999	-999	-999	-999	-999	-999	18412	-999	56.3	-999	-999	1.8	7.6	4.7	2.3	-999	25.1	2	0.3	-999	352	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
369	-999	-0.26	2.91	65.9	22.7	2.45	0.08	0.02	80.7	0	0	-999	84	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	9	2.5	0.0078	5.54	1.2	7.5	1	-999	-999	-999	-999	-999	-999	-999	-999	
379	-999	-0.36	3.09	56.9	17.6	2.42	0.07	0.02	64.9	3	0.7	12228	250	58.9	-999	-999	2	11.2	1.5	2.4	0.2	21.9	1.8	0.2	-999	462	16	3.4	0.0156	6.04	1.4	7.7	1.2	-999	-999	-999	-999	-999	-999	-999	-999	
389	-999	-0.47	3.1	51.3	13.1	2.59	0.12	0.02	59.9	5	1.5	8146	220	58.2	-999	-999	-999	15.7	0.6	0.6	-999	23.1	1.9	-999	-999	329	13	3.8	0.0156	6.61	1.5	8.4	1.5	-999	-999	-999	-999	-999	-999	-999	-999	
399	183000	-0.12	3.53	-999	-999	-999	-999	-999	-999	-999	-999	1457	-999	55.9	-999	-999	-999	24.1	0.6	-999	-999	19.4	-999	-999	-999	173	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 6.6
399	183000	0	3.35	32.2	4.4	1.9	0.15	0.02	24.6	9	5	-999	530	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	129	42.7	0.0625	8.17	4.3	10.99	5.3	-999	-999	-999	-999	-999	-999	-999	-999	
409	-999	-0.11	3.16	40.5	5.9	1.91	0.11	0.02	28.6	13	4.8	2159	645	52	-999	-999	-999	30.7	1.2	0.8	-999	14.6	0.8	-999	-999	258	101	28.1	0.0625	6.55	1.8	8.68	1.6	-999	-999	-999	-999	-999	-999	-999	-999	
419	-999	0.14	2.86	60.4	10.4	2.7	0.15	0.02	41	3	1.4	5011	304	52	-999	0.5	0.5	25	-999	-999	0.5	8.5	11.5	-999	1.5	211	33	13.5	0.0156	7.78	1.9	9.67	2.2	-999	-999	-999	-999	-999	-999	-999	-999	
429	-999	0.1	2.61	73	9.7	3.26	0.14	0.02	48.5	0	0	5550	300	55.9	-999	-999	-999	19.7	0.7	0.4	-999	9.7	13.3	0.4	-999	282	39	12.2	0.0156	7.67	1.7	9.4	1.7	-999	-999	-999	-999	-999	-999	-999	-999	
439	194000	0	2.35	80.4	8.8	2.93	0.08	0.02	53.7	2	0.7	6609	260	49	-999	0.3	1.3	25.8	1	2	-999	10.4	9.4	0.7	-999	302	57	15.9	0.0156	7.5	1.6	9.1	1.7	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7.1
440	194000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: LAD H. Karsteni
449	-999	-0.45	2.41	83.1	10.4	2.89	0.1	0.01	74.2	2	0.7	13512	106	39.1	-999	4.4	3.7	21.2	6.7	2	-999	8.1	9.8	0.7	3.4	305	26	7.9	0.0078	8.58	1.2	11.33	2.7	-999	-999	0.7	0.3	-999	-999	-999	-999	
459	-999	-0.34	2.46	76.3	13.5	2.83	0.11	0.02	79.8	0	0	19371	108	38	-999	6	5.7	23	6.5	4.1	0.2	6.2	7.9	1	0.7	427	27	6	0.0078	8.62	1.3	11.05	2.2	-999	-999	0.5	0.2	-999	-999	-999	-999	
469	228000	-0.09	3.12	-999	-999	-999	-999	-999	-999	-999	-999	3881	-999	71.5	-999	-999	-999	8.9	-999	0.6	-999	18.4	0.6	-999	-999	159	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7.4
469	228000	0.02	3.55	34	7.3	2.63	0.16	0.03	46	4	2.5	-999	187	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	24	13.1	0.0156	7.14	1.5	8.91	1.4	-999	-999	-999	-999	-999	-999	-999	-999	
479	-999	-0.15	2.98	56.4	5.2	2.24	0.16	0.02	57.1	2	1.2	4581	120	46.2	-999	2.6	6.4	22.4	4.5	-999	-999	8.3	9.6	-999	-999	160	25	13.5	0.0156	6.78	1.7	8.48	1.5	-999	-999	-999	-999	-999	-999	-999	-999	
489	-999	-0.07	2.85	83.6	11.9	3.18	0.07	0.02	73.8	1	0.4	10801	95	54.8	-999	0.4	2.7	20.2	2.7	1.1	-999	11	5.7	-999	1.5	268	3	1.1	0.0078	7.23	1.6	9.29	2.6	-999	-999	-999	-999	-999	-999	-999	-999	
499	238000	-0.21	2.76	-999	-999	-999	-999	-999	-999	-999	-999	12085	-999	39.1	0.3	1.3	4.9	20.2	5.2	2.9	-999	9.1	14	0.7	2.3	314	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7.5
499	238000	-0.16	3.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
499	238000	-0.22	2.65	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
499	238000	-0.2	2.7	87.1	11	3.33	0.08	0.02	88	0	0	-999	43	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	11	3.4	0.0078	7.6	1.1	9.82	2.4	-999	-999	-999	-999	-999	-999	-999	-999	
509	-999	-0.55	2.93	88	14.5	3.01	0.1	0.01	90.7	0	0	16504	20	40.4	-999	5.9	4.8	15.4	3.7	4.8	-999	9.6	11.2	-999	3.2	194	2	1	0.0039	8.01	1.1	9.84	1.8	-999	-999	-999	1.1	-999	-999	-999	-999	
519	-999	-0.64	2.96	72.1	9.1	2.92	0.09	0.02	75.5	2	0.8	10790	80	54.2	-999	0.8	2.9	14.2	3.3	0.8	-999	17.1	6.3	-999	-999	246	23	8.6	0.0078	6.04	1.4	7.7	1.2	-999	-999	-999	-999	0.4	-999	-999	-999	
529	-999	-0.45	3.17	68.2	7.1	2.82	0.08	0.03	64.4	2	0.8	5958	145	42.7	-999	-999	1.2	11.5	0.4	0	-999	42.3	1.5	-999	0.4	262	39	13	0.0156	3.78	1.3	6.74	1.7	-999	-999	-999	-999	-999	-999	-999	-999	
539	-999	-0.59	3.17	73.2	14.2	3.05	0.07	0.01	72.1	2	0.6	13035	120	54.3	-999	-999	4.6	6.5	1.3	0.7	-999	28.1	3.3	-999	1.3	310	13	4	0.0078	5.01	1.2	7.47	1.2	-999	-999	-999	-999	-999	-999	-999	-999	
549	257000	-0.6	3.13	-999	-999	-999	-999	-999	-999	-999	-999	11754	-999	53.7	-999	0.2	2.2	8.1	1.2	-999	-999	30.1	4.6	-999	-999	505	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 8.3
549	257000	-0.59	2.81	66.1	12.5	2.75	0.11	0.01	73.7	4	0.8	-999	180	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	39	7.2	0.0156	4.64	1.2	7.4	1.6	-999	-999	-999	-999	-999	-999	-999	-999	
559	-999	-0.43	3.17	54.9	6.3	2.96	0.08	0.02	65.3	4	1.6	5371	132	58.6	-999	-999	2.2	13.9	1.1	0.4	-999	20.9	2.2	-999	0.7	248	46	15.7	0.0156	6.04	1.4	7.7	1.2	-999	-999	-999	-999	-999	-999	-999	-999	
569	-999	-0.2	3.31	38.1	2.8	2.75	0.17	0.04	34.8	13	4.6	777	500	71.2	-999	-999	-999	23.1	-999	-999	-999	4.2	1.5	-999	-999	267	168	38.6	0.125	8.02	1.4	10.01	1.9	-999	-999	-999	-999	-999	-999	-999	-999	
579	-999	-0.16	3.43	14.5	1.8	1.6	0.13	0.04	39	10	3	2127	500	67.1	-999	-999	-999	24.3	-999	0.3	-999	6.4	1.9	-999	-999	319	87	21.4	0.0938	7.78	1.9	9.61	2.1	-999	-999	-999	-999	-999	-999	-999	-999	
589	-999	-999	-999	10.6	1	1.47	0.2	0.05	30.1	6	9	83	142	64.4	-999	1.7	6.8	22	-999	3.4	-999	-999	-999	1.7	-999	61	760	92.6	0.5	8.65	1.1	10.65	1.6	-999	-999	-999	-999	-999	-999	-999	-999	
599	269000	0.33	3.55	16.7	1.4	1.32	0.14	0.02	16.7	22	9.3	326	1070	45.1	-999	-999	-999	36.2	-999	-999	-999	17.4	1.4	-999	-999	215	545	71.7	0.5	7.2	3.4	9.79	4	-999	-999	-999	-999	-999	-999	-999	-999	Event: 8.4
609	-999	0.61	3.07	-999	-999	-999	-999	-999	-999	-999	-999	4079	-999	60.9	-999	-999	-999	28.5	0.3	-999	-999	7	3.3	-999	-999	309	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
609	-999	0.05	2.85	76.9	8.6	2.42	0.15	0.03	42.4	6	1.9	-999	420	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	42	12	0.0313	7.5	1.9	9.42	2.1	-999	-999	-999	-999	-999	-999	-999	-999	
619	-999	0.35	2.78	85.9	4.9	2.42	0.11	0.03	51	3	0.9	4462	325	61.5	-999	-999	3	23.6	0.3	0.3	-999	4.8	5.7	-999	0.6	338	45	11.8	0.0313	7.63	1.8	9.35	2.1	-999	-999	0.3	-999	-999	-999	-999	-999	
629	-999	0.17	2.65	78.3	9.1	2.16	0.12	0.02	46.8	4	1	5655	435	50.5	-999	1.1	5.3	28.2	2.7	0.5	0.3	5.3	5.9	-999	-999	383	64	14.3	0.0313	7.58	1.9	9.54	2.3	-999	-999	-999	-999	-999	0.3	-999	-999	
634	310000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 9.1
639	-999	-0.02	2.67	53.4	4.9	2.3	0.11	0.03	25.8	13	3.3	1791	1110	55.4	-999	1	1.2	32.4	0.7	0.5	-999	5.2	3.4	0.3	-999	386	87	18.4	0.0938	8.3	1.2	10.2	1.8	-999	-999	-999	-999	-999	-999	-999	-999	
649	-999	0.15	2.78	63.3	3.7	2.29	0.12	0.01	36.8	21	3.1	1511	1115	47.7	-999	-999	0.3	31.6	0.2	-999	-999	14.8	4.4	0.3	0.8	649	70	9.7	0.1875	6.45	1.6	8.51	1.4	-999	-999	-999	-999	-999	-999	-999	-999	
659	-999	0.34	2.81	75.3	5.1	2.6	0.13	0.02	39	6	1.5	2361	600	45.6	-999	-999	0.8	32.1	0.3	0.3	-999	10.6	10.1	0.3	-999	383	42	9.9	0.0625	7.54	1.6	9.4	1.7	-999	-999	-999	-999	-999	-999	-999	-999	
669	300000	0.24	2.8	72.2	4.4	2.72	0.16	0.03	28.8	15	3	1427	1200	35.9	1	-999	0.2	46.8	-999	0.8	-999	2.9	11.5	0.8	-999	486	80	14.1	0.125	9.63	2.7	12.51	3.9	-999	-999	-999	-999	-999	-999	-999	-999	Event: LAD G.crassiformis
679	331000	-0.31	2.44	-999	-999	-999	-999	-999	-999	-999	-999	2531	-999	23.6	0.8	1.6	1.4	46.6	0.3	2.7	-999	2.4	18.7	1.4	0.5	372	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 9.3
679	331000	0.14	3.02	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
679	331000	-0.13	2.86	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
679	331000	0.09	2.79	77.8	3.6	2.35	0.14	0.03	36.9	11	2.9	-999	635	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	74	16.6	0.0625	11.24	3.2	15.6	5	-999	-999	-999	-999	-999	-999	-999	-999	
689	-999	-0.38	3.1	81.9	6.1	2.39	0.12	0.03	59.8	5	1.6	4172	210	26.1	-999	1	4.3	32	1.6	5.6	-999	5.6	21.6	0.7	1.3	312	30	8.8	0.0313	10.19	2.1	13.67	3.4	-999	-999	-999	-999	-999	-999	0.3	-999	
699	-999	-0.28	3.24	55.4	3	1.87	0.11	0.03	49.5	15	4.3	2854	340	48.3	1.2	-999	1.5	19.9	0.9	-999	-999	19	8.3	-999	0.9	333	114	25.5	0.0625	6.36	1.5	8.18	1.5	-999	-999	-999	-999	-999	-999	-999	-999	
709	341000	-0.08	3.49	57.4	9.2	2.04	0.09	0.03	72	6	1.6	23082	143	32.6	2.5	-999	3.3	18.4	-999	-999	-999	39.8	2.8	0.3	-999	368	55	13	0.0078	3.71	1.2	6.92	1.7	-999	-999	0.3	-999	-999	-999	-999	-999	Event: 10.2
719	-999	0.04	3.3	81	10.9	2.36	0.07	0.02	76.6	11	2.5	11554	130	28.6	2.9	-999	5.6	7.8	1.2	0.2	-999	48.9	4.1	-999	0.5	425	32	7	0.0156	3.99	1.4	6.81	1.1	-999	-999	0.2	-999	-999	-999	-999	-999	
729	-999	-0.05	3.38	-999	-999	-999	-999	-999	-999	-999	-999	8390	-999	43.8	3.5	-999	4	6.4	0.3	-999	-999	37.1	4.5	-999	-999	384	-999	-999	-999	-999	-999	-999	-999	0.3	-999	0.3	-999	-999	-999	-999	-999	
729	-999	0	3.68	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
729	-999	-0.08	3.41	74	9.9	2.93	0.11	0.02	67.5	5	1.3	-999	185	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	13	3.3	0.0156	4.22	1.3	7.26	1.7	-999	-999	-999	-999	-999	-999	-999	-999	
739	-999	-0.02	3.3	52.3	5.8	2.29	0.09	0.02	54.2	14	4.4	4295	260	39.5	5.6	0.3	3.6	9.8	0.7	-999	-999	36.3	4.3	-999	-999	308	23	7	0.0313	4.38	1.3	6.89	1.3	-999	-999	-999	-999	-999	-999	-999	-999	
749	-999	-999	-999	33	1.2	2.27	0.05	0.01	30.1	78	26.6	378	500	25.5	1.9	0.5	3.9	13	1.4	1.4	-999	48.1	2.9	0.5	0.5	215	165	43.4	0.25	4.28	1.3	7.11	1.3	-999	-999	0.5	-999	-999	-999	-999	-999	
759	-999	0	3.36	54.8	2	2.6	0.06	0.01	55.8	30	6.6	1733	335	21.7	2.4	0.5	3.7	14.1	1	0.5	-999	51.1	4.6	-999	-999	422	110	20.7	0.0938	3.65	1.8	6.92	1.6	0.2	-999	0.2	-999	-999	-999	-999	-999	
769	-999	0.08	3.36	47.9	2.6	2.69	0.08	0.02	33.8	48	12.8	649	640	38.7	4.6	0.6	1.9	12.7	0.9	-999	-999	36.8	2.2	-999	0.6	327	80	19.7	0.1875	4.11	1.1	6.84	1.3	0.3	-999	0.6	-999	-999	-999	-999	-999	
779	-999	0.03	3.2	62.5	4.7	3.06	0.08	0.02	47.2	15	5.1	2946	315	37.3	4.4	-999	3.6	8.3	0.4	-999	-999	42.4	2.5	-999	0.7	282	24	7.8	0.0313	3.74	1.2	6.75	1.7	-999	-999	0.4	-999	-999	-999	-999	-999	
789	-999	-0.08	2.98	59.5	3.4	3.22	0.08	0.02	49.3	25	5.7	2058	425	38.6	5.9	0.3	4	19.6	1	0.3	-999	28.2	1	0.3	-999	414	45	9.8	0.0625	5.41	1.6	7.42	1.5	0.3	-999	0.7	-999	-999	-999	-999	-999	
794	362000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 11
799	-999	0.07	2.99	65.7	2.9	3.53	0.07	0.02	43.8	22	6.6	471	400	38.2	2.9	-999	1.6	14.9	0.7	0.7	0.3	38.8	0.7	-999	1	312	31	9	0.1875	4.21	1.3	6.97	1.3	0.3	-999	-999	-999	-999	-999	-999	-999	
809	-999	-0.1	2.87	80.7	3.4	3.14	0.06	0.02	58	2	0.8	2667	190	49	2	0.8	3.5	13.2	0.8	0.8	-999	23.7	4.7	-999	1.2	262	24	8.4	0.0313	5.8	1.4	7.67	1.5	0.4	-999	-999	-999	-999	-999	-999	-999	
819	-999	0.35	2.83	78.6	2.3	2.63	0.12	0.02	48	10	3.7	1567	280	59.5	3.6	-999	1.6	19.1	0.4	-999	-999	13.9	0.4	-999	1.2	258	63	19.6	0.0625	6.94	1.5	8.74	1.5	-999	-999	-999	-999	-999	-999	0.4	-999	
829	-999	0.21	2.75	84.9	3.1	4.13	0.1	0.02	53.6	10	3.8	1965	220	49.2	3.5	2	5.1	20.3	-999	0.4	-999	15.2	3.5	0.4	0.4	254	11	4.2	0.0313	6.58	1.5	8.4	1.4	-999	-999	-999	-999	-999	-999	-999	-999	
839	-999	0.33	2.66	90.3	2.5	3.11	0.06	0.01	51.6	7	2.1	1697	310	42.5	4	-999	2.6	25.8	1.4	8.5	-999	12.2	2	-999	1.1	330	31	8.6	0.0625	7.65	1	9.61	2.3	-999	-999	-999	-999	-999	-999	-999	-999	
849	-999	0.36	2.6	89.1	2.8	3.09	0.12	0.03	42.4	8	2.5	1619	425	37.5	5.5	0.7	1.3	39.7	-999	0.3	-999	12.1	2.3	0.3	0.3	313	32	9.3	0.0625	6.71	1.8	8.84	1.4	-999	-999	-999	-999	-999	-999	-999	-999	
859	-999	0.61	2.76	94.5	3.7	3.18	0.14	0.02	43.4	14	4.1	1670	433	27.6	1.5	0.6	1.5	58.8	0.3	0.9	-999	4.6	3	0.6	0.3	332	60	15.3	0.0625	8.24	3.1	11.71	3.5	-999	-999	0.3	-999	-999	-999	-999	-999	
869	405000	0.36	2.63	93.2	1.1	2.36	0.19	0.04	42.8	24	6.9	552	435	18.9	1.6	1.9	4	62.7	1.2	5.9	-999	1.9	-999	-999	1.2	326	80	19.7	0.25	8.63	3.3	12.57	3.8	-999	-999	-999	0.3	-999	-999	-999	0.3	Event: 11.3
879	-999	0.32	2.98	93.9	1.6	2.68	0.11	0.01	53.6	17	3.9	1241	360	20.5	0.7	1.5	2.9	48.3	1	6.1	-999	3.4	12.7	0.7	2.2	415	50	10.8	0.125	10.54	2.7	14.64	3.1	-999	-999	-999	-999	-999	-999	-999	-999	
889	-999	0.19	2.8	97.2	3.6	2.32	0.1	0.02	75.9	4	0.9	974	135	28.1	0.7	1.7	4.3	36.9	1.7	4.5	0.7	5	13	1	2.6	424	14	3.2	0.1875	9.55	2.1	13.33	3.1	-999	-999	-999	-999	-999	-999	-999	-999	
890	418000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: FAD H. karsteni
899	-999	-0.1	3.04	93.2	4.8	3.16	0.1	0.02	83.5	3	1	6159	60	27.2	-999	1.7	5.7	31.2	5.7	5.7	-999	7	13	0.3	2.3	304	15	4.7	0.0156	9.29	1.8	12.76	3.1	-999	-999	0.3	-999	-999	-999	-999	-999	
909	-999	-0.26	3.12	72.5	5.1	2.57	0.09	0.02	73.4	4	1.1	2967	130	36	2	0.9	4.3	28.6	2	4.6	0.6	7.4	10.6	0.6	1.7	358	35	8.9	0.0469	8.22	1	10.33	2.2	-999	-999	-999	-999	-999	-999	0.9	-999	
919	-999	-999	-999	12	1	2.34	0.08	0.03	65.1	27	8.8	239	150	38.9	1.8	-999	1.1	8.9	0.7	-999	-999	47.1	1.4	-999	-999	280	1650	69.9	0.5	4.18	1.8	7.16	2	-999	-999	-999	-999	-999	-999	-999	-999	
929	-999	-0.55	3.14	32	1	2.4	0.1	0.02	59.7	34	8.1	427	260	32.5	1.9	1.3	1.1	26.5	0.5	0.8	-999	26.2	7.4	0.8	1.1	385	590	60.5	0.375	5.89	1.7	8.25	1.6	-999	-999	-999	-999	-999	-999	-999	-999	
939	-999	-999	-999	58.1	1	2.78	0.1	0.02	34.9	51	12.8	333	650	44.3	0.6	-999	2.7	3.5	1.8	-999	-999	44.3	2.1	-999	-999	348	520	59.9	0.375	4.16	1.6	7.75	2.2	0.6	-999	-999	-999	-999	-999	0.3	-999	
949	-999	-0.12	3.24	73.4	2.1	2.89	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
959	-999	-0.25	3.11	50	2	2.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
969	471000	-0.24	3.39	49.6	1.6	2.92	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 12.4
979	-999	-999	-999	35.4	1.2	1.18	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
989	-999	-0.4	2.59	48.6	2.1	2.56	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
999	481000	-0.64	2.28	56.2	1.1	1.92	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 13.1
1009	-999	0.12	2.53	85.2	1.3	3.11	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1019	-999	0.71	2.7	90.3	1.1	3.31	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
