Hole	"core,section"	top(cm)	composite_depth	age_(ka)	benthic d18O	Uk'37	SST
1020C	2H-5	25	12.13	90.92989691	-999	0.4	10.6
1020C	2H-5	37	12.25	91.95670103	4.37	-999	-999
1020D	2H-1	57	12.32	92.5556701	4.425	-999	-999
1020C	2H-5	50	12.38	93.06907216	-999	0.362	9.5
1020C	2H-5	57	12.45	93.66804124	4.29	-999	-999
1020D	2H-1	77	12.52	94.26701031	4.28	-999	-999
1020D	2H-1	77	12.52	94.26701031	-999	-999	-999
1020C	2H-5	77	12.65	95.37938144	4.195	-999	-999
1020D	2H-1	97	12.72	95.97835052	4.27	-999	-999
1020D	2H-1	100	12.75	96.23505155	-999	0.378	10
1020C	2H-5	97	12.85	97.09072165	4.105	-999	-999
1020D	2H-1	117	12.92	97.68969072	4.13	-999	-999
1020D	2H-1	125	13	98.3742268	-999	0.373	9.8
1020C	2H-5	117	13.05	98.80206186	4.125	-999	-999
1020D	2H-1	137	13.12	99.40103093	4.265	-999	-999
1020D	2H-1	144	13.19	100	-999	0.396	10.5
1020C	2H-5	137	13.25	100.9130435	4.03	-999	-999
1020D	2H-2	0	13.25	100.9130435	-999	0.348	9.1
1020D	2H-2	7	13.32	101.9782609	4.3	-999	-999
1020C	2H-6	7	13.45	103.9565217	4.05	-999	-999
1020D	2H-2	22	13.47	104.2608696	3.96	-999	-999
1020D	2H-2	25	13.5	104.7173913	-999	0.378	10
1020D	2H-2	27	13.52	105.0217391	4.27	-999	-999
1020D	2H-2	32	13.57	105.7826087	3.99	-999	-999
1020C	2H-6	27	13.65	107	4.1	-999	-999
1020D	2H-2	42	13.67	107.3043478	3.99	-999	-999
1020D	2H-2	47	13.72	108.0652174	4.135	-999	-999
1020D	2H-2	50	13.75	108.5217391	-999	0.355	9.3
1020D	2H-2	52	13.77	108.826087	3.92	-999	-999
1020C	2H-6	47	13.85	110.0434783	4.365	-999	-999
1020D	2H-2	62	13.9	110.7076923	4.14	-999	-999
1020D	2H-2	67	13.97	111.4346154	4.34	-999	-999
1020D	2H-2	72	14.02	111.9538462	4.09	-999	-999
1020C	2H-6	67	14.05	112.2653846	4.36	-999	-999
1020D	2H-2	75	14.05	112.2653846	-999	0.349	9.1
1020D	2H-2	77	14.07	112.4730769	4.04	-999	-999
1020D	2H-2	82	14.12	112.9923077	3.905	-999	-999
1020D	2H-2	87	14.17	113.5115385	4.06	-999	-999
1020D	2H-2	92	14.22	114.0307692	4.08	-999	-999
1020C	2H-6	85	14.23	114.1346154	4.15	-999	-999
1020D	2H-2	97	14.27	114.55	3.955	-999	-999
1020D	2H-2	100	14.3	114.8615385	-999	0.375	9.9
1020D	2H-2	102	14.32	115.0692308	3.88	-999	-999
1020C	2H-7	17	14.41	116.0038462	3.705	-999	-999
1020D	2H-2	125	14.55	117.4576923	-999	0.422	11.3
1020D	2H-2	127	14.57	117.6653846	4.13	-999	-999
1020D	2H-2	137	14.67	118.7038462	3.34	-999	-999
1020D	2H-2	144	14.74	119.4307692	-999	0.487	13.2
1020D	2H-2	147	14.77	119.7423077	3.55	-999	-999
1020C	2H-7	55	14.79	119.95	3.21	-999	-999
1020D	2H-3	0	14.8	120.0538462	-999	0.503	13.6
1020D	2H-3	7	14.87	120.7807692	3.37	-999	-999
1020D	2H-3	17	14.97	121.8192308	3.095	-999	-999
1020D	2H-3	25	15.05	122.65	-999	0.518	14.1
1020D	2H-3	37	15.17	123.8961539	3.06	-999	-999
1020D	2H-3	42	15.22	124.3380282	3.01	-999	-999
1020D	2H-3	47	15.27	124.7605634	3.1	-999	-999
1020D	2H-3	50	15.3	125.0140845	-999	0.513	13.9
1020D	2H-3	52	15.32	125.1830986	3.12	-999	-999
1020D	2H-3	57	15.37	125.6056338	3.197	-999	-999
1020D	2H-3	62	15.42	126.028169	3.27	-999	-999
1020D	2H-3	67	15.47	126.4507042	3.57	-999	-999
1020D	2H-3	72	15.52	126.8732394	3.555	-999	-999
1020D	2H-3	75	15.55	127.1267606	-999	0.421	11.2
1020D	2H-3	77	15.57	127.2957747	4.055	-999	-999
1020D	2H-3	82	15.62	127.7183099	3.73	-999	-999
1020D	2H-3	97	15.77	128.9859155	4.22	-999	-999
1020D	2H-3	100	15.8	129.2394366	-999	0.356	9.3
1020D	2H-3	117	15.97	130.6760563	4.765	-999	-999
1020D	2H-3	125	16.05	131.3521127	-999	0.333	8.7
1020D	2H-3	144	16.24	132.9577465	-999	0.363	9.5
1020D	2H-4	7	16.37	134.056338	5.19	-999	-999
1020C	3H-1	97	16.45	134.7323944	4.89	-999	-999
1020C	3H-1	100	16.48	134.9859155	-999	0.331	8.6
1020C	3H-1	117	16.65	136.5208333	5.065	-999	-999
1020C	3H-1	125	16.73	137.3541667	-999	0.32	8.3
1020C	3H-1	136	16.84	138.5	4.99	-999	-999
1020C	3H-2	0	16.98	139.9583333	-999	0.32	8.3
1020C	3H-2	7	17.05	140.6875	4.875	-999	-999
1020C	3H-2	25	17.23	142.5625	-999	0.252	6.3
1020C	3H-2	27	17.25	142.7708333	5.005	-999	-999
1020C	3H-2	47	17.45	144.8541667	4.84	-999	-999
1020C	3H-2	50	17.48	145.1666667	-999	0.203	4.8
1020C	3H-2	67	17.65	146.9375	4.8	-999	-999
1020C	3H-2	75	17.73	147.7708333	-999	0.23	5.624
1020C	3H-2	87	17.85	148.703125	4.915	-999	-999
1020C	3H-2	100	17.98	149.23125	-999	0.217	5.23
1020C	3H-2	107	18.05	149.515625	4.885	-999	-999
1020C	3H-2	125	18.23	150.246875	-999	0.23	5.616
1020C	3H-2	127	18.25	150.328125	4.9	-999	-999
1020C	3H-2	147	18.45	151.140625	4.92	-999	-999
1020C	3H-3	0	18.48	151.2625	-999	0.221	5.339
1020C	3H-3	17	18.65	151.953125	4.915	-999	-999
1020C	3H-3	25	18.73	152.278125	-999	0.223	5.422
1020C	3H-3	37	18.85	152.765625	4.945	-999	-999
1020C	3H-3	50	18.98	153.29375	-999	0.222	5.368
1020C	3H-3	57	19.05	153.578125	4.935	-999	-999
1020C	3H-3	75	19.23	154.309375	-999	0.233	5.714
1020C	3H-3	77	19.25	154.390625	4.965	-999	-999
1020C	3H-3	97	19.45	155.58	5	-999	-999
1020C	3H-3	100	19.48	155.928	-999	0.245	6.048
1020C	3H-3	117	19.65	157.9	4.885	-999	-999
1020C	3H-3	125	19.73	158.828	-999	0.26	6.496
1020C	3H-3	137	19.85	160.22	4.9	-999	-999
1020C	3H-4	0	19.98	161.728	-999	0.317	8.19
1020C	3H-4	25	20.23	164.628	-999	0.325	8.416
1020C	3H-4	27	20.25	164.86	4.81	-999	-999
1020C	3H-4	47	20.45	167.18	4.84	-999	-999
1020C	3H-4	50	20.48	167.528	-999	0.313	8.065
1020C	3H-4	67	20.65	169.5	4.72	-999	-999
1020C	3H-4	75	20.73	170.428	-999	0.305	7.812
1020C	3H-4	100	20.98	173.328	-999	0.359	9.419
1020C	3H-4	107	21.05	174.14	4.7	-999	-999
