Hole	"core,section"	top(cm)	composite_depth	age_(ka)	benthic d18O	Uk'37	SST
1020D	5H-3	97	46.41	437.9291339	4.88	-999	-999
1020D	5H-3	100	46.44	438.2598425	-999	0.252	6.271
1020D	5H-3	117	46.61	440.1338583	4.81	-999	-999
1020D	5H-3	124	46.68	440.9055118	-999	0.262	6.559
1020D	5H-3	137	46.81	442.3385827	4.715	-999	-999
1020D	5H-3	144	46.88	443.0877598	-999	0.295	7.542
1020D	5H-4	0	46.94	443.6143187	-999	0.299	7.652
1020D	5H-4	7	47.01	444.2286374	4.64	-999	-999
1020D	5H-4	24	47.18	445.7205543	-999	0.334	8.683
1020D	5H-4	27	47.21	445.9838337	4.49	-999	-999
1020D	5H-4	47	47.41	447.73903	4.525	-999	-999
1020D	5H-4	50	47.44	448.0023095	-999	0.302	7.747
1020C	6H-1	37	47.49	448.4411086	4.53	-999	-999
1020D	5H-4	67	47.61	449.4942263	4.49	-999	-999
1020C	6H-1	50	47.62	449.5819861	-999	0.278	7.027
1020D	5H-4	74	47.68	450.108545	-999	0.25	6.191
1020C	5H-4	57	47.69	450.1963049	4.46	-999	-999
1020D	5H-4	87	47.81	451.2494226	4.51	-999	-999
1020C	6H-1	75	47.87	451.7759815	-999	0.234	5.743
1020D	5H-4	107	48.01	453.0046189	4.555	-999	-999
1020C	6H-1	97	48.09	453.7066975	4.535	-999	-999
1020C	6H-1	100	48.12	453.9699769	-999	0.265	6.659
1020C	6H-1	117	48.29	455.4618938	4.37	-999	-999
1020C	6H-1	125	48.37	456.1639723	-999	0.272	6.84
1020C	6H-2	0	48.62	458.3579677	-999	0.205	4.885
1020C	6H-2	7	48.69	458.9722864	4.505	-999	-999
1020C	6H-2	25	48.87	460.5519631	-999	0.273	6.881
1020C	6H-2	27	48.89	460.7274827	4.475	-999	-999
1020C	6H-2	50	49.12	462.7459584	-999	0.309	7.932
1020C	6H-2	67	49.29	464.2378753	4.32	-999	-999
1020C	6H-2	75	49.37	464.9399538	-999	0.293	7.472
1020C	6H-2	87	49.49	465.9930716	4.345	-999	-999
1020C	6H-2	100	49.62	467.1339492	-999	0.255	6.349
1020C	6H-2	125	49.87	469.3279446	-999	0.291	7.414
1020C	6H-2	127	49.89	469.5034642	4.35	-999	-999
1020C	6H-2	147	50.09	471.2586605	4.2	-999	-999
1020C	6H-3	0	50.12	471.52194	-999	0.328	8.509
1020C	6H-3	25	50.37	473.7159353	-999	0.329	8.532
1020C	6H-3	37	50.49	474.7690531	4.01	-999	-999
1020C	6H-3	50	50.62	475.9099307	-999	0.276	6.979
1020C	6H-3	57	50.69	476.5242494	4.09	-999	-999
1020C	6H-3	75	50.87	478.1039261	-999	0.347	9.061
1020C	6H-3	97	51.09	480.034642	3.815	-999	-999
1020C	6H-3	100	51.12	480.2979215	-999	0.288	7.322
1020C	6H-3	117	51.29	482.0327869	3.765	-999	-999
1020C	6H-3	125	51.37	482.9508197	-999	0.355	9.294
1020C	6H-4	0	51.62	485.8196721	-999	0.365	9.579
1020C	6H-4	7	51.69	486.6229508	3.68	-999	-999
1020C	6H-4	25	51.87	488.6885246	-999	0.368	9.675
1020C	6H-4	27	51.89	488.9180328	3.785	-999	-999
1020C	6H-4	50	52.12	491.5573771	-999	0.382	10.1
1020C	6H-4	67	52.29	493.5081967	3.63	-999	-999
1020C	6H-4	75	52.37	494.4262295	-999	0.386	10.204
1020C	6H-4	87	52.49	495.8032787	3.8	-999	-999
1020C	6H-4	100	52.62	497.295082	-999	0.377	9.931
1020C	6H-4	125	52.87	500.1639344	-999	0.359	9.403
1020C	6H-4	127	52.89	500.3934426	3.79	-999	-999
1020C	6H-4	147	53.09	502.6885246	3.86	-999	-999
1020C	6H-5	0	53.12	503.0327869	-999	0.354	9.279
1020C	6H-5	25	53.37	505.9016393	-999	0.302	7.737
1020C*	6H-5	37	53.49	507.2786885	4.03	-999	-999
1020C	6H-5	50	53.62	508.7704918	-999	0.341	8.892
1020C*	6H-5	57	53.69	509.5737705	4.07	-999	-999
1020C	6H-5	75	53.87	511.6393443	-999	0.38	10.038
1020C*	6H-5	97	54.09	514.1639344	4.28	-999	-999
1020C	6H-5	100	54.12	514.5081967	-999	0.367	9.637
1020C*	6H-5	117	54.29	516.4590164	4.15	-999	-999
1020C	6H-5	125	54.37	517.3770492	-999	0.38	10.03
1020C	6H-6	0	54.62	520.2459016	-999	0.383	10.132
1020C	6H-6	7	54.69	521.0491803	3.97	-999	-999
1020C	6H-6	25	54.87	523.1325	-999	0.324	8.387
1020C	6H-6	27	54.89	523.3975	3.895	-999	-999
1020C	6H-6	50	55.12	526.445	-999	0.381	10.062
1020C	6H-6	67	55.29	528.6975	4.03	-999	-999
1020C	6H-6	75	55.37	529.7575	-999	0.36	9.451
1020C	6H-6	87	55.49	531.3475	4.105	-999	-999
1020C	6H-6	100	55.62	533.07	-999	0.279	7.048
1020C	6H-6	125	55.87	536.3825	-999	0.283	7.19
1020C	6H-6	127	55.89	536.6475	4.41	-999	-999
1020C	6H-6	147	56.09	539.1123596	4.485	-999	-999
1020C	6H-7	0	56.12	539.3247191	-999	0.312	8.042
1020D	6H-3	37	56.15	539.5370787	4.475	-999	-999
1020D	6H-3	50	56.28	540.4573034	-999	0.332	8.609
1020D	6H-3	57	56.35	540.952809	4.425	-999	-999
1020C	6H-7	25	56.37	541.094382	-999	0.31	7.976
1020C	6H-7	37	56.49	541.9438202	4.44	-999	-999
1020D	6H-3	74	56.52	542.1561798	-999	0.334	8.666
1020D	6H-3	77	56.55	542.3685393	4.435	-999	-999
1020C	6H-7	50	56.62	542.8640449	-999	0.294	7.507
1020C	6H-7	57	56.69	543.3595506	4.425	-999	-999
1020D	6H-3	97	56.75	543.7842697	4.4	-999	-999
1020D	6H-3	100	56.78	543.9966292	-999	0.311	7.994
1020C	6H-7	75	56.87	544.6337079	-999	0.306	7.853
1020D	6H-3	117	56.95	545.2	4.325	-999	-999
1020D	6H-3	124	57.02	545.6955056	-999	0.314	8.082
1020D	6H-3	137	57.15	546.6157303	4.31	-999	-999
1020D	6H-3	144	57.22	547.111236	-999	0.322	8.328
1020D	6H-4	0	57.28	547.5359551	-999	0.311	7.987
1020D	6H-4	7	57.35	548.0314607	4.26	-999	-999
1020D	6H-4	24	57.52	549.2348315	-999	0.294	7.492
1020C	7H-1	100	57.54	549.3764045	-999	0.281	7.113
1020D	6H-4	27	57.55	549.447191	4.2	-999	-999
1020D	6H-4	47	57.75	550.8629214	4.105	-999	-999
1020D	6H-4	50	57.76	550.9337079	-999	0.32	8.267
1020C	7H-1	125	57.79	551.1460674	-999	0.372	9.795
1020D	6H-4	67	57.95	552.8185897	3.955	-999	-999
1020C	7H-2	0	58.04	553.8974359	-999	0.345	9.003
1020D	6H-4	87	58.15	555.2160256	4.045	-999	-999
1020C	7H-2	25	58.29	556.8942308	-999	0.385	10.178
1020C	7H-2	50	58.54	559.8910256	-999	0.291	7.409
1020C	7H-2	75	58.79	562.8878205	-999	0.366	9.607
1020C	7H-2	100	59.04	565.8846154	-999	0.398	10.546
1020C	7H-2	125	59.29	568.8814103	-999	0.458	12.333
1020C	7H-3	0	59.54	571.6247788	-999	0.439	11.776
1020C	7H-3	25	59.79	574.1690266	-999	0.463	12.474
1020C	7H-3	50	60.04	576.7132743	-999	0.33	8.567
1020C	7H-3	75	60.29	579.2575221	-999	0.328	8.51
1020C	7H-3	100	60.54	581.8017699	-999	0.366	9.608
1020C	7H-3	125	60.79	584.3460177	-999	0.327	8.467
1020C	7H-4	0	61.04	586.8902655	-999	0.319	8.235
1020C	7H-4	25	61.29	589.4345133	-999	0.378	9.966
1020C	7H-4	50	61.54	591.9787611	-999	0.334	8.691
1020C	7H-4	75	61.79	594.5230089	-999	0.338	8.807
1020C	7H-4	100	62.04	597.0672566	-999	0.421	11.247
1020C	7H-4	125	62.29	599.6115044	-999	0.312	8.044
1020C	7H-5	0	62.54	602.1557522	-999	0.289	7.34
1020C	7H-5	25	62.79	604.7	-999	0.33	8.569
1020C	7H-5	50	63.04	607.2442478	-999	0.353	9.245
1020C	7H-5	75	63.29	609.7884956	-999	0.366	9.623
1020C	7H-5	100	63.54	612.3327434	-999	0.332	8.627
1020C	7H-5	125	63.79	614.8769912	-999	0.428	11.43
1020C	7H-6	0	64.04	617.1461025	-999	0.429	11.458
1020C	7H-6	25	64.29	619.1171492	-999	0.417	11.129
1020C	7H-6	50	64.54	621.088196	-999	0.343	8.939
1020C	7H-6	75	64.79	623.0592428	-999	0.322	8.312
1020C	7H-6	100	65.04	625.0302895	-999	0.327	8.477
1020C	7H-6	125	65.29	627.0013363	-999	0.358	9.372
1020C	7H-6	144	65.49	628.5781737	-999	0.349	9.105
1020D	7H-3	0	65.64	629.7608018	-999	0.339	8.834
1020C	8H-1	010-015	65.77	630.7857461	4.276	-999	-999
1020D	7H-3	25	65.89	631.7318486	-999	0.301	7.695
1020C	8H-1	40-45	66.07	633.1510022	4.189	-999	-999
1020D	7H-3	50	66.14	633.7028953	-999	0.303	7.771
1020C	8H-1	70-75	66.37	635.5162584	4.155	-999	-999
1020D	7H-3	75	66.39	635.6739421	-999	0.32	8.257
1020D	7H-3	99	66.64	637.6449889	-999	0.337	8.763
1020C	8H-1	100-105	66.67	637.8815145	4.026	-999	-999
1020D	7H-3	125	66.89	639.6160356	-999	0.347	9.068
1020C	8H-1	125	66.9	639.6948775	-999	0.35	9.148
1020C	8H-1	130-135	66.97	640.2467706	3.964	-999	-999
1020C	8H-2	0	67.15	641.6659243	-999	0.337	8.766
1020C	8H-2	010-015	67.27	642.6120267	4.036	-999	-999
1020C	8H-2	25	67.4	643.6369711	-999	0.353	9.248
1020C	8H-2	40-45	67.57	644.9772829	3.947	-999	-999
1020C	8H-2	50	67.65	645.6080178	-999	0.343	8.952
1020C	8H-2	70-75	67.87	647.342539	3.998	-999	-999
1020C	8H-2	75	67.9	647.5790646	-999	0.354	9.266
1020C	8H-2	99	68.15	649.5501114	-999	0.303	7.765
1020C	8H-2	100-105	68.17	649.7077951	3.751	-999	-999
1020C	8H-2	125	68.4	651.5211581	-999	0.315	8.128
1020C	8H-2	130-135	68.47	652.0730512	3.917	-999	-999
1020C	8H-3	0	68.65	653.4922049	-999	0.366	9.617
1020C	8H-3	010-015	68.77	654.4383074	3.722	-999	-999
1020C	8H-3	25	68.9	655.4632517	-999	0.383	10.125
1020C	8H-3	40-45	69.07	656.8035635	3.666	-999	-999
1020C	8H-3	50	69.15	657.4342984	-999	0.309	7.949
1020C	8H-3	70-75	69.37	659.1688196	3.764	-999	-999
1020C	8H-3	75	69.4	659.4053452	-999	0.311	7.985
1020C	8H-3	100	69.65	661.376392	-999	0.362	9.487
1020C	8H-3	100-105	69.67	661.5340757	3.716	-999	-999
1020C	8H-3	125	69.9	663.3474388	-999	0.312	8.031
1020C	8H-3	130-135	69.97	663.8993319	3.619	-999	-999
1020C	8H-4	0	70.15	665.3184855	-999	0.328	8.497
1020C	8H-4	010-015	70.27	666.264588	3.583	-999	-999
1020C	8H-4	25	70.4	667.2895323	-999	0.41	10.911
1020C	8H-4	40-45	70.57	668.6298441	3.36	-999	-999
1020C	8H-4	50	70.65	669.2605791	-999	0.319	8.239
1020C	8H-4	70-75	70.87	670.9951002	3.342	-999	-999
1020C	8H-4	75	70.9	671.2316258	-999	0.411	10.953
1020C	8H-4	100	71.15	673.2026726	-999	0.307	7.881
1020C	8H-4	100-105	71.17	673.3603564	3.257	-999	-999
1020C	8H-4	125	71.4	675.1737194	-999	0.402	10.687
1020C	8H-5	0	71.65	677.1447662	-999	0.398	10.549
1020C	8H-5	25	71.9	679.1158129	-999	0.435	11.634
1020C	8H-5	50	72.15	681.0868597	-999	0.444	11.926
1020C	8H-5	75	72.4	683.0579065	-999	0.473	12.76
1020C	8H-5	100	72.65	685.0289532	-999	0.436	11.679
1020C	8H-5	125	72.9	687	-999	0.465	12.527
1020C	8H-6	0	73.15	690.6764706	-999	0.502	13.629
1020C	8H-6	25	73.4	694.3529412	-999	0.458	12.318
1020C	8H-6	40-45	73.57	696.8529412	3.366	-999	-999
1020C	8H-6	50	73.65	698.0294118	-999	0.404	10.721
1020C	8H-6	70-75	73.87	701.2647059	3.745	-999	-999
1020C	8H-6	75	73.9	701.7058824	-999	0.351	9.179
1020C	8H-6	100	74.15	705.3823529	-999	0.341	8.887
1020C	8H-6	100-105	74.17	705.6764706	3.842	-999	-999
1020C	8H-6	125	74.4	709.0588235	-999	0.35	9.153
1020C	8H-6	130-135	74.47	710.0882353	3.933	-999	-999
1020C	8H-7	0	74.65	712.7352941	-999	0.398	10.556
1020C	8H-7	010-015	74.77	714.5	3.864	-999	-999
1020C	8H-7	25	74.9	716.4117647	-999	0.423	11.3
1020D	8H-3	0	75.06	718.7647059	-999	0.437	11.708
1020C	8H-7	50	75.15	720.0882353	-999	0.443	11.887
1020D	8H-3	25	75.31	722.4411765	-999	0.411	10.944
1020C	8H-7	69-74	75.36	723.1764706	3.591	-999	-999
1020D	8H-3	50	75.56	726.1176471	-999	0.42	11.21
1020D	8H-3	75	75.81	729.7941177	-999	0.431	11.533
1020C	9H-1	010-015	75.89	730.9705882	3.388	-999	-999
1020D	8H-3	99	76.05	733.3235294	-999	0.427	11.414
1020C	9H-1	40-45	76.19	735.3823529	3.494	-999	-999
1020D	8H-3	125	76.31	737.0912548	-999	0.42	11.198
1020C	9H-1	70-75	76.49	738.7338403	3.551	-999	-999
1020D	8H-3	145	76.51	738.9163498	-999	0.414	11.017
1020C	9H-1	75	76.52	739.0076046	-999	0.426	11.392
1020C	9H-1	100	76.77	741.2889734	-999	0.442	11.84
1020C	9H-1	100-105	76.79	741.4714829	3.564	-999	-999
1020C	9H-1	125	77.02	743.5703422	-999	0.333	8.643
1020C	9H-1	130-135	77.09	744.2091255	3.922	-999	-999
1020C	9H-2	0	77.27	745.851711	-999	0.37	9.739
1020C	9H-2	010-015	77.39	746.9467681	3.89	-999	-999
1020C	9H-2	25	77.52	748.1330799	-999	0.353	9.243
1020C	9H-2	50	77.77	750.4144487	-999	0.359	9.405
1020C	9H-2	75	78.02	752.6958175	-999	0.376	9.922
1020C	9H-2	100	78.27	754.9771863	-999	0.366	9.617
1020C	9H-2	100-105	78.29	755.1596958	3.601	-999	-999
1020C	9H-2	125	78.52	757.2585551	-999	0.377	9.945
1020C	9H-2	130-135	78.59	757.8973384	3.497	-999	-999
1020C	9H-3	0	78.77	759.539924	-999	0.371	9.767
1020C	9H-3	010-015	78.89	760.634981	3.568	-999	-999
1020C	9H-3	25	79.02	761.8212928	-999	0.385	10.164
1020C	9H-3	50	79.27	764.1026616	-999	0.418	11.145
1020C	9H-3	70-75	79.49	766.1102662	3.319	-999	-999
1020C	9H-3	75	79.52	766.3840304	-999	0.343	8.929
1020C	9H-3	100	79.77	768.6653992	-999	0.365	9.592
1020C	9H-3	125	80.02	770.9467681	-999	0.418	11.137
1020C	9H-4	0	80.27	773.2281369	-999	0.364	9.547
1020C	9H-4	25	80.52	775.5095057	-999	0.444	11.911
1020C	9H-4	50	80.77	777.7908745	-999	0.422	11.254
1020C	9H-4	75	81.02	780.0722434	-999	0.451	12.126
1020C	9H-4	100	81.27	782.3536122	-999	0.397	10.543
1020C	9H-4	100-105	81.29	782.5361217	2.92	-999	-999
1020C	9H-4	125	81.52	784.634981	-999	0.447	12.001
1020C	9H-4	130-135	81.59	785.3676471	3.289	-999	-999
1020C	9H-5	0	81.77	787.5735294	-999	0.334	8.676
1020C	9H-5	010-015	81.89	789.0441177	3.684	-999	-999
1020C	9H-5	25	82.02	790.6372549	-999	0.267	6.703
1020C	9H-5	50	82.27	793.7009804	-999	0.28	7.081
1020C	9H-5	75	82.52	796.7647059	-999	0.294	7.497
1020C	9H-5	100	82.77	799.8284314	-999	0.263	6.58
1020C	9H-5	100-105	82.79	800.0735294	3.882	-999	-999
1020C	9H-5	125	83.02	802.8921569	-999	0.29	7.384
1020C	9H-5	130-135	83.09	803.75	3.677	-999	-999
1020C	9H-6	0	83.27	805.9558824	-999	0.276	6.973
1020C	9H-6	010-015	83.39	807.4264706	3.678	-999	-999
1020C	9H-6	25	83.52	809.0196078	-999	0.339	8.813
1020C	9H-6	40-45	83.69	810.738	3.47	-999	-999
1020C	9H-6	50	83.77	811.394	-999	0.321	8.294
1020C	9H-6	70-75	83.99	813.198	3.457	-999	-999
