# Arabian Sea ODP722 11ma Leaf Wax Stable Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22691 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/huang2007/huang2007biomarker.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#
# Dataset DOI: 
#
# Parameter_Keywords: age control, biomarkers, carbon isotopes, oxygen isotopes, geochemistry, population abundance
#--------------------
# Contribution_Date
#	Date: 2017-09-27
#--------------------
# File_Last_Modified_Date
#	Date: 2017-09-27
#--------------------
# Title
#	Study_Name: Arabian Sea ODP722 11ma Leaf Wax Stable Isotope Data 
#--------------------
# Investigators
#	Investigators: Huang, Y.; Clemens, S.C.; Liu, W.; Wang, Y.; Prell, W.L. 
#--------------------
# Description_Notes_and_Keywords
#	Description: Biomarker and compound-specific isotope data, plus foraminiferal census and isotope data, from Ocean Drilling Program Site 722 
#	in the Arabian Sea, spanning the past 11 m.y. Also included are paleosol carbon and oxygen isotope data from several locations in Pakistan.
#--------------------
# Publication 
#	Authors: Yongsong Huang, Steven C. Clemens, Weiguo Liu, Yi Wang, Warren L. Prell 
#	Published_Date_or_Year: 2007-06-01      
#	Published_Title: Large-scale hydrological change drove the late Miocene C4 plant expansion in the Himalayan foreland and Arabian Peninsula 
#	Journal_Name: Geology
#	Volume: 35
#	Edition: 
#	Issue: 6
#	Pages: 531-534
#	Report_Number: 
#	DOI: 10.1130/G23666A.1
#	Online_Resource: https://pubs.geoscienceworld.org/geology/article-lookup/35/6/531
#	Full_Citation: 
#	Abstract: Carbon isotope changes in paleosols from Siwalik, Pakistan, and marine sediments from the Bengal Fan indicate a major C4 plant expansion in the Himalayan foreland during the late Miocene. However, the timing and mechanisms behind the C4 plant expansion remain enigmatic. Here we present high-resolution (~60 k.y.) biomarker and compound-specific isotope data spanning the past 11 m.y. from Ocean Drilling Program Site 722 in the Arabian Sea. An ~5-6 permil increase in leaf wax d13C values indicates a marked rise of C4 plants from 10 to 5.5 Ma, with accelerated expansion from 7.9 to 5.5 Ma. A concurrent ~50 permil rise in leaf wax dD values is attributed to a combined effect of changes in precipitation amount and evaporation, indicating that source regions for the plant waxes became progressively drier from 10 to 5.5 Ma. In contrast to earlier reports, our isotope records, biomarker abundances, alkenone UK'37, and Globigerina bulloides abundance data do not suggest enhanced summer monsoon circulation during this time interval. Rather, our results suggest that large-scale hydrological changes drove the late Miocene expansion of C4 plants in the Himalayan foreland and Arabian Peninsula.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: 0318050, 0318123, 0402383, 0520718
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Aeronautics and Space Administration
#	Grant: NAG5-10665, NNG04GJ34G
#------------------
# Funding_Agency 
#	Funding_Agency_Name: American Chemical Society
#	Grant: ACS-PRF 38878-AC2
#------------------
# Site_Information 
#	Site_Name: ODP722
#	Location: Ocean>Indian Ocean>Arabian Sea
#	Country:  
#	Northernmost_Latitude: 16.61667
# 	Southernmost_Latitude: 16.61667
# 	Easternmost_Longitude: 59.8
# 	Westernmost_Longitude: 59.8
# 	Elevation: -2022 m
#------------------
# Data_Collection   
#	Collection_Name: Huang2007biomarker
#	Earliest_Year: 10901400
#	Most_Recent_Year: 165000
#	Time_Unit: Cal. Year BP
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_m	depth, , , m, , , mbsf, ,N,
## age_MaB85	age, , , Millions of calendar years before present, , , Berggren 1985, ,N,
## age_MaCK95	age, , , Millions of calendar years before present, , , Cande and Kent 1995, ,N,
## d13C-C27	delta 13C, C27 n-alkane, , per mil, , paleoceanography, , ,N, 
## d13C-C29	delta 13C, C29 n-alkane, , per mil, , paleoceanography, , ,N, 
## d13C-C31	delta 13C, C31 n-alkane, , per mil, , paleoceanography, , ,N, 
## d13C-C33	delta 13C, C33 n-alkane, , per mil, , paleoceanography, , ,N, 
## dD-C31	delta D, C31 n-alkane, , per mil, , paleoceanography, , ,N, 
## dD-C33	delta D, C33 n-alkane, , per mil, , paleoceanography, , ,N, 
## SSTalk	Sea Surface temperature, , , degrees C, , climate reconstructions, , Alkenone,N, 
## Uk37:3	alkenone unsaturation, , , ng/g, , paleoceanography, , ,N, 
## Uk37:2	alkenone unsaturation, , , ng/g, , paleoceanography, , ,N, 
## alkenone	alkenone, , , , , paleoceanography, , ,N, 
## C25	C25 n-alkane, , , ng/g, , paleoceanography, , ,N, 
## C27	C27 n-alkane, , , ng/g, , paleoceanography, , ,N, 
## C29	C29 n-alkane, , , ng/g, , paleoceanography, , ,N, 
## C31	C31 n-alkane, , , ng/g, , paleoceanography, , ,N, 
## C33	C33 n-alkane, , , ng/g, , paleoceanography, , ,N, 
## ACL	Average Chain Length, n-alkanes, , , , paleoceanography, , ,N, 
## totalk	alkanes, , , , , paleoceanography, , ,N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_m	age_MaB85	age_MaCK95	d13C-C27	d13C-C29	d13C-C31	d13C-C33	dD-C31	dD-C33	SSTalk	Uk37:3	Uk37:2	alkenone	C25	C27	C29	C31	C33	ACL	totalk
65.16	2.1736	2.1736	-25.805	-24.065	-24.435	-24.995		-109.9	26.3	146	2005	2151	23	35	68	86	35	29.61	247
66.64	2.2243	2.2243	-23.77	-25.165	-25.835	-23.67	-133.7	-139.6	26.1	268	3397	3664	35	94	187	280	134	30.05	731
68.15	2.2698	2.2698	-26.9	-26.42	-25.79	-24.89		-111.2	26	365	4295	4661	31	54	117	176	94	30.05	472
69.64	2.3265	2.3265		-25.585	-25.885		-112.6		26.4	45	656	702	18	123	68	53	23	28.58	285
71.16	2.3834	2.3834	-26.665	-25.775	-25.27	-25.32	-116.2	-119	26.3	137	1944	2081	16	33	51	60	29	29.56	188
72.26	2.4108	2.4108	-26.17	-26.81	-27.31	-26.645	-104.6	-107.3	26.3	314	4310	4624	21	34	61	76	33	29.59	226
73.25	2.4461	2.4461	-25.965	-26.805	-26.5	-25.98	-137.8	-116.3	25.9	653	7545	8198	25	45	87	116	46	29.71	319
74.76	2.4852	2.4852	-26.005	-27.3	-26.72	-26.42	-110.4	-117	26.1	134	1725	1860	14	31	64	92	50	30.06	251
76.25	2.5223	2.5223	-26.11	-25.67	-24.605	-25.09		-115.1	25.6	291	2964	3256	27	46	81	118	63	29.86	335
77.76	2.5898	2.5898	-24.43	-24.315	-24.85	-24.345	-157.2	-153	27	21	478	499	26	57	86	110	53	29.64	332
79.25	2.6435	2.6435	-26.845	-25.97	-24.61	-25.98	-130.1	-116.1	26.1	430	5308	5738	49	86	176	271	131	29.98	713
80.76	2.7093	2.7093	-25.48	-25.06	-23.975	-26.1		-115.8	25.1	693	5725	6418	45	71	154	258	113	30.01	642
81.86	2.7406	2.7406	-24.315	-24.15	-23.41	-24.1	-138.2	-134.2	26	220	2695	2915	44	84	126	156	76	29.56	485
83.45	2.8239	2.8239	-25.29	-23.48	-24.015	-24.575	-129	-134.1	25.9	468	5436	5904	55	120	217	318	178	30	888
84.96	2.8991	2.8991	-25.43	-23.035	-23.455	-24.88	-139.3	-134.8	26	200	2384	2584	37	69	108	131	63	29.56	409
86.45	2.9499	2.9499	-25.095	-26.31	-26.36	-25.695	-129.6	-127.5	26	217	2587	2804	20	39	93	130	72	30.1	353
87.96	3.0038	3.0038	-25.79	-23.33	-25.055	-25.92	-146.1	-125.3	25.6	309	3049	3358	52	86	160	194	74	29.54	565
89.45	3.0524	3.0524	-25.89	-24.405	-24.45	-24.105	-135.3	-124.2	25.9	222	2598	2821	67	108	179	187	83	29.36	625
90.96	3.0966	3.0966	-25.76	-25.565	-25.725	-25.01	-135.6	-126.7	26.2	398	5185	5583	46	96	207	291	146	30.01	785
92.03	3.1312	3.1314	-23.55	-24.42	-24.84	-24.39	-144.9	-146.8	26.8	163	3050	3213	22	54	89	98	53	29.67	316
92.63	3.2462	3.2462	-25.415	-26.12	-26.89	-26.12	-119.6	-120.3	25.9	484	5579	6063	110	202	329	384	195	29.58	1221
94.06	3.3217	3.3217	-25.67	-25.92	-24.71	-25.965	-144.1	-128.4	25.4	552	5149	5700	44	92	232	228	144	29.91	740
95.63	3.3961	3.3961	-24.825	-25.115	-25.41	-24.055	-137.4	-140.4	26.5	70	1094	1163	62	139	258	347	225	30.04	1030
96.94	3.4429	3.4429	-25.665	-25.75	-25.94	-25.28	-127.3	-134.9	26.1	423	5226	5650	39	77	134	165	107	29.86	521
102.25	3.6368	3.6368		-26.835	-26.89	-27.27	-141.8		26	189	2215	2404	23	59	110	159	87	30.04	438
103.64	3.6734	3.6734	-25.685	-26.035	-26.545	-25.5	-129.8	-135.2	26	275	3335	3610	54	120	213	285	187	30	860
105.03	3.7203	3.7203	-24.83	-25.33	-26.21	-25.35	-138.6	-129.8	26.6	206	3492	3698	43	92	147	160	86	29.58	528
111.95	3.8631	3.9614	-26.74	-26.86	-26.04	-25.96	-123.8	-124.4	27	55	1206	1261	24	53	86	112	73	29.9	349
113.36	3.8901	4.0099	-24.635	-26.335	-26.47	-25.52	-127.1	-120.3	26.5	240	3827	4067	39	73	115	125	59	29.45	410
114.63	3.9144	4.0536	-26.215	-26.515	-25.76	-25.745	-123.1	-130.6	26.5	187	2856	3043	36	87	160	211	131	30	626
121.65	4.0489	4.2953	-26.465	-26.53	-25.47	-25.415	-129.3	-126.5	27.5	17	595	611	27	50	71	80	39	29.4	267
123.15	4.0776	4.3469	-24.975	-27.185	-26.64	-26.35	-116.1	-131.8	27.2	97	2541	2638	29	61	74	81	41	29.31	286
124.64	4.1062	4.3982	-25.255	-25.455	-25.15	-24.865	-125.5	-128.5	27.4	26	806	832	25	47	75	94	50	29.67	289
126.15	4.1351	4.4502	-25.035	-25.945	-25.86	-25.52	-142	-143.2	27	66	1451	1517	33	64	93	119	63	29.62	373
127.64	4.1636	4.5015	-25.11	-25.385	-25.81	-24.47	-146.6	-144.1	27.1	17	406	422	32	63	98	119	62	29.62	374
129.15	4.1926	4.5534	-25.68	-25.885	-24.54	-24.055	-146.1	-145.9	27.2	73	1908	1981	27	64	104	153	98	30.04	445
130.05	4.2098	4.5844	-25.975	-25.765	-25.425	-25.21	-129.9	-127.6	27.1	33	777	809	25	38	58	64	31	29.35	216
131.14	4.2307	4.6219	-23.8	-24.8	-24.655	-23.97	-158.3	-153.4	27.1	60	1477	1537	25	52	74	92	49	29.6	292
140.95	4.4186	4.9596	-26.515	-26.77	-27.49	-26.06	-137	-128.5	26.9	102	2058	2160	32	47	77	95	43	29.48	294
142.45	4.4474	5.0112	-26.545	-26.93	-27.28	-25.67	-134.9	-132.6	25.9	322	3755	4078	38	55	95	123	48	29.49	358
143.95	4.4761	5.0629	-25.875	-25.68	-25.85	-26	-116.5	-120	27.1	41	944	984	60	57	89	102	43	29.06	350
145.45	4.5048	5.1145	-25.605	-25.445	-25.89	-24.41	-142.3	-136.7	27.2	18	480	498	33	47	74	83	42	29.39	278
