# Western Pacific Warm Pool Oxygen Isotope and Mg/Ca Data and SST Reconstruction during the Pleistocene
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/ 
# Online_Resource: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/dyez2014-grl/dyez2014-grl.txt
#
# Archive: Paleoceanography
#
#--------------------------------
# Contribution_Date
#   Date: 2015-02-20
#--------------------------------
# Title:  Western Pacific Warm Pool Oxygen Isotope and Mg/Ca Data and SST Reconstruction during the Pleistocene
#--------------------------------
# Investigators: Dyez, Kelsey A.; Ravelo, A. Christina
#--------------------
# Description and Notes: 
#    Description: These are data from the western Pacific warm pool, derived from sediments of Site 871, retrieved as part of ODP drilling. The dataset contains both oxygen isotopic values measured on benthic foraminifera and Mg/Ca values measured on planktic foraminifera. Included is the estimated sea surface temperature value, derived from planktic Mg/Ca.
#
#--------------------
# Publication 
#   Authors: Dyez, K.A. and A.C. Ravelo
#   Journal_Name: Geophysical Research Letters
#   Published_Title: Dynamical changes in the tropical Pacific warm pool and zonal SST gradient during the Pleistocene
#   Published_Date_or_Year: 2014
#   Volume: 41
#   Issue: 21
#   Pages: 7626-7633
#   DOI: 10.1002/2014GL061639
# Abstract: In the late Pleistocene, the atmospheric carbon dioxide concentration (pCO2) is thought to be a primary driving force for tropical sea surface temperature (SST) change because glacial-interglacial changes in tropical Pacific SST covary with pCO2. However, if the regional radiative effects of pCO2 were the only agent of change, tropical SST gradients should have remained similar as pCO2 varied with time. Instead, a new record of SST from the west Pacific shows that tropical SST gradients were different, even reversed, in the past, suggesting an important role for dynamical circulation changes. Specifically, changes in the temperature of upwelled source water, in addition to local pCO2 forcing, influenced tropical Pacific SST. These dynamical changes, rather than pCO2, may have shifted the background state of the tropics and even helped set the stage for the mid-Pleistocene transition.
#--------------------------------
# Funding_Agency: 
#    Funding_Agency_Name:
#    Grant:
#--------------------------------
# Site Information: 
# Site_Name: ODP871
# Location: Western Pacific Ocean 
#	Northernmost_Latitude:  5.55
# 	Southernmost_Latitude:  5.55
# 	Easternmost_Longitude: 172.35
# 	Westernmost_Longitude:  172.35
# 	Elevation: -1255
#--------------------------------
# Data Collection 
# Collection_Name: ODP871 Dyez14
# Oldest_Year: 1412000
# Most_Recent_Year: 45000
# Time_Unit: cal yr BP (1950 AD)
# Core_Length: 
# Notes: Age of sample based on alignment of benthic d18O record with a global benthic d18O stack [Liseicki and Raymo, 2005]. SST = ln [(Mg/Ca + 0.259 x Water depth (km) + 0.537)/0.38]/0.09 [Dyez and Ravelo, 2013]. Notes in data table show that samples are from ODP Site 871 followed by Hole, Core(Type), Section, Half, and Interval, listed in cm.
#--------------------------------
# Chronology    
#--------------------------------
# Variables    
# 
# Data variables follow (have double marker- "##")
# Data line variables format:  Variables list, one per line, shortname-tab-nine components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
## depth_m  Depth,,,m,,,,,N
## age_calkaBP  age,,,calendar kiloyears before 1950,,,,,N
## d18Ouvig  delta 18O,Uvigerina spp.,,per mil VPDB,,Paleoceanography,250-355 µm,,N
## Mg/Ca-g.rub-w	Magnesium Calcium ratio,Globigerinoides ruber white,, mmol/mol,,Paleoceanography,250-355 µm,,N
## SST-Mg/Ca-g.rub-w sea-surface temperature,Mg/Ca Globigerinoides ruber white,,degrees C,,Paleoceanography,,Using formula from Dyez and Ravelo(2013),N
#-----------------------------------
# Data:
# Missing Value: -999
depth_m	age_calkaBP	d18Ouvig	Mg/Ca-g.rub-w	SST-Mg/Ca-g.rub-w
8.27	828	3.42	4.067	28.5	871 B 2H-2 67-69
8.3	830	3.62	4.11	28.6	871 B 2H-2 70-72
8.33	833	3.47	4.105	28.6	871 B 2H-2 73-75
8.36	836	3.41	4.235	28.8	871 B 2H-2 76-78
8.39	838	3.26	4.436	29.3	871 B 2H-2 79-81
8.42	841	3.08	4.25	28.9	871 B 2H-2 82-84
8.45	844	3.61	4.479	29.4	871 B 2H-2 85-87
8.48	846	3.15	4.393	29.2	871 B 2H-2 88-90
8.51	849	-999	4.441	29.3	871 B 2H-2 91-93
8.54	852	3.5	4.559	29.5	871 B 2H-2 94-96
8.57	854	3.35	4.628	29.7	871 B 2H-2 97-99
8.6	857	3.33	4.631	29.7	871 B 2H-2 100-102
8.63	860	3.24	4.567	29.5	871 B 2H-2 103-105
8.66	862	4.28	4.672	29.8	871 B 2H-2 106-108
8.69	865	2.98	4.611	29.6	871 B 2H-2 109-111
8.72	868	3.59	4.504	29.4	871 B 2H-2 112-114
8.75	870	4.37	4.097	28.5	871 B 2H-2 115-117
8.78	873	4.01	3.878	28	871 B 2H-2 118-120
8.81	875	4.48	3.949	28.2	871 B 2H-2 121-123
8.84	878	4.67	3.975	28.3	871 B 2H-2 124-126
8.87	880	3.81	3.875	28	871 B 2H-2 127-129
8.9	882	4.33	3.838	27.9	871 B 2H-2 130-132
8.93	885	4.3	3.913	28.1	871 B 2H-2 133-135
8.96	887	4.2	3.91	28.1	871 B 2H-2 136-138
8.99	890	3.74	4.113	28.6	871 B 2H-2 139-141
9.02	892	4.19	3.927	28.2	871 B 2H-2 142-144
9.05	894	-999	3.918	28.1	871 B 2H-2 145-147
9.08	897	3.73	3.969	28.3	871 B 2H-2 148-150
9.11	899	3.94	4.083	28.5	871 B 2H-3 1-3
9.14	901	3.85	3.886	28.1	871 B 2H-3 4-6
9.17	904	3.79	3.993	28.3	871 B 2H-3 7-9
9.2	906	4.32	3.973	28.3	871 B 2H-3 10-12
9.23	909	3.9	3.968	28.2	871 B 2H-3 13-15
9.26	911	4.05	-999	-999	871 B 2H-3 16-18
9.29	913	4.27	3.975	28.3	871 B 2H-3 19-21
9.32	916	4.33	3.857	28	871 B 2H-3 22-24
9.35	918	3.92	3.7	27.6	871 B 2H-3 25-27
9.38	921	4.31	3.734	27.7	871 B 2H-3 28-30
9.41	923	3.87	3.745	27.7	871 B 2H-3 31-33
9.44	925	-999	4.077	28.5	871 B 2H-3 34-36
9.47	928	3.72	3.894	28.1	871 B 2H-3 37-39
9.5	930	3.67	3.873	28	871 B 2H-3 40-42
9.53	933	3.64	4.311	29	871 B 2H-3 43-45
9.56	935	-999	4.26	28.9	871 B 2H-3 46-48
9.59	937	-999	4.067	28.5	871 B 2H-3 49-51
9.62	940	3.24	4.081	28.5	871 B 2H-3 52-54
9.65	942	2.28	4.368	29.1	871 B 2H-3 55-57
9.68	944	3.62	4.48	29.4	871 B 2H-3 58-60
9.71	947	4.38	4.419	29.2	871 B 2H-3 61-63
9.74	949	4.02	4.703	29.8	871 B 2H-3 64-66
9.77	952	3.31	4.727	29.9	871 B 2H-3 67-69
9.8	954	3.18	4.656	29.7	871 B 2H-3 70-72
9.83	956	3.13	4.702	29.8	871 B 2H-3 73-75
9.86	959	3.73	4.471	29.3	871 B 2H-3 76-78
9.89	962	4.15	3.999	28.3	871 B 2H-3 79-81
9.92	966	4.05	4.18	28.7	871 B 2H-3 82-84
9.95	969	3.85	4.028	28.4	871 B 2H-3 85-87
9.98	972	3.96	4.147	28.7	871 B 2H-3 88-90
10.01	975	3.67	4.172	28.7	871 B 2H-3 91-93
10.04	979	3.78	4.265	28.9	871 B 2H-3 94-96
10.07	982	3.54	4.205	28.8	871 B 2H-3 97-99
10.1	985	3.88	4.169	28.7	871 B 2H-3 100-102
10.13	989	4.2	4.025	28.4	871 B 2H-3 103-105
10.16	992	3.79	4.051	28.4	871 B 2H-3 106-108
10.19	995	3.19	4.192	28.8	871 B 2H-3 109-111
10.22	998	3.85	4.153	28.7	871 B 2H-3 112-114
10.25	1002	-999	4.052	28.4	871 B 2H-3 115-117
10.28	1005	3.85	4.06	28.5	871 B 2H-3 118-120
10.31	1008	3.81	3.82	27.9	871 B 2H-3 121-123
10.34	1011	4.08	3.831	27.9	871 B 2H-3 124-126
10.37	1015	3.97	3.806	27.9	871 B 2H-3 127-129
10.4	1018	3.93	4.15	28.7	871 B 2H-3 130-132
10.43	1021	3.76	4.058	28.5	871 B 2H-3 133-135
10.46	1025	4.18	4.346	29.1	871 B 2H-3 136-138
10.49	1028	3.34	4.144	28.6	871 B 2H-3 139-141
10.52	1031	-999	4.314	29	871 B 2H-3 142-144
10.55	1034	4.1	4.094	28.5	871 B 2H-3 145-147
10.58	1038	3.92	4.019	28.4	871 B 2H-3 148-150
10.61	1041	3.86	4.19	28.7	871 B 2H-4 1-3
10.64	1044	3.88	3.881	28	871 B 2H-4 4-6
10.67	1048	3.48	3.844	28	871 B 2H-4 7-9
10.7	1051	3.9	3.773	27.8	871 B 2H-4 10-12
10.73	1054	4	3.909	28.1	871 B 2H-4 13-15
10.76	1057	3.99	3.904	28.1	871 B 2H-4 16-18
10.79	1061	4.03	4.403	29.2	871 B 2H-4 19-21
10.82	1064	3.62	4.168	28.7	871 B 2H-4 22-24
10.85	1067	4.25	4.361	29.1	871 B 2H-4 25-27
10.88	1071	3.05	4.877	30.2	871 B 2H-4 28-30
10.91	1073	-999	4.897	30.2	871 B 2H-4 31-33
10.94	1075	3.82	4.946	30.3	871 B 2H-4 34-36
10.97	1077	3.59	4.732	29.9	871 B 2H-4 37-39
11	1079	3.69	4.612	29.6	871 B 2H-4 40-42
11.03	1081	3.87	4.517	29.4	871 B 2H-4 43-45
11.06	1084	3.46	4.447	29.3	871 B 2H-4 46-48
11.09	1086	3.53	4.464	29.3	871 B 2H-4 49-51
11.12	1088	4.09	4.44	29.3	871 B 2H-4 52-54
11.15	1090	3.89	4.162	28.7	871 B 2H-4 55-57
11.18	1092	3.9	4.217	28.8	871 B 2H-4 58-60
11.21	1094	3.66	4.257	28.9	871 B 2H-4 61-63
11.24	1097	3.84	4.187	28.7	871 B 2H-4 64-66
11.27	1099	4.13	4.142	28.6	871 B 2H-4 67-69
11.3	1101	4.08	4.056	28.5	871 B 2H-4 70-72
11.33	1103	3.48	4.309	29	871 B 2H-4 73-75
11.36	1105	3.85	4.223	28.8	871 B 2H-4 76-78
11.39	1107	3.71	4.191	28.7	871 B 2H-4 79-81
11.42	1109	3.56	4.516	29.4	871 B 2H-4 82-84
11.45	1112	3.61	4.513	29.4	871 B 2H-4 85-87
11.48	1114	3.55	4.616	29.6	871 B 2H-4 88-90
11.51	1116	4.06	4.236	28.8	871 B 2H-4 91-93
11.54	1118	3.57	4.236	28.8	871 B 2H-4 94-96
11.57	1120	3.9	4.053	28.4	871 B 2H-4 97-99
11.6	1122	3.89	4.144	28.6	871 B 2H-4 100-102
11.63	1124	4.18	3.931	28.2	871 B 2H-4 103-105
11.66	1127	3.91	3.96	28.2	871 B 2H-4 106-108
11.69	1130	4.02	3.818	27.9	871 B 2H-4 109-111
11.72	1133	3.93	3.688	27.6	871 B 2H-4 112-114
11.75	1136	-999	3.93	28.2	871 B 2H-4 115-117
11.78	1139	3.49	4.203	28.8	871 B 2H-4 118-120
11.81	1142	3.68	3.785	27.8	871 B 2H-4 121-123
11.84	1145	3.77	4.02	28.4	871 B 2H-4 124-126
11.87	1148	3.86	3.937	28.2	871 B 2H-4 127-129
11.9	1151	3.12	3.851	28	871 B 2H-4 130-132
11.93	1153	-999	4.072	28.5	871 B 2H-4 133-135
11.96	1156	3.53	4.148	28.7	871 B 2H-4 136-138
11.99	1159	3.34	4.074	28.5	871 B 2H-4 139-141
12.02	1162	3.35	4.259	28.9	871 B 2H-4 142-144
12.05	1165	3.05	4.218	28.8	871 B 2H-4 145-147
12.08	1168	-999	4.272	28.9	871 B 2H-4 148-150
12.11	1170	3.39	4.288	29	871 B 2H-5 1-3
12.14	1172	3.46	4.165	28.7	871 B 2H-5 4-6
12.17	1174	3.26	4.316	29	871 B 2H-5 7-9
12.2	1177	3.88	4.181	28.7	871 B 2H-5 10-12
12.23	1179	3.47	4.279	28.9	871 B 2H-5 13-15
12.26	1181	3.33	4.171	28.7	871 B 2H-5 16-18
12.29	1183	3.54	4.358	29.1	871 B 2H-5 19-21
12.32	1186	3.79	4.173	28.7	871 B 2H-5 22-24
12.35	1188	-999	4.227	28.8	871 B 2H-5 25-27
12.41	1192	4.06	4.179	28.7	871 B 2H-5 31-33
12.44	1195	3.74	4.198	28.8	871 B 2H-5 34-36
12.47	1197	-999	4.027	28.4	871 B 2H-5 37-39
12.5	1199	4.05	4.019	28.4	871 B 2H-5 40-42
12.53	1201	3.86	4.03	28.4	871 B 2H-5 43-45
12.56	1204	4.29	4.184	28.7	871 B 2H-5 46-48
12.59	1206	3.23	3.82	27.9	871 B 2H-5 49-51
12.62	1208	-999	3.975	28.3	871 B 2H-5 52-54
12.65	1211	3.63	3.958	28.2	871 B 2H-5 55-57
12.68	1213	-999	3.837	27.9	871 B 2H-5 58-60
12.71	1215	3.83	3.905	28.1	871 B 2H-5 61-63
12.74	1217	2.89	4.145	28.6	871 B 2H-5 64-66
12.77	1220	4.13	3.99	28.3	871 B 2H-5 67-69
12.8	1222	3.75	3.973	28.3	871 B 2H-5 70-72
12.83	1224	4.06	4.103	28.6	871 B 2H-5 73-75
12.86	1226	3.84	4.323	29	871 B 2H-5 76-78
12.89	1229	3.43	4.284	29	871 B 2H-5 79-81
12.92	1231	3.31	4.293	29	871 B 2H-5 82-84
12.95	1233	3.3	4.446	29.3	871 B 2H-5 85-87
12.98	1235	3.92	4.405	29.2	871 B 2H-5 88-90
13.01	1237	3.08	4.329	29	871 B 2H-5 91-93
13.04	1238	3.21	4.492	29.4	871 B 2H-5 94-96
13.07	1240	4.11	4.584	29.6	871 B 2H-5 97-99
13.1	1242	3.65	4.197	28.8	871 B 2H-5 100-102
13.13	1244	3.8	4.237	28.9	871 B 2H-5 103-105
13.16	1246	-999	3.949	28.2	871 B 2H-5 106-108
13.19	1248	3.71	3.835	27.9	871 B 2H-5 109-111
13.22	1250	4.24	3.711	27.6	871 B 2H-5 112-114
13.25	1252	4.46	3.806	27.9	871 B 2H-5 115-117
13.28	1255	-999	3.943	28.2	871 B 2H-5 118-120
13.31	1258	4.11	3.974	28.3	871 B 2H-5 121-123
13.34	1262	3.78	3.827	27.9	871 B 2H-5 124-126
13.37	1265	3.7	4.224	28.8	871 B 2H-5 127-129
13.4	1268	3.28	4.143	28.6	871 B 2H-5 130-132
13.43	1272	3.4	4.144	28.6	871 B 2H-5 133-135
13.46	1275	3.7	4.267	28.9	871 B 2H-5 136-138
13.49	1278	3.78	4.321	29	871 B 2H-5 139-141
13.52	1281	3.66	4.21	28.8	871 B 2H-5 142-144
13.55	1285	3.65	4.308	29	871 B 2H-5 145-147
13.58	1288	3.5	4.098	28.5	871 B 2H-5 148-150
13.61	1291	4.05	4.216	28.8	871 B 2H-6 1-3
13.64	1295	3.47	3.777	27.8	871 B 2H-6 4-6
13.67	1298	4.24	4.045	28.4	871 B 2H-6 7-9
13.7	1300	3.76	4.101	28.6	871 B 2H-6 10-12
13.73	1302	3.27	3.97	28.3	871 B 2H-6 13-15
13.76	1304	3.68	4.071	28.5	871 B 2H-6 16-18
13.79	1306	3.8	4.105	28.6	871 B 2H-6 19-21
13.82	1308	4	4.374	29.1	871 B 2H-6 22-24
13.85	1310	3.8	4.188	28.7	871 B 2H-6 25-27
13.88	1312	3.07	4.359	29.1	871 B 2H-6 28-30
13.91	1313	3.94	4.379	29.2	871 B 2H-6 31-33
13.94	1315	3.78	4.395	29.2	871 B 2H-6 34-36
13.97	1317	-999	4.329	29.1	871 B 2H-6 37-39
14	1319	3.72	4.341	29.1	871 B 2H-6 40-42
14.03	1321	4	4.355	29.1	871 B 2H-6 43-45
14.06	1323	3.61	4.266	28.9	871 B 2H-6 46-48
14.09	1325	3.75	4.091	28.5	871 B 2H-6 49-51
14.12	1327	4	4.138	28.6	871 B 2H-6 52-54
14.15	1329	3.58	4.09	28.5	871 B 2H-6 55-57
14.18	1331	3.74	4.017	28.4	871 B 2H-6 58-60
14.21	1333	3.41	4.01	28.3	871 B 2H-6 61-63
14.24	1335	3.87	3.838	27.9	871 B 2H-6 64-66
14.27	1337	3.88	3.91	28.1	871 B 2H-6 67-69
14.3	1339	3.68	4.175	28.7	871 B 2H-6 70-72
14.33	1341	3.87	3.967	28.2	871 B 2H-6 73-75
14.36	1343	3.71	3.978	28.3	871 B 2H-6 76-78
14.39	1345	3.6	4.38	29.2	871 B 2H-6 79-81
14.42	1347	3.56	4.624	29.7	871 B 2H-6 82-84
14.45	1349	3.3	4.63	29.7	871 B 2H-6 85-87
14.48	1351	3.23	4.602	29.6	871 B 2H-6 88-90
14.51	1353	2.83	4.93	30.3	871 B 2H-6 91-93
14.54	1356	2.92	4.524	29.5	871 B 2H-6 94-96
14.57	1359	3.71	4.602	29.6	871 B 2H-6 97-99
14.6	1363	3.27	4.582	29.6	871 B 2H-6 100-102
14.63	1366	-999	4.405	29.2	871 B 2H-6 103-105
14.66	1370	3	4.405	29.2	871 B 2H-6 106-108
14.69	1373	3.63	4.519	29.4	871 B 2H-6 109-111
14.72	1377	3.81	4.521	29.5	871 B 2H-6 112-114
14.75	1380	3.82	4.243	28.9	871 B 2H-6 115-117
14.78	1384	3.95	4.018	28.4	871 B 2H-6 118-120
14.81	1387	3.68	4.196	28.8	871 B 2H-6 121-123
14.84	1391	3.97	4.131	28.6	871 B 2H-6 124-126
14.87	1394	3.71	4.244	28.9	871 B 2H-6 127-129
14.9	1398	3.67	4.193	28.8	871 B 2H-6 130-132
14.93	1401	2.84	4.237	28.9	871 B 2H-6 133-135
14.96	1405	3.4	4.461	29.3	871 B 2H-6 136-138
14.99	1408	3.37	4.453	29.3	871 B 2H-6 139-141
15.02	1412	3.94	4.472	29.4	871 B 2H-6 142-144
