# NOAA Paleoclimatology Program - Paleocean Site Data
# 1105-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Dirk Nuernberg
# Core/Site:      1105
# Latitude:       1.39.54S	( -1.665)
# Longitude:      12.25.42W	( -12.42833)
# Water Depth(m): 3225
#
# Publications:
#   Nuernberg, D., A. Mueller, and R.R. Schneider. 2000. Paleo-sea surface temperature
#     calculations in the equatorial east Atlantic from Mg/Ca ratios in planktic foraminifera.
#     Paleoceanography 15(1):124-134.
#------------------
#
# Description & Notes:
#   Equatorial east Atlantic sea surface temperatures from Mg/Ca.
#   Relative standard deviation is < 1% for Mg and Ca, the relative error in terms
#   of SST is + 0.4°C
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Mg/Ca         Magnesium/Calcium ratio
#             sst           Sea Surface Temperature (C)
#
# CORE: 1105
depth	yrBP 	Mg/Ca	sst	
1	240	3.214	24.73867	
4	960	2.969	23.69479	
13	3120	3.063	24.10514	
38	8790	3.282	25.01431	
48	10930	3.437	25.62183	
58	12830	3.261	24.9298	
68	14490	3.09	24.22069	
78	16140	2.579	21.84082	
88	17800	2.75	22.68601	
98	18930	2.909	23.42601	
108	20070	2.599	21.94252	
118	21200	2.825	23.04026	
123	21770	2.541	21.64539	
133	22900	2.894	23.35795	
143	24030	2.675	22.32197	
153	25170	2.66	22.24794	
163	26300	2.59	21.89685	
173	27430	2.573	21.81015	
183	29190	2.88	23.29411	
193	31570	2.757	22.71948	
203	33950	2.826	23.04492	
213	36330	2.817	23.00292	
223	38710	2.945	23.58793	
233	41100	2.614	22.01828	
243	43480	3	23.83154	
253	45860	2.957	23.64147	
263	48240	2.85	23.15625	
283	53000	3.119	24.34367	
293	55000	2.921	23.48021	
303	57000	2.878	23.28496	
313	59000	2.634	22.11863	
323	63000	2.926	23.50272	
333	67000	2.698	22.43469	
343	71000	3.129	24.38581	
353	73570	3.037	23.99292	
363	76140	2.993	23.80078	
373	78710	2.906	23.41243	
383	81000	3.186	24.62348	
393	83000	3.549	26.044	
403	85000	3.045	24.02755	
413	87000	2.989	23.78318	
423	90000	2.845	23.13313	
433	93000	2.983	23.75672	
443	96000	3.019	23.91465	
463	101000	2.895	23.3625	
473	103000	2.862	23.21157	
483	105000	3.068	24.12662	
493	107000	2.845	23.13313	
503	110000	2.882	23.30325	
513	113000	3.079	24.17374	
523	116000	3.319	25.1619	
533	119000	3.112	24.31409	
543	122000	3.702	26.59967	
553	124400	3.55	26.04771	
563	126800	3.36	25.32354	
573	129400	3.229	24.79997	
583	132200	2.958	23.64592	
593	135000	2.956	23.63702	
603	137440	2.935	23.54316	
613	139890	2.943	23.57899	
623	142330	2.792	22.88556	
633	144780	2.903	23.39883	
643	147000	2.708	22.48339	
653	149000	3.017	23.90593	
673	154640	3.034	23.9799	
683	158270	2.925	23.49822	
693	161910	2.841	23.11461	
703	165550	2.874	23.26665	
713	169180	3.043	24.0189	
723	172090	3.097	24.25048	
733	174270	2.78	22.82886	
743	176460	2.935	23.54316	
753	178640	2.961	23.65927	
763	180820	2.881	23.29868	
773	183000	2.764	22.75287	
783	184000	2.819	23.01226	
793	185000	2.826	23.04492	
803	186000	2.905	23.4079	
813	187460	2.848	23.14701	
823	188910	2.869	23.24373	
833	190360	2.874	23.26665	
843	191820	3.189	24.63587	
863	196200	3.291	25.05036	
873	200600	3.127	24.37739	
883	205000	3.207	24.70997	
893	209400	3.587	26.18422	
903	213800	3.353	25.29608	
913	217330	3.428	25.58731	
923	220000	3.318	25.15793	
943	225330	2.949	23.6058	
953	228000	2.83	23.06354	
963	229110	3.228	24.7959	
973	230220	3.03	23.96254	
983	231330	2.832	23.07284	
993	232440	3.013	23.88846	
1003	233560	3.093	24.23346	
1013	234670	3.075	24.15662	
1023	235780	3.397	25.46772	
1033	236890	3.23	24.80405	
1043	238000	2.972	23.70809	
1048	239750	3.01	-999	
1048	239750	2.96	23.65	
1048	239750	-999	23.88	
1053	241500	2.907	23.41696	
1063	245000	2.955	23.63256	
1068	246000	2.68	-999	
1068	246000	2.57	-999	
1068	246000	-999	22.35	
1068	246000	-999	21.79	
1073	247000	2.888	23.33063	
1078	248000	2.76	-999	
1078	248000	2.79	-999	
1078	248000	-999	22.73	
1078	248000	-999	22.88	
1083	249000	2.632	22.10863	
1088	250430	2.86	-999	
1088	250430	2.8	-999	
1088	250430	-999	23.2	
1088	250430	-999	22.92	
1093	251860	2.733	22.60438	
1103	254710	2.808	22.96079	
1113	257570	3.067	24.12233	
1118	259000	2.91	-999	
1118	259000	2.96	-999	
1118	259000	-999	23.43	
1118	259000	-999	23.65	
1123	260430	2.955	23.63256	
1128	261860	2.95	-999	
1128	261860	2.92	-999	
1128	261860	-999	23.61	
1128	261860	-999	23.48	
1133	263290	2.904	23.40336	
1143	266140	2.899	23.38068	
1153	269000	2.871	23.2529	
1158	270130	3.09	-999	
1158	270130	3.08	-999	
1158	270130	-999	24.22	
1158	270130	-999	24.18	
1168	272380	2.82	-999	
1168	272380	2.9	23.39	
1168	272380	-999	23.02	
1178	274630	2.81	-999	
1178	274630	2.81	22.97	
1178	274630	-999	22.97	
