# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-21-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-21
# Latitude:       42.11.00S	( -42.18333)
# Longitude:      94.53.00E	( 94.88333)
# Water Depth(m): 3328
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             drysedwtg     Dry sediment weight (g)
#             Dsqchord      Squared-chord distance
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             forams/g      Foraminifers per gram
#             foramsfrag    Foraminifers Fragments
#             g.aequi%      Globigerinella aequilateralis percent
#             g.bull%       Globigerina bulloides percent
#             g.calid%      Globigerina calida percent
#             g.duter%      Globoquadrina dutertrei percent
#             g.falco%      Globigerina falconensis percent
#             g.glut%       Globigerinita glutinata percent
#             g.hirsu%      Globorotalia hirsuta percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.rub%        Globigerinoides ruber percent
#             g.scit%       Globorotalia scitula percent
#             g.tenn%       Globigerinoides tenellus percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             o.univer%     Orbulina universa percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.humil%      Globigerina humilis percent
#             g.rubes%      Globigerina rubescens percent
#             g.sp%         Globorotalia sp. percent
#             g.sac%        Globigerinoides sacculifer percent
#
# CORE: E49-21
depth	yrBP 	carb%	cfrac%>150	d13C	d18O	drysedwtg	Dsqchord	Dsqchord_err	forams%	forams-b	forams-b%	forams/g	foramsfrag	g.aequi%	g.bull%	g.calid%	g.duter%	g.falco%	g.glut%	g.hirsu%	g.infla%	g.quinq%	g.rub%	g.scit%	g.tenn%	g.trc-l%	g.trc-r%	n.pachy-l%	n.pachy-r%	o.univer%	pd%	plank	radio	radio%	split	sst-aug	sst-aug_err	sst-feb	sst-feb_err	g.crass%	g.digit%	g.humil%	g.rubes%	g.sp%	g.sac%	notes
209	-999	-999	-999	-0.44	2.94	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
209	-999	-999	-999	-0.5	3.16	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
209	-999	98.3	15.6	-0.47	3.05	5.84	0.14	0.03	95.4	3	0.7	9162	20	0.2	29.9	0.7	1.5	8.5	5.8	-999	17	3.2	3.7	0.7	0.2	5.4	0.5	1.2	2.9	4.6	13.6	417	0	0	0.0078	12.04	2.1	17.27	3.6	-999	-999	-999	0.2	-999	-999	
219	-999	-999	-999	-0.14	3.14	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
219	-999	95.6	17.1	-0.55	3.1	5.76	0.09	0.02	93	5	1.2	8852	30	-999	38.3	0.8	0.8	4.3	4.6	0.3	15.8	2.8	0.3	0.3	-999	4.6	-999	6.9	6.4	1.8	12.2	398	0	0	0.0078	9.33	1.8	12.09	2.8	-999	-999	-999	-999	-999	-999	
229	-999	-999	-999	-0.66	3.41	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
229	-999	-999	-999	-0.48	3.45	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
229	-999	91.9	22.3	-0.39	3.38	4.76	0.07	0.02	86.5	2	0.5	10374	60	-999	48	-999	0.3	0.3	6.1	-999	15.6	7.1	0.3	-999	0.3	2.4	-999	14	1.3	-999	4.5	385	0	0	0.0078	6.25	1.5	8.34	2.6	-999	-999	-999	-999	-999	-999	
234	135000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 6.2
239	-999	-999	-999	-0.43	3.44	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
239	-999	-999	-999	-0.33	3.41	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
239	-999	92.1	20.4	-0.57	3.32	5.31	0.07	0.02	78.5	4	1.2	7946	90	-999	50.5	0.3	-999	0.3	5.2	-999	8.9	5.8	-999	-999	-999	2.1	-999	22	2.1	0.9	1.5	329	0	0	0.0078	5.61	1.1	7.3	0.8	-999	-999	-999	-999	0.3	-999	
249	-999	-999	-999	-0.41	3.47	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
249	-999	90.7	26	-0.34	3	4.72	0.07	0.02	89.7	7	1.6	11838	50	-999	51	-999	-999	-999	7.2	-999	13.2	7.2	-999	0.2	-999	1.9	-999	15.1	0.7	0.7	2.8	436	0	0	0.0078	6.05	1.2	7.68	0.9	-999	-999	-999	-999	-999	-999	
259	-999	-999	-999	-0.35	2.66	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
259	-999	-999	-999	-0.15	2.73	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
259	-999	-999	-999	-0.09	3.02	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
259	-999	95.9	17.5	-0.22	2.82	5.91	0.11	0.04	92	3	0.7	9965	40	0.2	38.4	0.9	0.7	3.6	5.8	-999	9.3	4.9	-999	-999	-999	5.1	0.2	6.4	5.3	1.8	17.1	459	0	0	0.0078	8.43	1.8	10.71	2.5	-999	0.2	-999	-999	-999	-999	
269	-999	-999	-999	-0.21	2.78	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
269	-999	-999	-999	-0.23	3.05	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
269	-999	-999	-999	-0.08	2.33	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
269	-999	96.3	16.9	-0.32	2.23	6.03	0.13	0.05	92.2	5	1	10083	40	0.4	36.1	0.2	0.4	6.7	4.1	-999	8.2	5.6	0.2	-999	-999	6.3	-999	6.5	3.7	1.1	20.5	474	0	0	0.0078	8.4	2.3	11.14	3.1	-999	-999	-999	-999	-999	-999	
279	-999	-999	-999	-0.23	2.72	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
279	-999	97.1	16.6	-0.01	3.07	5.99	0.11	0.03	93.4	3	0.5	12093	40	0.2	34	1.1	0.4	6.1	5.2	-999	11.3	2.7	0.2	0.2	-999	5.2	0.2	6.1	7.3	1.4	18.4	565	0	0	0.0078	9.88	2.2	13.17	3.8	-999	-999	-999	-999	-999	0.2	
289	-999	-999	-999	-0.46	3.06	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
289	-999	-999	-999	-0.61	2.99	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
289	-999	-999	-999	-0.51	3.22	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
289	-999	95.9	22.6	-0.51	3.03	5.22	0.09	0.02	92	3	0.5	14152	50	-999	44.5	0.6	0.6	2.8	5.2	0.2	12.4	6.6	1	-999	-999	3.6	-999	11.4	3	0.6	7.4	576	0	0	0.0078	7.82	1.3	10.19	2.6	-999	-999	-999	0.2	-999	-999	
299	-999	-999	-999	-0.46	3.39	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
299	-999	-999	-999	-0.55	3.19	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
299	-999	-999	-999	-0.58	3.39	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
299	-999	92.9	25.9	-0.48	3.16	4.92	0.07	0.02	87	2	0.5	10432	60	-999	56	-999	0.3	0.8	4.8	-999	11.1	4.8	-999	-999	-999	2.3	-999	15.6	1.3	-999	3.3	400	0	0	0.0078	6.05	1.2	7.68	0.9	-999	-999	-999	-999	-999	-999	
309	-999	-999	-999	-0.2	2.76	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
309	-999	97.9	16	-0.25	2.98	5.75	0.13	0.02	90.7	4	0.8	10821	50	0.4	28	2.1	0.4	10.5	4	0.4	14.9	2.5	0.2	0.8	-999	5.7	0.2	4	6.1	1.7	17.6	485	0	0	0.0078	10.54	2.3	14.57	3.7	-999	0.2	0.2	0.2	-999	-999	
319	-999	-999	-999	-0.34	2.81	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
319	-999	97.9	17.7	-0.38	2.88	5.17	0.13	0.02	92.4	1	0.2	12086	40	-999	28.3	0.6	0.8	10.8	4.6	0.4	12.9	3.6	1.1	0.4	-999	6.3	-999	1.7	7.6	2.7	17.9	487	0	0	0.0078	10.74	2.2	15.08	3.7	-999	-999	-999	0.2	-999	-999	
329	-999	-999	-999	-0.56	3.02	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
329	-999	-999	-999	-0.48	3.27	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
329	-999	-999	-999	-0.44	3.39	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
329	-999	92.5	27.1	-0.56	3.1	3.7	0.08	0.02	75.4	0	0	10617	100	-999	56	-999	-999	-999	5.4	-999	12.1	7.7	-999	-999	-999	1.3	-999	12.4	2.4	0.3	2.4	306	0	0	0.0078	5.74	1.4	7.92	1.3	-999	-999	-999	-999	-999	-999	
339	-999	-999	-999	-0.38	3.14	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
339	-999	94.8	21.4	-0.46	3.35	4.16	0.12	0.04	81.3	6	1.5	12011	90	-999	36.9	0.8	0.5	8.2	5.5	-999	12.1	6.9	0.3	-999	-999	2.1	-999	6.9	3.7	0.8	15.3	390	10	2.5	0.0078	8.06	1.8	11.06	3	-999	-999	-999	-999	-999	-999	
349	-999	-999	-999	-0.32	2.77	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
349	-999	-999	-999	-0.4	3.13	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
349	-999	-999	-999	-0.27	2.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
349	-999	93.8	15.8	-0.57	2.45	4.22	0.14	0.03	94.8	1	0.3	10990	20	-999	26.5	1.7	0.3	11.5	3.5	0.6	17	0.9	0.6	-999	0.3	6.1	0.3	2.3	6.6	2.6	18.4	362	0	0	0.0078	12.24	1.9	17.1	3.2	-999	-999	0.3	0.6	-999	-999	
359	-999	-999	-999	-0.65	3.01	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
359	-999	93	31.3	-0.72	2.57	5.7	0.09	0.02	88.3	2	0.7	13640	40	-999	52.9	0.3	-999	0.7	5.1	0.3	10.4	9.4	0.3	-999	-999	1.7	-999	12.5	2.7	-999	3.4	303	0	0	0.0039	6.27	2	8.64	2.2	-999	0.3	-999	-999	-999	-999	
369	-999	-999	-999	-0.69	2.81	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
369	-999	-999	-999	-0.52	2.82	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
369	-999	-999	-999	-0.54	2.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
369	-999	92.9	28.4	-0.42	2.89	5.26	0.06	0.02	88.7	3	1	15267	40	-999	41	0.3	0.3	1	7.5	-999	14	5.9	-999	-999	-999	2.3	-999	19.5	2.6	-999	5.5	313	0	0	0.0039	6.14	1.3	7.72	1	-999	-999	-999	-999	-999	-999	
379	-999	-999	-999	-0.74	2.85	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
379	-999	93.5	31.9	-0.75	2.8	5.42	0.09	0.02	88.1	4	1.1	17568	50	-999	41.5	0.8	-999	1.1	6.1	-999	14.8	10	-999	0.3	-999	3.1	0.3	15	1.1	0.3	5.6	371	0	0	0.0039	6.43	1.8	8.3	2.2	-999	-999	-999	-999	-999	-999	
389	-999	-999	-999	-0.7	2.76	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
389	-999	91.2	17.2	-0.9	2.98	5.54	0.07	0.02	88.1	2	0.7	13690	40	-999	47.6	0.3	-999	0.7	5.5	-999	13.8	8.6	-999	-999	-999	3.5	-999	14.1	2.4	0.7	2.8	296	0	0	0.0039	6.05	1.2	7.68	0.9	-999	-999	-999	-999	-999	-999	
399	-999	-999	-999	-0.73	2.88	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
399	-999	93.3	18.3	-0.78	2.76	5.19	0.1	0.01	82.3	1	0.3	16109	70	-999	36.1	0.6	1.2	1.9	3.1	-999	24.7	5.3	-999	0.3	-999	1.5	-999	14.2	2.5	0.9	7.4	326	10	3	0.0039	7.3	1.2	10.25	2.7	-999	0.3	-999	-999	-999	-999	
409	-999	-999	-999	-0.23	2.48	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
409	-999	95.2	20.9	-0.28	2.39	5.31	0.08	0.03	81.7	1	0.3	15126	70	0.3	39.7	0.3	0.7	1.6	4.8	-999	19	4.5	0.3	-999	-999	3.9	0.3	7.7	2.3	0.7	13.9	313	0	0	0.0039	7.93	1.2	10.9	2.4	-999	-999	-999	-999	-999	-999	
419	194000	-999	-999	-0.3	2.14	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7.1
419	194000	-999	-999	-0.37	2.43	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
419	194000	95.6	19.7	-0.22	2.45	5.47	0.08	0.03	88.8	1	0.2	12975	70	0.2	38.4	0.4	0.4	4.4	4.8	-999	20.2	7.3	-999	0.2	-999	5	0.2	4.2	1.8	0.7	11.7	554	0	0	0.0078	8.82	1.5	12.21	2.6	0.2	-999	-999	-999	-999	-999	
429	-999	96.7	19.4	-0.51	2.34	5.65	0.12	0.04	85.9	0	0	11036	80	-999	38.2	0.4	0.2	6.7	5.2	-999	18.7	10.3	0.4	-999	-999	5	-999	2.9	0.4	1.7	9.2	486	0	0	0.0078	8.84	1.5	12.35	2.5	0.4	-999	-999	0.2	-999	-999	
439	-999	93.9	26.6	-0.52	2.8	5.69	0.08	0.01	80.3	1	0.2	12875	140	-999	48.9	-999	0.5	1.6	5.5	-999	18.9	8.1	-999	0.2	-999	3.7	-999	7.8	1.6	0.2	3	571	0	0	0.0078	7.76	1.3	9.99	2.6	-999	-999	-999	-999	-999	-999	
449	-999	96.5	27.1	-0.5	2.6	5.25	0.08	0.02	86.2	2	0.6	15284	50	-999	37	0.3	-999	2.9	3.6	-999	24.7	6.2	-999	-999	-999	3.6	0.3	8.8	2.3	0.3	10.1	313	0	0	0.0039	8.07	1	11.23	2.3	-999	-999	-999	-999	-999	-999	
459	-999	97.3	19.4	-0.59	2.68	6.07	0.11	0.03	93.8	2	0.7	12833	20	-999	35.1	0.3	1.7	8	4.4	-999	15.1	8.4	0.3	-999	-999	3.3	-999	4.7	5	1.3	12.4	304	0	0	0.0039	9.35	1.8	12.57	2.9	-999	-999	-999	-999	-999	-999	
469	238000	95.3	22.6	-0.76	2.43	5.73	0.09	0.03	87.7	2	0.4	12778	80	-999	43.6	-999	1.3	2.5	6.9	-999	15	8.9	-999	-999	-999	3.3	0.2	8.5	1.5	0.7	7.8	571	10	1.7	0.0078	7.82	1.3	10.19	2.6	-999	-999	-999	-999	-999	-999	Event: 7.5
479	-999	95	22.4	-0.73	2.7	5.91	0.06	0.02	88.3	0	0	13094	40	-999	38.5	-999	-999	1	8.7	-999	15.7	7	-999	-999	-999	3.3	-999	18.4	1.3	-999	6	302	10	3.2	0.0039	6.24	1.5	8.3	2.6	-999	-999	-999	-999	-999	-999	
489	-999	-999	-999	-0.59	2.93	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
489	-999	-999	-999	-0.53	3.02	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
489	-999	-999	-999	-0.66	3.05	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
489	-999	93.4	23.5	-0.48	3.03	5.34	0.06	0.02	86.2	3	1	15041	50	-999	39.7	-999	-999	-999	8.1	-999	18.1	7.1	-999	-999	-999	1.9	-999	18.4	1.6	-999	5.2	313	10	3.1	0.0039	6.24	1.5	8.3	2.6	-999	-999	-999	-999	-999	-999	
499	-999	92.9	20.2	-0.39	3.13	5.65	0.08	0.02	76.3	3	0.7	9511	130	-999	45.2	-999	0.5	1.2	6.3	-999	14.3	8.3	-999	-999	-999	2.2	-999	18.2	0.5	-999	3.4	419	20	4.6	0.0078	5.51	1	7.18	0.6	-999	-999	-999	-999	-999	-999	
509	-999	89.6	12.5	-0.32	3.11	5.77	0.07	0.02	55.6	9	2.1	4587	330	-999	48.1	-999	0.5	-999	4.9	-999	17.2	5.3	-999	-999	-999	1	-999	16.3	1.5	-999	5.3	413	20	4.6	0.0156	6.25	1.5	8.34	2.6	-999	-999	-999	-999	-999	-999	
519	-999	93.3	10.8	0.13	3.11	5.84	0.06	0.02	55.5	6	1.8	3697	270	-999	50.6	-999	-999	-999	3.9	-999	18.3	3	-999	-999	-999	1.2	-999	15.3	3	0.3	4.5	337	20	5.6	0.0156	6.25	1.7	8.59	2.8	-999	-999	-999	-999	-999	-999	
529	-999	97.7	13	0.33	2.82	5.94	0.08	0.02	74.8	3	1	6411	100	-999	41.5	-999	-999	0.3	10.5	-999	23.5	3.1	-999	-999	-999	2.4	-999	6.1	2.4	0.3	9.9	297	10	3.3	0.0078	7.72	1.3	10.19	2.5	-999	-999	-999	-999	-999	-999	
539	287000	99.1	13	0.23	2.78	5.45	0.09	0.03	82.3	9	1.7	5999	110	-999	34.6	-999	-999	0.4	10.5	-999	24.3	6.6	-999	0.2	-999	2.8	0.2	6.2	1.4	-999	12.7	510	10	1.9	0.0156	7.84	1.2	10.76	2.4	-999	0.2	-999	-999	-999	-999	Event: 8.5
549	-999	96.1	12.6	0.3	2.88	5.92	0.07	0.01	75.4	4	0.8	5655	170	-999	46.6	-999	-999	0.8	7	-999	21.2	4.1	0.2	-999	-999	1.8	0.2	7.6	3.3	-999	7.4	522	10	1.9	0.0156	7.73	1.3	10.05	2.6	-999	-999	-999	-999	-999	-999	
559	-999	97.4	15.8	0.16	2.82	5.9	0.07	0.02	71.7	10	2.9	7166	130	-999	39.3	-999	0.3	0.6	8.1	-999	20.1	4	-999	-999	-999	0.9	-999	11.8	4.3	0.6	9.9	330	20	5.7	0.0078	6.85	1.3	9.16	2.5	-999	-999	-999	-999	-999	-999	
569	-999	-999	-999	0.39	2.74	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
569	-999	-999	-999	0.21	2.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
