# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-21-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-21
# Latitude:       42.11.00S	( -42.18333)
# Longitude:      94.53.00E	( 94.88333)
# Water Depth(m): 3328
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             drysedwtg     Dry sediment weight (g)
#             Dsqchord      Squared-chord distance
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             forams/g      Foraminifers per gram
#             foramsfrag    Foraminifers Fragments
#             g.aequi%      Globigerinella aequilateralis percent
#             g.bull%       Globigerina bulloides percent
#             g.calid%      Globigerina calida percent
#             g.duter%      Globoquadrina dutertrei percent
#             g.falco%      Globigerina falconensis percent
#             g.glut%       Globigerinita glutinata percent
#             g.hirsu%      Globorotalia hirsuta percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.rub%        Globigerinoides ruber percent
#             g.scit%       Globorotalia scitula percent
#             g.tenn%       Globigerinoides tenellus percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             o.univer%     Orbulina universa percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.humil%      Globigerina humilis percent
#             g.rubes%      Globigerina rubescens percent
#             g.sp%         Globorotalia sp. percent
#             g.sac%        Globigerinoides sacculifer percent
#
# CORE: E49-21
depth	yrBP 	carb%	cfrac%>150	d13C	d18O	drysedwtg	Dsqchord	Dsqchord_err	forams%	forams-b	forams-b%	forams/g	foramsfrag	g.aequi%	g.bull%	g.calid%	g.duter%	g.falco%	g.glut%	g.hirsu%	g.infla%	g.quinq%	g.rub%	g.scit%	g.tenn%	g.trc-l%	g.trc-r%	n.pachy-l%	n.pachy-r%	o.univer%	pd%	plank	radio	radio%	split	sst-aug	sst-aug_err	sst-feb	sst-feb_err	g.crass%	g.digit%	g.humil%	g.rubes%	g.sp%	g.sac%	notes
69	-999	97.4	26.2	0.14	3.02	4.99	0.09	0.01	91.2	5	1	13391	50	-999	39.4	0.2	-999	0.2	6.3	-999	12.6	15.9	-999	-999	-999	3.2	-999	13.2	4.1	0.2	4.7	521	6	1.1	0.0078	7.04	2	9.75	2.8	-999	-999	-999	-999	-999	-999	
79	-999	96.5	20.1	-0.03	2.9	5.67	0.08	0.01	93.8	1	0.3	13560	20	-999	35.5	-999	-999	-999	6.6	-999	13.6	13.2	-999	-999	-999	3.3	-999	13.6	4.8	-999	9.5	300	6	2	0.0039	7.38	1.6	9.64	2.8	-999	-999	-999	-999	-999	-999	
89	53000	96.1	18.8	-0.08	2.69	5.37	0.09	0.01	96	3	0.6	11429	20	-999	40	0.2	-999	0.2	5.6	-999	8.3	11	-999	-999	-999	3.4	-999	15.7	6.1	0.2	9.2	479	1	0.2	0.0078	6.82	2	9.14	2	-999	-999	-999	-999	-999	-999	Event: 3.3
99	-999	93.5	16.8	-0.1	3.16	4.72	0.09	0.01	81.3	1	0.3	8293	70	-999	50.9	-999	-999	0.3	8.1	-999	8.5	7.8	-999	-999	-999	1.4	-999	12.9	1.4	-999	8.5	305	1	0.3	0.0078	5.78	1.4	8.11	1.2	-999	0.3	-999	-999	-999	-999	
104	65000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 4.2
109	-999	96.2	21.5	-0.18	3.07	4.44	0.07	0.03	82.7	4	1	11054	80	-999	54	-999	-999	-999	6.7	-999	8.6	2.9	-999	0.3	-999	2.9	-999	17.1	0.8	-999	6.7	383	3	0.8	0.0078	5.52	1.1	7.35	0.9	-999	-999	-999	-999	-999	-999	
119	-999	98.1	15.8	-999	-999	5.46	0.06	0.02	85.4	1	0.3	8212	60	-999	51	-999	-999	-999	7.9	-999	10.8	2.6	-999	0.3	-999	4.1	0.6	12.8	4.1	-999	5.8	350	0	0	0.0078	6.4	1.3	8.17	1.3	-999	-999	-999	-999	-999	-999	
129	80000	-999	-999	0.03	2.59	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.1
129	80000	-999	-999	0.1	2.76	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
129	80000	-999	-999	0.22	2.57	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
129	80000	98.3	14.7	0.17	2.86	5.31	0.09	0.03	93.7	4	0.9	10766	30	-999	43.3	-999	-999	1.2	5.3	0.2	9	9.7	-999	-999	-999	5.3	0.2	9	2.1	-999	14.5	446	0	0	0.0078	7.6	1.5	10.15	2.6	-999	-999	0.2	-999	-999	-999	
139	-999	99.4	14	0.22	2.78	5.63	0.08	0.04	95.6	6	1.4	9974	20	-999	40.4	0.2	0.2	1.4	7.8	-999	12.2	6.6	-999	-999	-999	3.3	0.2	5.9	3.1	-999	18.8	438	0	0	0.0078	7.6	1.5	10.15	2.6	-999	-999	-999	-999	-999	-999	
149	87000	-999	-999	0.23	2.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.2
149	87000	98.6	14.4	-0.06	2.73	5.81	0.08	0.03	93.4	5	1.2	9373	30	-999	44.5	-999	0.5	0.5	11.4	-999	9.3	7.8	-999	-999	0.2	2.7	-999	6.8	5.8	-999	10.5	425	0	0	0.0078	7.54	1.6	9.96	2.7	-999	-999	-999	-999	-999	-999	
159	-999	-999	-999	0.15	2.97	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
159	-999	-999	-999	-0.13	2.72	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
159	-999	97	13.8	-0.13	2.76	5.87	0.08	0.04	92	4	1.1	7579	30	-999	41.6	0.3	-999	0.6	6.9	-999	9.3	10.5	0.3	-999	-999	5.7	-999	7.2	4.8	0.6	12	347	0	0	0.0078	7.72	1.3	10.19	2.5	0.3	-999	-999	-999	-999	-999	
169	99000	-999	-999	-0.05	2.88	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.3
169	99000	-999	-999	-0.21	2.56	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
