# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-18-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-18
# Latitude:       46.03.00S	( -46.05)
# Longitude:      90.10.00E	( 90.16667)
# Water Depth(m): 3291
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             Dsqchord      Squared-chord distance
#             forams/g      Foraminifers per gram
#             g.bull%       Globigerina bulloides percent
#             g.falco%      Globigerina falconensis percent
#             g.glut%       Globigerinita glutinata percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             o.univer%     Orbulina universa percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             drysedwtg     Dry sediment weight (g)
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             foramsfrag    Foraminifers Fragments
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             g.duter%      Globoquadrina dutertrei percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.crass%      Globorotalia crassaformis percent
#             g.calid%      Globigerina calida percent
#             g.digit%      Globigerina digitata percent
#             g.scit%       Globorotalia scitula percent
#             g.aequi%      Globigerinella aequilateralis percent
#             g.sp%         Globorotalia sp. percent
#             p.obliq%      Pulleniatina obliquiloculata percent
#
# CORE: E49-18
depth	yrBP 	d13C	d18O	Dsqchord	Dsqchord_err	forams/g	g.bull%	g.falco%	g.glut%	g.infla%	g.quinq%	g.trc-l%	n.pachy-l%	n.pachy-r%	o.univer%	pd%	plank	sst-aug	sst-aug_err	sst-feb	sst-feb_err	carb%	cfrac%>150	drysedwtg	forams%	forams-b	forams-b%	foramsfrag	radio	radio%	split	g.duter%	g.trc-r%	g.crass%	g.calid%	g.digit%	g.scit%	g.aequi%	g.sp%	p.obliq%	notes
400	-999	0.12	2.85	0.08	0.01	18836	48.3	-999	1	14.9	2	0.3	31.8	0.7	-999	0.7	301	4.75	1.1	7	1.2	27.3	22.3	4.09	85.8	3	1	50	6	2	0.0039	-999	-999	-999	0.3	-999	-999	-999	-999	-999	
410	-999	0.06	2.85	0.08	0.02	9177	38	0.4	0.9	8	0.4	0.2	46.3	1.7	0.2	3.7	464	4.08	1.1	6.97	1.4	46.4	11.5	3.24	69.9	7	1.5	200	12	2.5	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
420	-999	0.07	2.63	0.07	0.01	15904	43.1	0.4	2	11.6	0.2	2	34.2	2	-999	4.2	452	5.41	1.4	7.74	1.5	59.3	18.9	3.64	77.7	1	0.2	130	5	1.1	0.0078	0.2	-999	-999	-999	-999	-999	-999	-999	-999	
430	-999	-0.02	2.81	0.07	0.01	13648	43.7	-999	3.4	13.1	1.1	1.4	34.9	-999	-999	2.3	354	4.89	0.7	7.19	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
430	-999	-0.04	2.77	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	57.1	21	3.32	85.5	2	0.6	60	7	1.9	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
440	-999	0.1	2.6	0.05	0.01	15584	47.5	0.7	3.6	14.4	0.7	2	26.2	2.3	0.3	2	305	5.78	1.4	7.49	1.1	61.8	20.3	2.51	83.6	3	1	60	5	1.6	0.0078	0.3	-999	-999	-999	-999	-999	-999	-999	-999	
450	-999	-0.06	2.39	0.06	0.02	11774	46.3	0.8	5	11.5	1.4	2.4	23.5	1.6	-999	6.2	502	5.64	1.2	7.65	1.4	71.2	16.9	2.73	82	3	0.6	110	6	1.2	0.0156	0.6	0.4	-999	0.2	-999	-999	-999	-999	-999	
460	-999	-0.04	2.1	0.11	0.03	10932	35	6.2	6.9	11.4	2.3	4.6	12.1	3.6	1.3	15.4	303	7.69	1.5	9.78	1.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.3	-999	-999	-999	-999	-999	-999	-999	-999	
460	-999	0.12	2.36	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	76.7	14.8	3.55	91	1	0.3	30	1	0.3	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
470	-999	0.01	2.41	0.07	0.01	14832	45.6	0.9	2	15.2	1.2	1.2	28.4	1.4	-999	3.4	351	5.64	1.2	7.7	1.5	63.9	22.1	3.03	77.8	4	1.1	100	8	2.2	0.0078	-999	0.3	-999	-999	0.3	0.3	-999	-999	-999	
480	122000	-0.39	1.6	0.12	0.04	15796	36.8	3.6	8.7	9	3.6	2.5	11.6	1.4	1.4	20.2	282	6.94	1.7	9.09	2.1	40.1	14.7	4.57	84.9	2	0.7	50	2	0.7	0.0039	1.1	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.5
490	-999	-0.47	2.03	0.14	0.03	12619	32.4	5.5	5.3	9.9	3.2	5.9	9.1	2.2	3.4	21.7	519	7.69	1.5	9.78	1.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.2	0.4	-999	0.2	-999	0.4	0.2	-999	-999	
490	-999	-0.24	2.53	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6.2	13.4	5.27	94.5	4	0.8	30	2	0.4	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
500	-999	-0.5	2.89	0.07	0.02	11916	44.6	-999	5.2	16.5	1.3	1.7	25.1	0.4	1.3	3.5	222	5.64	1.2	7.7	1.5	10.2	15.8	4.77	81.6	2	0.9	50	10	4.3	0.0039	0.4	-999	-999	-999	-999	-999	-999	-999	-999	
510	135000	-0.1	3.33	0.07	0.02	2547	34.1	0.8	0.8	9.5	0.8	1.6	46.4	1.6	-999	3.6	254	3.83	1.4	6.87	1.5	4.5	4.1	3.19	59.9	6	2.3	170	296	53.8	0.0313	0.8	-999	-999	-999	-999	-999	-999	-999	-999	Event: 6.2
520	-999	-0.1	2.76	0.06	0.01	9235	42.3	-999	3.3	11.3	2	0.7	35	2	0.3	2.3	302	5.03	1	7.04	0.6	2.8	16.7	4.19	77	6	2	90	19	5.9	0.0078	0.7	-999	-999	-999	-999	-999	-999	-999	-999	
530	-999	0.34	3.62	0.08	0.02	1040	32.3	-999	-999	4.5	0.5	0.5	59.2	1.5	-999	1.5	204	2.64	1.2	6.78	2.1	3.4	3.6	3.14	29	21	9.3	500	418	67.2	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	
540	-999	0.1	3.64	0.11	0.03	2758	38.9	-999	-999	4.2	-999	0.4	54.7	1.1	-999	0.4	266	3.23	1.3	7.16	2.3	23.3	6.4	3.08	41.2	14	5	380	233	46.7	0.0313	-999	-999	-999	-999	-999	0.4	-999	-999	-999	
550	-999	-0.07	3.65	0.09	0.03	1451	41.4	-999	1.1	4.7	-999	0.3	50.8	1.4	-999	0.3	263	3.62	1.3	7.17	2.2	35.7	3.8	2.9	41.6	30	10.2	370	428	61.9	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	
560	-999	-999	-999	0.07	0.02	1239	22	-999	-999	9.8	-999	0.4	65.7	2	-999	-999	248	2.63	1.6	6.06	2.1	41	3.9	3.2	34.5	36	12.7	470	706	74	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	
570	-999	-999	-999	0.07	0.02	1361	27.9	-999	-999	9.6	0.5	-999	60.3	1.4	-999	0.5	219	3	1.5	6.5	1.8	34.2	3.4	2.57	30.9	11	4.8	490	692	76	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	
580	-999	-999	-999	0.09	0.04	992	32.8	-999	-999	16.2	-999	0.6	49	1.5	-999	-999	345	3.13	1.4	6.44	1.8	26.4	3.6	2.78	68.3	110	24.2	160	1488	81.2	0.125	-999	-999	-999	-999	-999	-999	-999	-999	-999	
590	-999	-999	-999	0.07	0.02	3534	31	-999	-999	10	-999	0.3	57.1	0.9	-999	0.6	320	3.06	1.4	6.51	1.8	22.1	7.6	2.89	33.7	21	6.2	630	428	57.2	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	
600	-999	-999	-999	0.07	0.02	3522	33.2	-999	0.9	3.7	0.3	2.2	57.9	1.5	-999	0.3	326	2.64	1.2	6.78	2.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
600	-999	-999	-999	0.07	0.02	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.64	1.2	6.78	2.1	35.2	4.9	2.96	59.2	8	2.4	225	150	31.5	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	
610	171000	-999	-999	0.06	0.02	2119	24	0.2	-999	6.9	0.2	0.5	67.5	0.2	-999	0.5	411	2	1	5.1	1.7	33.1	4.1	3.1	37.7	18	4.2	680	749	64.6	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 6.5
620	-999	-999	-999	0.06	0.02	3179	33.6	-999	0.4	13.4	1.9	0.4	48.9	0.4	-999	0.8	263	3.58	1.4	6.68	1.7	39.7	5.7	2.64	51.3	7	2.6	250	338	56.2	0.0313	-999	0.4	-999	-999	-999	-999	-999	-999	-999	
630	-999	-999	-999	0.07	0.02	544	24.9	-999	-999	19.9	0.3	-999	53.9	0.6	-999	0.3	323	2.74	1.4	5.91	1.9	44.9	2.7	2.37	16.5	61	15.9	1640	2041	86.3	0.25	-999	-999	-999	-999	-999	-999	-999	-999	-999	
640	-999	-999	-999	0.07	0.01	5684	34.9	-999	0.5	8.8	0.9	-999	54	-999	-999	0.9	220	3.98	1.9	6.97	2	56.1	7.4	2.48	52.4	1	0.5	200	172	43.9	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
650	-999	-999	-999	0.14	0.03	6658	47.8	0.3	-999	11.5	-999	-999	36.9	1	-999	2.2	314	4.62	1.9	7.53	1.9	50.4	10.1	3.02	48	9	2.8	340	84	21.1	0.0156	-999	-999	-999	0.3	-999	-999	-999	-999	-999	
660	-999	-999	-999	0.1	0.02	11913	48.1	-999	2.6	7.9	0.4	-999	38.4	0.8	0.4	1.5	266	4.26	1.2	6.8	1.3	23.1	14.3	2.86	76.9	2	0.8	80	17	6	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
670	194000	-999	-999	0.06	0.02	15133	46.3	-999	2.3	9.4	1.4	1.9	36.9	0.5	-999	0.9	220	4.69	1.1	6.75	0.9	19	19.8	3.72	81.5	1	0.5	50	11	4.8	0.0039	-999	0.5	-999	-999	-999	-999	-999	-999	-999	Event: LAD H. Karsteni/7.1
680	-999	-999	-999	0.06	0.01	18137	44.5	-999	4.2	13.9	0.8	0.4	33.2	0.8	-999	1.7	257	5.03	1	7.04	0.6	54.2	24.9	3.62	76.3	0	0	80	17	6.2	0.0039	-999	0.4	-999	-999	-999	-999	-999	-999	-999	
690	-999	-999	-999	0.1	0.01	8982	55.4	0.5	4.1	10.8	-999	0.5	26.6	-999	0.5	1.8	223	5.87	1.3	7.74	1.2	59.2	11.4	3.18	69	0	0	100	27	10.8	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
700	-999	-999	-999	0.13	0.02	9430	57.1	0.3	1.9	11.1	0.3	-999	28.3	-999	-999	1.1	371	5.07	1.4	7.28	1.4	63	12	2.52	55.3	3	0.8	300	87	19	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
710	-999	-999	-999	0.09	0.01	15905	55.3	-999	2.8	9.3	0.5	0.3	30.8	-999	-999	1	396	4.8	1.1	7.03	1.2	49.7	22.3	3.19	63.3	4	1	230	47	10.6	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
720	-999	-999	-999	0.09	0.01	17751	53.1	-999	3.3	10.7	1.2	0.4	30	-999	0.4	0.8	245	5.01	0.8	7.22	1	19.2	26.5	3.53	71	1	0.4	100	13	5	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	
730	216000	-999	-999	0.07	0.02	18599	46.8	2.1	5	12.8	3.2	0.7	27.3	0.4	-999	1.8	285	5.29	1	7.28	0.8	5.1	24.6	3.92	90.5	1	0.4	30	10	3.4	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7.3
740	-999	-999	-999	0.07	0.02	22393	42.2	0.3	5.2	13	3.8	0.6	29.8	0.3	-999	4.3	356	5.01	0.8	7.39	1.1	5.8	22.3	4.07	89.9	1	0.3	40	9	2.5	0.0039	0.6	-999	-999	-999	-999	-999	-999	-999	-999	
750	-999	-999	-999	0.07	0.02	12256	39.7	-999	7.6	10.7	6.5	0.3	30.4	0.3	-999	3.9	376	4.58	1	7.65	1.5	5.7	12.6	3.93	84.3	1	0.3	70	23	5.8	0.0078	-999	-999	-999	-999	0.6	-999	-999	-999	-999	
760	-999	-999	-999	0.07	0.02	7843	44.3	0.2	2.1	7.4	1.9	0.2	42.2	0.2	-999	1.2	428	4.78	1.4	7.67	1.8	3.8	10.6	3.5	58.8	6	1.4	300	219	33.9	0.0156	-999	-999	-999	-999	0.2	-999	-999	-999	-999	
765	228000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7.4
770	-999	-999	-999	0.09	0.02	4223	34.6	0.5	0.5	9.4	1.4	-999	48.6	0.5	-999	3.7	219	3.58	1.5	6.89	1.5	38.1	6.6	3.32	47.7	10	4.4	240	344	61.1	0.0156	-999	-999	-999	0.5	-999	-999	-999	0.5	-999	
780	-999	-999	-999	0.08	0.02	6371	29.6	0.4	1.5	6.7	0	-999	58.1	0.4	-999	3.4	274	2.75	1.6	6.25	1.8	41.5	7.3	2.76	56.6	7	2.5	210	200	42.2	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
790	-999	-999	-999	0.08	0.01	16077	41.7	0.3	2.8	10.7	2.3	-999	36.6	1.1	-999	4.2	361	4.5	1	7.34	1.6	37.3	16	2.88	78.3	1	0.3	100	41	10.2	0.0078	0.3	-999	-999	-999	-999	-999	-999	-999	-999	
800	-999	-999	-999	0.1	0.02	16267	40	1	7.3	17.6	3.9	1	22.4	-999	-999	5.4	216	5.45	0.9	7.28	0.8	45	17	3.4	91.5	2	0.9	20	7	3.1	0.0039	1.5	-999	-999	-999	-999	-999	-999	-999	-999	
810	238000	-999	-999	0.11	0.02	16464	37.1	-999	7.8	13.1	6.9	2	21.2	-999	-999	9.8	262	5.33	0.9	7.24	0.8	41.2	14.2	4.07	96.3	0	0	10	12	4.4	0.0039	1.6	0.4	-999	-999	-999	-999	-999	-999	-999	Event: 7.5
820	-999	-999	-999	0.09	0.02	11370	41.7	1.6	5.7	18.2	3.1	3.7	15.6	1.6	0.5	5.7	209	6.86	1.5	9.12	2.7	55.6	10.7	4.7	87.5	2	1	30	21	9.1	0.0039	2.1	-999	-999	0.5	-999	-999	-999	-999	-999	
830	-999	-999	-999	0.06	0.02	12704	38.5	0.5	7.2	12.5	4.3	0.5	31.3	0.5	-999	4.8	212	5.23	0.9	7.18	0.5	59.9	13.1	4.27	77.9	0	0	60	23	9.8	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	
840	-999	-999	-999	0.1	0.02	10722	39.1	-999	3.8	5.9	1.7	-999	43.3	-999	-999	5.9	295	4.52	1.4	7.68	1.9	59.1	10.7	3.52	69.4	2	0.7	130	93	24	0.0078	0.4	-999	-999	-999	-999	-999	-999	-999	-999	
850	-999	-999	-999	0.1	0.02	4303	37.7	-999	2.6	4.8	0.4	-999	54	0.4	-999	-999	232	3.78	1.2	7.67	1.8	76.4	6.1	3.46	65.9	9	3.7	120	420	64.4	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
860	249000	-999	-999	0.05	0.02	1104	15.7	-999	0.7	10	-999	-999	71	1.2	-999	1.2	422	2	1	5.1	1.7	80.3	3.3	3.06	43.4	42	9.1	550	1619	79.3	0.125	0.2	-999	-999	-999	-999	-999	-999	-999	-999	Event: 8.2
870	-999	-999	-999	0.09	0.03	2866	32.1	-999	0.4	2.8	-999	-999	62.7	1.1	-999	0.7	287	2.44	1.1	6.2	2.5	76	6.3	3.2	47.3	6	2.1	320	418	59.3	0.0313	-999	-999	-999	0.4	-999	-999	-999	-999	-999	
880	-999	-999	-999	0.06	0.01	2447	29.1	-999	1.9	9.7	1.5	-999	53	1.1	-999	3	271	4.08	1.3	6.96	1	49.4	5	3.54	52	11	3.9	250	506	65.1	0.0313	0.8	-999	-999	-999	-999	-999	-999	-999	-999	
890	-999	-999	-999	0.04	0.02	2042	20.9	-999	0.5	10.2	0.3	-999	66.3	0.8	-999	1	385	2.24	1.1	5.51	1.7	19.8	3.8	3.02	48.4	24	5.9	410	873	69.4	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	
900	269000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	9.6	3.9	3.18	-999	46	-999	450	4467	-999	0.25	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 8.4
910	-999	-999	-999	0.08	0.01	393	40.4	1	1.6	10.3	1.3	1.6	35.3	1.3	1	6.1	312	5.03	1	7.17	0.5	12.9	4.5	3.37	40.9	1	12.9	260	191	93.5	0.0156	0.3	-999	-999	-999	-999	-999	-999	-999	-999	
920	-999	-999	-999	0.21	0.02	5003	41.8	-999	-999	0.4	0.4	12.2	44.1	-999	-999	1.1	263	3.54	1.3	7.06	1.9	15.6	10.3	3.83	50.3	2	0.4	220	59	42.1	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
930	-999	-999	-999	0.09	0.02	13325	57.3	-999	4	12.1	0.8	-999	24	0.8	-999	1	399	5.62	1.2	7.52	1.1	41.3	17.7	4.02	64.5	1	0.5	110	22	12.9	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	
940	287000	-999	-999	0.11	0.02	16371	59.1	-999	4.7	7.5	2.8	-999	24	-999	-999	2	257	4.65	1	8	1.7	40.7	21.4	4.19	70	1	0.4	70	32	7.9	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 8.5
950	-999	-999	-999	0.15	0.02	18748	66.7	-999	4.4	6.4	2.4	-999	15.5	-999	-999	4	307	5.2	1.6	8.57	1.6	40.7	24.5	3.81	81.4	10	0.3	400	252	9.4	0.0156	0.7	-999	-999	-999	-999	-999	-999	-999	-999	
960	-999	-999	-999	0.17	0.02	6674	80.1	-999	2.5	3.3	0.3	0.3	10.9	1	-999	1.8	397	6.43	1.8	8.5	1.6	35.1	11.5	3.58	49.8	13	2.5	430	442	38.8	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	
970	299000	-999	-999	0.12	0.04	2274	46.7	-999	1.2	14.1	-999	-999	36.5	-999	-999	1.6	255	3.77	1.3	6.82	1.7	65.4	12.1	3.35	37.2	29	4.9	490	504	63.4	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 8.6
980	-999	-999	-999	0.07	0.02	1413	28.7	-999	0.3	5.4	-999	-999	63.9	1.4	-999	0.3	296	2.44	1.1	6.2	2.5	71.9	2.7	3.48	37.7	18	8.9	460	510	63	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	
990	-999	-999	-999	0.06	0.02	3222	25.4	-999	0.3	12	-999	-999	60.3	0.6	-999	1.4	351	2.72	1.5	6.21	1.8	79.9	6.2	3.16	43.3	4	4.9	120	49	59.2	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1000	-999	-999	-999	0.1	0.03	12954	38.4	0.3	2.2	4.7	-999	-999	50.6	0.3	-999	3.4	320	3.53	1.2	7.28	2.2	80	11.2	3.92	72.7	2	1.2	170	90	13.3	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1010	-999	-999	-999	0.13	0.01	11821	49.4	-999	2.5	4.7	-999	0.3	37.2	-999	-999	5	362	4.38	1	7.25	1.6	87.2	13.2	3.6	68.1	1	0.6	120	30	19.9	0.0078	0.3	-999	-999	0.3	0.3	-999	-999	-999	-999	
1020	300000	-999	-999	0.06	0.02	11566	24.2	-999	2.2	5.9	-999	0.3	64.4	0.6	-999	2.5	325	2.46	1.1	6.44	2.3	85.8	7.6	4.14	73	2	0.3	170	39	8.5	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: LAD G.crassiformis
1030	320000	-999	-999	0.09	0.02	10149	43.7	-999	1.5	6.2	0.3	-999	46.2	0.3	-999	1.9	328	4.22	1.7	8.2	2.2	87.8	9.9	4.28	65.9	0	0.6	90	10	10.6	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 9.2
1040	-999	-999	-999	0.13	0.01	13401	59.6	-999	1.4	5.9	1.4	-999	26.4	0.5	-999	1.4	224	5.03	1.7	8.18	1.9	88	15.3	4.3	71.3	4	0	200	36	4.3	0.0078	0.9	0.5	2.3	-999	-999	-999	-999	-999	-999	
1050	-999	-999	-999	0.1	0.01	11266	49.5	0.3	2.7	6	0.5	-999	35.1	1.1	-999	2.2	378	4.15	0.8	7.34	1.8	90.1	14.1	3.87	65.4	1	1.1	200	42	8.7	0.0078	0.5	-999	1.9	0.3	-999	-999	-999	-999	-999	
1060	-999	-999	-999	0.11	0.01	9240	59.4	-999	1.5	8	1.1	-999	24.3	1.1	-999	2.9	279	5.05	1.3	7.98	1.6	90	13.6	3.33	58.3	9	0.4	590	490	13.1	0.0625	-999	-999	1.8	-999	-999	-999	-999	-999	-999	
1070	-999	-999	-999	0.08	0.03	1527	41.8	-999	1.9	17.4	0.6	-999	35.4	1	-999	1	318	4.54	1	7.08	1.2	88.7	3.2	3.95	35	5	2.8	310	43	60.6	0.0078	-999	-999	1	-999	-999	-999	-999	-999	-999	
1080	-999	-999	-999	0.12	0.03	9313	58.8	-999	2.1	10.6	-999	-999	22.9	1.4	-999	1.4	287	5.88	1.3	7.8	1.1	83.7	16	4.91	48.1	0	1.7	80	10	13	0.0039	0.4	-999	2.5	-999	-999	-999	-999	-999	-999	
1090	-999	-999	-999	0.1	0.02	17089	48.6	-999	6.9	10	0.3	0.6	19.8	0.6	0.3	9.4	328	5.67	1.3	7.57	1	82.6	18.8	5.01	80.4	2	0	40	21	3	0.0039	1.3	-999	1.9	-999	-999	0.3	-999	-999	-999	
1095	331000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 9.3
1100	-999	-999	-999	0.11	0.03	13786	34.5	1.9	9.5	16.3	1.9	0.4	11.4	3.4	0.4	17.8	270	6.96	1.3	9.69	2.7	78.4	15.1	4.78	87.1	1	0.7	40	8	7.2	0.0039	1.1	-999	0.4	0.4	-999	0.4	0.4	-999	-999	
1110	-999	-999	-999	0.12	0.03	15186	34.9	1.8	5.5	21.7	1.5	0.4	10.7	-999	0.4	19.1	284	6.98	1.3	10.18	3	69.5	16.1	5.18	87.7	3	0.4	80	19	2.7	0.0039	2.6	-999	1.1	-999	0.4	-999	-999	-999	-999	
1120	-999	-999	-999	0.08	0.01	16037	43.8	0.7	6.2	11.4	3.6	1	18.2	2.9	-999	9.7	325	5.94	1.1	7.76	0.9	59.7	15	5.25	80.3	1	0.9	100	40	5.5	0.0039	1	-999	0.7	1	-999	-999	-999	-999	-999	
1130	-999	-999	-999	0.1	0.02	11439	50	0.4	5.1	14.5	0.9	-999	17.5	1.3	-999	8.1	235	5.67	1.3	7.57	1	66.1	14.2	3.81	70.2	20	0.4	320	473	14.6	0.0313	1.3	-999	0.9	-999	-999	-999	-999	-999	-999	
1140	341000	-999	-999	0.05	0.01	2028	11	-999	0.4	14.8	0.4	-999	72.6	-999	-999	0.8	242	1.93	1	5.08	1.7	7.7	3.7	3.91	43.1	7	7.6	200	170	66.2	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 10.2
1150	-999	-999	-999	0.05	0.02	5723	29.4	0.3	4.4	7.1	0.3	0.3	54.7	0.6	-999	2.4	349	3.64	1.8	6.57	1.3	9.2	10.2	3.69	63.6	129	2	820	1360	32.8	0.25	-999	-999	0.6	-999	-999	-999	-999	-999	-999	
1160	-999	-999	-999	0.05	0.02	402	19.1	-999	0.6	6.3	-999	-999	71.9	0.8	-999	0.8	371	2	1	5.1	1.7	37.7	2.7	4.15	31.2	22	25.8	290	360	78.6	0.0313	-999	-999	0.6	-999	-999	-999	-999	-999	-999	
1170	-999	-999	-999	0.06	0.02	2611	10.4	-999	-999	6.2	-999	0.6	79.2	1.2	-999	1.8	339	1.82	1.1	4.95	2.1	51.7	4.1	3.81	53.9	23	6.1	180	200	51.5	0.0313	-999	-999	0.6	-999	-999	-999	-999	-999	-999	
1180	-999	-999	-999	0.07	0.02	1779	20.5	-999	-999	5.2	-999	-999	73.3	0.5	-999	-999	212	2.17	1	5.75	2.6	51.7	3.2	4.5	54.1	2	9.8	100	80	48.5	0.0078	-999	-999	0.5	-999	-999	-999	-999	-999	-999	
1190	-999	-999	-999	0.05	0.01	7249	15.6	-999	7.6	4	1.2	0.4	68	0.4	-999	2.8	255	3.12	1.8	6.4	1.4	39.3	6.4	3.47	71.8	20	0.8	220	370	23.9	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1200	368000	-999	-999	0.09	0.02	2164	29.2	-999	-999	6.4	-999	-999	63.5	-999	-999	0.4	235	2.62	1.5	6.37	2.7	56.8	3.6	3.6	51.7	4	7.8	150	110	61.2	0.0156	-999	-999	0.4	-999	-999	-999	-999	-999	-999	Event: 11.1
1210	-999	-999	-999	0.07	0.02	4576	29.1	-999	1.6	2.8	-999	0.4	63.8	0.4	-999	1.6	257	2.46	1.1	6.44	2.3	41	4.1	4.33	63.1	4	1.5	200	60	30	0.0156	-999	-999	0.4	-999	-999	-999	-999	-999	-999	
1220	-999	-999	-999	0.07	0.02	6200	35	-999	4.1	6.8	0.2	0.2	47.3	0.5	-999	1.2	419	3.82	1.3	6.85	1.6	51.8	7.2	4.7	67.7	8	1	170	56	12.5	0.0156	-999	-999	4.6	-999	-999	-999	-999	-999	-999	
