V29-180      45 18.2 N   23 52.4 W  3179 AOF13B-4CE
 V 29180         0.0      18.8      12.2
 V 29180         8.0      18.4      12.2
 V 29180        12.0      19.3      12.7
 V 29180        16.0      16.8      11.6
 V 29180        20.0      14.5       8.6
 V 29180        24.0      14.1       8.9
 V 29180        27.0      14.2       8.3
 V 29180        28.0      13.8       7.3
 V 29180        32.0      13.9       8.8
 V 29180        35.0      11.6       6.4
 V 29180        41.0      12.0       8.5
 V 29180        51.0       7.7       2.3
 V 29180        55.0       8.2       2.3
 V 29180        58.0      10.4       5.2
 V 29180        63.0      10.0       5.0
 V 29180        65.0       9.5       2.4
 V 29180        85.0      10.0       4.4
 V 29180        95.0       9.2       2.8
 V 29180       105.0      10.0       2.5
 V 29180       115.0      11.0       5.0
 V 29180       125.0      11.8       6.9
 V 29180       135.0      11.1       6.4
 V 29180       145.0      13.4       7.2
 V 29180       155.0      13.2       6.7
 V 29180       165.0      13.5       8.3
 V 29180       175.0      12.9       7.3
 V 29180       184.0      13.1       7.7
 V 29180       194.0      13.1       7.7
 V 29180       194.0      13.2       8.1
 V 29180       196.0      13.1       7.3
 V 29180       204.0      11.7       6.8
 V 29180       208.0      10.5       4.4
 V 29180       212.0      11.3       5.2
 V 29180       216.0      11.6       5.8
 V 29180       220.0      14.8       8.6
 V 29180       225.0      16.1       9.8
 V 29180       235.0      15.6       9.8
 V 29180       245.0      16.1      10.3
 V 29180       255.0      14.3       9.6
 V 29180       265.0      14.4       9.3
 V 29180       275.0      13.9       9.0
 V 29180       285.0      15.5       9.7
 V 29180       295.0      15.8      10.0
 V 29180       305.0      13.9       8.8
 V 29180       315.0      17.4      11.5
 V 29180       325.0      16.2      10.2
 V 29180       335.0      21.0      13.7
 V 29180       345.0      16.7      11.0
 V 29180       355.0      11.3       5.9
 V 29180       365.0      12.1       5.6
 V 29180       375.0      10.6       4.6
 V 29180       385.0      10.6       5.9
 V 29180       395.0      15.0       9.7
 V 29180       405.0      13.8       8.2
 V 29180       415.0      13.6       7.8
 V 29180       425.0      12.2       5.7
 V 29180       435.0      14.6       7.7
 V 29180       445.0      18.6      12.2
 V 29180       455.0      20.6      12.9
 V 29180       465.0      18.2      11.3
 V 29180       475.0      18.8      12.0
 V 29180       485.0      17.0       9.6
 V 29180       495.0      16.8       9.8
 V 29180       505.0      19.0      11.8
 V 29180       515.0      12.3       7.3
 V 29180       525.0      14.4       9.0
 V 29180       535.0      11.8       7.0
 V 29180       545.0      14.5       9.2
 V 29180       555.0       6.9       1.2
 V 29180       565.0      15.7      10.3
 V 29180       575.0      16.8      10.7
 V 29180       585.0      14.5       9.1
 V 29180       595.0      17.6      10.0
 V 29180       605.0      15.3       9.5
 V 29180       615.0      15.4       9.0
 V 29180       625.0      18.9      11.6
 V 29180       635.0      19.0      12.1
 V 29180       645.0       9.3       3.0
 V 29180       655.0       7.8       2.5
 V 29180       665.0      14.8       8.5
 V 29180       675.0      16.2       9.3
 V 29180       685.0      17.1       9.6

