V27-20       54 00.0 N   46 12.0 W  3510 AOF13B-4CE
               depth    SSTwarm   SSTcold
 V 27 20         0.0      10.8       4.7
 V 27 20         5.0      11.5       5.7
 V 27 20        10.0      10.7       4.9
 V 27 20        10.0      13.4       7.1
 V 27 20        16.0      10.5       4.0
 V 27 20        20.0      10.1       4.6
 V 27 20        20.0      14.6       8.8
 V 27 20        25.0       9.8       4.3
 V 27 20        31.0      10.7       4.1
 V 27 20        31.0      10.1       2.6
 V 27 20        35.0      10.9       3.6
 V 27 20        40.0       6.9       1.1
 V 27 20        40.0       9.7       2.7
 V 27 20        48.0       6.5       0.5
 V 27 20        52.0       6.3       0.5
 V 27 20        58.0       8.1       2.1
 V 27 20        60.0       8.2       2.2
 V 27 20        70.0       6.6       0.7
 V 27 20        70.0       6.6       0.7
 V 27 20        80.0       7.7       2.2
 V 27 20        80.0       6.5       0.6
 V 27 20        90.0       6.0      -0.1
 V 27 20       100.0       6.3       0.4
 V 27 20       110.0       6.0      -0.2
 V 27 20       120.0       6.4       0.2
 V 27 20       130.0       6.0       0.0
 V 27 20       140.0       6.2       0.1
 V 27 20       150.0       6.0      -0.1
 V 27 20       160.0       8.0       2.0
 V 27 20       170.0       6.9       0.8
 V 27 20       180.0       6.3       0.2
 V 27 20       190.0       6.1       0.0
 V 27 20       200.0       6.6       0.7
 V 27 20       210.0       6.3       0.3
 V 27 20       220.0       6.1       0.0
 V 27 20       229.0       6.1       0.1
 V 27 20       240.0       6.5       0.6
 V 27 20       245.0       6.2       0.2
 V 27 20       251.0       6.8       0.6
 V 27 20       253.0       6.9       0.8
 V 27 20       255.0       6.7       0.3
 V 27 20       256.0       6.9       0.9
 V 27 20       256.0       7.0       0.7
 V 27 20       258.0       7.9       1.5
 V 27 20       260.0       6.2       0.1
 V 27 20       265.0       6.1       0.1
 V 27 20       269.0       6.1       0.1
 V 27 20       280.0       6.1       0.1
 V 27 20       290.0       6.2       0.3
 V 27 20       290.0       6.1       0.0
 V 27 20       300.0       6.4       0.5
 V 27 20       300.0       6.3       0.2
 V 27 20       310.0       7.3       1.9
 V 27 20       310.0       6.8       1.2
 V 27 20       313.0       9.2       3.4
 V 27 20       316.5       7.6       1.3
 V 27 20       320.0       8.1       1.7
 V 27 20       320.0       7.6       1.0
 V 27 20       323.5      10.8       2.9
 V 27 20       325.0      10.3       2.9
 V 27 20       327.0      10.5       3.1
 V 27 20       330.0       9.2       2.1
 V 27 20       330.0      10.5       2.2
 V 27 20       334.0       7.8       1.5
 V 27 20       337.5       6.7       0.7
 V 27 20       340.0       6.2       0.2
 V 27 20       341.0       6.2       0.2
 V 27 20       344.5       6.6       0.6
 V 27 20       348.0       6.5       0.4
 V 27 20       350.0       6.5       0.5
 V 27 20       350.0       6.4       0.3
 V 27 20       360.0       7.5       0.9
 V 27 20       370.0       7.0       0.7
 V 27 20       380.0       6.2       0.1
 V 27 20       390.0       6.0      -0.1
 V 27 20       400.0       6.0       0.0
 V 27 20       410.0       6.2       0.2
 V 27 20       414.0       6.7       0.7
 V 27 20       419.0       6.2       0.2
 V 27 20       420.0       6.5       0.4
 V 27 20       424.0       6.5       0.6
 V 27 20       429.0       6.5       0.5
 V 27 20       430.0       6.4       0.4
 V 27 20       434.0       6.7       0.6
 V 27 20       438.0       6.3       0.3
 V 27 20       440.0       8.5       1.4
 V 27 20       444.0       7.1       0.7
 V 27 20       449.0       8.0       1.2
 V 27 20       450.0       9.4       1.3
 V 27 20       454.0       8.2       1.6
 V 27 20       459.0       7.1       1.0
 V 27 20       460.0       6.2       0.3
 V 27 20       464.0       7.8       1.9
 V 27 20       469.0       9.0       3.5
 V 27 20       470.0       6.9       1.2
 V 27 20       474.0      10.8       5.5
 V 27 20       479.0      11.4       5.7
 V 27 20       480.0      13.5       8.8
 V 27 20       484.0      11.2       7.3
 V 27 20       489.0      11.1       7.6
 V 27 20       490.0      14.9       9.4
 V 27 20       494.0      10.6       6.3
 V 27 20       499.0      11.3       7.0
 V 27 20       500.0      12.5       6.7
 V 27 20       504.0      11.4       7.5
 V 27 20       509.0       6.5       0.6
 V 27 20       510.0       6.1       0.1
 V 27 20       514.0       6.3       0.3
 V 27 20       519.0       6.2       0.2
 V 27 20       520.0       6.1       0.0
 V 27 20       524.0       6.1       0.0
 V 27 20       529.0       6.0      -0.1
 V 27 20       530.0       6.0      -0.1
 V 27 20       532.0       6.4       0.5
 V 27 20       536.0       6.1       0.0
 V 27 20       540.0       6.0      -0.1
 V 27 20       541.0       6.2       0.2
 V 27 20       544.0       6.0       0.0
 V 27 20       550.0       6.0      -0.2
 V 27 20       560.0       6.1       0.1
 V 27 20       570.0       6.1       0.0
 V 27 20       580.0       6.0       0.0
 V 27 20       590.0       6.5       0.4
 V 27 20       600.0       6.3       0.3
 V 27 20       610.0       6.4       0.3
 V 27 20       620.0       6.5       0.3
 V 27 20       630.0       6.1       0.1
 V 27 20       640.0       6.2       0.2
 V 27 20       650.0       6.1       0.0
 V 27 20       660.0       6.5       0.5
 V 27 20       670.0       6.4       0.5
 V 27 20       680.0       6.3       0.3
 V 27 20       690.0       8.8       2.3
 V 27 20       700.0       8.6       1.7
 V 27 20       710.0       7.1       1.0
 V 27 20       720.0       7.1       0.8
 V 27 20       731.0       9.0       2.0
 V 27 20       740.0       7.2       1.0
 V 27 20       750.0       7.7       1.4
 V 27 20       760.0      12.7       5.2
 V 27 20       769.0       9.4       4.7
 V 27 20       780.0       6.3       0.2
 V 27 20       790.0       6.8       0.8
 V 27 20       800.0       6.3       0.2
 V 27 20       810.0       6.1       0.0
 V 27 20       820.0       6.0       0.0
 V 27 20       840.0       6.2       0.3
 V 27 20       850.0       6.8       1.0
 V 27 20       860.0       7.5       1.4
 V 27 20       870.0       6.1       0.0
 V 27 20       880.0       6.1       0.0
 V 27 20       890.0       6.1       0.2
 V 27 20       900.0       6.1       0.0

