V23-82       52 35.1 N   21 56.0 W  3974 AOF13B-4CE
 V 23 82       803.0       6.8       1.0
 V 23 82       805.0       7.5       2.1
 V 23 82       807.0       6.1       0.1
 V 23 82       810.0       6.3       0.4
 V 23 82       813.0       7.0       0.9
 V 23 82       817.0       8.3       2.7
 V 23 82       824.0       7.1       1.1
 V 23 82       827.0       6.4       0.4
 V 23 82       830.0       6.8       0.8
 V 23 82       833.0       7.8       1.6
 V 23 82       835.0       7.7       1.8
 V 23 82       837.0       7.2       1.3
 V 23 82       840.0       6.9       1.2
 V 23 82       843.0       6.7       0.7
 V 23 82       845.0       7.2       1.2
 V 23 82       847.0       7.4       1.3

