V27-114      55 02.9 N   33 04.2 W  2532 AOF13B-4CE
               depth    SSTwarm   SSTcold
 V 27114         0.0      13.5       9.1
 V 27114         0.0      12.8       8.8
 V 27114         4.0      12.8       8.4
 V 27114        10.0      13.2       8.3
 V 27114        20.0      13.6       9.0
 V 27114        30.0      13.2       8.9
 V 27114        40.0      13.2       9.3
 V 27114        50.0      12.8       8.7
 V 27114        50.0      12.4       8.5
 V 27114        60.0      11.8       7.9
 V 27114        70.0      14.3       9.1
 V 27114        80.0      13.6       8.6
 V 27114        90.0      14.2       8.8
 V 27114       100.0      13.5       8.6
 V 27114       110.0      12.1       7.6
 V 27114       120.0      12.7       7.8
 V 27114       130.0      13.2       8.5
 V 27114       140.0      12.9       7.6
 V 27114       150.0      15.0       9.5
 V 27114       160.0      16.0       9.9
 V 27114       170.0      14.2       9.2
 V 27114       180.0      14.4       9.0
 V 27114       190.0      13.9       8.8
 V 27114       200.0      13.1       7.4
 V 27114       210.0      12.0       6.5
 V 27114       215.0      12.3       6.5
 V 27114       220.0      13.1       7.5
 V 27114       225.0      12.9       9.0
 V 27114       230.0      12.0       5.3
 V 27114       235.0       6.7       0.5
 V 27114       240.0       6.5       0.1
 V 27114       245.0       7.0       0.9
 V 27114       250.0       7.4       1.4
 V 27114       260.0       8.3       3.1
 V 27114       270.0       6.3       0.4
 V 27114       280.0       6.8       1.2
 V 27114       290.0       5.9       0.1
 V 27114       300.0       6.3       0.4
 V 27114       350.0       7.8       1.5
 V 27114       400.0       7.0       0.3
 V 27114       425.0       8.7       2.2
 V 27114       450.0      12.0       6.0
 V 27114       475.0       6.6       0.7
 V 27114       500.0       6.2       0.2
 V 27114       550.0       7.4       1.3
 V 27114       600.0       8.0       2.0
 V 27114       650.0      12.3       7.1
 V 27114       675.0      13.2       7.3
 V 27114       700.0      14.5       9.5
 V 27114       725.0       6.3       0.1
 V 27114       750.0       6.2       0.3
 V 27114       800.0       7.0       0.8
 V 27114       850.0       7.0       0.8
 V 27114       900.0       6.2       0.2
 V 27114       950.0       7.1       1.4
 V 27114      1000.0       6.8       0.9
 V 27114      1050.0       8.3       2.6
 V 27114      1100.0      11.2       5.3
 V 27114      1125.0       6.2       0.1
 V 27114      1150.0      12.2       6.3
 V 27114      1175.0       6.4       0.3
 V 27114      1200.0       7.1       1.4


