V27-19       52 05.6 N   38 48.0 W  3466 AOF13B-4CE
               depth    SSTwarm   SSTcold
 V 27 19         6.0      11.9       5.9
 V 27 19        10.0      11.3       4.6
 V 27 19        10.0      12.9       6.8
 V 27 19        16.0      10.8       4.9
 V 27 19        22.0       9.0       2.5
 V 27 19        22.0       8.4       2.7
 V 27 19        28.0       7.2       1.3
 V 27 19        30.0       6.4       0.5
 V 27 19        35.0       6.9       1.2
 V 27 19        39.0       6.0      -0.1
 V 27 19        45.0       6.0       0.0
 V 27 19        50.0       6.1       0.0
 V 27 19        55.0       6.1       0.1
 V 27 19        59.0       6.1       0.0
 V 27 19        65.0       6.3       0.3
 V 27 19        70.0       6.5       0.4
 V 27 19        79.0       6.2       0.3
 V 27 19        90.0       6.7       0.6
 V 27 19       102.0       6.4       0.3
 V 27 19       110.0       6.1       0.1
 V 27 19       122.0       6.2       0.3
 V 27 19       132.0       6.6       0.5
 V 27 19       135.0       8.5       2.5
 V 27 19       137.0       7.5       1.7
 V 27 19       137.0       7.2       1.1
 V 27 19       142.0       7.6       0.9
 V 27 19       151.0       6.3       0.1
 V 27 19       156.0       6.6       0.6
 V 27 19       159.0       6.5       0.4
 V 27 19       161.0       6.1       0.1
 V 27 19       161.0       6.3       0.4
 V 27 19       164.5       6.6       0.7
 V 27 19       168.0       7.7       1.4
 V 27 19       170.0       6.0      -0.1
 V 27 19       171.5       6.5       0.6
 V 27 19       175.0       7.0       1.3
 V 27 19       178.0       8.2       2.4
 V 27 19       181.0       9.4       2.3
 V 27 19       181.0       9.0       3.1
 V 27 19       184.5      10.2       4.4
 V 27 19       186.0      10.2       4.1
 V 27 19       188.0      10.9       4.2
 V 27 19       190.0       9.7       3.1
 V 27 19       191.0       8.1       1.5
 V 27 19       191.5       9.6       3.0
 V 27 19       195.0      10.3       2.9
 V 27 19       198.5      10.0       3.5
 V 27 19       201.0      10.4       2.8
 V 27 19       201.0      10.2       2.4
 V 27 19       210.0       8.3       1.4
 V 27 19       221.0       9.3       2.1
 V 27 19       230.0       9.4       1.6
 V 27 19       241.0       8.1       1.4
 V 27 19       250.0       8.0       1.1
 V 27 19       261.0       8.0       1.4
 V 27 19       270.0       9.8       3.0
 V 27 19       279.0      11.4       3.7
 V 27 19       290.0      10.6       4.1
 V 27 19       302.0      11.3       6.0
 V 27 19       310.0      12.0       6.3
 V 27 19       321.0      10.9       5.5
 V 27 19       337.0       9.1       3.7
 V 27 19       350.0       7.8       2.2
 V 27 19       360.0       8.6       2.7
 V 27 19       370.0       7.2       0.7
 V 27 19       380.0       7.3       1.2
 V 27 19       390.0       6.8       0.9
 V 27 19       402.0       5.1      -1.3
 V 27 19       410.0       7.4       1.5
 V 27 19       450.0       6.1       0.1
 V 27 19       460.0       7.7       1.0
 V 27 19       470.0       7.2       1.8
 V 27 19       479.0      11.8       3.8
 V 27 19       498.0       8.5       3.2
 V 27 19       510.0       9.6       3.0
 V 27 19       521.0      11.4       4.4
 V 27 19       530.0      12.8       6.4
 V 27 19       541.0       6.2       0.2
 V 27 19       550.0       9.4       2.5
 V 27 19       561.0      10.4       2.6
 V 27 19       570.0      10.5       3.1
 V 27 19       579.0      13.6       6.9
 V 27 19       590.0      14.6       9.2
 V 27 19       610.0       6.7       0.8
 V 27 19       641.0       6.1       0.1
 V 27 19       662.0       6.4       0.4
 V 27 19       670.0      12.3       4.9
 V 27 19       681.0       6.1       0.1
 V 27 19       691.0       6.0      -0.1
 V 27 19       701.0      10.1       4.1
 V 27 19       710.0      11.1       3.6
 V 27 19       721.0      11.5       5.0
 V 27 19       730.0       9.0       3.4
 V 27 19       741.0       7.8       2.3
 V 27 19       750.0      11.4       6.1
 V 27 19       761.0      10.5       4.0
 V 27 19       770.0      17.6      13.6
 V 27 19       780.0      15.1      11.3
 V 27 19       800.0      14.0       7.8
 V 27 19       841.0       6.1       0.1
 V 27 19       870.0       6.1       0.2
 V 27 19       881.0       6.1       0.0
 V 27 19       890.0       6.2       0.1
 V 27 19       902.0       8.6       2.4
 V 27 19       910.0       6.3       0.3
 V 27 19       921.0       9.6       3.1
 V 27 19       930.0      10.8       3.3
 V 27 19       941.0       9.9       3.8
 V 27 19       950.0      10.3       4.0


