V30-97       41 00.0 N   32 56.0 W  3371 AOF13B-4CE
 V 30 97       780.0      18.9      12.0
 V 30 97       785.0      18.7      11.8
 V 30 97       790.0      20.7      13.6
 V 30 97       795.0      17.4      11.1
 V 30 97       800.0      17.9      11.6
 V 30 97       805.0      16.7      10.5
 V 30 97       810.0      18.5      12.7
 V 30 97       815.0      19.3      13.4
 V 30 97       820.0      19.5      13.1
 V 30 97       825.0      20.3      14.8
 V 30 97       830.0      20.0      14.2
 V 30 97       835.0      20.9      14.7
 V 30 97       840.0      19.6      13.0
 V 30 97       845.0      20.5      13.7
 V 30 97       850.0      19.4      13.4
 V 30 97       855.0      15.6      10.4
 V 30 97       860.0      14.6       8.9
 V 30 97       865.0      13.3       7.2
 V 30 97       870.0      17.8      12.1
 V 30 97       875.0      17.4      11.5
 V 30 97       880.0      18.2      12.6
 V 30 97       885.0      19.8      13.9
 V 30 97       890.0      20.4      13.8
 V 30 97       895.0      19.6      13.7
 V 30 97       900.0      18.6      12.8
 V 30 97       905.0      17.8      12.6
 V 30 97       910.0      18.3      12.5
 V 30 97       915.0      13.6       9.0


