V27-17       50 05.5 N   37 18.1 W  4054 AOF13B-4CE
               depth    SSTwarm   SSTcold
 V 27 17         0.0      19.8      10.5
 V 27 17         5.0      16.4       9.6
 V 27 17         7.0      14.3       8.4
 V 27 17        10.0      14.9       9.1
 V 27 17        13.0      14.0       7.9
 V 27 17        15.0      12.9       6.3
 V 27 17        18.0      13.2       7.0
 V 27 17        20.0      12.0       6.4
 V 27 17        22.0      12.5       6.7
 V 27 17        25.0       7.5       1.2
 V 27 17        25.0       8.8       3.4
 V 27 17        31.0       6.6       0.7
 V 27 17        35.0       6.0      -0.1
 V 27 17        40.0       6.4       0.3
 V 27 17        45.0       6.1       0.1
 V 27 17        50.0       6.2       0.1
 V 27 17        56.0       6.2       0.1
 V 27 17        60.0       6.0      -0.1
 V 27 17        65.0       6.1      -0.1
 V 27 17        70.0       6.2       0.1
 V 27 17        76.0       6.7       0.8
 V 27 17        80.0       7.5       1.2
 V 27 17        85.0       6.1       0.0
 V 27 17        95.0       7.0       1.3
 V 27 17       100.0       6.5       0.7
 V 27 17       105.0       7.2       1.9
 V 27 17       110.0       8.9       3.0
 V 27 17       116.0       8.7       3.1
 V 27 17       118.0       8.1       2.7
 V 27 17       120.0       9.4       4.1
 V 27 17       122.0       8.7       3.5
 V 27 17       122.0       9.1       3.9
 V 27 17       123.0       9.5       4.8
 V 27 17       124.0      10.1       3.3
 V 27 17       125.0       9.6       4.0
 V 27 17       127.0       8.5       3.1
 V 27 17       130.0       8.0       2.5
 V 27 17       130.0       7.5       1.9
 V 27 17       132.0       8.0       2.5
 V 27 17       135.0       6.8       1.1
 V 27 17       135.0       6.3       0.4
 V 27 17       137.0       6.9       1.2
 V 27 17       140.0       8.9       4.0
 V 27 17       142.0       7.5       1.5
 V 27 17       145.0       9.7       4.9
 V 27 17       147.0       8.8       3.1
 V 27 17       150.0       7.5       1.9
 V 27 17       150.0       8.5       3.5
 V 27 17       155.0       7.0       1.4
 V 27 17       155.0       7.8       2.6
 V 27 17       157.0      11.4       6.2
 V 27 17       160.0      13.3       5.6
 V 27 17       160.0       9.8       4.8
 V 27 17       162.0      11.5       5.7
 V 27 17       165.0      11.4       4.3
 V 27 17       165.0      11.0       4.1
 V 27 17       167.0      10.1       4.7
 V 27 17       170.0       9.3       3.2
 V 27 17       175.0      11.9       4.9
 V 27 17       175.0      11.2       5.3
 V 27 17       180.0      11.3       4.3
 V 27 17       185.0      15.3       9.9
 V 27 17       195.0      10.7       3.6
 V 27 17       200.0       6.7       0.8
 V 27 17       205.0       7.5       1.5
 V 27 17       210.0       8.4       2.8
 V 27 17       215.0      10.9       5.2
 V 27 17       220.0      10.6       5.1
 V 27 17       225.0      11.5       6.0
 V 27 17       230.0      10.4       5.8
 V 27 17       235.0      13.9       5.9
 V 27 17       240.0      14.4       8.4
 V 27 17       245.0      13.3       7.8
 V 27 17       250.0      11.0       4.1
 V 27 17       255.0      12.0       5.7
 V 27 17       260.0      12.4       4.7
 V 27 17       266.0      10.0       3.4
 V 27 17       270.0       8.4       2.8
 V 27 17       275.0      11.1       3.6
 V 27 17       280.0      10.2       3.2
 V 27 17       284.0      15.0       7.6
 V 27 17       295.0      15.6       9.6
 V 27 17       304.0      16.5      11.3
 V 27 17       315.0      15.9      10.9
 V 27 17       325.0      14.9       9.9
 V 27 17       335.0      10.9       5.7
 V 27 17       360.0       6.0      -0.1
 V 27 17       370.0       6.1       0.0
 V 27 17       380.0       6.1       0.0
 V 27 17       390.0       6.1       0.0
 V 27 17       400.0       6.0       0.0
 V 27 17       408.0       6.1       0.0
 V 27 17       418.0       6.0       0.0
 V 27 17       430.0       6.5       0.6
 V 27 17       435.0       7.7       2.6
 V 27 17       440.0       7.2       1.6
 V 27 17       445.0       7.9       2.9
 V 27 17       450.0       6.5       0.6
 V 27 17       455.0       7.1       1.4
 V 27 17       460.0       9.3       3.9
 V 27 17       465.0       6.5       0.6
 V 27 17       470.0       6.0       0.0
 V 27 17       480.0       6.2       0.2
 V 27 17       485.0       6.5       0.8
 V 27 17       491.0      12.0       5.8
 V 27 17       495.0       7.8       2.0
 V 27 17       500.0       7.8       2.4
 V 27 17       505.0       9.8       5.2
 V 27 17       555.0      10.2       4.9
 V 27 17       560.0      12.6       7.3
 V 27 17       565.0      13.6       8.3
 V 27 17       570.0       7.4       1.3
 V 27 17       582.0       7.7       2.7
 V 27 17       585.0       6.9       1.3
 V 27 17       590.0      16.0       8.8
 V 27 17       595.0      14.4       8.1
 V 27 17       600.0      12.9       7.7
 V 27 17       605.0      10.4       5.7
 V 27 17       611.0      13.2       7.2
 V 27 17       620.0      15.2       8.6

