# Western Equatorial Pacific Sea Surface and Subsurface Temperature and Mg/Ca Data over the last 4 million years
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/26670
#      Description: NOAA Landing Page
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/ford2019/ford2019-odp806.txt
#      Description: NOAA location of the template
#
# Data_Type: Paleoceanography
#
# Dataset_DOI:
#
# Parameter_Keywords: trace metals in carbonates, reconstruction
#---------------------------------------
# Contribution_Date
#    Date: 2019-04-29
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2019-04-29
#---------------------------------------
# Title
#    Study_Name: Western Equatorial Pacific Sea Surface and Subsurface Temperature and Mg/Ca Data over the last 4 million years
#---------------------------------------
# Investigators
#      Investigators: Ford, Heather L.; Ravelo, Ana Christina
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Provided Keywords: T. sacculifer, G. tumida, sea surface temperature, subsurface temperature
#
#---------------------------------------
# Publication
# Authors: Ford, Heather L. and Ravelo, A. Christina
# Published_Date_or_Year: 2019
# Published_Title: Estimates of Pliocene Tropical Pacific Temperature Sensitivity to Radiative Greenhouse Gas Forcing
# Journal_Name: Paleoceanography and Paleoclimatology
# Volume: 34
# Edition: 
# Issue: 
# Pages: 2-15
# Report_Number: 
# DOI: 10.1029/2018PA003461
# Online_Resource: 
# Full_Citation: 
# Abstract: The Western Equatorial Pacific (WEP) warm pool, with surface temperatures >28 °C and a deep thermocline, is an important source of latent and sensible heat for the global climate system. Because the tropics are not sensitive to ice‐albedo feedbacks, the WEP's response to radiative forcing can be used to constrain a minimum estimate of Earth system sensitivity. Climate modeling of pCO2-radiative warming projections shows little change in WEP variability; here we use temperature distributions of individual surface and subsurface dwelling fossil foraminifera to evaluate past variability and possible radiative and dynamic climate forcing over the Plio-Pleistocene. We investigate WEP warm pool variability within paired glacial-interglacial (G-IG) intervals for four times: the Holocene-Last Glacial Maximum, ~2, ~3, and ~4 Ma. Our results show that these surface and subsurface temperature distributions are similar for all G-IG pairs, indicating no change in variability, even as pCO2-radiative forcing and other boundary conditions changed on G-IG timescales. Plio-Pleistocene sea surface temperature (SST) distributions are similar to those from the Holocene, indicating WEP SSTs respond to pCO2-radiative forcing and associated feedbacks. In contrast, Plio-Pleistocene subsurface temperature distributions suggest subsurface temperatures respond to changes in thermocline temperature and depth. We estimate tropical temperature sensitivity for the mid-Pliocene (~3 Ma) using our individual foraminifera SST data set and a previously published high-resolution boron isotope-based pCO2 reconstruction. We find tropical temperature sensitivity was equal to, or less than, that of the Late Pleistocene.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: NSF
#    Grant: OCE-1204254, OCE-0652315
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: NERC
#    Grant: NE/N015045/1
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Achievement Rewards for College Scientists Foundation
#    Grant: 
#---------------------------------------
# Site_Information
# Site_Name: ODP 806
# Location: Western Pacific Ocean
# Country: 
# Northernmost_Latitude: 0.318333
# Southernmost_Latitude: 0.318333
# Easternmost_Longitude: 159.361667
# Westernmost_Longitude: 159.361667
# Elevation: -2520
#---------------------------------------
# Data_Collection
#   Collection_Name: ODP806 Mg/Ca SST Ford2019
#   First_Year: 3971000
#   Last_Year: 3000
#   Time_Unit: cal yr BP
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## Age	age,,,million year,,paleoceanography,,,N,
## Time_Slice	notes,,,,,paleoceanography,,,C,time slice
## Species	notes,,,,,paleoceanography,,,C,Species used: Trilobatus sacculifer without sac or Globorotalia tumida
## Sample_Num	sample identification,,,,,paleoceanography,,,N,
## Mg_Ca	magnesium/calcium,,,millimole per mole,,paleoceanography,,mass spectrometry,N,
## Mg_Ca_1std	magnesium/calcium,,one standard deviation,millimole per mole,,paleoceanography,,,N,
## Mg/Ca_dissolution_adj	magnesium/calcium,,,millimole per mole,,paleoceanography,corrected,,N,Mg/Ca dissolution adjusted; Regenberg et al., 2006
## SST	sea surface temperature,magnesium/calcium,,degree Celsius,,paleoceanography; climate reconstructions,,,N,Anand et al., 2003 
## Sub_T	sea water temperature,magnesium/calcium,,degree Celsius,,paleoceanography; climate reconstructions,,,N,Subsurface temperature; Mohtani et al., 2011
## Mg/Ca_seawater_adj	magnesium/calcium,sea water,,millimole per mole,,paleoceanography; climate reconstructions,corrected,,N,adjusted for Mg/Ca of seawater; Evans et al., 2016
## SST_Mgsw_adj	sea surface temperature,magnesium/calcium,,degree Celsius,,paleoceanography; climate reconstructions,corrected,,N,adjusted for Mg/Ca of seawater; Anand et al., 2003
## Sub_T_Mgsw_adj	sea water temperature,magnesium/calcium,,degree Celsius,,paleoceanography; climate reconstructions,corrected,,N,Subsurface temperature; adjusted for Mg/Ca of seawater; Mohtani et al., 2011
## Sample_Info	notes,,,,,paleoceanography,,,N,Sampling Information
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NA
Age	Time_Slice	Species	Sample_Num	Mg_Ca	Mg_Ca_1std	Mg/Ca_dissolution_adj	SST	Sub_T	Mg/Ca_seawater_adj	SST_Mgsw_adj	Sub_T_Mgsw_adj	Sample_Info	
0.003	Late Holocene	T. sacculifer	56	2.609	0.07	3.39	24.3	NA	2.88	21.1	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	57	2.982	0.07	3.77	25.5	NA	3.29	22.6	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	58	3.419	0.09	4.21	26.7	NA	3.77	24.1	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	59	3.816	0.09	4.60	27.7	NA	4.21	25.3	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	60	3.743	0.09	4.53	27.5	NA	4.13	25.1	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	61	3.457	0.10	4.24	26.8	NA	3.81	24.2	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	62	3.874	0.14	4.66	27.9	NA	4.27	25.5	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	63	3.523	0.12	4.31	27.0	NA	3.88	24.5	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	64	3.952	0.05	4.74	28.0	NA	4.36	25.7	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	65	3.737	0.06	4.52	27.5	NA	4.12	25.1	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	66	3.416	0.07	4.20	26.7	NA	3.77	24.1	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	68	4.172	0.15	4.96	28.5	NA	4.60	26.3	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	69	4.156	0.19	4.94	28.5	NA	4.58	26.3	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	71	3.380	0.09	4.17	26.6	NA	3.73	24.0	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	72	3.072	0.13	3.86	25.8	NA	3.39	22.9	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	73	3.745	0.08	4.53	27.5	NA	4.13	25.1	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	74	3.672	0.09	4.46	27.4	NA	4.05	24.9	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	75	3.536	0.22	4.32	27.0	NA	3.90	24.5	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	76	4.433	0.17	5.22	29.1	NA	4.89	27.0	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	77	3.348	0.05	4.13	26.5	NA	3.69	23.9	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	78	3.705	0.09	4.49	27.4	NA	4.08	25.0	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	79	3.940	0.13	4.73	28.0	NA	4.34	25.7	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	80	3.480	0.15	4.27	26.9	NA	3.84	24.3	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	81	4.184	0.03	4.97	28.6	NA	4.61	26.4	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	82	5.350	0.23	6.14	30.9	NA	5.90	29.1	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	83	3.251	0.06	4.04	26.3	NA	3.58	23.6	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	84	4.470	0.10	5.26	29.2	NA	4.93	27.1	NA	806A 1H1 0-2cm	
0.003	Late Holocene	T. sacculifer	85	3.774	0.08	4.56	27.6	NA	4.16	25.2	NA	806A 1H1 0-2cm	
0.019	LGM	T. sacculifer	1	2.799	0.12	3.58	24.9	NA	3.09	21.9	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	2	2.997	0.16	3.78	25.5	NA	3.30	22.7	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	3	2.526	0.27	3.31	24.1	NA	2.79	20.8	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	4	2.425	0.07	3.21	23.7	NA	2.67	20.3	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	5	2.852	0.10	3.64	25.1	NA	3.14	22.1	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	6	4.553	0.17	5.34	29.4	NA	5.02	27.3	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	7	3.293	0.15	4.08	26.4	NA	3.63	23.7	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	8	3.030	0.19	3.82	25.6	NA	3.34	22.8	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	9	3.106	0.22	3.89	25.8	NA	3.42	23.1	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	10	2.788	0.08	3.57	24.9	NA	3.07	21.9	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	11	2.779	0.11	3.56	24.9	NA	3.06	21.8	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	12	2.690	0.08	3.48	24.6	NA	2.97	21.5	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	13	3.150	0.25	3.94	26.0	NA	3.47	23.2	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	14	3.314	0.21	4.10	26.4	NA	3.65	23.8	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	15	2.889	0.06	3.68	25.2	NA	3.19	22.3	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	16	3.172	0.08	3.96	26.0	NA	3.50	23.3	NA	806A 1H1 51-53cm	
0.019	LGM	T. sacculifer	17	2.535	0.07	3.32	24.1	NA	2.80	20.8	NA	806A 1H1 51-53cm	
