Hole			rmcd	rmcd(7/12/01)		age			
1012B	1H-6	35	7.9856	7.9856	3.74	80.923	0.628	17.3	29.24
1012B	1H-6	45	8.07293	8.07293	3.84	82.096	0.64	17.7	57.85
1012B	1H-6	55	8.17744	8.17744	3.77	83.455	0.63	17.4	30.96
1012B	1H-6	65	8.28202	8.28202	3.94	84.223	0.622	17.2	29.37
1012B	1H-6	75	8.36788	8.36788	3.73	84.853	0.596	16.4	25.55
1012B	1H-6	85	8.44575	8.44575	3.8	85.425	0.57	15.6	20.83
1012B	1H-6	95	8.52342	8.52342	3.9	85.996	0.576	15.8	27.27
1012B	1H-6	105	8.60105	8.60105	4.08	86.566	0.583	16	34.35
1012B	2H-1	4	8.69693	8.69693	3.75	87.27	0.584	16	45.78
1012B	2H-1	15	8.79	8.79	3.9	87.954	0.574	15.7	51.45
1012B	2H-1	25	8.87473	8.87473	3.91	88.576	0.577	15.8	53.49
1012B	2H-1	35	8.96025	8.96025	3.72	89.204	0.576	15.8	55.24
1012B	2H-1	45	9.04759	9.04759	3.79	89.846	0.573	15.7	56.49
1012B	2H-1	55	9.13726	9.13726	3.93	90.505	0.576	15.8	53.96
1012B	2H-1	65	9.23023	9.23023	3.92	91.188	0.583	16	52.71
1012B	2H-1	75	9.32663	9.32663	4.02	91.999	0.574	15.7	53.36
1012B	2H-1	85	9.42706	9.42706	3.48	93.126	0.578	15.8	51.08
1012B	2H-1	95	9.53079	9.53079	3.95	94.29	0.577	15.8	53.89
1012B	2H-1	105	9.63714	9.63714	3.72	95.483	0.589	16.2	49.88
1012B	2H-1	115	9.74456	9.74456	-999	96.689	0.61	16.8	46.39
1012B	2H-1	125	9.85137	9.85137	3.78	97.888	0.616	17	41.81
1012B	2H-1	135	9.95592	9.95592	3.84	99.061	0.619	17.1	39.95
1012B	2H-1	145	10.04	10.04	3.55	100	0.622	17.1	37.22
1012B	2H-2	5	10.119	10.119	3.685	100.89	0.62	17.1	35.99
1012B	2H-2	15	10.1959	10.1959	-999	101.75	0.632	17.5	30.32
1012B	2H-2	25	10.2697	10.2697	-999	102.56	0.615	16.9	32.53
1012B	2H-2	35	10.3404	10.3404	3.75	103.33	0.622	17.1	27.96
1012B	2H-2	45	10.4084	10.4084	-999	104.07	0.611	16.8	23.94
1012B	2H-2	55	10.4743	10.4743	3.64	104.78	0.594	16.3	33.18
1012B	2H-2	65	10.5383	10.5383	3.7	105.48	0.586	16.1	40.69
1012B	2H-2	75	10.6009	10.6009	3.59	106.16	0.606	16.7	43.77
1012B	2H-2	85	10.6626	10.6626	3.76	106.83	0.603	16.6	14.97
1012B	2H-2	95	10.7236	10.7236	3.83	107.49	0.609	16.8	32.35
1012B	2H-2	105	10.7845	10.7845	3.82	108.16	0.582	16	25.57
1012B	2H-2	115	10.8455	10.8455	-999	108.82	0.581	15.9	31.91
1012B	2H-2	125	10.9072	10.9072	-999	109.49	0.582	16	38.98
1012B	2H-2	135	10.9699	10.9699	3.73	110.17	0.593	16.3	46.31
1012B	2H-2	145	11.034	11.034	3.96	110.88	0.593	16.3	57.72
1012B	2H-3	5	11.0996	11.0996	3.86	111.63	0.591	16.2	54.99
1012B	2H-3	15	11.1673	11.1673	3.84	112.39	0.605	16.6	34.61
1012B	2H-3	25	11.2394	11.2394	-999	113.21	0.606	16.7	36.34
1012B	2H-3	35	11.327	11.327	3.8	114.2	0.604	16.6	42.54
1012B	2H-3	45	11.4196	11.4196	-999	115.24	0.623	17.2	35.62
1012B	2H-3	55	11.5156	11.5156	3.41	116.33	0.633	17.5	32.78
1012B	2H-3	65	11.6147	11.6147	3.56	117.45	0.653	18.1	28.08
1012B	2H-3	75	11.7156	11.7156	3.31	118.59	0.663	18.4	24.15
1012B	2H-3	85	11.8172	11.8172	3.35	119.74	0.683	18.9	15.78
1012B	2H-3	95	11.9183	11.9183	3.22	120.88	0.687	19.1	17.54
1012B	2H-3	105	12.0176	12.0176	3.06	122	0.706	19.6	10.32
