Hole			rmcd	rmcd(7/12/01)		age			
1012B	4H-3	125	33.18	33.41	4.03	422.29	0.619	17.1	14.16
1012B	4H-3	135	33.28	33.51	3.5	423.24	0.625	17.2	9.28
1012B	4H-3	145	33.38	33.61	4.13	424.17	0.603	16.6	9.53
1012B	4H-4	5	33.48	33.71	4.63	425.1	0.6	16.5	8.11
1012B	4H-4	15	33.58	33.81	3.83	426.03	0.652	18	14.39
1012B	4H-4	25	33.68	33.91	5	426.96	0.659	18.2	15.27
1012B	4H-4	35	33.78	34.01	4.94	427.89	0.636	17.5	16.89
1012B	4H-4	45	33.88	34.11	4.88	428.81	0.641	17.7	13.9
1012B	4H-4	55	33.98	34.21	4.98	430.55	0.645	17.8	12.05
1012B	4H-4	65	34.08	34.31	4.94	432.48	0.639	17.7	11.89
1012B	4H-4	75	34.18	34.41	-999	434.42	0.6	16.5	11.92
1012B	4H-4	85	34.28	34.51	4.86	436.35	0.529	14.4	14.08
1012B	4H-4	95	34.38	34.61	4.69	438.29	0.498	13.5	16.88
1012B	4H-4	105	34.48	34.71	4.46	440.22	0.485	13.1	18.52
1012B	4H-4	115	34.58	34.81	4.73	442.16	0.493	13.4	19.89
1012B	4H-4	125	34.68	34.91	4.64	444.09	0.483	13.1	19.66
1012B	4H-4	135	34.78	35.01	4.64	445.77	0.466	12.6	15.91
1012B	4H-4	145	34.88	35.11	4.59	447.38	0.475	12.8	21.72
1012B	4H-5	4	34.98	35.21	4.45	448.99	0.47	12.7	13.5
1012B	4H-5	15	35.08	35.31	4.64	450.6	0.457	12.3	13.44
1012B	4H-5	25	35.18	35.41	4.55	452.21	0.47	12.7	15.25
1012B	4H-5	35	35.28	35.51	4.49	453.81	0.489	13.2	14.47
1012B	4H-5	45	35.38	35.61	4.41	-999	0.511	13.9	17.06
1012B	4H-5	55	35.48	35.71	4.36	457.03	0.487	13.2	11.48
1012B	4H-5	65	35.58	35.81	4.34	458.64	0.486	13.1	14.41
1012B	4H-5	75	35.68	35.91	4.35	460.25	0.491	13.3	15.74
1012B	4H-5	85	35.78	36.01	4.24	461.86	0.545	14.9	20.36
1012B	4H-5	95	35.88	36.11	4.19	463.47	0.527	14.4	18.86
1012B	4H-5	105	35.98	36.21	4.04	465.08	0.509	13.8	17.3
1012B	4H-5	115	36.08	36.31	4.2	466.69	0.519	14.1	26.55
1012B	4H-5	125	36.18	36.41	4.305	468.3	0.543	14.8	34.6
1012B	4H-5	135	36.28	36.51	4	470.19	0.551	15	33.35
1012B	4H-5	145	36.38	36.61	3.96	472.12	0.523	14.2	44.75
1012B	4H-6	5	36.48	36.71	3.86	474.05	0.535	14.6	35.54
1012B	4H-6	15	36.58	36.81	3.74	475.98	0.561	15.4	53.78
1012B	4H-6	25	36.68	36.91	3.69	477.91	0.537	14.6	43.77
1012B	4H-6	35	36.78	37.01	3.6	479.84	0.564	15.4	40.74
1012B	4H-6	45	36.88	37.11	3.1	481.77	0.592	16.3	35.95
1012B	4H-6	55	36.98	37.21	3.4	483.46	0.615	16.9	33.23
1012B	4H-6	65	37.08	37.31	3.28	485.12	0.63	17.4	23.84
1012B	4H-6	75	37.18	37.41	3.43	486.78	0.63	17.4	27.41
1012B	4H-6	85	37.28	37.51	3.59	488.44	0.629	17.4	32.11
1012B	4H-6	95	37.38	37.61	3.71	490.09	0.633	17.5	31.17
1012B	4H-6	105	37.48	37.71	3.525	491.75	0.612	16.9	37.96
1012B	4H-6	115	37.58	37.81	3.79	493.41	0.599	16.5	42.01
1012B	4H-6	125	37.68	37.91	3.68	495.07	0.606	16.7	36.27
1012B	4H-6	135	37.78	38.01	3.63	496.72	0.599	16.5	42.53
1012B	4H-6	145	37.88	38.11	3.65	498.38	0.59	16.2	40.75
1012B	4H-7	5	37.98	38.21	3.75	500.04	0.578	15.9	47.2
1012B	4H-7	15	38.08	38.31	3.965	501.7	0.587	16.1	40.02
1012B	4H-7	25	38.18	38.41	3.805	503.36	0.596	16.4	35.87
1012B	4H-7	35	38.28	38.51	3.91	505.01	0.59	16.2	32.94
1012B	4H-7	45	38.38	38.61	4.02	506.67	0.605	16.6	38.62
1012A	5H-3	4	38.4	38.63	-999		0.591812515	16.25919161	40.0949585
1012B	4H-7	55	38.48	38.71	3.92	508.33	0.593	16.3	31.79
 1012A	5H-3	15	38.5	38.73	4.14		-999	-999	-999
 1012A	5H-3	25	38.6	38.83	4.17		0.594618036	16.34170695	39.43854715
 1012A	5H-3	35	38.7	38.93	3.86		-999	-999	-999
 1012A	5H-3	45	38.8	39.03	3.93		0.608515549	16.75045733	30.75553572
 1012A	5H-3	55	38.9	39.13	3.77		-999	-999	-999
 1012A	5H-3	65	39	39.23	3.98		0.611808025	16.84729484	30.39065789
 1012A	5H-3	75	39.1	39.33	3.88		-999	-999	-999
 1012A	5H-3	85	39.2	39.43	3.76		0.599185569	16.47604613	26.93631951
 1012A	5H-3	95	39.3	39.53	3.88		-999	-999	-999
 1012A	5H-3	105	39.4	39.63	3.86		0.570832338	15.64212759	24.3953608
 1012A	5H-3	115	39.5	39.73	3.79		-999	-999	-999
 1012A	5H-3	125	39.6	39.83	3.84		0.479961943	12.96946891	50.1033807
 1012A	5H-3	135	39.7	39.93	3.79		0.522578548	14.22289847	31.67418552
 1012A	5H-4	4	39.99	40.22	3.86		0.462319437	12.45057167	34.4806782
 1012A	5H-4	15	40.09	40.32	4.12		-999	-999	-999
 1012A	5H-4	25	40.19	40.42	4.24		0.429582876	11.48773163	41.35585417
 1012A	5H-4	35	40.29	40.52	4.24		-999	-999	-999
 1012A	5H-4	45	40.39	40.62	4.32		0.483475655	13.0728134	33.33930194
 1012A	5H-4	55	40.49	40.72	4.27		-999	-999	-999
 1012A	5H-4	65	40.59	40.82	4.36		0.507921846	13.791819	40.92727742
 1012A	5H-4	75	40.69	40.92	4.23		-999	-999	-999
 1012A	5H-4	85	40.79	41.02	4.25		0.453132368	12.18036377	46.49429348
 1012A	5H-4	95	40.89	41.12	4.18		-999	-999	-999
 1012A	5H-4	105	40.99	41.22	4.23		0.472214851	12.74161328	59.85231177
 1012A	5H-4	115	41.09	41.32	4.1		-999	-999	-999
 1012A	5H-4	125	41.19	41.42	4.04		-999	-999	-999
 1012A	5H-4	135	41.29	41.52	4.03		0.46633977	12.56881677	42.36572079
 1012A	5H-4	145	41.39	41.62	4.2		-999	-999	-999
 1012A	5H-5	5	41.49	41.72	3.82		0.486846296	13.17194988	46.0321792
 1012A	5H-5	15	41.59	41.82	3.84		-999	-999	-999
 1012A	5H-5	25	41.69	41.92	3.78		0.53455441	14.57512972	42.09781828
 1012A	5H-5	35	41.79	42.02	3.77		-999	-999	-999
 1012A	5H-5	45	41.89	42.12	3.86		0.575722538	15.785957	38.82178443
 1012A	5H-5	55	41.99	42.22	3.76		-999	-999	-999
 1012A	5H-5	65	42.09	42.32	4.12		0.556525068	15.22132552	58.77173998
 1012A	5H-5	75	42.19	42.42	3.8		-999	-999	-999
 1012A	5H-5	85	42.29	42.52	3.7		0.608871097	16.76091463	54.94836278
 1012A	5H-5	95	42.39	42.62	3.53		-999	-999	-999
 1012A	5H-5	105	42.49	42.72	3.47		0.609382547	16.77595726	43.7797845
 1012A	5H-5	115	42.59	42.82	3.29		-999	-999	-999
 1012A	5H-5	125	42.69	42.92	3.22		0.656508643	18.16201892	32.58617918
 1012A	5H-5	135	42.79	43.02	3.33		-999	-999	-999
 1012A	5H-5	145	42.89	43.12	3.26		0.631977303	17.44050891	24.23987114
 1012A	5H-6	5	42.99	43.22	3.56		-999	-999	-999
 1012A	5H-6	15	43.09	43.32	4.34		0.623297467	17.18521961	16.75463933
 1012A	5H-6	35	43.29	43.52	3.74		0.57502649	15.76548501	12.24165771
 1012A	5H-6	45	43.39	43.62	3.9		-999	-999	-999
 1012A	5H-6	55	43.49	43.72	4.04		0.552721739	15.10946292	29.38623649
 1012A	5H-6	65	43.59	43.82	4.03		-999	-999	-999
 1012A	5H-6	75	43.69	43.92	4.05		0.562723792	15.40364095	29.02772814
 1012A	5H-6	85	43.79	44.02	4.02		-999	-999	-999
 1012A	5H-6	95	43.89	44.12	4.02		0.623491168	17.19091671	29.58936371
 1012A	5H-6	105	43.99	44.22	3.925		-999	-999	-999
 1012A	5H-6	115	44.09	44.32	3.91		0.603520752	16.60355152	28.72519009
 1012A	5H-6	125	44.19	44.42	3.77		-999	-999	-999
 1012A	5H-6	135	44.29	44.52	3.88		0.646178971	17.85820502	25.12583932
 1012A	5H-6	145	44.39	44.62	3.65		-999	-999	-999
 1012A	5H-7	5	44.49	44.72	3.89		0.604433633	16.63040096	47.72480188
 1012A	5H-7	15	44.59	44.82	3.78		-999	-999	-999
1012A	5H-7	25	44.69	44.92	-999		0.624977103	17.23462067	40.53178367
