# NOAA Paleoclimatology Program - Paleocean Site Data
# rc10-62-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      RC10-62
# Latitude:       3.12.00N	( 3.2)
# Longitude:      101.26.00W	( -101.4333)
# Water Depth(m): 3120
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             spong.sp%     Spongurus sp.-percent
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#             seasdif       August to February SST difference (C)
#             sst           Sea Surface Temperature (C)
#
# CORE: RC10-62
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	spong.sp%	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	seasdif	sst	
60	23261.2	0	0.12	0.2021	0.87	0.74	0.0273	0.25	0	2.47	0	0.8614	0.37	0.12	4.82	3.71	1.73	0.25	0.2454	0.12	0.37	0.1959	0.62	0.5	0.37	1.85	0.37	4.08	0.37	0.5	0.12	0.5	0.87	0.25	0.12	0.87	0.25	0.12	808	2.22	0	1.6	0.25	0.62	3.21	17.5	0.5	0	0.4629	0.7114	-0.0275	5.07	19.39	
65	25415.2	0	0.25	0.2037	0.37	1	0.0276	0.25	0	0.5	0	0.8639	0.25	0.25	3.49	2.87	2.24	0.25	0.2758	0	0.62	0.03	0.25	1.24	0.62	3.74	0.5	3.24	0.62	0.12	0.25	1.37	0.37	0.87	0.62	0.75	0.87	0.12	801	2.74	0	3.24	0.75	0.75	1	17.8	0.5	0	0.4272	0.7492	-0.0301	5.05	20.98	
70	25969.2	0	0.75	0.1735	0.37	0.75	-0.0052	0.5	0	0.5	0	0.8554	0.5	0.62	6.22	1.99	2.11	0.12	0.2601	0	0.87	0.0262	0.12	1.12	0.12	2.49	0.5	2.36	0.75	0.5	0.12	1.49	0.37	1.86	0.75	0.87	0.25	0.12	803	3.11	0	2.24	1	1.12	1.36	14.5	0.5	0	0.3563	0.7889	-0.0876	4.34	21.9	
75	26944.8	0	0.37	0.1854	0.87	2.61	0.0594	0.25	0	0.62	0	0.8634	0.12	0.5	5.35	1.61	2.24	0.25	0.334	0	0.5	0.0181	1	0.5	0.12	2.86	0.12	2.73	0.5	0.5	0.37	1.24	0.12	2.86	0.87	0.62	0.87	0.62	803	2.61	0	1.61	0.25	0.87	1.36	17.5	0.87	0	0.3472	0.7639	-0.0977	4.23	22.65	
80	28125.8	0	0.38	0.1536	0.88	0.5	0.0277	0.13	0	0.25	0	0.9179	0.38	0.13	6.37	1.62	1.5	0.5	0.3877	0.25	1	-0.0042	0.38	0.75	0.25	2	0.13	2	1.12	0.88	0.13	2.75	0	2.62	0.75	0.25	0.38	0.63	800	3	0	0.88	0.13	0.38	1.5	17.6	0.63	0	0.3123	0.7976	-0.0971	4.32	24.03	
85	30106.8	0	0.79	0.1722	0.66	0.93	0.0117	0.93	0	0.93	0	0.8529	0.13	0	7.53	2.51	1.71	0.26	0.2814	0.26	0.26	-0.0072	0.26	0.53	0	2.91	0.26	2.38	0.79	0.26	0.13	1.71	0.26	2.77	0.79	0.4	0.53	0.4	756	4.49	0	2.11	0.66	0.66	1.19	13.8	0.66	0	0.3912	0.7644	-0.0807	4.53	21.7	
90	32287	0	0.62	0.1915	0.62	1	0.0638	0.25	0	0.37	0	0.8726	0.25	0.75	6.49	1.37	1.74	0.25	0.3394	0.25	0.75	0.0046	0.37	0.75	0.75	2.37	0.12	1.37	0.62	0.62	0.25	1.12	0.62	1.99	0.75	0.25	0.25	0.25	801	2.87	0	2.12	0.62	0.62	2.74	17.4	0.62	0	0.2998	0.7873	-0.0833	3.86	23.61	
95	34467.8	0	0.25	0.185	0.5	1.36	0.0191	0.37	0	0.75	0.12	0.8381	0.5	0.25	7.95	1.61	1.36	0.12	0.3092	0	0.99	0.0185	0.12	0.87	0.5	2.23	0.12	2.36	0.62	0	0.37	2.36	0.25	1.98	0.62	1.24	0	0.25	805	2.98	0	2.23	0.87	0.87	2.73	13.9	0.5	0	0.3591	0.7591	-0.0488	4.4	21.96	
105	38829.8	0	0.13	0.2374	0.88	1.12	0.0549	0	0	0.63	0.13	0.8453	0.13	0.88	5.25	2.25	2.62	0.63	0.2321	0.13	0	0.0891	0.38	0.75	0.5	1.25	0.63	3.25	0	0.25	0.5	0.88	0.5	1.25	0.63	0.38	0.38	0	800	5.12	0.13	2.37	0.38	1.75	3.37	17.7	0.5	0.13	0.369	0.7667	-0.0068	4.35	21.28	
110	41010.8	0	0.25	0.1827	0.5	1.12	0.0285	0.5	0	0.63	0.13	0.8178	0.25	0.5	7.37	3.25	2.37	0	0.3106	0.38	0.5	0.0455	0	1.37	1.12	2.5	0.5	1.62	0.63	0.13	0.38	1.25	0.13	1.37	0	0.38	0.25	0.5	800	2.12	0	2.62	1	0.75	2	17.2	0.38	0	0.3824	0.732	-0.0559	4.49	21.32	
115	43191.8	0	0.63	0.2306	1.12	1.12	0.0089	0.25	0	0.25	0	0.823	0.38	0.25	7.25	2.37	2	0.38	0.2985	0.13	0.63	0.0292	0	1.37	0.5	2.12	0.13	3.5	0.75	0.38	0.25	2.12	0.13	1.12	0.63	0.38	0.13	0.13	800	3.37	0	3.87	0.63	0.63	2.87	12.2	0.75	0	0.3578	0.7406	-0.0578	4.13	21.27	
120	45372.8	0	0.25	0.1726	0.75	1.24	0.0458	0.37	0	1.49	0.12	0.8549	0.12	0.12	7.85	1.49	2.36	0.62	0.2695	0.25	0.75	0.0074	0.37	0.75	0.37	2.86	0	2.36	0.75	0.5	0.5	1.37	0.37	1.49	0.37	0.75	1	0.62	802	3.11	0.12	1.87	0.37	0.5	1.99	14.3	0.87	0	0.3846	0.7735	-0.065	4.55	22	
125	47553	0	0.25	0.2136	0.37	1.11	0.1016	0.25	0	0.99	0	0.8472	0.12	0.37	6.79	1.11	2.59	0.49	0.2932	0.12	0.25	0.0182	0.12	0.49	0.12	2.84	0.37	3.21	0.62	0	0.49	0.74	0.25	1.73	0.62	0.25	1.11	0.12	809	4.07	0	2.47	0.74	1.11	2.22	15.3	0.74	0	0.3811	0.7482	0.0049	4.71	22.03	
130	49733.8	0	0.62	0.1704	0.62	2.58	0.0618	0.49	0	0.86	0.37	0.8442	0.25	0.37	7.25	1.1	2.58	0.49	0.3007	0.12	0.37	-0.0355	0.25	0.86	0	1.84	0.49	1.72	0.62	0.25	0.12	1.47	0	1.84	0.49	0.49	0.37	0.49	813	4.55	0	1.35	0.74	0.74	2.21	14.2	0.98	0	0.31	0.7876	-0.0566	3.81	23.47	
135	51914.8	0	0.13	0.2417	0.88	1.25	0.0406	0.5	0	0.63	0.13	0.8463	0.5	0.63	5.62	1.75	2.75	0.63	0.2533	0.25	0.88	0.0574	0.5	0.63	0.13	1.87	0.13	3.62	0.38	0.5	0.25	1.25	0	1.37	0.25	0.25	0.13	0.13	800	3.37	0	3	0.88	0.88	1.87	12.8	1.25	0	0.3547	0.7677	-0.0601	4.04	21.48	
140	54095.8	0	0.25	0.2306	1.12	2.12	0.0346	0	0	1.24	0.25	0.8318	0.12	0.37	4.61	1.99	2.37	0.25	0.2716	0	0.62	0.1768	0.37	0.12	0.87	0.75	0.25	3.49	0.37	0.37	0.12	1	0	1.12	0.25	0.75	0.25	0.12	801	1.99	0.37	2.49	0.87	0.87	2.49	14.8	1	0.25	0.3284	0.7467	-0.0836	3.81	20.83	
145	57076.8	0	0.25	0.2286	1.25	1.12	0.0474	0.38	0	0.75	0	0.8245	0.38	1.12	4.12	0.88	1.87	0.25	0.241	0.13	0.5	0.0357	0.88	0.63	0.75	2.37	0.13	2.25	0	0.75	0.13	0.88	0	0.88	0.25	1	0.25	0.25	800	2.62	0	2.87	1	0.88	2.12	14.7	0.88	0	0.3128	0.7825	-0.021	3.77	22.26	
155	63471.2	0	0.5	0.2276	1.25	1.87	0.0519	0.75	0	0.88	0	0.8668	0.5	0.5	3.12	2.12	1.75	0.13	0.314	0.25	0.13	0.0602	0.25	0.5	0.38	1.12	0.5	3.37	0.75	0.63	0.25	0.88	0.13	2	0.5	0.25	0.38	0.25	800	4.37	0	2	0.88	0.75	1	13.3	1.12	0	0.3916	0.745	-0.0415	4.63	21.41	
160	65818.8	0	0.5	0.2398	0.5	1.87	0.0724	0.5	0	1.12	0.13	0.823	0.25	0.38	4.37	1.37	1.25	0.25	0.2731	0.13	0.63	0.0571	0.25	0.25	0.75	2.5	0.13	2.62	0.38	0.88	0.13	0.5	0.13	1.5	0.25	0.25	0.88	0.13	800	3.12	0.13	2.75	0.75	1.25	3.12	15.1	1.37	0.13	0.3623	0.7397	-0.063	3.99	21.36	
165	68038.2	0	0.25	0.1928	0.75	2.25	0.0207	0.5	0	1	0	0.85	0.13	0.63	3.12	2.25	2.87	0.13	0.3099	0.25	0.88	-0.0133	0.38	1.25	0.13	2.5	0.38	2.37	0.5	0.13	0.25	1.12	0.5	2	0.88	0.38	1	0.13	800	2.37	0	2.25	0.25	0.63	1.5	13.2	0.75	0	0.4162	0.7263	-0.1243	4.37	21.15	
170	71219.2	0	0.38	0.2373	1.12	0.63	0.0403	0.13	0	1.5	0.13	0.8435	0.38	0.63	3	3.87	2.12	0.5	0.2609	0	0.63	0.1309	0.13	0.25	0.88	1.5	0.38	4.12	0.38	0.5	0.38	1.25	0.25	1.75	0	0.5	0.75	0.13	800	3.37	0	3	0.75	1	2.62	16.1	0.63	0	0.4354	0.7123	-0.058	4.72	19.77	
175	73839	0	0.25	0.2223	0.37	0.75	0.0249	0.75	0	2.12	0.25	0.8493	0.25	0.62	2.87	1.74	1.24	0.62	0.2971	0.12	0.75	0.0105	0.25	1.24	0.37	1.99	0.5	3.99	0.62	0.37	0.5	1.74	0.12	3.37	0.37	0.12	0.62	0.5	801	4.24	0	3.24	0.62	1	3.12	14.4	0.62	0	0.4667	0.7009	-0.0411	5.01	20.09	
