# NOAA Paleoclimatology Program - Paleocean Site Data
# gb10285-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Ralph R. Schneider
# Core/Site:      GeoB10285
# Latitude:       20.06.12S	( -20.10333)
# Longitude:      9.11.06E	( 9.185)
# Water Depth(m): 2209
#
# Publications:
#   Schneider, R.R., P.J. Mueller, and G. Ruhland. 1995. Late Quaternary surface
#     circulation in the east-equatorial South Atlantic: evidence from alkenone sea
#     surface temperatures. Paleoceanography 10:197-219.
#------------------
#
# Description & Notes:
#   South Atlantic circulation during the late Quaternary.
#   Geosciences Bremen SST estimates derived from the alkenone unsaturation index
#   (U-k-37, after Brassell et al, 1986) with the temperature calibration of PRAHL,
#   et al.(1988):SST=(Uk37-0.039)/0.034). SST & UK37 data measured 7/15/93.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.bull250-350           delta O18 PDB (Globigerina bulloides 250-350 micron)
#             d18Og.rub250-350            delta O18 PDB (Globigerinoides ruber 250-350 micron)
#             sst           Sea Surface Temperature (C)
#             uk37          Alkenone saturation index
#
# CORE: GeoB10285
depth	yrBP 	Analysis_Date	d18Og.bull250-350	d18Og.bull250-350_err	d18Og.rub250-350	d18Og.rub250-350_err	sst	sst_err	uk37	
318	100000	1993-02-10	0.06	0.08	-0.12	0.08	21.9	0.3	0.782	
323	102300	1993-02-10	-0.03	0.08	-0.03	0.08	21.3	0.3	0.764	
328	104700	1993-02-10	-0.06	0.08	0.18	0.08	21	0.3	0.754	
333	107000	1993-02-10	0.41	0.08	0.46	0.08	21.8	0.3	0.78	
338	108200	1993-02-10	0.45	0.08	0.21	0.08	21.3	0.3	0.762	
343	109300	1993-02-10	0.39	0.08	0.29	0.08	20.9	0.3	0.748	
348	110500	1993-02-10	0.23	0.08	0.08	0.08	20.8	0.3	0.747	
353	111600	1993-02-10	0.12	0.08	0.13	0.08	20.9	0.3	0.751	
358	112800	1993-02-10	0.34	0.08	0.07	0.08	20.6	0.3	0.741	
363	113900	1993-02-10	0.39	0.08	-0.02	0.08	20.3	0.3	0.729	
368	115100	1993-02-10	0.15	0.08	-0.2	0.08	20.8	0.3	0.747	
373	116200	1993-02-10	0.11	0.08	-0.23	0.08	21.1	0.3	0.755	
378	117400	1993-02-10	0.11	0.08	-0.51	0.08	21.6	0.3	0.772	
383	118500	1993-02-10	-0.36	0.08	-0.36	0.08	22	0.3	0.787	
388	119700	1993-02-10	0.18	0.08	-0.5	0.08	22.6	0.3	0.808	
393	120900	1993-02-10	0.1	0.08	-0.76	0.08	23	0.3	0.82	
398	122000	1993-02-10	-0.12	0.08	-0.8	0.08	22.5	0.3	0.804	
403	123200	1993-02-10	-0.14	0.08	-0.75	0.08	23.3	0.3	0.83	
408	124400	1993-02-10	-0.17	0.08	-0.49	0.08	22.7	0.3	0.81	
413	125600	1993-02-10	-0.18	0.08	-0.39	0.08	23.1	0.3	0.823	
418	126700	1993-02-10	0.05	0.08	-0.5	0.08	23.4	0.3	0.834	
423	127900	1993-02-10	-0.07	0.08	0.01	0.08	22.9	0.3	0.818	
428	129100	1993-02-10	-0.21	0.08	-0.55	0.08	23.1	0.3	0.824	
433	130300	1993-02-10	0.07	0.08	-0.15	0.08	21.6	0.3	0.775	
438	131500	1993-02-10	0.56	0.08	0.38	0.08	21.4	0.3	0.768	
443	132600	1993-02-10	0.29	0.08	0.3	0.08	19.8	0.3	0.711	
448	133800	1993-02-10	1.35	0.08	1.02	0.08	18.9	0.3	0.683	
453	135000	1993-02-10	1.24	0.08	1.08	0.08	18.7	0.3	0.676	
458	139000	1993-02-10	1.41	0.08	1.05	0.08	18.7	0.3	0.676	
463	143000	1993-02-10	1.37	0.08	0.72	0.08	18.6	0.3	0.673	
468	147000	1993-02-10	1.42	0.08	1.24	0.08	18.9	0.3	0.681	
473	151000	1993-02-10	1.49	0.08	0.99	0.08	18.7	0.3	0.676	
478	154300	1993-02-10	1.28	0.08	1.03	0.08	18.8	0.3	0.677	
483	157700	1993-02-10	1.1	0.08	0.78	0.08	18.5	0.3	0.667	
488	161000	1993-02-10	0.94	0.08	0.78	0.08	19	0.3	0.685	
493	164300	1993-02-10	1.01	0.08	0.8	0.08	18.6	0.3	0.672	
498	167700	1993-02-10	0.92	0.08	0.61	0.08	18.8	0.3	0.677	
503	171000	1993-02-10	0.56	0.08	0.39	0.08	19.1	0.3	0.689	
508	174000	1993-02-10	0.53	0.08	0.68	0.08	19.3	0.3	0.696	
513	177000	1993-02-10	0.48	0.08	0.88	0.08	19.5	0.3	0.701	
518	180000	1993-02-10	0.6	0.08	0.61	0.08	18.9	0.3	0.68	
523	183000	1993-02-10	0.78	0.08	0.79	0.08	18.1	0.3	0.656	
528	186700	1993-02-10	0.89	0.08	0.65	0.08	19.2	0.3	0.691	
533	190300	1993-02-10	0.39	0.08	0.16	0.08	19.6	0.3	0.704	
538	194000	1993-02-10	0.33	0.08	0.16	0.08	21.6	0.3	0.775	
543	195400	1993-02-10	0.38	0.08	0.2	0.08	20.9	0.3	0.75	
548	196800	1993-02-10	0.41	0.08	-0.08	0.08	20.9	0.3	0.75	
553	198100	1993-02-10	0.34	0.08	0.51	0.08	20.8	0.3	0.745	
558	199500	1993-02-10	0.03	0.08	0.04	0.08	21.8	0.3	0.779	
563	200900	1993-02-10	-0.03	0.08	0.3	0.08	20.3	0.3	0.729	
568	202300	1993-02-10	0.09	0.08	0	0.08	20.6	0.3	0.741	
573	203600	1993-02-10	0.17	0.08	0.03	0.08	22.1	0.3	0.789	
578	205000	1993-02-10	0.59	0.08	-0.11	0.08	21.6	0.3	0.773	
583	207800	1993-02-10	0.44	0.08	-0.22	0.08	21.4	0.3	0.768	
588	210500	1993-02-10	0.26	0.08	-0.12	0.08	21.8	0.3	0.779	
593	213300	1993-02-10	0.3	0.08	-0.4	0.08	22	0.3	0.786	
598	216000	1993-02-10	-0.08	0.08	-0.61	0.08	22.3	0.3	0.797	
603	217700	1993-02-10	0.18	0.08	-0.67	0.08	22.8	0.3	0.815	
608	219400	1993-02-10	0.53	0.08	-0.32	0.08	22.1	0.3	0.791	
