# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-23-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-23
# Latitude:       47.07.00S	( -47.11667)
# Longitude:      95.05.00E	( 95.08334)
# Water Depth(m): 3206
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             drysedwtg     Dry sediment weight (g)
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             foramsfrag    Foraminifers Fragments
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             Dsqchord      Squared-chord distance
#             forams/g      Foraminifers per gram
#             g.bull%       Globigerina bulloides percent
#             g.glut%       Globigerinita glutinata percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.scit%       Globorotalia scitula percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.falco%      Globigerina falconensis percent
#             o.univer%     Orbulina universa percent
#
# CORE: E49-23
depth	yrBP 	carb%	cfrac%>150	drysedwtg	forams%	forams-b	forams-b%	foramsfrag	radio	radio%	split	d13C	d18O	Dsqchord	Dsqchord_err	forams/g	g.bull%	g.glut%	g.infla%	g.quinq%	g.trc-l%	n.pachy-l%	n.pachy-r%	pd%	plank	sst-aug	sst-aug_err	sst-feb	sst-feb_err	g.crass%	g.digit%	g.scit%	g.trc-r%	g.falco%	o.univer%	notes
358	-999	50.4	8.5	3.26	71.6	2	1.2	40	20	13.3	0.0039	0.35	3.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
359	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.02	11448	26.9	1.3	3.4	0.3	0.3	65.6	1.3	0.6	327	2.46	1.1	6.44	2.3	-999	-999	-999	0.3	-999	-999	
368	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	3.11	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
368	-999	61	14.3	3.79	88.6	4	0.6	50	20	6	0.0039	0.17	3.08	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
369	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.02	24469	25.8	1.7	2.4	-999	0.7	67.9	0.4	1.1	311	2.46	1.1	6.44	2.3	-999	-999	-999	-999	-999	-999	
378	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.19	3.14	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
378	-999	79.4	19.6	3.8	87.5	1	1.1	40	20	5.4	0.0039	0.15	3.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
379	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.02	23710	25.7	0.9	5.9	-999	2.7	63.4	0.6	0.9	350	2.93	1.6	6.59	1.7	-999	-999	-999	-999	-999	-999	
388	80000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.16	3.14	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.1
388	80000	82.9	28	4.31	90.9	1	0.3	40	0	4.8	0.0039	-0.02	3.05	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
389	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.01	26930	44.6	1.1	11.4	1.6	1.1	38.5	0.3	1.6	399	4.44	0.9	6.95	1.2	-999	-999	-999	-999	-999	-999	
398	-999	84.3	36.4	4.11	92.6	5	0.2	50	40	0	0.0078	0.09	3.08	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
399	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.1	0.01	29581	57	1.3	12.2	1.9	1.1	26	0	0.4	497	5.68	1.2	7.56	1.3	-999	-999	0.2	-999	-999	-999	
408	-999	70.2	15.4	2.94	89	5	1.2	90	130	9	0.0156	0.12	3.05	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
409	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.1	0.01	12627	59.1	1.8	8.5	1.5	1	27.3	0	0.8	405	5.51	1.3	7.33	1.1	-999	-999	-999	-999	-999	-999	
418	-999	33.2	5.4	3.32	75.6	4	1.8	150	70	31.8	0.0078	0.26	3.23	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
419	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.02	6075	29.8	0.7	5.9	1.1	0.4	61	0.7	0.4	279	2.94	2	6.33	2	-999	-999	-999	-999	-999	-999	
428	87000	56.2	22.1	2.92	77.5	4	0.8	120	50	12	0.0078	0.3	3.22	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.2
429	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.08	0.03	19932	34.4	-999	10.4	-999	1.8	52.1	0.4	1	516	3.06	1.4	6.51	1.8	-999	-999	-999	-999	-999	-999	
438	-999	52.3	10.2	3.27	76	0	1	90	50	11.7	0.0039	0.26	3.19	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
439	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.02	16635	19.1	0.3	1.7	1.7	-999	74.6	1.1	1.4	379	3.25	1.6	7.48	2	-999	-999	-999	-999	-999	-999	
448	-999	59.2	16.8	3.6	79	6	0	90	30	12.9	0.0039	0.31	3.33	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
449	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.02	26590	24.2	0.9	3.9	-999	0.6	68.1	0.9	1.5	339	2.37	1.2	6.29	2.5	-999	-999	-999	-999	-999	-999	
458	-999	70.1	25.3	3.87	81.1	3	1.5	80	20	7.2	0.0039	0.23	3.21	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
459	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.02	27523	37.7	1.1	8.1	0.5	0.8	51.6	0	0.3	386	4.18	1.8	7.16	2	-999	-999	-999	-999	-999	-999	
468	-999	74.2	28.3	4.11	82.5	3	0.8	60	20	5	0.0039	0.02	3.07	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
469	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.02	25011	42.4	3	11	0.8	0.5	41.3	0.5	0.5	377	4.44	0.9	6.95	1.2	-999	-999	-999	-999	-999	-999	
478	-999	78.5	25.8	3.87	84.7	3	0.9	80	20	5.7	0.0039	-0.05	3.02	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
479	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.09	0.01	20630	52.6	3.4	8	1.2	0.3	32.9	0	1.2	331	4.66	1	6.97	1.2	-999	-999	-999	-999	0.3	-999	
488	99000	69.8	21.5	3.66	82.4	10	0.8	80	20	5.1	0.0039	0.22	3.16	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.3
489	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.09	0.02	24780	41.5	1.1	4.3	0.3	0.5	51.2	0	1.1	374	4.1	1.8	7.56	2.4	-999	-999	-999	-999	-999	-999	
498	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-0.11	3.11	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
498	-999	57.5	22.1	2.92	82.9	6	2.5	140	190	4.9	0.0313	-0.01	3.08	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
499	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.02	27182	33.7	1	3.9	0.5	0.8	59	0.5	0.5	388	3.11	1.9	6.98	2.5	-999	-999	-999	-999	-999	-999	
508	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	2.97	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
508	-999	59.1	4.9	2.51	76.5	6	1.3	70	180	29.5	0.0313	0.04	3.17	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
509	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.02	4987	33.6	0.7	2.9	0.9	0.4	59.5	0.7	1.3	455	3.39	2	7.25	2.3	-999	-999	-999	-999	-999	-999	
518	-999	33.6	4.2	2.52	86.9	20	1.3	120	90	27.9	0.0313	0.14	3.15	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
519	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.02	5926	20.5	0.4	1.3	1.1	-999	75.1	0.7	0.9	465	2.34	1	6.25	2.4	-999	-999	-999	-999	-999	-999	
528	-999	34.4	3.6	2.67	76.5	5	4.9	90	110	18.7	0.0156	0.36	3.39	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
529	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.02	4949	15.1	0.5	3.6	0.3	0.5	77.7	0.8	1.3	391	2.11	1	5.43	1.8	-999	-999	-999	0.3	-999	-999	
533	107000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.4
538	-999	41.1	5.4	2.86	79.1	3	1.5	250	90	24.4	0.0156	0.4	3.39	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
539	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.02	8178	17.3	-999	2.4	1.5	0.6	76.8	1.2	0.3	341	2.11	1	5.43	1.8	-999	-999	-999	-999	-999	-999	
548	-999	54.7	7.1	3.48	54	6	1	170	10	23.5	0.0078	0.34	3.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
549	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.09	0.03	6567	39.5	-999	9.7	0.4	0.7	49.1	0.4	0.4	293	3.58	1.4	6.68	1.7	-999	-999	-999	-999	-999	-999	
558	-999	80.5	24.8	4.92	74.6	1	1.2	50	10	2	0.0039	-0.26	2.47	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
559	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.02	18336	51.5	2.4	10.7	0.2	2.6	29.6	1.6	1.4	498	5.28	1.1	7.38	1	-999	-999	-999	-999	-999	-999	
568	-999	82.9	20.2	4.38	87.1	0	0.3	50	10	2.9	0.0078	-0.03	2.36	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
569	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.02	17552	49.3	7.8	14.4	-999	3	16.5	2.1	5.7	337	5.94	1.4	7.95	1.4	-999	-999	-999	0.3	0.6	0.3	
578	122000	85.6	19.5	3.44	91.8	-999	0	-999	-999	1.8	-999	-0.14	2.22	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.5
579	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.02	16289	44.8	8.8	14.3	2.9	4.2	10.3	3.3	9.7	557	7.36	1.4	9.21	2	-999	-999	-999	0.4	0.7	0.6	
