Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction

LAST UPDATE: 1/2005 (Original Receipt by WDC Paleo)
CONTRIBUTOR: Thibault de Garidel-Thoron, Rutgers University
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-012


SUGGESTED DATA CITATION: de Garidel-Thoron, T., et al.  2005.
Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-012. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
de Garidel-Thoron, T., Y. Rosenthal1, F. Bassinot, and L. Beaufort. 2005.  
Stable sea surface temperatures in the western Pacific warm pool 
over the past 1.75 million years.  
Nature Vol. 433, No.7023, pp. 294-298 (20 January 2005); doi:10.1038/nature03189 


ABSTRACT:
About 850,000 years ago, the period of the glacial cycles changed
from 41,000 to 100,000 years. This mid-Pleistocene climate
transition has been attributed to global cooling, possibly caused
by a decrease in atmospheric carbon dioxide concentrations.
However, evidence for such cooling is currently restricted to the
cool upwelling regions in the eastern equatorial oceans,
although the tropical warm pools on the western side of the
ocean basins are particularly sensitive to changes in radiative
forcing. Here we present high-resolution records of sea surface
temperatures spanning the past 1.75 million years, obtained from
oxygen isotopes and Mg/Ca ratios in planktonic foraminifera
from the western Pacific warm pool. In contrast with the eastern
equatorial regions, sea surface temperatures in the western
Pacific warm pool are relatively stable throughout the Pleistocene
epoch, implying little long-term change in the tropical net
radiation budget. Our results challenge the hypothesis of a
gradual decrease in atmospheric carbon dioxide concentrations
as a dominant trigger of the longer glacial cycles since 850,000
years ago. Instead, we infer that the temperature contrast across
the equatorial Pacific Ocean increased, which might have had a
significant influence on the mid-Pleistocene climate transition.


PERIOD OF RECORD:  1.75 MMYrBP - present
GEOGRAPHIC REGION: Western Pacific Warm Pool 


DESCRIPTION:  
This dataset is a high-resolution Pleistocene record (0-1.75Myr ago, 
Marine Isotopic Stages Marine Isotopic Stage 1 to MIS 59) of paired 
d18O and Mg/Ca measurements in planktonic foraminifera 
(Globigerinoides ruber, 250-300mm, white) from the IMAGES core MD97-2140 
located in the heart of the Western Pacific warm pool.

Core MD97-2140:  2°02'N   141° 46'E    2547m. depth



DATA:
Column 1: Depth (cm)  
Column 2: Composite depth (cm)
Column 3: Age (ka BP)
Column 4: d18 ruber (p.mil vs PDB)
Column 5: Mg/Ca ruber (mmol/mol)
Column 6: SST (deg.C)	


   Depth  DepthCmp.   Age    d18O    Mg/Ca     SST 
     912     900     197    -2.09     3.5      25.7
     922     910     201     -2.3     4.1      27.4
     932     920     204    -2.01     4.2      27.7
     942     930     208    -2.25     4.2      27.7
     952     940     211     -2.1     4.2      27.8
     962     950     215     -2.1     4.2      27.9
     972     960     218    -1.81     4.4      28.2
     982     970     221    -1.72       4      27.2
     992     980     223    -1.69     3.9      27.1
    1002     990     226    -1.66     3.3      25.3
    1012    1000     230    -1.91     3.6      26.2
    1022    1010     234    -2.28     3.9      27.1
    1032    1020     238     -2.3     3.8      26.8
    1042    1030     240    -2.06     4.5      28.6
    1052    1040     243    -1.46     4.5      28.4
    1062    1050     245    -1.39     3.7      26.5
    1072    1060     248    -1.48     3.5      25.7
    1082    1070     251    -1.37     3.5      25.8
    1092    1080     254    -1.23     3.4      25.6
    1102    1090     257    -1.42     3.6      26.2
    1112    1100     260    -1.29     4.1      27.6
    1122    1110     263    -1.25     3.9        27
    1132    1120     266    -1.39     3.7      26.3
    1142    1130     269    -1.28     3.5        26
    1152    1140     272    -1.84     3.7      26.6
    1162    1150     276    -1.56       4      27.2
    1172    1160     279    -1.89     4.1      27.6
    1182    1170     283    -1.92     3.8      26.7
    1192    1180     286    -1.92     3.6      26.2
    1202    1190     291              3.2      24.9
    1212    1200     295    -1.74     3.8      26.7
    1222    1210     302    -2.22       4      27.2
    1232    1220     309    -2.09     4.1      27.6
    1242    1230     315    -2.51     3.7      26.4
    1252    1240     322    -2.23     3.9      27.1
    1262    1250     329    -2.56     4.6      28.8
    1272    1260     331    -2.36     4.5      28.6
    1282    1270     334    -1.79     4.7      28.9
    1292    1280     336    -2.25     4.7        29
    1302    1290     338    -1.23     3.7      26.5
    1312    1300     343    -1.31       4      27.2
    1322    1310     347    -1.43     3.7      26.4
    1332    1320     352    -1.43     4.1      27.6
    1342    1330     357    -1.61     3.7      26.4
    1352    1340     361    -1.62     4.1      27.4
    1362    1350     366    -1.87     3.7      26.3
    1372    1360     373    -1.87     3.9      26.9
    1382    1370     379    -1.89     4.1      27.6
    1392    1380     386    -1.93     4.2      27.8
    1402    1390     392    -2.39     3.9        27
    1412    1400     399    -2.54       4      27.3
    1422    1410     405    -2.62     4.9      29.4
    1432    1420     411    -2.17     4.9      29.5
    1442    1430     416    -1.42     4.4      28.1
    1452    1440     422    -0.93     4.7      28.9
    1462    1450     428    -0.85     3.6      26.2
    1472    1460     437     -1.2     3.5      25.8
    1482    1470     445    -1.22     4.4      28.2
    1492    1480     453    -1.34     3.8      26.6
    1502    1490     461    -1.67     3.7      26.5
    1512    1500     464    -1.52     5.2      29.9
    1522    1510     467    -1.53     4.4      28.2
    1532    1520     471    -1.65     3.8      26.7
    1542    1530     474    -1.73     3.5      25.8
    1552    1540     477     -2.1     3.5        26
    1562    1550     480    -2.22     4.3        28
    1572    1560     485    -1.95     4.5      28.6
    1582    1570     489    -2.04     3.9      27.1
