# Indo-Pacific Warm Pool 450,000 Year Alkenone Temperature Reconstructions
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/26550 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/windler2019/windler2019.txt 
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#
# Dataset DOI: 
#
# Parameter_Keywords: biomarkers, carbon isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2019-04-16
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2019-04-16
#---------------------------------------
# Title
#    Study_Name: Indo-Pacific Warm Pool 450,000 Year Alkenone Temperature Reconstructions
#---------------------------------------
# Investigators
#      Investigators: Windler, G.; Tierney, J.; DiNezio, P.; Gibson, K.; Thunell, R.
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Alkenone temperature, biomarker, and carbon isotope data from Indian Ocean core MD98-2152 for the past 450kyr. 
#         Provided Keywords: Indo-Pacific Warm Pool, alkenone, GDGT, leaf wax, Pleistocene paleoclimate, shelf exposure
#---------------------------------------
# Publication
# Authors: Grace Windler, Jessica E. Tierney, Pedro N. DiNezio, Kelly Gibson, Robert Thunell
# Published_Date_or_Year: 2019-06-15
# Published_Title: Shelf exposure influence on Indo-Pacific Warm Pool climate for the last 450,000 years
# Journal_Name: Earth and Planetary Science Letters
# Volume: 516
# Edition: 
# Issue: 
# Pages: 66-76
# Report Number: 
# DOI: 10.1016/j.epsl.2019.03.038
# Online_Resource: https://www.sciencedirect.com/science/article/pii/S0012821X19301931
# Full_Citation: 
# Abstract: The Indo-Pacific Warm Pool is the largest source of heat and rainfall on Earth, but the mechanisms driving long-term climate variability in this region remain uncertain. Some studies suggest that precessional variations in insolation exert a primary role; alternatively, sea level change may be more important, with exposure of the Sunda and Sahul shelves leading to weakened Walker circulation across the Indian Ocean during glacial periods. The limited number of paleoclimate records from the warm pool that extend beyond the Last Glacial Maximum makes it difficult to test these competing hypotheses. Here, we present a 450,000-year long reconstruction of sea surface temperatures, sub-surface temperatures, and regional vegetation from southern Sumatra. We show that the dominant signal in each record is the 100 ky glacial cycle. We find that both surface and sub-surface temperatures cool during glacial periods, but the sub-surface cools more, reflecting a shoaling of the thermocline. Southern Sumatra and western Java consistently exhibit increased C4 grass coverage and an enhanced dry season during glacial periods. The observed changes in the thermocline and rainfall seasonality are consistent with the shelf exposure mechanism, suggesting that sea level changes exert a prominent role in warm pool climate over glacial-interglacial timescales.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: David and Lucile Packard Foundation
#    Grant: Fellowship in Science and Engineering
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation
#    Grant: DGE-1143953
#---------------------------------------
# Site Information
# Site_Name: MD98-2152
# Location: Indian Ocean
# Country: 
# Northernmost_Latitude: -6.328
# Southernmost_Latitude: -6.328
# Easternmost_Longitude: 103.879
# Westernmost_Longitude: 103.879
# Elevation: -1796
#---------------------------------------
# Data_Collection
#   Collection_Name: Windler2019
#   First_Year: 449740
#   Last_Year: 920
#   Time_Unit: cal. yr BP
#   Core_Length: 30.45
#   Notes: from the MD111 cruise
#---------------------------------------
# Chronology_Information 
# Chronology: 
# Labcode										
# depth_top										
# depth_bottom										
# mat_dated										
# 14C_date										
# 14C_1s_err										
# delta_R										
# delta_R_1s_err										
# other_date										
# other_1s_err										
# other_type										
# 										
# Labcode	depth_top	depth_bottom	mat_dated	14C_date	14C_1s_err	delta_R	delta_R_1s_err	other_date	other_1s_err	other_type
# 152097	124	125	G. ruber	7225	0.025	42	70			
# 152098	399	400	G. ruber	21940	0.08	42	70			
# 	524	524						64861	1785	G. ruber 
# 	601	601						81185	1707	G. ruber 
# 	849	849						111699	1655	G. ruber 
# 	901	901						122216	1646	G. ruber 
# 	1012	1012						141352	1798	G. ruber 
# 	1336	1336						221533	1552	G. ruber 
# 	1463	1463						241285	1758	G. ruber 
# 	1674	1674						285813	1653	G. ruber 
# 	1712	1712						293049	1622	G. ruber 
# 	1986	1986						329947	1634	G. ruber 
# 	2049	2049						339760	1672	G. ruber 
# 	2886	2886						432982	1652	G. ruber 
# 	3012	3012						446721	1435	G. ruber 
# 	3063	3063						452031	1543	G. ruber 
# 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
# 
## depth_cm	depth,,,centimeter,,Paleoceanography,,,N ,
## age_ka	age,,,calendar kiloyear before present,,Paleoceanography,,,N ,
## uk37	alkenone unsaturation index UK37 prime,C37:2 alkenone; C37:3 alkenone,,,,Paleoceanography,,gas chromatography,N ,
## sst_uk_5	sea surface temperature,,90% confidence interval lower bound,degree Celsius,,Paleoceanography,,Bayesian hierarchical modeling,N ,5% confidence interval using BAYSPLINE calibration
## sst_uk_med	sea surface temperature,,,degree Celsius,,Paleoceanography,,Bayesian hierarchical modeling,N ,Median values using BAYSPLINE calibration
## sst_uk_95	sea surface temperature,,90% confidence interval lower bound,degree Celsius,,Paleoceanography,,Bayesian hierarchical modeling,N ,95% confidence interval using BAYSPLINE calibration
## TEX86	tetraether index of 86 carbon atoms,isoprenoid glycerol dialkyl glycerol tetraethers,,,,Paleoceanography,,high-performance liquid chromatography,N ,
## subt_tex_5	temperature,,90% confidence interval lower bound,degree Celsius,,Paleoceanography,,Bayesian hierarchical modeling,N ,5% confidence interval of sub-surface temperatures using BAYSPAR Sub-T calibration
## subt_tex_med	temperature,,,degree Celsius,,Paleoceanography,,Bayesian hierarchical modeling,N ,Median values of sub-surface temperatures using BAYSPAR Sub-T calibration
## subt_tex_95	temperature,,90% confidence interval lower bound,degree Celsius,,Paleoceanography,,Bayesian hierarchical modeling,N ,95% confidence interval of sub-surface temperatures using BAYSPAR Sub-T calibration
## d13Cwax	delta 13C,C30 n-alkanoic acid,,per mil VPDB,,Paleoceanography,,isotope ratio mass spectrometry,N ,
# 
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: -999
depth_cm	age_ka	uk37	sst_uk_5	sst_uk_med	sst_uk_95	TEX86	subt_tex_5	subt_tex_med	subt_tex_95	d13Cwax
1191	186.26	0.960	25.1	28.5	33.4	0.659	18.0	23.1	27.9	-29.34
1201	188.77	0.970	25.4	28.9	33.9	0.645	17.3	22.1	26.8	-28.70
1216	192.53	0.983	25.7	29.3	34.5	0.658	18.2	22.9	27.8	-27.08
1231	196.29	0.980	25.7	29.2	34.3	0.657	18.2	23.0	27.6	-28.82
1237	197.80	0.962	25.1	28.6	33.6	0.653	18.0	22.7	27.5	-28.54
1246	200.05	0.977	25.6	29.1	34.2	0.687	20.0	24.9	29.6	-29.48
1253	201.81	0.982	25.7	29.3	34.4	0.645	17.7	22.1	26.9	-28.64
1261	203.82	0.974	25.5	29.1	34.1	0.656	18.0	22.9	27.7	-28.91
1276	207.58	0.963	25.1	28.6	33.6	0.646	17.4	22.3	26.9	-28.72
1291	211.34	0.955	24.9	28.3	33.2	0.651	17.9	22.5	27.2	-29.45
1305	214.85	0.957	25.0	28.3	33.2	0.654	18.0	22.7	27.5	-29.31
1321	218.46	0.933	24.2	27.3	32.1	0.646	17.3	22.2	27.0	-28.59
1336	221.53	0.918	23.8	26.7	31.5	0.648	17.4	22.5	27.1	-28.12
1351	223.87	0.897	23.1	25.9	30.2	0.642	16.9	22.0	26.7	-28.58
1366	226.20	0.906	23.4	26.2	30.8	0.597	14.3	19.2	23.8	-27.92
1381	228.53	0.951	24.8	28.1	33.0	0.643	17.3	22.1	26.7	-28.03
1396	230.86	0.955	24.9	28.3	33.3	0.637	16.9	21.6	26.4	-28.62
1411	233.20	0.960	25.1	28.5	33.5	-999	-999	-999	-999	-28.30
1426	235.53	0.957	25.0	28.4	33.4	0.623	16.1	20.7	25.4	-29.38
1441	237.86	0.968	25.3	28.8	33.8	0.651	17.6	22.4	27.3	-29.44
1456	240.20	0.967	25.3	28.7	33.8	0.649	17.8	22.4	27.1	-30.02
1471	242.97	0.948	24.6	27.9	32.9	0.660	18.3	23.2	27.8	-28.78
1486	246.14	0.923	23.9	26.9	31.6	0.636	16.7	21.6	26.2	-27.34
1501	249.30	0.920	23.8	26.8	31.6	0.640	17.0	21.9	26.5	-27.20
1516	252.47	0.920	23.8	26.8	31.5	0.617	15.3	20.2	24.9	-26.81
1531	255.64	0.912	23.6	26.5	31.1	0.609	14.8	19.8	24.7	-27.62
1546	258.80	0.894	23.0	25.8	30.2	0.605	14.9	19.7	24.3	-27.29
1561	261.97	0.872	22.3	24.9	28.8	0.611	15.3	20.0	24.7	-27.30
1576	265.13	0.891	22.9	25.6	29.9	0.611	15.2	20.1	24.9	-27.38
1591	268.30	0.930	24.1	27.2	32.0	0.599	14.4	19.2	23.9	-27.28
1606	271.46	0.936	24.3	27.4	32.3	0.615	15.4	20.2	24.9	-28.65
1621	274.63	0.936	24.3	27.5	32.3	-999	-999	-999	-999	-29.21
1636	277.79	0.934	24.2	27.4	32.2	0.630	16.4	21.1	25.9	-29.11
1651	280.96	0.943	24.5	27.8	32.7	0.631	16.4	21.3	26.0	-29.91
1666	284.12	0.943	24.5	27.8	32.7	0.637	16.9	21.8	26.5	-30.39
1681	287.15	0.938	24.4	27.5	32.4	0.637	16.9	21.8	26.6	-29.76
1696	290.00	0.943	24.6	27.8	32.6	0.647	17.3	22.4	27.0	-29.36
1711	292.86	0.914	23.6	26.6	31.3	0.631	16.4	21.1	26.1	-28.72
1726	294.93	0.908	23.4	26.3	31.0	0.611	15.0	20.0	24.6	-29.09
1741	296.95	0.953	24.8	28.1	33.1	0.630	16.4	21.3	25.8	-29.74
1761	299.65	0.969	25.3	28.9	33.9	0.637	16.9	21.7	26.4	-29.44
1781	302.34	0.968	25.3	28.8	33.8	-999	-999	-999	-999	-28.43
1801	305.03	0.955	24.9	28.3	33.3	0.620	15.7	20.5	25.2	-29.01
1821	307.73	0.958	25.0	28.4	33.3	0.637	16.8	21.6	26.2	-28.69
1841	310.42	0.960	25.0	28.5	33.5	0.664	18.6	23.3	27.8	-28.33
1861	313.11	0.967	25.3	28.8	33.8	0.664	18.7	23.3	28.0	-29.05
1881	315.81	0.985	25.8	29.5	34.6	0.659	18.3	23.1	27.7	-28.08
1901	318.50	0.988	25.9	29.6	34.7	0.673	19.3	24.0	28.7	-28.20
1921	321.19	0.988	25.9	29.6	34.7	0.684	19.9	24.6	29.4	-25.97
1941	323.89	0.977	25.6	29.1	34.2	0.678	19.5	24.2	28.8	-27.89
1961	326.58	0.976	25.6	29.1	34.2	0.676	19.4	24.1	28.9	-28.16
1981	329.27	0.975	25.5	29.1	34.1	0.676	19.4	24.1	29.0	-29.29
2001	332.28	0.972	25.4	29.0	34.0	0.668	18.7	23.5	28.5	-28.75
2021	335.40	0.934	24.2	27.4	32.3	0.670	19.0	23.8	28.6	-28.08
2041	338.51	0.927	24.1	27.1	31.9	0.639	17.1	21.7	26.4	-28.37
2061	341.10	0.934	24.3	27.4	32.2	0.626	16.0	20.9	25.6	-27.22
2081	343.32	0.922	23.9	26.8	31.6	0.610	15.0	20.0	24.6	-27.23
2101	345.55	0.906	23.4	26.2	30.8	0.620	15.7	20.7	25.5	-27.55
2121	347.78	0.906	23.4	26.2	30.8	0.608	14.9	19.7	24.6	-27.60
2141	350.01	0.877	22.5	25.1	29.0	0.620	15.7	20.5	25.2	-27.03
2156	351.68	0.845	21.5	24.0	27.1	0.607	14.8	19.7	24.3	-28.75
2171	353.35	0.845	21.5	24.0	27.2	-999	-999	-999	-999	-26.97
2186	355.02	0.863	22.1	24.6	28.2	0.592	14.0	18.8	23.6	-28.01
2201	356.69	0.875	22.4	25.0	28.9	0.604	14.7	19.6	24.3	-26.39
2231	360.03	0.875	22.4	25.0	29.0	0.607	14.6	19.6	24.3	-27.12
2246	361.70	0.890	22.9	25.6	30.0	0.614	15.6	20.2	24.9	-28.54
2261	363.37	0.889	22.5	25.1	29.1	0.608	14.7	19.8	24.5	-26.20
2276	365.04	0.882	22.9	25.6	29.9	0.626	16.3	21.2	25.6	-27.49
2291	366.71	0.881	22.9	25.6	29.8	0.618	15.7	20.4	25.1	-28.00
2306	368.38	0.912	23.2	26.0	30.4	0.619	15.5	20.5	25.1	-27.85
2321	370.05	0.917	23.0	25.7	30.1	0.566	12.2	17.1	21.5	-31.44
2336	371.73	0.893	22.9	25.6	29.8	0.627	16.1	21.0	25.6	-26.49
2351	373.40	0.916	23.9	26.9	31.7	0.609	15.1	19.9	24.5	-27.71
2366	375.07	0.926	24.2	27.3	32.2	0.628	16.2	21.1	25.8	-27.97
2381	376.74	0.939	24.5	27.7	32.6	0.618	15.7	20.4	25.0	-28.50
2396	378.41	0.948	24.6	27.8	32.7	0.638	17.0	21.7	26.3	-28.86
2411	380.08	0.950	24.6	27.8	32.7	0.634	16.8	21.4	26.1	-28.22
