# Holocene and Last Interglacial Regional SST Stacks and Western Pacific Mg/Ca SST Data																					
#-----------------------------------------------------------------------																					
"#               World Data Service for Paleoclimatology, Boulder"																					
#                                   and																					
#                      NOAA Paleoclimatology Program																					
#-----------------------------------------------------------------------																					
# Template Version 3.0																					
# Encoding: UTF-8																					
"# NOTE: Please cite original publication, online resource and date accessed when using this data."																					
"# If there is no publication information, please cite Investigator, title, online resource and date accessed."																					
#																					
# Description/Documentation lines begin with #																					
# Data lines have no #																					
#																					
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31752																					
#      Description: NOAA Landing Page																					
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/bova2020/bova2020-u1485-sst.txt																					
#      Description: NOAA location of the template																					
#																					
#																					
# Data_Type: Paleoceanography																					
#																					
# Dataset_DOI:																					
#																					
"# Parameter_Keywords: trace metals in carbonates, age control, geochemistry"																					
# 203520	U1485	B	2H	5W	61	63	8.71	G. ruber (>150 mm)	12570	30	14C AMS	IntCal13	547.0459561	452.1349673	641.9569449	13826.5	13478.975	14202.175	Bchron	no	NaN  
# 207908	U1485	B	2H	6W	8	10	9.59	G. ruber (>150 mm)	13110	60	14C AMS	IntCal13	585.2282227	493.240658	677.2157873	14770	14234.975	15216.05	Bchron	no	NaN  
# 203521	U1485	B	2H	6W	100	102	10.51	G. ruber (>150 mm)	13645	30	14C AMS	IntCal13	626.6301254	537.3848913	715.8753596	15751	15307.975	16143.05	Bchron	no	NaN  
# 207909	U1485	D	2H	4W	100	102	11.19	G. ruber (>150 mm)	14625	35	14C AMS	IntCal13	657.7949613	569.8644942	745.7254284	16805	16392.95	17258.025	Bchron	no	NaN  
# 203523	U1485	D	2H	5W	40	42	12.01	G. ruber (>150 mm)	15360	40	14C AMS	IntCal13	695.558971	607.9638491	783.154093	17787	17426.975	18124.3	Bchron	no	NaN  
# 203525	U1485	D	2H	6W	30	32	13.33	G. ruber (>150 mm)	16415	45	14C AMS	IntCal13	755.5546189	665.0811086	846.0281291	18944	18627	19312.25	Bchron	no	NaN  
# 207914	U1485	B	3H 	2W	85	87	14.014145	G. ruber (>150 mm)	17070	60	14C AMS	IntCal13	785.4935592	691.9721188	879.0149996	19704	19307.875	20055.05	Bchron	no	NaN  
# 203526	U1485	B	3H 	3W	38	40	15	G. ruber (>150 mm)	18070	60	14C AMS	IntCal13	827.1503725	727.7803929	926.5203522	20837	20420.975	21268.075	Bchron	no	NaN  
# 203527	U1485	B	3H 	4W	113	115	17.24	G. ruber (>150 mm)	20340	70	14C AMS	IntCal13	908.6391484	793.6134087	1023.664888	23338	22837.925	23805.025	Bchron	no	NaN  
# 203528	U1485	B	3H 	5W	131	133	18.94	G. ruber (>150 mm)	21880	80	14C AMS	IntCal13	953.6286789	827.5337249	1079.723633	25235	24591.9	25676.1	Bchron	no	NaN  
# 207910	U1485	B	3H 	7W	90	92	21.4	G. ruber (>150 mm)	24850	110	14C AMS	IntCal13	982.9883887	839.6196976	1126.35708	27949.5	27539.925	28463.05	Bchron	no	NaN  
# 207911	U1485	D	3H 	5W	103	105	24.05	G. ruber (>150 mm)	27590	140	14C AMS	IntCal13	953.2516384	763.7739276	1142.729349	30826.5	30154.925	31234	Bchron	no	NaN  
# 207912	U1485	B	4H	3W	90	92	27.45	G. ruber (>150 mm)	31350	260	14C AMS	IntCal13	795.1806606	440.4346156	1149.926706	34695.5	33560.675	35982.225	Bchron	no	NaN  
# 203536	U1485	D	1H	1W	30	32	0.31	wood fragments	390	20	14C AMS	IntCal13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	no	NaN  
# 207924	U1485	D	1H	2W	50	52	2.01	wood fragments	3295	25	14C AMS	IntCal13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	yes	NaN  
# 203537	U1485	D	1H	3W	60	62	3.61	wood fragments	4730	60	14C AMS	IntCal13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	no	NaN  
# 214844	U1485	B	2H	2W	140	142	5.09	wood fragments	7910	220	14C AMS	IntCal13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	yes	NaN  
