# 2.8 million years of alkenone and TEX86 data and surface and subsurface temperature in the northern South China Sea
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22588
#      Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/li2017/li2017.txt
#      Description: NOAA location of the template
#
# Original_Source_URL: 
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: paleoceanography
#
# Dataset DOI:
#
# Parameter_Keywords: reconstruction
#--------------------
# Contribution_Date
#	Date:  2017-08-28
#--------------------
# File_Last_Modified_Date
#	Date:  2017-08-28
#--------------------
# Title
#	Study_Name: 2.8 million years of alkenone and TEX86 data and surface and subsurface temperature in the northern South China Sea
#--------------------
# Investigators
#	Investigators: Li, Dawei; Zhao, M.; Tian, J.
#--------------------
# Description_Notes_and_Keywords
#	Description: Surface and subsurface temperature difference from the northern South China Sea was used to reconstruct east Asian winter monsoon.The 400 kyr cycle in east Asian winter monsoon was generated from remote forcing by super tropical Pacific ENSO.
#--------------------
# Publication 
#	Authors: Li, D., M. Zhao, and J. Tian
#	Published_Date_or_Year:  2017-09-15      
#	Published_Title: Low-high latitude interaction forcing on the evolution of the 400 kyr cycle in East Asian winter monsoon records during the last 2.8 Myr
#	Journal_Name: Quaternary Science Reviews
#	Volume: 172
#	Edition: 
#	Issue: 
#	Pages: 72-82
#	Report_Number: 
#	DOI: 10.1016/j.quascirev.2017.08.005
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0277379117300914
#	Full_Citation: 
#	Abstract: Variability of the East Asian winter monsoon (EAWM), stronger during glacials and weaker during interglacials, has been tightly linked to the wax and wane of the Northern Hemisphere ice sheets (NHIS) via the Siberian High over the last 2.8 million years (Myr). However, the long eccentricity cycle (ca. 400 kyr) in the EAWM record from the late Pliocene to early-Pleistocene (2.8¨C1.2 Ma) could not be linked to NHIS changes, which lacked the long eccentricity cycle in the Pleistocene. Here, we present the first low latitude EAWM record of the last 2.8 Myr using surface and subsurface temperature difference from the northern South China Sea to evaluate interactions between tropical ocean and EAWM changes. The results show that the EAWM variability displayed significant 400 kyr cycle between 2.8 Ma and 1.2 Ma, with weak (strong) EAWM during high (low) earth orbital eccentricity state. A super El Ni?o¨CSouthern Oscillation (ENSO) proxy record, calculated using west-east equatorial Pacific sea surface temperature differences, revealed 400 kyr cycles throughout the last 2.8 Myr with warm phase during high eccentricity state. Thus, we propose that super ENSO mean state strongly modulated the EAWM strength through remote forcing to generate the 400 kyr cycle between 2.8 Ma and 1.2 Ma, while low NHIS volume was not sufficient to dominate the EAWM variation as it did over the last 0.9 Myr with 100 kyr cycles in dominance.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: ODP 1148
#	Location: South China Sea
#	Country:  
#	Northernmost_Latitude: 18.836 
# 	Southernmost_Latitude: 18.836
# 	Easternmost_Longitude: 116.566 
# 	Westernmost_Longitude:  116.566
# 	Elevation:  -3296 
#------------------
# Data_Collection   
#	Collection_Name: ODP1148 SST Li2017
#	Earliest_Year: 2785481
#	Most_Recent_Year: 257 
#	Time_Unit: cal yr BP 
#	Core_Length: 151.03
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# *** MORE DETAILED INSTRUCTIONS are available at www1.ncdc.noaa.gov/pub/data/paleo/templates/Variable_naming_guide.pdf
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, additional information) 
#
## label	core name, , , , , , , ,C,
## depth_m	depth, , , m, , , , ,N,mcd
## age_ka	age, , , calendar ka BP, , , , ,N,
## Uk37		alkenone unsaturation index, C37Alkenones, , , , paleoceanography, , calculated after Prahl and Wakeham (1987),N,
## Uk37_SST	sea surface temperature, C37Alkenones, , degrees Celsius, ,reconstruction, ,,N,calculated after Mueller et al.(1998)
## TEX86	TEX86, GDGT, , , ,paleoceanography, ,calculated after Schouten et al. (2002),N,
## TEX86_T	TEX86_temperature, GDGT, , degrees Celsius, ,reconstruction, ,calculated after Jia et al. (2012),N,
## BIT	Branched and Isoprenoid Tetraether index, branched GDGT, , , ,paleoceanography, ,,N,calculated after Hopmans et al. (2004)
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  (Value used to flag missing data in the table below) 
#
Label	Depth_m	age_ka	Uk37	Uk37_SST	TEX86	TEX86_T	BIT
L48A	80	1216.654 	0.855 	24.6 	0.622 	19.5 	0.080 
L48A	80.48	1221.973 	0.825 	23.7 	0.597 	18.5 	0.156 
L48A	80.98	1227.514 	0.873 	25.1 	0.628 	19.7 	0.123 
L48A	81.48	1233.054 	0.943 	27.2 	0.667 	21.1 	0.091 
L48A	81.98	1238.595 	0.905 	26.1 	0.682 	21.6 	0.216 
L48A	82.28	1241.919 	0.843 	24.2 	0.619 	19.3 	0.084 
L48A	82.78	1247.459 	0.849 	24.4 	0.612 	19.1 	0.130 
L48A	83.28	1253.000 	0.850 	24.4 	0.592 	18.3 	0.162 
L48A	83.78	1265.967 	0.913 	26.3 	0.640 	20.1 	0.140 
L48A	84.28	1278.933 	0.900 	26.0 	0.643 	20.2 	0.085 
L48A	84.48	1284.120 	0.863 	24.8 	0.622 	19.5 	0.119 
L48A	84.98	1294.880 	0.880 	25.3 	0.638 	20.1 	0.166 
L48A	85.48	1302.330 	0.877 	25.2 	0.620 	19.4 	0.238 
L48A	85.98	1309.780 	0.928 	26.8 	0.643 	20.2 	0.149 
L48A	86.48	1317.230 	0.937 	27.1 	0.658 	20.8 	0.073 
L48A	86.98	1324.680 	0.925 	26.7 	0.621 	19.4 	0.125 
L48A	87.48	1332.130 	0.855 	24.6 	0.616 	19.2 	0.196 
L48A	87.98	1339.771 	0.892 	25.7 	0.621 	19.4 	0.184 
L48A	88.48	1347.700 	0.941 	27.2 	0.650 	20.5 	0.157 
L48A	88.98	1355.629 	0.941 	27.2 	0.679 	21.5 	0.091 
L48A	89.5	1363.874 	0.958 	27.7 	0.653 	20.6 	0.072 
L48A	89.98	1371.859 	0.952 	27.5 	0.661 	20.9 	0.096 
L48A	90.48	1381.655 	0.884 	25.4 	0.635 	20.0 	0.157 
L48A	90.98	1391.450 	0.904 	26.1 	0.633 	19.9 	0.100 
L48A	91.48	1401.245 	0.933 	26.9 	0.674 	21.4 	0.118 
L48A	91.98	1411.041 	0.919 	26.5 	0.648 	20.4 	0.087 
L48A	92.48	1419.915 	0.910 	26.2 	0.630 	19.8 	0.097 
L48A	92.98	1428.559 	0.933 	26.9 	0.624 	19.5 	0.110 
L48A	93.48	1437.203 	0.945 	27.3 	0.681 	21.6 	0.115 
L48A	93.98	1445.847 	0.964 	27.9 	0.679 	21.5 	0.139 
L48A	95.03	1464.000 	0.904 	26.1 	0.634 	19.9 	0.105 
L48A	95.53	1471.826 	0.904 	26.1 	0.643 	20.3 	0.145 
L48A	96.03	1479.652 	0.940 	27.2 	0.667 	21.1 	0.131 
L48A	96.53	1487.478 	0.961 	27.8 	0.666 	21.1 	0.089 
L48A	97.03	1495.304 	0.902 	26.0 	0.649 	20.5 	0.099 
L48A	97.53	1503.130 	0.894 	25.8 	0.618 	19.3 	0.152 
L48A	98.03	1510.957 	0.915 	26.4 	0.638 	20.1 	0.147 
L48A	98.53	1518.783 	0.941 	27.2 	0.676 	21.4 	0.091 
L48A	99.03	1526.609 	0.905 	26.1 	0.644 	20.3 	0.060 
L48A	99.53	1534.435 	0.852 	24.5 	0.617 	19.3 	0.116 
L48A	100.03	1544.157 	0.906 	26.1 	0.632 	19.8 	0.111 
L48A	100.53	1554.352 	0.902 	26.0 	0.638 	20.1 	0.110 
L48A	101.03	1564.548 	0.918 	26.5 	0.673 	21.3 	0.067 
L48A	101.53	1574.743 	0.893 	25.7 	0.633 	19.9 	0.083 
L48A	102.03	1585.110 	0.908 	26.2 	0.633 	19.9 	0.100 
L48A	102.53	1596.157 	0.910 	26.2 	0.645 	20.3 	0.070 
L48A	103.03	1607.205 	0.904 	26.1 	0.684 	21.7 	0.122 
L48A	103.3	1613.170 	0.890 	25.6 	0.686 	21.8 	0.099 
L48A	103.8	1624.218 	0.905 	26.1 	0.640 	20.2 	0.094 
L48A	104.3	1633.458 	0.893 	25.7 	0.653 	20.6 	0.116 
L48A	105.48	1651.630 	0.876 	25.2 	0.633 	19.9 	0.078 
L48A	105.98	1661.713 	0.862 	24.8 	0.631 	19.8 	0.085 
L48A	106.48	1672.061 	0.912 	26.3 	0.655 	20.7 	0.071 
L48A	106.98	1682.409 	0.928 	26.8 	0.659 	20.8 	0.105 
L48A	107.48	1692.757 	0.896 	25.8 	0.659 	20.8 	0.098 
L48A	107.98	1702.887 	0.847 	24.3 	0.615 	19.2 	0.119 
L48A	108.48	1712.509 	0.910 	26.3 	0.658 	20.8 	0.124 
L48A	108.98	1722.131 	0.897 	25.8 	0.644 	20.3 	0.099 
L48A	109.48	1731.753 	0.911 	26.3 	0.669 	21.2 	0.134 
L48A	109.98	1741.376 	0.916 	26.4 	0.636 	20.0 	0.117 
L48A	110.48	1751.213 	0.885 	25.5 	0.637 	20.0 	0.165 
L48A	110.98	1761.105 	0.941 	27.2 	0.674 	21.4 	0.106 
L48A	111.49	1771.195 	0.949 	27.4 	0.673 	21.3 	0.117 
L48A	111.99	1781.087 	0.929 	26.8 	0.653 	20.6 	0.076 
L48A	112.49	1792.472 	0.910 	26.2 	0.628 	19.7 	0.162 
L48A	113.01	1810.528 	0.941 	27.2 	0.671 	21.2 	0.130 
L48A	113.51	1827.000 	0.951 	27.5 	0.655 	20.7 	0.106 
L48A	114.01	1841.441 	0.923 	26.6 	0.672 	21.3 	0.077 
L48A	114.22	1844.466 	0.921 	26.6 	0.647 	20.4 	0.134 
L48A	114.56	1849.364 	0.936 	27.0 	0.660 	20.9 	0.064 
L48A	115.06	1856.568 	0.925 	26.7 	0.654 	20.7 	0.155 
L48A	116.41	1894.880 	0.904 	26.1 	0.657 	20.7 	0.118 
L48A	116.91	1906.880 	0.945 	27.3 	0.670 	21.2 	0.096 
L48A	117.41	1918.000 	NA	NA	0.642 	20.2 	0.105 
L48A	117.91	1926.333 	0.922 	26.6 	0.644 	20.3 	0.133 
L48A	118.41	1934.667 	0.938 	27.1 	0.660 	20.9 	0.128 
L48A	118.91	1943.000 	0.951 	27.5 	0.687 	21.8 	0.097 
L48A	119.41	1951.333 	0.925 	26.7 	0.651 	20.5 	0.171 
L48A	119.91	1965.000 	0.924 	26.7 	0.649 	20.5 	0.055 
L48A	120.41	1978.575 	0.952 	27.5 	0.682 	21.7 	0.152 
L48A	120.91	1990.013 	0.905 	26.1 	0.635 	19.9 	0.135 
L48A	121.41	2002.444 	0.918 	26.5 	0.670 	21.2 	0.119 
L48A	121.91	2015.124 	0.949 	27.4 	0.699 	22.2 	0.089 
L48A	122.16	2021.464 	0.937 	27.1 	0.693 	22.0 	0.270 
L48A	122.66	2034.500 	0.949 	27.4 	0.679 	21.5 	0.137 
L48A	123.16	2047.993 	0.955 	27.6 	0.695 	22.1 	0.127 
L48A	123.66	2062.956 	0.884 	25.5 	0.636 	20.0 	0.121 
L48A	124.16	2077.919 	0.883 	25.4 	0.650 	20.5 	0.114 
L48A	124.66	2095.576 	0.910 	26.2 	0.657 	20.8 	0.105 
L48A	125.16	2115.929 	0.892 	25.7 	0.653 	20.6 	0.122 
L48A	125.59	2123.432 	0.937 	27.1 	0.689 	21.9 	0.125 
L48A	126.36	2131.440 	0.933 	27.0 	0.668 	21.2 	0.160 
L48A	126.86	2140.000 	0.927 	26.8 	0.685 	21.7 	0.220 
L48A	127.36	2150.000 	0.895 	25.8 	0.630 	19.8 	0.127 
L48A	127.86	2162.700 	0.875 	25.2 	0.621 	19.4 	0.276 
L48A	128.36	2176.208 	0.926 	26.7 	0.645 	20.3 	0.088 
L48A	128.86	2188.292 	0.945 	27.3 	0.684 	21.7 	0.219 
L48A	129.36	2200.375 	0.944 	27.3 	0.656 	20.7 	0.214 
L48A	129.86	2210.067 	0.941 	27.2 	0.683 	21.7 	0.106 
L48A	130.36	2220.333 	0.966 	27.9 	0.653 	20.6 	0.124 
L48A	130.86	2237.000 	0.953 	27.5 	0.668 	21.1 	0.236 
L48A	131.36	2252.333 	0.941 	27.2 	0.640 	20.1 	0.137 
L48A	131.86	2265.667 	0.962 	27.8 	0.697 	22.2 	0.140 
L48A	132.36	2274.714 	0.969 	28.0 	0.669 	21.2 	0.192 
L48A	132.86	2283.286 	0.931 	26.9 	0.641 	20.2 	0.302 
L48A	133.36	2295.000 	0.958 	27.7 	0.703 	22.4 	0.131 
L48A	133.86	2306.575 	0.964 	27.9 	0.679 	21.5 	0.087 
L48A	134.36	2320.375 	0.957 	27.7 	0.675 	21.4 	0.106 
L48A	134.86	2340.000 	0.954 	27.6 	0.651 	20.5 	0.098 
L48A	135.06	2343.200 	0.962 	27.8 	0.669 	21.2 	0.114 
L48A	136.36	2361.333 	0.956 	27.6 	0.644 	20.3 	0.136 
L48A	136.81	2375.250 	0.969 	28.0 	0.677 	21.5 	0.107 
L48A	137.31	2396.500 	0.959 	27.7 	0.664 	21.0 	0.145 
L48A	137.81	2414.000 	0.956 	27.6 	0.662 	20.9 	0.103 
L48A	138.31	2424.000 	0.958 	27.7 	0.687 	21.8 	0.124 
L48A	138.81	2436.045 	0.935 	27.0 	0.648 	20.4 	0.104 
L48A	139.31	2448.318 	0.910 	26.2 	0.662 	21.0 	0.217 
L48A	139.81	2459.933 	0.931 	26.9 	0.660 	20.9 	0.161 
L48A	140.31	2470.917 	0.943 	27.3 	0.691 	21.9 	0.155 
L48A	140.81	2480.500 	0.960 	27.8 	0.676 	21.4 	0.191 
L48A	141.31	2490.083 	0.946 	27.3 	0.640 	20.1 	0.187 
L48A	141.81	2500.267 	0.956 	27.6 	0.656 	20.7 	0.140 
L48A	142.31	2510.600 	0.953 	27.5 	0.667 	21.1 	0.110 
L48A	142.81	2520.933 	0.917 	26.5 	0.630 	19.8 	0.157 
L48A	143.31	2543.848 	0.921 	26.6 	0.617 	19.3 	0.222 
L48A	143.81	2569.909 	0.962 	27.8 	0.659 	20.8 	0.197 
L48A	144.31	2595.970 	0.961 	27.8 	0.702 	22.3 	0.117 
L48A	144.81	2616.833 	0.971 	28.1 	0.688 	21.8 	0.154 
L48A	145.11	2626.233 	0.953 	27.5 	0.685 	21.7 	0.164 
L48A	146.03	2655.060 	0.954 	27.6 	0.643 	20.2 	0.154 
L48A	146.53	2663.315 	0.961 	27.8 	0.677 	21.5 	0.153 
L48A	147.03	2671.097 	0.940 	27.1 	0.678 	21.5 	0.080 
L48A	147.53	2678.879 	0.965 	27.9 	0.661 	20.9 	0.111 
L48A	148.03	2686.661 	0.964 	27.9 	0.678 	21.5 	0.250 
L48A	148.53	2694.444 	0.947 	27.4 	0.664 	21.0 	0.138 
L48A	149.53	2717.333 	0.956 	27.6 	0.634 	19.9 	0.184 
L48A	150.03	2739.111 	0.915 	26.4 	0.669 	21.2 	0.106 
L48A	150.53	2760.000 	0.972 	28.1 	0.706 	22.5 	0.224 
L48A	151.03	2785.481 	0.973 	28.2 	0.674 	21.4 	0.259 

