# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982-l-tab.txt
# Complete Data
# File Created: 02-Feb-2010
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Lawrence, K.T., T.D. Herbert, C.M. Brown, M.E. Raymo, and A.M. Haywood. 2009.
#     High-amplitude variations in North Atlantic sea surface temperature during the
#     early Pliocene warm period. Paleoceanography, 24, PA2218.
#------------------
#
# Description & Notes:
#   North Atlantic ODP982 Pliocene Alkenone SST Reconstruction
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37.p    Sea Surface Temperature from Uk'37 (Prahl et al '88)
#             uk37          Alkenone saturation index
#
# CORE: ODP982
depth	calyrBP 	sst-uk37.p	uk37	notes
4411	2002368	14.63	0.54	982B 5H-5 3-5
4418	2007300	13.41	0.49	982B 5H-5 10-12
4438	2018874	15.41	0.56	982B 5H-5 30-32
4458	2026454	16.33	0.59	982B 5H-5 50-52
4478	2033804	15.54	0.57	982B 5H-5 70-72
4498	2040738	14.53	0.53	982B 5H-5 90-92
4518	2047658	14.79	0.54	982B 5H-5 110-112
4538	2054578	14.76	0.54	982B 5H-5 130-132
4578	2068684	12.58	0.47	982B 5H-6 20-22
4598	2076067	12.2	0.45	982B 5H-6 40-42
4618	2083450	13.41	0.5	982B 5H-6 60-62
4638	2090830	12.75	0.47	982B 5H-6 80-82
4658	2098210	12.29	0.46	982C 6H-1  20-22
4678	2105590	11.56	0.43	982C 6H-1  40-42
4698	2113692	13.47	0.5	982C 6H-1  60-62
4718	2122920	13.14	0.49	982C 6H-1  80-82
4738	2132146	14.55	0.53	982C 6H-1  100-102
4758	2141370	15.3	0.56	982C 6H-1  120-122
4778	2151878	13.21	0.49	982C 6H-1  140-142
4798	2163174	10.98	0.41	982C 6H-2 10-12
4818	2172470	12.23	0.45	982C 6H-2 30-32
4838	2181696	14.72	0.54	982C 6H-2 50-52
4858	2190930	13.62	0.5	982C 6H-2 70-72
4859	2191390	13.04	0.48	982C 6H-2 71-73
4878	2201258	12.03	0.45	982C 6H-2 90-92
4898	2212788	14.17	0.52	982C 6H-2 110-112
4918	2224708	13.31	0.49	982C 6H-2 130-132
4938	2237008	13.07	0.48	982C 6H-3 0-2
4950	2244390	11.69	0.44	982C 6H-3 20-22
4978	2261618	14	0.52	982C 6H-3 40-42
5011	2281908	12.8	0.47	982B 6H-1 110-112
5031	2294054	15.2	0.56	982B 6H-1 130-132
5051	2303930	14.1	0.52	982B 6H-2 0-2
5071	2313156	14.54	0.53	982B 6H-2 20-22
5091	2322386	12.82	0.47	982B 6H-2 40-42
5111	2331606	15.05	0.55	982B 6H-2 60-62
5131	2342772	16.37	0.6	982B 6H-2 80-82
5151	2358934	14.41	0.53	982B 6H-2 100-102
5171	2381996	13.23	0.49	982B 6H-2 120-122
5191	2405046	13.3	0.49	982B 6H-2 140-142
5211	2423344	13.94	0.51	982B 6H-3 10-12
5231	2436464	10.82	0.41	982B 6H-3 30-32
5251	2448018	12.73	0.47	982B 6H-3 50-52
5271	2459551	14.72	0.54	982B 6H-3 70-72
5272	2460128	14.96	0.55	982B 6H-3 71-76
5311	2480960	13.65	0.5	982B 6H-3 110-112
5331	2490090	12.8	0.47	982B 6H-3 130-132
5351	2497418	13.25	0.49	982B 6H-4 0-2
5358.5	2499817	14.25	0.52	982B 6H-4 7.5-9.5
5366	2501974	14.89	0.55	982B 6H-4 15-17
5373.5	2504058	15.43	0.56	982B 6H-4 22.5-24.5
5381	2506128	15.13	0.55	982B 6H-4 30-32
5388.5	2508199	14.8	0.54	982B 6H-4 37.5-39.5
5396	2510284	15.62	0.57	982B 6H-4 45-47
5403.5	2512358	13.85	0.51	982B 6H-4 52.5-54.5
5411	2514428	13.36	0.49	982B 6H-4 60-62
5418.5	2516508	12.37	0.46	982B 6H-4 67.5-69.5
5426	2518578	12.26	0.46	982B 6H-4 75-77
5433.5	2520658	11.45	0.43	982B 6H-4 82.5-84.5
5441	2522734	10.76	0.4	982B 6H-4 90-92
5448.5	2524809	10.51	0.4	982B 6H-4 97.5-99.5
5456	2526888	10.88	0.41	982B 6H-4 105-107
5463.5	2528968	10.69	0.4	982B 6H-4 112.5-114.5
5471	2531038	10.65	0.4	982B 6H-4 120-122
5478.5	2533118	10.96	0.41	982B 6H-4 127.5-129.5
5486	2535188	10.73	0.4	982B 6H-4 135-137
5493.5	2537259	11.13	0.42	982B 6H-4 142.5-144.5
5501	2539336	12.8	0.47	982B 6H-5 0-2
5508.5	2541418	14.85	0.54	982B 6H-5 7.5-9.5
5516	2543488	13.59	0.5	982B 6H-5 15-17
5523.5	2545568	14.5	0.53	982B 6H-5 22.5-24.5
5531	2547644	14.74	0.54	982B 6H-5 30-32
5538.5	2549718	15.69	0.57	982B 6H-5 37.5-39.5
5546	2551752	13.82	0.51	982B 6H-5 45-47
5553.5	2553548	15.4	0.56	982B 6H-5 52.5-54.5
5561	2555078	13.88	0.51	982B 6H-5 60-62
5568.5	2556462	14.95	0.55	982B 6H-5 67.5-69.5
5576	2557842	13.91	0.51	982B 6H-5 75-77
5583.5	2559223	13.49	0.5	982B 6H-5 82.5-84.5
5591	2560612	13.81	0.51	982B 6H-5 90-92
5593	2560980	14.29	0.52	982B 6H-5 92-94
5598.5	2561992	13.44	0.5	982B 6H-5 97.5-99.5
5606	2563378	12.91	0.48	982B 6H-5 105-107
5613.5	2564763	12.94	0.48	982B 6H-5 112.5-114.5
5621	2566152	13.04	0.48	982B 6H-5 120-122
5628.5	2567532	13.02	0.48	982B 6H-5 127.5-129.5
5636	2568912	13.35	0.49	982B 6H-5 135-137
5643.5	2570293	13.29	0.49	982B 6H-5 142.5-144.5
5651	2571682	13.35	0.49	982B 6H-6 0-2
5658.5	2573072	13.96	0.51	982B 6H-6 7.5-9.5
5666	2574452	15.26	0.56	982B 6H-6 15-17
5673.5	2575832	15.45	0.56	982B 6H-6 22.5-24.5
5681	2577212	15.22	0.56	982B 6H-6 30-32
5688.5	2578604	14.7	0.54	982B 6H-6 37.5-39.5
5696	2580152	14.97	0.55	982B 6H-6 45-47
5703.5	2582138	15.3	0.56	982B 6H-6 52.5-54.5
5711	2584268	15.42	0.56	982B 6H-6 60-62
5718.5	2586602	15.26	0.56	982B 6H-6 67.5-69.5
5726	2589236	14.93	0.55	982B 6H-6 75-77
5733.5	2592928	14.19	0.52	982B 6H-6 82.5-84.5
5741	2597326	13.55	0.5	982B 6H-6 90-92
5745.5	2600070	12.88	0.48	982A 6H-4 22.5-24.5
5748.5	2601918	11.91	0.44	982B 6H-6 97.5-99.5
5753	2604688	10.98	0.41	982A 6H-4 30-32
5756	2606534	13.02	0.48	982B 6H-6 105-107
5760.5	2609298	13.65	0.5	982A 6H-4 37.5-39.5
5763.5	2611146	14.16	0.52	982B 6H-6 112.5-114.5
5768	2613912	14.44	0.53	982A 6H-4 45-47
5775.5	2618527	14.61	0.54	982A 6H-4 52.5-54.5
5783	2623138	14.63	0.54	982A 6H-4 60-62
5791.5	2628371	14.96	0.55	982A 6H-4 67.5-69.5
5798	2632338	14.73	0.54	982A 6H-4 75-77
5805.5	2636716	14.05	0.52	982A 6H-4 82.5-84.5
5813	2640592	14.31	0.53	982A 6H-4 90-92
5820.5	2643905	14.19	0.52	982A 6H-4 97.5-99.5
5828	2646674	14.83	0.54	982A 6H-4 105-107
5835.5	2649444	14.82	0.54	982A 6H-4 112.5-114.5
5843	2652204	14.43	0.53	982A 6H-4 120-122
5850.5	2654974	14.96	0.55	982A 6H-4 127.5-129.5
5858	2657740	14.92	0.55	982A 6H-4 135-137
5865.5	2660535	15.02	0.55	982A 6H-4 142.5-144.5
5873	2663760	14.91	0.55	982A 6H-5 0-2
5880.5	2667161	15.84	0.58	982A 6H-5 7.5-9.5
5888	2670620	15.76	0.57	982A 6H-5 15-17
5895.5	2674081	15.59	0.57	982A 6H-5 22.5-24.5
5903	2677540	15.58	0.57	982A 6H-5 30-32
5910.5	2681024	15.78	0.58	982A 6H-5 37.5-39.5
5918	2685044	15.85	0.58	982A 6H-5 45-47
5925.5	2689468	15.89	0.58	982A 6H-5 52.5-54.5
5933	2694082	16.32	0.59	982A 6H-5 60-62
5940.5	2698688	16.59	0.6	982A 6H-5 67.5-69.5
5948	2703308	14.97	0.55	982A 6H-5 75-77
5955.5	2707918	13.83	0.51	982A 6H-5 82.5-84.5
5963	2712532	14.1	0.52	982A 6H-5 90-92
5969.5	2716530	13.97	0.51	982A 6H-5 97.5-99.5
5978	2721756	14.53	0.53	982A 6H-5 105-107
5986.5	2726990	13.24	0.49	982A 6H-5 112.5-114.5
5989.5	2728837	12.98	0.48	982B 7H-1 112.5-114.5
5994	2731600	13.63	0.5	982A 6H-5 120-122
6001.5	2736210	15.38	0.56	982A 6H-5 127.5-129.5
6004.5	2738058	15.97	0.58	982B 7H-1 127.5-129.5
6012	2742672	15.97	0.58	982B 7H-1 135-137
6019.5	2747278	15.42	0.56	982B 7H-1 142.5-144.5
6027	2751898	17.54	0.64	982B 7H-2 0-2
6034.5	2756508	17.78	0.64	982B 7H-2 7.5-9.5
6042	2761122	17	0.62	982B 7H-2 15-17
6049.5	2765728	16.23	0.59	982B 7H-2 22.5-24.5
6057	2770348	16.35	0.59	982B 7H-2 30-32
6064.5	2775006	15.34	0.56	982B 7H-2 37.5-39.5
6072	2780430	17.35	0.63	982B 7H-2 45-47
6079.5	2786195	18.06	0.65	982B 7H-2 52.5-54.5
6087	2791964	18.08	0.65	982B 7H-2 60-62
6094.5	2797725	18.33	0.66	982B 7H-2 67.5-69.5
6102	2803500	17.87	0.65	982B 7H-2 75-77
6109.5	2809264	15.78	0.58	982B 7H-2 82.5-84.5
6117	2815030	16	0.58	982B 7H-2 90-92
6124.5	2820804	14.57	0.53	982B 7H-2 97.5-99.5
6132	2826564	15.64	0.57	982B 7H-2 105-107
6139.5	2832010	16.92	0.61	982B 7H-2 112.5-114.5
6147	2836738	17.81	0.64	982B 7H-2 120-122
6154.5	2841357	17.68	0.64	982B 7H-2 127.5-129.5
6162	2845944	17.8	0.64	982B 7H-2 135-137
6169.5	2850328	17.54	0.64	982B 7H-2 142.5-144.5
6177	2854648	15.84	0.58	982B 7H-3 0-2
6184.5	2858978	15.61	0.57	982B 7H-3 7.5-9.5
6192	2863208	15.59	0.57	982B 7H-3 15-17
6199.5	2866840	15.83	0.58	982B 7H-3 22.5-24.5
6207	2870296	16.39	0.6	982B 7H-3 30-32
6214.5	2873760	16.94	0.61	982B 7H-3 37.5-39.5
6222	2877210	17.35	0.63	982B 7H-3 45-47
6229.5	2880680	16.52	0.6	982B 7H-3 52.5-54.5
6237	2884130	15.97	0.58	982B 7H-3 60-62
6244.5	2887600	15.57	0.57	982B 7H-3 67.5-69.5
6252	2891056	16.34	0.59	982B 7H-3 75-77
6259.5	2894511	17.19	0.62	982B 7H-3 82.5-84.5
6267	2897976	17.26	0.63	982B 7H-3 90-92
6274.5	2901431	16.9	0.61	982B 7H-3 97.5-99.5
6282	2904896	17.82	0.64	982B 7H-3 105-107
6289.5	2908351	16.82	0.61	982B 7H-3 112.5-114.5
6297	2911816	17.46	0.63	982B 7H-3 120-122
6304.5	2915271	16.98	0.62	982B 7H-3 127.5-129.5
6312	2918730	16.11	0.59	982B 7H-3 135-137
6319.5	2922191	17.47	0.63	982B 7H-3 142.5-144.5
6327	2925650	16.72	0.61	982B 7H-4 0-2
6334.5	2929111	15.14	0.55	982B 7H-4 7.5-9.5
6342	2932570	14.87	0.54	982B 7H-4 15-17
6349.5	2936031	15.72	0.57	982B 7H-4 22.5-24.5
6357	2939700	17.09	0.62	982B 7H-4 30-32
6364.5	2943928	16.73	0.61	982B 7H-4 37.5-39.5
6372	2948248	18.2	0.66	982B 7H-4 45-47
6384.5	2954344	18	0.65	982B 7H-4 52.5-54.5
6387	2955264	17.72	0.64	982B 7H-4 60-62
6394.5	2958034	16.35	0.6	982B 7H-4 67.5-69.5
6402	2960800	15.84	0.58	982B 7H-4 75-77
6409.5	2963574	16.1	0.59	982B 7H-4 82.5-84.5
6417	2966340	16.04	0.58	982B 7H-4 90-92
6424.5	2969105	15.3	0.56	982B 7H-4 97.5-99.5
6432	2971874	16.12	0.59	982B 7H-4 105-107
6439.5	2974644	16.24	0.59	982B 7H-4 112.5-114.5
6447	2977410	14.66	0.54	982B 7H-4 120-122
6454.5	2980175	14.77	0.54	982B 7H-4 127.5-129.5
6462	2982944	14.63	0.54	982B 7H-4 135-137
6469.5	2985705	14.08	0.52	982B 7H-4 142.5-144.5
6477	2988480	14.17	0.52	982B 7H-5 0-2
6487	2992170	14.51	0.53	982B 7H-5 10-12
6492	2994014	14.44	0.53	982B 7H-5 15-17
6499.5	2996785	15.9	0.58	982B 7H-5 22.5-24.5
6508	2999922	16.28	0.59	982B 7H-5 30-32
6514.5	3002315	16.23	0.59	982B 7H-5 37.5-39.5
6522	3005084	15.03	0.55	982B 7H-5 45-47
6529.5	3007854	14.68	0.54	982B 7H-5 52.5-54.5
6537	3010620	14.98	0.55	982B 7H-5 60-62
6544.5	3013385	13.75	0.51	982B 7H-5 67.5-69.5
6552	3016160	13.9	0.51	982B 7H-5 75-77
6559.5	3018925	14.29	0.52	982B 7H-5 82.5-84.5
6567	3021694	14.07	0.52	982B 7H-5 90-92
6574.5	3024455	14.23	0.52	982B 7H-5 97.5-99.5
6582	3027230	13.98	0.51	982B 7H-5 105-107
6584.5	3028154	14.46	0.53	982A 7H-2 67.5-69.5
6589.5	3029998	15.58	0.57	982B 7H-5 112.5-114.5
6597	3033070	15.76	0.57	982B 7H-5 120-122
6604.5	3036531	15.56	0.57	982B 7H-5 127.5-129.5
6612	3039990	16.13	0.59	982B 7H-5 135-137
6614.5	3041142	15.43	0.56	982A 7H-2 97.5-99.5
6619.5	3043460	14.85	0.54	982B 7H-5 142.5-144.5
6622	3044610	14.39	0.53	982A 7H-2 105-107
6627	3046910	13.96	0.51	982B 7H-6 0-2
6629.5	3048061	13.39	0.49	982A 7H-2 112.5-114.5
6637	3051520	13.01	0.48	982A 7H-2 120-122
6644.5	3054986	13.03	0.48	982A 7H-2 127.5-129.5
6652	3058526	13.93	0.51	982A 7H-2 135-137
6659.5	3062648	14.11	0.52	982A 7H-2 142.5-144.5
6667	3066967	16.81	0.61	982A 7H-3 0-2
6674.5	3071298	16.92	0.61	982A 7H-3 7.5-9.5
6682	3075624	16.79	0.61	982A 7H-3 15-17
6689.5	3079948	17.3	0.63	982A 7H-3 22.5-24.5
6697	3084274	19.28	0.69	982A 7H-3 30-32
6704.5	3088598	19.81	0.71	982A 7H-3 37.5-39.5
6712	3092924	18.18	0.66	982A 7H-3 45-47
6719.5	3097238	16.14	0.59	982A 7H-3 52.5-54.5
6727	3101558	16.49	0.6	982A 7H-3 60-62
6734.5	3105640	16.73	0.61	982A 7H-3 67.5-69.5
6742	3109090	18.11	0.65	982A 7H-3 75-77
6749.5	3112560	15.8	0.58	982A 7H-3 82.5-84.5
6757	3116010	15.73	0.57	982A 7H-3 90-92
6764.5	3119480	14.28	0.52	982A 7H-3 97.5-99.5
6772	3122930	14.19	0.52	982A 7H-3 105-107
6779.5	3126391	12.56	0.47	982A 7H-3 112.5-114.5
6787	3129856	12.97	0.48	982A 7H-3 120-122
6794.5	3133310	13.77	0.51	982A 7H-3 127.5-129.5
6802	3136772	14.88	0.54	982A 7H-3 135-137
6809.5	3140063	13.44	0.5	982A 7H-3 142.5-144.5
6817	3141000	14.06	0.52	982A 7H-4 0-2
6824.5	3142250	15.22	0.56	982A 7H-4 7.5-9.5
6832	3143500	14.54	0.53	982A 7H-4 15-17
6841	3144640	14.48	0.53	982A 7H-4 24-26
6847	3145400	15.11	0.55	982A 7H-4 30-32
6854.5	3148490	16.88	0.61	982A 7H-4 37.5-39.5
6862	3151580	17.21	0.62	982A 7H-4 45-47
6869.5	3154825	16.42	0.6	982A 7H-4 52.5-54.5
6877	3158070	16.82	0.61	982A 7H-4 60-62
6884.5	3161170	16.34	0.59	982A 7H-4 67.5-69.5
6892	3164270	15.54	0.57	982A 7H-4 75-77
6899.5	3166920	15.92	0.58	982A 7H-4 82.5-84.5
6907	3169570	16.37	0.6	982A 7H-4 90-92
6914.5	3172020	16.51	0.6	982A 7H-4 97.5-99.5
6922	3174470	16.18	0.59	982A 7H-4 105-107
6929.5	3176555	15.98	0.58	982A 7H-4 112.5-114.5
6937	3178640	15.88	0.58	982A 7H-4 120-122
6944.5	3180590	15.67	0.57	982A 7H-4 127.5-129.5
6952	3182540	15.95	0.58	982A 7H-4 135-137
6959.5	3184701	15.77	0.58	982A 7H-4 142.5-144.5
6967	3186982	16.03	0.58	982A 7H-5 0-2
6974.5	3189367	16.26	0.59	982A 7H-5 7.5-9.5
6978	3190480	16.4	0.6	982B 8H-1 45-47
6982	3191768	16.45	0.6	982A 7H-5 15-17
6985.5	3192895	16.56	0.6	982B 8H-1 52.5-54.5
6993	3195310	16.29	0.59	982B 8H-1 60-62
7000.5	3198233	16.89	0.61	982B 8H-1 67.5-69.5
7008	3201156	16.85	0.61	982B 8H-1 75-77
7015.5	3204079	16.8	0.61	982B 8H-1 82.5-84.5
7023	3207002	17.34	0.63	982B 8H-1 90-92
7030.5	3210367	17.03	0.62	982B 8H-1 97.5-99.5
7038	3214617	17.14	0.62	982B 8H-1 105-107
7045.5	3218900	17.11	0.62	982B 8H-1 112.5-114.5
7053	3223250	17.17	0.62	982B 8H-1 120-122
7060.5	3227415	16.63	0.6	982B 8H-1 127.5-129.5
7068	3231210	16.66	0.61	982B 8H-1 135-137
7075.5	3235005	16.1	0.59	982B 8H-1 142.5-144.5
7083	3238800	16.04	0.58	982B 8H-2 0-2
7090.5	3241110	16.55	0.6	982B 8H-2 7.5-9.5
7098	3243420	16	0.58	982B 8H-2 15-17
7105.5	3245600	16.63	0.6	982B 8H-2 22.5-24.5
7113	3247780	16.86	0.61	982B 8H-2 30-32
7120.5	3249840	16.72	0.61	982B 8H-2 37.5-39.5
7128	3251900	16.94	0.62	982B 8H-2 45-47
7135.5	3253599	18.55	0.67	982B 8H-2 52.5-54.5
7143	3255298	19.9	0.72	982B 8H-2 60-62
7144	3255524	20.75	0.74	982B 8H-2 61-63
7150.5	3256848	20.24	0.73	982B 8H-2 67.5-69.5
7158	3258102	19.69	0.71	982B 8H-2 75-77
7165.5	3259356	19.14	0.69	982B 8H-2 82.5-84.5
7173	3260610	18.59	0.67	982B 8H-2 90-92
7180.5	3262125	18.24	0.66	982B 8H-2 97.5-99.5
7188	3263640	18.38	0.66	982B 8H-2 105-107
7195.5	3265230	19.08	0.69	982B 8H-2 112.5-114.5
7203	3266820	19.19	0.69	982B 8H-2 120-122
7210.5	3268492	19.08	0.69	982B 8H-2 127.5-129.5
7218	3270328	18.56	0.67	982B 8H-2 135-137
7225.5	3272164	18.3	0.66	982B 8H-2 142.5-144.5
7233	3274000	18.38	0.66	982B 8H-3 0-2
7240.5	3275980	18.12	0.66	982B 8H-3 7.5-9.5
7248	3277960	18.25	0.66	982B 8H-3 15-17
7255.5	3279950	18.19	0.66	982B 8H-3 22.5-24.5
7263	3281940	18.19	0.66	982B 8H-3 30-32
7270.5	3284171	16.99	0.62	982B 8H-3 37.5-39.5
7278	3286403	16.1	0.59	982B 8H-3 45-47
7285.5	3288717	14.77	0.54	982B 8H-3 52.5-54.5
7293	3291198	14.58	0.53	982B 8H-3 60-62
7300.5	3293679	14.28	0.52	982B 8H-3 67.5-69.5
7308	3296160	13.46	0.5	982B 8H-3 75-77
7315.5	3298736	13.07	0.48	982B 8H-3 82.5-84.5
7323	3301313	13.57	0.5	982B 8H-3 90-92
7330.5	3303795	14.18	0.52	982B 8H-3 97.5-99.5
7338	3306090	14.18	0.52	982B 8H-3 105-107
7345.5	3308386	14.4	0.53	982B 8H-3 112.5-114.5
7353	3310682	14.78	0.54	982B 8H-3 120-122
7360.5	3312979	16.42	0.6	982B 8H-3 127.5-129.5
7368	3315276	16.86	0.61	982B 8H-3 135-137
7375.5	3317572	17.85	0.65	982B 8H-3 142.5-144.5
7383	3319869	17.63	0.64	982B 8H-4 0-2
7390.5	3322205	18.33	0.66	982B 8H-4 7.5-9.5
7398	3324620	18.78	0.68	982B 8H-4 15-17
7405.5	3327035	18.69	0.67	982B 8H-4 22.5-24.5
7413	3329450	18.36	0.66	982B 8H-4 30-32
7420.5	3331842	17.76	0.64	982B 8H-4 37.5-39.5
7428	3334187	17.45	0.63	982B 8H-4 45-47
7435.5	3336530	18.1	0.65	982B 8H-4 52.5-54.5
7443	3338870	17.95	0.65	982B 8H-4 60-62
7450.5	3341261	17.68	0.64	982B 8H-4 67.5-69.5
7458	3343755	16.62	0.6	982B 8H-4 75-77
7465.5	3346251	17.03	0.62	982B 8H-4 82.5-84.5
7473	3348753	17.04	0.62	982B 8H-4 90-92
7480.5	3351256	16.99	0.62	982B 8H-4 97.5-99.5
7488	3353738	17.67	0.64	982B 8H-4 105-107
7495.5	3356209	17.21	0.62	982B 8H-4 112.5-114.5
7503	3358680	17.66	0.64	982B 8H-4 120-122
7510.5	3361151	18.13	0.66	982B 8H-4 127.5-129.5
7518	3363623	18.28	0.66	982B 8H-4 135-137
7525.5	3366094	19.7	0.71	982B 8H-4 142.5-144.5
7533	3368565	19.03	0.69	982B 8H-5 0-2
7540.5	3371036	18.1	0.65	982A 8H-1 142.5-144.5
7548	3373423	16.87	0.61	982A 8H-2 0-2
7555.5	3375768	16.57	0.6	982A 8H-2 7.5-9.5
7563	3378113	16.09	0.59	982A 8H-2 15-17
7570.5	3380458	15.43	0.56	982A 8H-2 22.5-24.5
7578	3382780	15.52	0.57	982A 8H-2 30-32
7585.5	3385090	16.44	0.6	982A 8H-2 37.5-39.5
7593	3387367	17.21	0.62	982A 8H-2 45-47
7600.5	3389627	18.64	0.67	982A 8H-2 52.5-54.5
7608	3391883	18.23	0.66	982A 8H-2 60-62
7615.5	3394138	18.39	0.66	982A 8H-2 67.5-69.5
7630.5	3398107	16.88	0.61	982A 8H-2 82.5-84.5
7645.5	3401758	19.46	0.7	982A 8H-2 97.5-99.5
7660.5	3406135	20.19	0.73	982A 8H-2 112.5-114.5
7675.5	3411140	19.64	0.71	982A 8H-2 127.5-129.5
7690.5	3416240	19.3	0.7	982A 8H-2 142.5-144.5
7705.5	3421332	18.4	0.66	982A 8H-3 7.5-9.5
7720.5	3426438	18.92	0.68	982A 8H-3 22.5-24.5
7735.5	3431540	19.07	0.69	982A 8H-3 37.5-39.5
7750.5	3436565	19.68	0.71	982A 8H-3 52.5-54.5
7765.5	3441258	20.38	0.73	982A 8H-3 67.5-69.5
7780.5	3446263	18.87	0.68	982A 8H-3 82.5-84.5
7788	3449083	18.76	0.68	982A 8H-3 90-92
7795.5	3452043	18.5	0.67	982A 8H-3 97.5-99.5
7803	3455040	18.91	0.68	982A 8H-3 105-107
7810.5	3458055	18.08	0.65	982A 8H-3 112.5-114.5
7818	3461077	19	0.68	982A 8H-3 120-122
7825.5	3464102	18.53	0.67	982A 8H-3 127.5-129.5
7833	3467363	17.72	0.64	982A 8H-3 135-137
7840.5	3470741	17.32	0.63	982A 8H-3 142.5-144.5
7848	3474120	16.58	0.6	982A 8H-4 0-2
7855.5	3478650	16.72	0.61	982A 8H-4 7.5-9.5
7863	3483180	16.93	0.61	982A 8H-4 15-17
7870.5	3487320	17.54	0.64	982A 8H-4 22.5-24.5
7878	3491460	17.77	0.64	982A 8H-4 30-32
7885.5	3494475	18.39	0.66	982A 8H-4 37.5-39.5
7893	3497490	18.46	0.67	982A 8H-4 45-47
7900.5	3500700	19.35	0.7	982A 8H-4 52.5-54.5
7908	3503910	19.73	0.71	982A 8H-4 60-62
7915.5	3507115	20.04	0.72	982A 8H-4 67.5-69.5
7923	3510320	20.12	0.72	982A 8H-4 75-77
7930.5	3513530	20.48	0.74	982A 8H-4 82.5-84.5
7938	3516740	20.3	0.73	982A 8H-4 90-92
7945.5	3519950	20.59	0.74	982A 8H-4 97.5-99.5
7953	3523160	19.51	0.7	982A 8H-4 105-107
7963	3527207	19.56	0.7	982A 8H-4 115-117
7973	3531097	18.72	0.68	982A 8H-4 125-127
7983	3534830	18.41	0.67	982A 8H-4 135-137
7993	3539550	18.79	0.68	982A 8H-4 145-147
8003	3544147	19.44	0.7	982A 8H-5 5-7
8013	3548620	18.85	0.68	982A 8H-5 15-17
8023	3552587	19.06	0.69	982A 8H-5 25-27
8033	3556550	18.94	0.68	982A 8H-5 35-37
8043	3560510	18.69	0.67	982A 8H-5 45-47
8053	3564477	18.3	0.66	982A 8H-5 55-57
8063	3568377	19.05	0.69	982A 8H-5 65-67
8073	3572210	18.78	0.68	982A 8H-5 75-77
8083	3575463	18.15	0.66	982A 8H-5 85-87
8093	3578508	17.51	0.63	982A 8H-5 95-97
8103	3581210	16.89	0.61	982A 8H-5 105-107
8113	3583710	16.09	0.59	982A 8H-5 115-117
8123	3586102	15.4	0.56	982A 8H-5 125-127
8133	3588332	17.71	0.64	982A 8H-5 135-137
8139	3589670	17.82	0.65	982B 9H-1 145-147
8143	3590401	18.24	0.66	982A 8H-5 145-147
8149	3591497	18.63	0.67	982B 9H-2 5-7
8159	3593345	16.56	0.6	982B 9H-2 15-17
8169	3595215	18.33	0.66	982B 9H-2 25-27
8179	3597085	17.94	0.65	982B 9H-2 35-37
8189	3598987	18.74	0.68	982B 9H-2 45-47
8199	3600920	18.48	0.67	982B 9H-2 55-57
8209	3602853	19.24	0.69	982B 9H-2 65-67
8219	3604787	19.28	0.69	982B 9H-2 75-77
8229	3606720	17.3	0.63	982B 9H-2 85-87
8239	3609053	17.38	0.63	982B 9H-2 95-97
8249	3611313	17.82	0.64	982B 9H-2 105-107
8259	3613498	18.13	0.66	982B 9H-2 115-117
8269	3615538	17.84	0.65	982B 9H-2 125-127
8279	3617433	17.42	0.63	982B 9H-2 135-137
8289	3619263	17.4	0.63	982B 9H-2 145-147
8299	3621030	17.35	0.63	982B 9H-3 5-7
8309	3622512	17.1	0.62	982B 9H-3 15-17
8319	3623994	16.39	0.6	982B 9H-3 25-27
8329	3625476	16.2	0.59	982B 9H-3 35-37
8339	3626958	15.17	0.55	982B 9H-3 45-47
8349	3628440	15.15	0.55	982B 9H-3 55-57
8357	3629600	14.77	0.54	982B 9H-3 63-65
8359	3629890	14.53	0.53	982B 9H-3 65-67
8369	3631340	14.26	0.52	982B 9H-3 75-77
8379	3632842	14.34	0.53	982B 9H-3 85-87
8389	3634345	14.01	0.52	982B 9H-3 95-97
8399	3635847	14.3	0.53	982B 9H-3 105-107
8409	3637349	15.18	0.56	982B 9H-3 115-117
8419	3639015	16.7	0.61	982B 9H-3 125-127
8429	3640845	15.75	0.57	982B 9H-3 135-137
8439	3642727	17.25	0.63	982B 9H-3 145-147
8449	3644660	17.63	0.64	982B 9H-4 5-7
8459	3646990	16.93	0.61	982B 9H-4 15-17
8469	3649320	16.61	0.6	982B 9H-4 25-27
8479	3651650	16.4	0.6	982B 9H-4 35-37
8489	3654173	15.72	0.57	982B 9H-4 45-47
8499	3656695	14.71	0.54	982B 9H-4 55-57
8509	3659218	14.54	0.53	982B 9H-4 65-67
8519	3661740	13.47	0.5	982B 9H-4 75-77
8529	3664815	14.18	0.52	982B 9H-4 85-87
8539	3667890	14.47	0.53	982B 9H-4 95-97
8549	3671490	15.27	0.56	982B 9H-4 105-107
8559	3675263	15.51	0.57	982B 9H-4 115-117
8569	3679210	15.58	0.57	982B 9H-4 125-127
