# NOAA Paleoclimatology Program - Paleocean Site Data
# s794-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Philip P.E. Weaver
# Core/Site:      S794
# Latitude:       40.23.48S	( -40.39667)
# Longitude:      177.59.48E	( 177.9967)
# Water Depth(m): 2195
#
# Publications:
#   Weaver, P.P.E., L. Carter, and H.L. Neil. 1998. Response of surface water masses
#     and circulation to late Quaternary climate change east of New Zealand. Paleoceanography
#     13(1):70-83.
#------------------
#
# Description & Notes:
#   Late Quaternary SW Pacific Foraminifer Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             commun        Communality
#             d13Cg.bull    delta C13 PDB (Globigerina bulloides)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             forams-b      Benthic Foraminifers (Count)
#             foramsfrag    Foraminifers Fragments
#             frag%         Fragments percent
#             g.aequi       Globigerinella aequilateralis (Count)
#             g.bull        Globigerina bulloides (Count)
#             g.calid       Globigerina calida (Count)
#             g.cavern      Globorotalia cavernula (Count)
#             g.congl       Globigerinoides conglobatus (Count)
#             g.crass       Globorotalia crassaformis (Count)
#             g.crsula      Globorotalia crassula (Count)
#             g.digit       Globigerina digitata (Count)
#             g.falco       Globigerina falconensis (Count)
#             g.glut        Globigerinita glutinata (Count)
#             g.hirsu       Globorotalia hirsuta (Count)
#             g.infla       Globorotalia inflata (Count)
#             g.menar       Globorotalia menardii (Count)
#             g.quinq       Globigerina quinquiloba (Count)
#             g.rub-p       Globigerinoides ruber (pink) (Count)
#             g.rub-w       Globigerinoides ruber (white) (Count)
#             g.rubes       Globigerina rubescens (Count)
#             g.sac-ns      Globigerinoides sacculifer (no sac) (Count)
#             g.sac-ws      Globigerinoides sacculifer (with sac) (Count)
#             g.scit        Globorotalia scitula (Count)
#             g.tenn        Globigerinoides tenellus (Count)
#             g.trc-l       Globorotalia truncatulinoides (left coiling) (Count)
#             g.trc-r       Globorotalia truncatulinoides (right coiling) (Count)
#             g.tumi        Globorotalia tumida (Count)
#             gyrmar        Gyre margin foraminifer assemblage
#             n.duter       Neogloboquadrina dutertrei (Count)
#             n.pachy-l     Neogloboquadrina pachyderma (left coiling) (Count)
#             n.pachy-r     Neogloboquadrina pachyderma (right coiling) (Count)
#             o.univer      Orbulina universa (Count)
#             otherfor      Unidentified planktonic foraminifers (Count)
#             p.obliq       Pulleniatina obliquiloculata (Count)
#             pd            Globigerina pachyderma x Globoquadrina dutertrei intergrade (Count)
#             plank         Planktonic foraminifers (Count)
#             polar         Polar foraminifer assemblage
#             s.dehisc      Sphaeroidinella dehiscens (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             subpolar      Subpolar foraminifer assemblage
#             trans         Transitional foraminifer assemblage
#             trop/sub      Tropical/Subtropical foraminifer assemblage
#             upwell        Upwelling foraminifer assemblage
#
# CORE: S794
depth	yrBP 	carb%	commun	d13Cg.bull	d18Og.bull	forams-b	foramsfrag	frag%	g.aequi	g.bull	g.calid	g.cavern	g.congl	g.crass	g.crsula	g.digit	g.falco	g.glut	g.hirsu	g.infla	g.menar	g.quinq	g.rub-p	g.rub-w	g.rubes	g.sac-ns	g.sac-ws	g.scit	g.tenn	g.trc-l	g.trc-r	g.tumi	gyrmar	n.duter	n.pachy-l	n.pachy-r	o.univer	otherfor	p.obliq	pd	plank	polar	s.dehisc	sst-aug	sst-feb	subpolar	trans	trop/sub	upwell	
60	8860	43.8	0.88	-1.41	-0.23	6	46	1.7	2	125	2	0	0	11	6	0	27	13	3	62	0	1	0	25	0	4	0	4	15	0	1	0	0.096	9	0	13	4	2	1	3	333	0.063	0	20.364	14.556	-0.553	0.482	0.16	0.55	
65	-999	44.8	-999	-1.13	-0.12	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
70	9940	27.1	0.863	-1.07	0.57	-999	-999	0	2	101	4	0	0	16	2	0	7	15	1	62	0	6	0	17	0	3	0	3	5	2	0	0	0.1	10	0	55	3	0	0	11	325	0.061	0	19.535	13.433	-0.704	0.513	0.111	0.281	
75	-999	37.6	-999	-1.31	0.22	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
80	-999	33.7	-999	-1.41	0.74	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
85	-999	34.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
90	12090	34.6	0.812	-0.38	1.4	13	87	3.2	0	87	4	0	0	7	3	0	22	7	2	62	0	6	0	4	0	0	0	1	1	8	0	0	0.036	5	5	92	1	0	0	9	326	0.078	0	16.797	10.912	-0.699	0.541	0.008	0.152	
95	-999	33.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
100	13170	32.1	0.83	-0.08	1.81	34	150	5.7	0	42	1	0	0	6	0	0	18	26	2	95	0	2	0	2	0	0	0	0	0	10	1	0	0.038	7	6	87	0	1	0	7	313	0.061	0	19.611	12.908	-0.523	0.74	0.025	-0.059	
105	-999	28.6	-999	-0.06	1.51	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
110	14240	30.4	0.829	-0.29	1.43	27	220	5.3	0	72	6	0	0	6	7	0	6	21	1	112	0	3	0	10	0	0	0	1	0	9	2	0	0.023	8	31	159	4	2	0	35	495	0.169	0	17.982	10.96	-0.64	0.6	0.032	-0.173	
115	-999	27.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
120	15320	24	0.776	0.18	1.85	41	210	4.9	0	65	6	0	0	3	7	0	8	29	2	102	0	11	0	4	0	0	0	0	0	17	0	0	-0.005	3	13	196	4	2	0	36	508	0.076	0	17.488	11.393	-0.669	0.524	0.015	-0.22	
125	-999	26.5	-999	0.24	1.57	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
130	16400	23.3	0.716	-999	-999	38	150	5	2	44	3	0	0	2	7	0	3	16	7	49	0	11	0	4	0	0	0	0	2	19	0	0	-0.028	0	6	154	0	0	0	29	358	0.055	0	16.249	11.143	-0.7	0.402	0.02	-0.246	
135	-999	24.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
139	17360	-999	0.795	-999	-999	26	50	1.5	2	46	0	0	0	18	2	1	15	30	0	52	0	27	0	0	0	0	0	0	1	24	0	0	0.001	5	14	126	1	0	0	35	399	0.12	0	16.309	10.262	-0.736	0.457	0.021	-0.17	
140	-999	21	-999	0.31	1.87	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
145	-999	12.5	-999	-0.19	1.48	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
149	18440	-999	0.851	-999	-999	12	80	2.6	1	58	1	0	0	6	0	0	0	11	0	135	0	10	0	0	0	0	0	0	0	17	0	0	0.042	4	0	115	0	0	0	24	382	0.032	0	19.717	12.859	-0.526	0.743	-0.02	-0.136	
150	-999	23.7	-999	0.31	1.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
155	-999	25.7	-999	0.04	1.47	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
159	19520	-999	0.86	-999	-999	14	43	1.5	1	57	2	0	0	31	1	0	12	16	0	103	0	8	0	0	0	0	0	1	1	6	0	0	0.06	4	3	77	1	1	0	19	344	0.056	0	19.438	12.537	-0.547	0.744	-0.006	-0.025	
160	-999	21.3	-999	-0.16	1.43	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
165	-999	19.7	-999	-0.31	1.38	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
169	20590	-999	0.851	-999	-999	23	70	2.2	1	67	1	0	0	23	3	0	9	24	0	122	0	8	0	4	0	0	0	1	0	4	0	0	0.043	1	11	94	6	0	0	15	394	0.098	0	18.859	12.075	-0.548	0.733	0.017	-0.034	
170	-999	19.8	-999	-0.02	1.48	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
175	-999	17.2	-999	-0.17	1.21	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
179	21760	-999	0.871	-999	-999	23	70	2.6	0	49	3	0	0	20	0	2	10	14	0	92	0	7	0	3	0	0	0	0	1	4	0	0	0.033	1	12	81	2	0	0	21	322	0.118	0	18.401	11.596	-0.568	0.725	0.01	-0.089	
180	-999	10.4	-999	0.13	1.48	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
