# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-17-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-17
# Latitude:       48.17.00S	( -48.28333)
# Longitude:      90.15.00E	( 90.25)
# Water Depth(m): 3542
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             drysedwtg     Dry sediment weight (g)
#             Dsqchord      Squared-chord distance
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             forams/g      Foraminifers per gram
#             foramsfrag    Foraminifers Fragments
#             g.bull%       Globigerina bulloides percent
#             g.infla%      Globorotalia inflata percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             plank         Planktonic foraminifers (Count)
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             g.glut%       Globigerinita glutinata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.falco%      Globigerina falconensis percent
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.hirsu%      Globorotalia hirsuta percent
#             o.univer%     Orbulina universa percent
#             g.duter%      Globoquadrina dutertrei percent
#             g.calid%      Globigerina calida percent
#             g.scit%       Globorotalia scitula percent
#             g.aequi%      Globigerinella aequilateralis percent
#
# CORE: E49-17
depth	yrBP 	carb%	cfrac%>150	d13C	d18O	drysedwtg	Dsqchord	Dsqchord_err	forams%	forams-b	forams-b%	forams/g	foramsfrag	g.bull%	g.infla%	g.trc-l%	n.pachy-l%	n.pachy-r%	plank	radio	radio%	split	sst-aug	sst-aug_err	sst-feb	sst-feb_err	pd%	g.glut%	g.quinq%	g.trc-r%	g.falco%	g.crass%	g.digit%	g.hirsu%	o.univer%	g.duter%	g.calid%	g.scit%	g.aequi%	notes
127	-999	27	4.9	0.57	2.86	3.05	0.11	0.02	56.7	4	1.1	3835	280	22.5	10.1	14.4	48.8	1.4	366	50	12	0.0313	3.42	1.4	6.45	1.2	1.4	1.2	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
137	-999	24.8	6	0.41	2.85	3.1	0.06	0.02	73.6	0	0	6529	170	27.2	6.4	1.5	61.2	1.5	473	50	9.6	0.0234	2.93	1.6	6.59	1.7	1.5	0.6	-999	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	
147	-999	-999	-999	0.22	2.83	-999	0.05	0.02	-999	-999	-999	11723	-999	34.4	8.9	0.9	50.6	0.5	426	-999	-999	-999	3.53	1.5	6.62	1.8	1.2	2.6	0.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
147	-999	44.7	12.2	0.17	2.9	3.11	-999	-999	87.7	3	0.7	-999	60	-999	-999	-999	-999	-999	-999	20	4.5	0.0117	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
157	53000	52.1	12.9	0	2.51	2.94	0.06	0.02	90.1	1	0.2	13178	50	41.2	9.2	1.6	39.2	-999	453	20	4.2	0.0117	5.06	1.4	7.39	1.6	1.3	3.8	3.6	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 3.3
167	-999	53.8	18.1	0.09	2.65	2.82	0.05	0.02	87.9	0	0	32892	50	43.7	11.3	1.9	34.5	0.3	362	10	2.7	0.0117	4.69	1.1	6.75	0.9	0.6	4.4	3.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
177	-999	53.9	11.9	0.15	2.81	2.87	0.08	0.01	83.6	3	0.8	10647	70	54.3	12.6	0.3	23.5	0.6	358	10	2.7	0.0117	5.49	1.2	7.21	0.9	1.4	2.8	4.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
187	-999	46.6	14	0.26	2.97	2.75	0.09	0.01	80.7	2	0.6	10396	80	49	12.9	1.5	32.4	-999	334	40	10.7	0.0117	4.97	0.9	7.24	1	1.5	0.9	1.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
197	-999	31.2	9	0.51	3.08	2.97	0.04	0.02	46.8	16	3.9	11392	450	23.4	10.2	0.5	62.9	1.5	396	220	35.7	0.0117	2.93	1.6	6.59	1.7	0.8	0.3	0.3	-999	-999	0.3	-999	-999	-999	-999	-999	-999	-999	
207	-999	21.2	4.7	0.36	2.88	2.86	0.04	0.02	44.6	16	3.6	2393	530	23.3	11.5	0.2	61.9	0.9	427	290	40.5	0.0625	2.72	1.5	6.21	1.8	0.7	0.9	0.2	-999	-999	-999	0.2	-999	-999	-999	-999	-999	-999	
217	65000	25.8	6.1	0.52	3.22	2.47	0.06	0.02	41.8	14	4.7	3717	400	19.2	8.7	0.7	69.7	0.4	287	150	34.3	0.0313	2.18	1.1	5.44	1.8	1.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 4.2
227	-999	24.6	7.2	0.37	3.07	2.2	0.04	0.02	55.4	10	2.3	6128	340	23.6	10.3	0.2	62.8	1.2	422	120	22.1	0.0313	2.93	1.6	6.59	1.7	1.2	0.2	0.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
237	-999	28.8	7.9	0.29	2.97	2.72	0.03	0.02	62.1	8	2.6	3460	180	22.1	7.8	0.7	65	1.7	295	50	14.5	0.0313	3.12	1.8	6.4	1.4	0.3	1.4	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
247	-999	37.8	11	0.33	2.91	2.68	0.06	0.03	72	3	0.7	9831	160	32.8	9.8	0.7	53.3	1.2	411	40	8.9	0.0156	3.06	1.4	6.51	1.8	1.5	0.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
257	-999	31.7	9.5	0.24	2.95	2.62	0.09	0.03	71.1	4	1.2	7793	130	42.3	11.3	0.6	43.9	0.6	319	20	5.9	0.0156	3.8	1.3	6.7	1.7	0.9	0.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
267	-999	44.4	16.6	0.16	2.85	2.57	0.06	0.02	73.1	5	0.8	8124	240	39.9	13.1	1.1	41.8	0.8	653	60	8.4	0.0313	4.08	1.1	6.97	1.4	0.6	0.6	2.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
277	-999	35.5	13.5	0.16	2.86	1.97	0.06	0.01	79.6	2	0.5	6338	100	44.7	11.6	0.3	35.7	0.8	390	30	7.1	0.0313	4.68	1	7	1.2	2.1	3.9	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
287	-999	-999	-999	0.07	2.69	-999	0.09	0.03	-999	-999	-999	5732	-999	46.5	15.5	0.6	34.7	0.6	507	-999	-999	-999	4.71	1.1	7.02	1.2	1.4	0.4	0.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
287	-999	39.7	12	0.31	3.09	2.83	-999	-999	72.7	6	1.2	-999	190	-999	-999	-999	-999	-999	-999	50	9	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
297	-999	37.8	10.7	0.38	2.81	3.14	0.09	0.02	72.8	5	1.4	7088	130	27.4	2	-999	68.3	0.6	347	60	14.7	0.0156	2.55	1.1	6.53	2.4	1.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
307	-999	29.6	6.8	0.16	2.88	2.89	0.06	0.02	76.5	1	0.2	5032	140	26.3	2.4	1.1	66.2	1.1	455	40	8.1	0.0313	2.84	1.5	6.79	2.1	0.7	0.7	1.1	0.2	0.2	-999	-999	-999	-999	-999	-999	-999	-999	
317	-999	45.4	12.1	0.21	2.84	3.5	0.1	0.02	71.1	3	0.7	7670	170	34.1	5.3	1	55.6	1.4	419	22	5	0.0156	3.16	1.3	7.25	2.1	2.4	-999	-999	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	
327	-999	32.9	6	-0.03	2.9	3.56	0.05	0.02	53.6	14	2.5	4978	480	27.5	6.7	0.7	60.2	1.5	555	250	31.1	0.0313	2.93	1.6	6.59	1.7	1.8	1.3	0.2	-999	0.2	-999	-999	-999	-999	-999	-999	-999	-999	
337	-999	25.5	5.4	0.34	2.98	3.21	0.06	0.02	37.9	26	6.5	1852	610	17.5	8.3	1.1	70.4	1.6	372	230	38.2	0.0625	2.18	1.1	5.44	1.8	1.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
