# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-17-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-17
# Latitude:       48.17.00S	( -48.28333)
# Longitude:      90.15.00E	( 90.25)
# Water Depth(m): 3542
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             drysedwtg     Dry sediment weight (g)
#             Dsqchord      Squared-chord distance
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             forams/g      Foraminifers per gram
#             foramsfrag    Foraminifers Fragments
#             g.bull%       Globigerina bulloides percent
#             g.infla%      Globorotalia inflata percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             plank         Planktonic foraminifers (Count)
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             g.glut%       Globigerinita glutinata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.falco%      Globigerina falconensis percent
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.hirsu%      Globorotalia hirsuta percent
#             o.univer%     Orbulina universa percent
#             g.duter%      Globoquadrina dutertrei percent
#             g.calid%      Globigerina calida percent
#             g.scit%       Globorotalia scitula percent
#             g.aequi%      Globigerinella aequilateralis percent
#
# CORE: E49-17
depth	yrBP 	carb%	cfrac%>150	d13C	d18O	drysedwtg	Dsqchord	Dsqchord_err	forams%	forams-b	forams-b%	forams/g	foramsfrag	g.bull%	g.infla%	g.trc-l%	n.pachy-l%	n.pachy-r%	plank	radio	radio%	split	sst-aug	sst-aug_err	sst-feb	sst-feb_err	pd%	g.glut%	g.quinq%	g.trc-r%	g.falco%	g.crass%	g.digit%	g.hirsu%	o.univer%	g.duter%	g.calid%	g.scit%	g.aequi%	notes
607	-999	50.4	9.5	-0.23	2.77	3.6	0.09	0.02	85.4	1	0.2	4667	90	45.1	9.3	-999	27.8	-999	526	30	5.4	0.0313	4.8	1.5	8.17	2	1.7	8.6	7.2	-999	-999	-999	-999	-999	-999	0.2	-999	-999	-999	
617	-999	-999	-999	-0.03	2.97	-999	0.09	0.02	-999	-999	-999	1724	-999	45.8	9.9	-999	40.2	-999	406	-999	-999	-999	4.23	1.8	7.24	2.2	1	1.2	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
617	-999	-999	-999	-0.2	2.94	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
617	-999	23.1	7.4	-0.17	3.19	3.77	-999	-999	61	12	2.9	-999	260	-999	-999	-999	-999	-999	-999	250	38.1	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
622	228000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7.4
627	-999	-999	-999	-0.07	3.05	-999	0.05	0.01	-999	-999	-999	681	-999	35.4	14	0.7	43.1	0.2	590	-999	-999	-999	4.15	1.2	7.15	1.3	1.2	3.6	1.7	-999	0.2	-999	-999	-999	-999	-999	-999	-999	-999	
627	-999	19	8.2	-0.11	2.98	3.47	-999	-999	37.1	37	5.9	-999	1000	-999	-999	-999	-999	-999	-999	-999	-999	0.25	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
637	-999	54.2	9.4	-0.25	2.61	3.65	0.07	0.02	91.4	0	0	5575	30	34.2	7.6	1	37.3	1	317	0	0	0.0156	5.24	1	7.33	0.8	6.3	9.8	2.2	-999	0.3	-999	-999	-999	0.3	-999	-999	-999	-999	
647	238000	-999	-999	-0.22	2.4	-999	0.09	0.02	-999	-999	-999	6988	-999	36.3	10.2	0.3	33.5	0.5	403	-999	-999	-999	5.24	1	7.39	0.7	9.6	6.1	2.5	-999	0.3	-999	0.3	-999	-999	-999	-999	0.5	-999	Event: 7.5
647	238000	59.2	10.1	-0.32	2.61	3.7	-999	-999	93.1	1	0.3	-999	30	-999	-999	-999	-999	-999	-999	20	4.7	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
657	-999	63	8.2	-0.52	2.68	4.29	0.11	0.02	88.7	0	0	4696	40	36.9	17.9	0.7	14.6	-999	314	20	6	0.0156	6.22	1.5	8.57	2.6	11.6	9.6	6.6	-999	1.3	-999	0.3	-999	-999	-999	-999	0.3	-999	
667	-999	49.7	9.2	-0.36	3.01	3.74	0.08	0.02	83.4	1	0.2	5165	120	41.9	7.8	0.9	30.8	-999	604	100	14.2	0.0313	5.01	0.6	7.22	0.8	6.8	7	4.3	-999	0.2	-999	-999	-999	-999	0.2	0.2	-999	-999	
677	245000	-999	-999	-0.17	3.11	-999	0.08	0.02	-999	-999	-999	598	-999	32.2	6.5	-999	49.9	1.3	389	-999	-999	-999	4.04	1.3	7.54	1.7	4.2	3.6	2.1	-999	-999	-999	-999	-999	-999	0.3	-999	-999	-999	Event: 8
677	245000	-999	-999	-0.13	3.19	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
677	245000	19.2	7.3	-0.44	3.18	2.6	-999	-999	66	29	6.9	-999	200	-999	-999	-999	-999	-999	-999	-999	-999	0.25	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
687	-999	5.1	8.6	-0.27	3.6	2.54	0.08	0.02	54.6	4	7.7	38	30	14.8	3.7	-999	74.1	3.7	54	-999	-999	0.5	2.87	1.8	5.96	2	-999	-999	3.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
697	-999	5.8	7.7	-999	-999	2.76	-999	-999	16.7	6	50	-999	15	-999	-999	-999	-999	-999	-999	-999	-999	0.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
707	-999	5.7	7.2	-999	-999	3.14	0.11	0.04	3.2	5	0	3	120	18.2	36.4	-999	45.5	-999	11	-999	-999	0.5	3.09	1.6	5.77	2.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
717	-999	3.8	14.5	-999	-999	3.55	-999	-999	0	1	0	-999	10	-999	-999	-999	-999	-999	-999	-999	-999	0.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
727	-999	-999	-999	0.04	2.88	-999	0.15	0.01	-999	-999	-999	2227	-999	68.6	10.8	-999	17.2	0.4	473	-999	-999	-999	6.8	1.5	8.49	1.6	1.9	0.2	0.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.2	
727	-999	-999	-999	0.03	3.02	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
727	-999	38.1	7.3	0.05	3.02	3.4	-999	-999	51.8	5	1.1	-999	440	-999	-999	-999	-999	-999	-999	170	26.4	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
737	287000	41.5	10.4	0.14	2.9	3.6	0.09	0.02	32.5	16	4.7	1460	680	58.1	11.6	0.3	22.6	0.9	328	570	63.5	0.0625	5.6	1.6	7.83	1.4	2.1	1.5	2.5	-999	-999	-999	-999	-999	-999	-999	0.3	-999	-999	Event: 8.5
747	-999	37.3	7.7	0.55	3.15	3.56	0.11	0.04	32.3	32	5.3	1287	1200	35.6	27.7	0.2	35	0.5	572	-999	-999	0.125	3.55	1.4	6.58	1.8	0.4	-999	-999	-999	-999	0.7	-999	-999	-999	-999	-999	-999	-999	
757	300000	45	9.7	0.49	2.95	3.32	0.14	0.03	29.4	14	3.4	1945	970	49.6	16.1	-999	26.8	0.3	403	130	24.4	0.0625	5.44	1.8	7.76	1.5	0.7	-999	-999	-999	-999	6.5	-999	-999	-999	-999	-999	-999	-999	Event: LAD G.crassiformis
767	-999	-999	-999	0.47	2.94	-999	0.14	0.04	-999	-999	-999	1567	-999	46.8	14	-999	34.6	0.3	643	-999	-999	-999	3.76	1.2	6.9	1.7	1.1	-999	-999	-999	-999	3	-999	-999	0.2	-999	-999	-999	-999	
767	-999	41.2	8.7	0.53	3.15	3.28	-999	-999	34.9	15	2.3	-999	1200	-999	-999	-999	-999	-999	-999	-999	-999	0.125	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
777	-999	55.6	13.2	0.56	2.53	3.21	0.13	0.03	38.1	7	2.2	3122	510	49.7	14.3	-999	24.8	0.3	314	50	13.7	0.0313	5.6	1.7	7.61	1.5	1.6	0.6	-999	-999	0.3	8	-999	-999	-999	0.3	-999	-999	-999	
787	-999	59.9	7	0.19	2.51	2.97	0.1	0.02	68.5	3	0.6	2686	230	47.1	14.1	-999	28.8	0.8	499	20	3.9	0.0625	5.55	1.3	7.85	1.4	4	1.8	0.4	-999	0.2	2.6	0.2	-999	-999	-999	-999	-999	-999	
797	-999	59.1	8	0.12	2.34	3.38	0.08	0.02	73.8	2	0.5	3464	130	47.8	11	0.3	25.3	0.8	366	10	2.7	0.0313	5.73	1.2	7.97	1.5	7.1	4.1	0.3	-999	0.3	3	-999	-999	-999	-999	-999	-999	-999	
802	331000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 9.3
807	-999	76.4	6.8	-0.13	2.41	4.5	0.09	0.02	86.2	3	0.6	3542	80	36.5	21.6	0.4	13.4	4.7	499	20	3.9	0.0313	7.23	1.2	10.1	2.6	12.6	6.5	0.6	-999	1.2	1.6	-999	-999	0.4	-999	0.4	-999	-999	
817	-999	80.3	7	-0.44	2.89	4.68	0.09	0.03	90.2	2	0.4	3759	60	45.7	12	1.5	13.3	3	551	10	1.8	0.0313	6.73	1.4	9.27	2.6	13.5	4.6	2	-999	2.8	0.4	-999	-999	0.4	-999	0.4	0.2	0.2	
827	-999	76	9.1	-0.28	3.16	5.05	0.11	0.02	89.5	3	0.9	4325	40	55.7	3	0.6	16.1	1.2	341	10	2.9	0.0156	4.89	1.3	8.39	1.5	9.8	7.1	3.6	-999	-999	3	-999	-999	-999	-999	-999	-999	-999	
832	341000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 10.2
837	-999	-999	-999	-0.37	3.27	-999	0.07	0.02	-999	-999	-999	2795	-999	46.5	15.7	0.3	23.7	0.6	339	-999	-999	-999	5.24	1	6.99	0.6	3	4.7	3.3	-999	-999	2.1	-999	-999	-999	-999	-999	0.3	-999	
837	-999	49.4	7.4	-0.17	3.59	3.88	-999	-999	69.3	4	1.2	-999	150	-999	-999	-999	-999	-999	-999	100	22.8	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
847	-999	-999	-999	-0.4	3.16	-999	0.1	0.02	-999	-999	-999	717	-999	43.9	11.3	-999	24.7	1.4	360	-999	-999	-999	5.58	1.4	8.14	1.5	10.5	2.6	2.3	-999	-999	3.1	-999	-999	-999	0.3	-999	-999	-999	
847	-999	-999	-999	-0.27	3.28	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
847	-999	19.8	10.4	-0.28	3.2	4.02	-999	-999	47.4	23	6	-999	400	-999	-999	-999	-999	-999	-999	-999	-999	0.125	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
857	-999	9.6	10.6	-999	-999	3.55	0.05	0.01	24.8	102	23.6	124	1000	8.8	18	-999	70.1	0.9	330	-999	-999	0.75	1.93	1	5.08	1.7	0.3	0.6	0.3	-999	-999	0.9	-999	-999	-999	-999	-999	-999	-999	
867	-999	12.9	20.7	-999	-999	4.27	0.06	0.02	30.3	178	29	408	1000	11.3	6.9	-999	78.6	1.8	435	-999	-999	0.25	1.82	1.1	4.95	2.1	0.2	-999	-999	-999	-999	1.2	-999	-999	-999	-999	-999	-999	-999	
877	-999	15.6	13.1	-999	-999	3.67	0.06	0.02	25.1	137	29	365	1000	13.5	6.9	-999	77.2	0.3	335	-999	-999	0.25	1.82	1.1	4.95	2.1	0.9	-999	-999	-999	-999	1.2	-999	-999	-999	-999	-999	-999	-999	
887	-999	-999	-999	0.14	2.84	-999	0.06	0.02	-999	-999	-999	2941	-999	25.5	3.4	-999	66.4	0.8	534	-999	-999	-999	2.44	1.1	6.2	2.5	0.8	0.8	0.2	-999	-999	2.3	-999	-999	-999	-999	-999	-999	-999	
887	-999	-999	-999	0.29	3.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
887	-999	41.3	6	0.45	3.13	2.91	-999	-999	55.4	25	4.5	-999	430	-999	-999	-999	-999	-999	-999	300	36	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
892	368000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 11.1
897	-999	40.7	4.7	0.32	2.99	3.1	0.06	0.02	67	4	1.3	3143	150	18.9	2.7	-999	74.8	1	305	70	18.7	0.0313	2.27	1	6.24	2.4	1.3	0.7	0.3	-999	-999	0.3	-999	-999	-999	-999	-999	-999	-999	
907	-999	-999	-999	0.34	3.06	-999	0.05	0.02	-999	-999	-999	2235	-999	21.8	7.1	-999	67	0.2	410	-999	-999	-999	2.45	1.6	5.72	2.1	0.5	1.7	-999	-999	-999	1.7	-999	-999	-999	-999	-999	-999	-999	
907	-999	40.7	6.2	0.68	3.37	2.94	-999	-999	49.4	23	5.3	-999	420	-999	-999	-999	-999	-999	-999	350	46.1	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
917	-999	35.1	5.9	0.72	3.03	2.15	0.05	0.02	43.5	26	4.8	1916	670	17	11.7	-999	68.6	0.6	515	340	39.8	0.125	2	1	5.1	1.7	0.6	0.4	-999	-999	0.2	1	-999	-999	-999	-999	-999	-999	-999	
927	-999	65.4	2.6	0.64	2.91	3.4	0.04	0.01	66.4	3	1	1391	150	19.9	8.8	-999	60.8	0.7	296	50	14.5	0.0625	2.91	1.8	6.02	1.5	1	4.7	0.3	-999	-999	3.7	-999	-999	-999	-999	-999	-999	-999	
937	-999	71.9	3.4	0.66	3.02	3.7	0.07	0.03	67.6	2	0.5	1805	200	26.6	12.7	-999	54.2	-999	417	40	8.8	0.0625	2.82	1.6	6.31	1.9	-999	4.3	-999	-999	-999	2.2	-999	-999	-999	-999	-999	-999	-999	
947	-999	79.9	2.9	0.64	2.81	3.85	0.07	0.02	65	5	1.6	1313	170	28.9	14.6	-999	45.7	0.6	316	40	11.2	0.0625	3.37	1.4	6.61	1.8	1	4.4	0.3	-999	-999	3.8	0.3	-999	-999	-999	-999	0.3	-999	
957	-999	80	2.7	0.69	2.78	4.21	0.09	0.03	68	4	0.8	1007	250	42.1	14.9	-999	30.7	0.2	530	80	13.1	0.125	4.7	1.2	7.17	1.2	0.6	6.1	0.2	-999	0.4	4.6	-999	-999	-999	-999	-999	0.4	-999	
967	-999	87.2	2.4	0.71	2.73	4.43	0.05	0.01	64.9	1	0.2	937	280	34.7	13.3	0.4	39.8	1.6	518	50	8.8	0.125	4.56	1	7.11	1.2	0.6	6.3	0.8	-999	-999	2.6	-999	-999	-999	-999	-999	-999	-999	
977	-999	85.8	2.3	0.51	2.52	4.26	0.09	0.02	69.5	2	0.4	943	220	38	16.5	-999	30.8	-999	502	60	10.7	0.125	4.63	1	7	1.2	2.2	6.5	1	-999	-999	4.3	-999	-999	-999	0.2	-999	0.4	-999	
987	-999	87.8	2.1	0.64	2.64	4.42	0.09	0.01	59.8	4	1	698	260	44.3	27.2	1.1	13.7	0.3	386	30	7.2	0.125	5.75	1.4	7.77	1.1	1.1	6.9	0.3	-999	-999	5.3	-999	-999	-999	-999	-999	-999	-999	
997	-999	88	2.5	-999	-999	4.87	0.13	0.03	60.8	9	2	738	290	50.8	31.2	0.7	3	1.1	449	30	6.3	0.125	8.15	1.4	10.48	2.6	1.6	7.5	0.2	-999	-999	3.9	-999	-999	-999	-999	-999	-999	-999	
1007	405000	90.1	1.9	0.78	2.6	4.38	0.19	0.05	57.5	3	1.1	518	210	44.1	39.4	1.1	-999	0.7	284	20	6.6	0.125	9.69	2.2	12.93	3.2	4.3	7.2	-999	-999	-999	2.5	-999	-999	0.7	-999	-999	-999	-999	Event: 11.3
1017	-999	90	2.2	0.6	2.61	4.86	0.13	0.03	53.5	4	1.2	550	290	55.2	35.5	0.3	5.2	0.6	334	10	2.9	0.125	7.5	1.9	9.42	2.1	0.3	1.5	-999	-999	-999	1.5	-999	-999	-999	-999	-999	-999	-999	
1020	418000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: FAD H. karsteni
1027	-999	-999	-999	0.64	2.57	-999	0.36	0.03	-999	-999	-999	740	-999	63.5	-999	18.1	-999	8.5	437	-999	-999	-999	8.92	1.6	11.45	2.3	4	5.7	-999	-999	-999	-999	-999	-999	-999	0.2	-999	-999	-999	
1027	-999	88.7	2.2	0.83	2.8	4.73	-999	-999	57	3	0.7	-999	330	-999	-999	-999	-999	-999	-999	20	4.4	0.125	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1037	-999	83.7	3.1	0.58	2.64	4.48	0.12	0.02	55.2	4	0.7	992	450	64.3	14.3	0.2	15.2	0.2	555	30	5.1	0.125	6.78	1.5	8.32	1.3	1.4	2.2	-999	-999	-999	2	-999	-999	0.2	-999	-999	0.2	-999	
1047	-999	82.6	5.1	0.58	2.94	4.5	0.12	0.01	62.3	5	0.9	2061	350	56.5	7.5	-999	24.9	0.7	579	20	3.3	0.0625	5.32	1.2	7.91	1.3	4.9	3.1	0.2	-999	0.5	1.7	-999	-999	-999	-999	-999	-999	-999	
1057	-999	78.4	7.6	0.51	2.99	4.23	0.09	0.03	79.3	1	0.2	4337	150	40.9	8.4	0.5	27.4	0.7	574	10	1.7	0.0313	5.52	1.2	7.61	1.5	11.9	5.8	1.2	-999	-999	2.1	-999	-999	0.2	-999	0.4	0.5	-999	
1067	-999	69.5	8.1	0.07	3.1	3.82	0.12	0.02	80.3	1	0.2	3737	110	56	8.7	0.2	11.9	1.1	447	30	6.3	0.0313	5.72	1.5	8.42	1.3	13.4	3	4.3	-999	-999	1.1	-999	-999	-999	-999	0.2	-999	-999	
1070	423000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 12
1077	-999	59.7	11.1	-0.12	3.31	4.05	0.08	0.01	84.6	1	0.2	6975	80	47.7	5.1	0.2	27.8	1.2	441	30	6.4	0.0156	4.7	1.3	8.35	1.6	8.3	4.6	3	-999	0.2	1.8	-999	-999	0.2	-999	-999	-999	-999	
1087	-999	66.1	8	-0.26	3.47	4.11	0.08	0.01	80.1	2	0.6	5023	80	45.3	4.8	0.3	31	0.3	322	30	8.5	0.0156	4.6	0.8	7.71	1.5	4.1	7	3.8	-999	0.3	2.9	0.3	-999	-999	-999	-999	-999	-999	
1092	434000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 12.2
1097	-999	-999	-999	0.12	3.86	-999	0.06	0.02	-999	-999	-999	113	-999	18.4	2.4	-999	74.2	1	294	-999	-999	-999	2.27	1	6.24	2.4	1.7	0.3	0.7	-999	-999	1.4	-999	-999	-999	-999	-999	-999	-999	
1097	-999	7.7	11.7	0.02	3.87	3.48	-999	-999	74.6	81	21.6	-999	100	-999	-999	-999	-999	-999	-999	-999	-999	0.75	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1107	-999	9.2	12.6	-999	-999	3.1	0.05	0.02	13.8	32	33.3	21	130	8.8	-999	-999	91.2	-999	34	-999	-999	0.5	1.21	0.9	3.11	1.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1117	-999	-999	-999	0.75	3.03	-999	0.07	0.02	-999	-999	-999	2386	-999	30.5	3.3	0.3	63.8	0.8	400	-999	-999	-999	2.46	1.1	6.44	2.3	0.5	0.5	-999	-999	-999	0.5	-999	-999	-999	-999	-999	-999	-999	
1117	-999	-999	-999	0.77	3.16	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1117	-999	37.7	4.4	0.66	3.15	2.68	-999	-999	61.5	10	2.4	-999	250	-999	-999	-999	-999	-999	-999	230	36.5	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1127	-999	51.7	3	0.73	2.98	3.02	0.12	0.04	65.4	3	0.8	1901	190	36.3	1.4	-999	58.6	0.9	359	110	23.5	0.0625	3.22	1.9	7.31	2.2	1.1	-999	-999	-999	0.3	1.4	-999	-999	-999	-999	-999	-999	-999	
1137	-999	-999	-999	0.93	2.99	-999	0.1	0.02	-999	-999	-999	1911	-999	44.6	4.7	-999	48.8	0.6	361	-999	-999	-999	4.1	1.8	7.56	2.4	0.6	0.6	0.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1137	-999	51.7	4.3	1.03	3.07	3.02	-999	-999	58.1	5	1.4	-999	260	-999	-999	-999	-999	-999	-999	80	18.1	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1147	-999	39.3	5	0.66	3.02	2.65	0.12	0.04	74	1	0.4	6902	100	54.5	1.4	-999	31.3	0.7	285	30	9.5	0.0156	4.13	1.7	8.37	2.1	3.6	0.4	6.8	-999	-999	1.4	-999	-999	-999	-999	-999	-999	-999	
1157	-999	56.8	9.9	0.29	2.86	3.31	0.07	0.02	80.2	2	0.6	7043	90	33.7	3.3	-999	58	0.3	364	30	7.6	0.0156	3.52	1.8	7.17	2.4	0.6	1.9	1.7	-999	-999	0.6	-999	-999	-999	-999	-999	-999	-999	
1167	-999	-999	-999	0.5	3.24	-999	0.1	0.03	-999	-999	-999	3877	-999	24.8	0.3	-999	72.9	0.3	341	-999	-999	-999	2.34	1	6.25	2.4	0.9	0.3	0.3	-999	0.3	-999	-999	-999	-999	-999	-999	-999	-999	
1167	-999	41	5.1	0.61	3.26	2.81	-999	-999	70.9	6	1.7	-999	140	-999	-999	-999	-999	-999	-999	90	20.9	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1177	-999	51.8	12.7	0	2.99	3.11	0.11	0.02	78.5	3	0.9	6788	90	39.9	1.5	-999	53.4	0.9	329	30	8.4	0.0156	3.96	1.6	8.21	2.2	0.3	-999	1.8	-999	0.3	1.5	-999	-999	-999	-999	-999	0.3	-999	
1187	-999	38.3	8.1	-0.1	3.07	2.3	0.06	0.01	84.3	1	0.2	6721	90	21.2	2.7	-999	69	1	483	90	15.7	0.0313	3.77	2.2	6.94	1.7	-999	1	4.2	-999	-999	0.8	-999	-999	-999	-999	-999	-999	-999	
1197	-999	-999	-999	-0.27	3.19	-999	0.1	0.03	-999	-999	-999	5431	-999	29	0	-999	65	1	383	-999	-999	-999	3.6	1.6	8.05	2	1	0.8	1.6	-999	-999	1.6	-999	-999	-999	-999	-999	-999	-999	
1197	-999	32.2	8.2	-0.08	3.16	2.25	-999	-999	79.3	1	0.3	-999	100	-999	-999	-999	-999	-999	-999	120	23.9	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1207	-999	36	5.7	-0.23	3.24	2.8	0.11	0.04	74.4	7	1.3	3166	190	30.9	0.7	-999	64.5	1.3	553	250	31.1	0.0625	3.35	1.7	7.23	2.4	-999	0.6	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	
1217	-999	-999	-999	-0.28	2.83	-999	0.09	0.03	-999	-999	-999	4483	-999	32.8	0.5	-999	57.2	0.7	413	-999	-999	-999	3.82	1.8	8.24	2.1	1.5	1.2	5.1	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	
1217	-999	-999	-999	0.56	3.09	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1217	-999	41.6	10.3	-0.17	3.31	2.94	-999	-999	77.5	4	1	-999	120	-999	-999	-999	-999	-999	-999	180	30.4	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
1227	471000	7.1	14.6	-999	-999	3.54	0.05	0.01	72.8	115	30.1	75	100	10.7	16.4	-999	69.5	1.5	267	-999	-999	1	1.93	1	5.08	1.7	0.4	-999	0.8	-999	-999	0.8	-999	-999	-999	-999	-999	-999	-999	Event: 12.4
