# NOAA Paleoclimatology Program - Paleocean Site Data
# gb10163-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Ralph R. Schneider
# Core/Site:      GeoB10163
# Latitude:       11.46.02S	( -11.76722)
# Longitude:      11.40.54E	( 11.68167)
# Water Depth(m): 3411
#
# Publications:
#   Schneider, R.R., P.J. Mueller, and G. Ruhland. 1995. Late Quaternary surface
#     circulation in the east-equatorial South Atlantic: evidence from alkenone sea
#     surface temperatures. Paleoceanography 10:197-219.
#------------------
#
# Description & Notes:
#   South Atlantic circulation during the late Quaternary.
#   Geosciences Bremen SST estimates derived from the alkenone unsaturation index
#   (U-k-37, after Brassell et al, 1986) with the temperature calibration of PRAHL,
#   et al.(1988):SST=(Uk37-0.039)/0.034. SST and Uk37 data meas. on 7/15/93.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.bull250-350           delta O18 PDB (Globigerina bulloides 250-350 micron)
#             d18Og.rub250-350            delta O18 PDB (Globigerinoides ruber 250-350 micron)
#             sst           Sea Surface Temperature (C)
#             uk37          Alkenone saturation index
#
# CORE: GeoB10163
depth	yrBP 	d18Og.bull250-350	d18Og.bull250-350_err	d18Og.rub250-350	d18Og.rub250-350_err	sst	sst_err	uk37	
378	70100	0.45	0.08	-999	-999	-999	-999	-999	
383	70800	0.17	0.08	-1.27	0.08	22.5	0.3	0.804	
388	71600	0.2	0.08	-1.16	0.08	-999	-999	-999	
393	72300	-999	-999	-1.03	0.08	22.7	0.3	0.81	
394	72500	0.07	0.08	-999	-999	-999	-999	-999	
398	73100	0.29	0.08	-1.19	0.08	-999	-999	-999	
403	73900	-0.33	0.08	-0.84	0.08	23.6	0.3	0.843	
408	74600	-0.17	0.08	-0.87	0.08	-999	-999	-999	
413	75400	-0.26	0.08	-999	-999	23.1	0.3	0.826	
418	76200	-0.34	0.08	-1.4	0.08	-999	-999	-999	
423	76900	-0.04	0.08	-1.3	0.08	23.4	0.3	0.834	
428	77700	-0.21	0.08	-1.24	0.08	-999	-999	-999	
433	78500	-0.5	0.08	-1.36	0.08	23.8	0.3	0.849	
438	79200	-0.09	0.08	-1.54	0.08	-999	-999	-999	
443	80000	0.3	0.08	-1.58	0.08	24.4	0.3	0.869	
448	81000	0.31	0.08	-1.54	0.08	-999	-999	-999	
453	82000	0.6	0.08	-1.56	0.08	23.8	0.3	0.848	
458	83000	0.25	0.08	-0.88	0.08	-999	-999	-999	
463	84000	-999	-999	-1.02	0.08	23.3	0.3	0.832	
468	85000	0.65	0.08	-999	-999	-999	-999	-999	
473	86000	-0.48	0.08	-1.27	0.08	25.1	0.3	0.893	
478	87000	-0.32	0.08	-999	-999	24.8	0.3	0.883	
483	88300	-0.23	0.08	-999	-999	-999	-999	-999	
488	89700	-0.33	0.08	-1.12	0.08	24.5	0.3	0.872	
493	91000	-0.15	0.08	-1.14	0.08	24.5	0.3	0.873	
498	92300	-0.43	0.08	-1.47	0.08	-999	-999	-999	
503	93700	-0.32	0.08	-1.53	0.08	25	0.3	0.889	
508	95000	-0.22	0.08	-1.74	0.08	-999	-999	-999	
513	96300	-0.49	0.08	-1.86	0.08	25	0.3	0.89	
518	97700	-0.55	0.08	-1.65	0.08	-999	-999	-999	
523	99000	-0.76	0.08	-1.7	0.08	25	0.3	0.888	
528	100000	-0.47	0.08	-1.7	0.08	25	0.3	0.89	
533	101000	-0.82	0.08	-1.52	0.08	24.4	0.3	0.87	
538	102000	0.02	0.08	-1.63	0.08	-999	-999	-999	
543	103000	-0.45	0.08	-1.63	0.08	24.1	0.3	0.858	
548	104000	0.46	0.08	-1.54	0.08	-999	-999	-999	
553	105000	0.37	0.08	-1.42	0.08	24	0.3	0.854	
563	107000	-0.04	0.08	-1.91	0.08	23.8	0.3	0.849	
568	108900	-0.1	0.08	-1.57	0.08	-999	-999	-999	
573	110800	-0.45	0.08	-1.46	0.08	24.3	0.3	0.865	
578	112600	-0.62	0.08	-1.25	0.08	24.3	0.3	0.865	
583	114500	-1.07	0.08	-1.89	0.08	24.8	0.3	0.881	
588	116400	-0.81	0.08	-2.05	0.08	24.9	0.3	0.884	
593	118300	-0.96	0.08	-1.8	0.08	25	0.3	0.889	
598	120100	-0.87	0.08	-2.15	0.08	25.4	0.3	0.904	
603	122000	-0.24	0.08	-2.34	0.08	26.3	0.3	0.933	
608	123800	-1	0.08	-2.16	0.08	26	0.3	0.923	
613	125500	-0.86	0.08	-2.08	0.08	26.5	0.3	0.94	
618	127300	-0.78	0.08	-2.04	0.08	26.2	0.3	0.931	
623	129000	0.09	0.08	-1.07	0.08	25.6	0.3	0.908	
628	130800	0.48	0.08	-0.41	0.08	24.7	0.3	0.88	
633	132500	0.41	0.08	-1	0.08	24.1	0.3	0.857	
638	134300	0.02	0.08	-0.27	0.08	24.2	0.3	0.861	
643	135700	0.34	0.08	-0.56	0.08	23.9	0.3	0.852	
648	136900	0.49	0.08	-0.57	0.08	-999	-999	-999	
653	138100	0.68	0.08	-0.44	0.08	23.7	0.3	0.846	
658	139300	0.75	0.08	-0.41	0.08	-999	-999	-999	
663	140500	0.97	0.08	-0.39	0.08	24	0.3	0.856	
668	141700	0.53	0.08	-0.62	0.08	-999	-999	-999	
673	142900	0.75	0.08	-0.7	0.08	24.1	0.3	0.857	
678	144100	0.82	0.08	-0.56	0.08	-999	-999	-999	
683	145300	0.21	0.08	-0.49	0.08	23.8	0.3	0.849	
688	146300	0.39	0.08	-0.47	0.08	-999	-999	-999	
693	147100	0.27	0.08	-0.61	0.08	24	0.3	0.854	
698	147900	0.07	0.08	-0.79	0.08	-999	-999	-999	
703	148700	0.96	0.08	-0.52	0.08	23.1	0.3	0.823	
708	149400	1.03	0.08	-0.2	0.08	-999	-999	-999	
713	150200	1.36	0.08	0.1	0.08	21.7	0.3	0.778	
718	151000	0.78	0.08	-0.04	0.08	-999	-999	-999	
723	152300	1.02	0.08	-0.12	0.08	22.4	0.3	0.801	
728	153700	0.87	0.08	-999	-999	-999	-999	-999	
732	154700	0.67	0.08	-999	-999	-999	-999	-999	
733	155000	-999	-999	-0.08	0.08	22.9	0.3	0.816	
738	156300	0.45	0.08	-0.62	0.08	-999	-999	-999	
743	157700	0.62	0.08	-0.63	0.08	23.6	0.3	0.841	
748	159000	0.24	0.08	-0.43	0.08	-999	-999	-999	
753	160300	0.54	0.08	-0.72	0.08	23.6	0.3	0.841	
758	161700	0.08	0.08	-1.13	0.08	-999	-999	-999	
763	163000	0.11	0.08	-999	-999	23.4	0.3	0.833	
768	164300	0.11	0.08	-999	-999	-999	-999	-999	
773	165700	0.23	0.08	-1.26	0.08	24.3	0.3	0.866	
778	167000	0.21	0.08	-1.44	0.08	-999	-999	-999	
783	168300	0.32	0.08	-1.28	0.08	24.9	0.3	0.887	
788	169700	-0.07	0.08	-1.21	0.08	-999	-999	-999	
793	171000	-0.17	0.08	-1.36	0.08	24.8	0.3	0.881	
798	172300	-0.02	0.08	-1.53	0.08	-999	-999	-999	
803	173700	-0.23	0.08	-1.13	0.08	24.4	0.3	0.868	
808	175000	-0.4	0.08	-0.97	0.08	-999	-999	-999	
813	176300	0.13	0.08	-0.84	0.08	23.8	0.3	0.848	
818	177700	0.24	0.08	-0.52	0.08	-999	-999	-999	
823	179000	-0.17	0.08	-1.14	0.08	24.3	0.3	0.865	
828	180300	0.07	0.08	-1.23	0.08	-999	-999	-999	
833	181700	0.05	0.08	-0.77	0.08	24.8	0.3	0.883	
838	183000	0.09	0.08	-0.67	0.08	-999	-999	-999	
843	183700	-0.1	0.08	-0.85	0.08	24.2	0.3	0.863	
