# NOAA Paleoclimatology Program - Paleocean Site Data
# md2-2575-tab.txt
# Complete Data
# File Created: 16-Jul-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Dirk Nuernberg
# Core/Site:      MD02-2575
# Latitude:       29.00.06N	( 29.00167)
# Longitude:      87.07.08W	( -87.11889)
# Water Depth(m): 847
#
# Publications:
#   Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting
#     Loop Current variability and Mississippi River discharge over the past 400 kyr.
#     Earth and Planetary Science Letters, 272(1-2), 278-289.
#------------------
#
# Description & Notes:
#   DeSoto Canyon MD02-2575 400KYr Oxygen Isotope and Geochemical Data
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             susc          Magnetic Susceptibility
#             carb-coar%    Coarse Calcium Carbonate percent
#             d18Og.rub-w   delta O18 PDB (Globigerinoides ruber (white))
#             d18Ou.pereg   delta O18 PDB (Uvigerina peregrina)
#             Mg/Ca-g.rub-w Magnesium/Calcium ratio (Globigerinoides ruber, white) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca (C)
#             d18Og.crass   delta O18 PDB (Globorotalia crassaformis)
#
# CORE: MD02-2575
depth	calyrBP 	susc	carb-coar%	d18Og.rub-w	d18Ou.pereg	Mg/Ca-g.rub-w	sst-mg/ca	d18Og.crass	
514	25222	21	-999	-999	-999	-999	-999	-999	
515	25253	-999	0.368	-999	3.999	3.075	23.23	-999	
516	25283	18	-999	-999	-999	-999	-999	-999	
518	25343	14	-999	-999	-999	-999	-999	-999	
520	25403	20	1.407	-0.115	4.472	2.87	22.47	-999	
522	25464	21	-999	-999	-999	-999	-999	-999	
524	25524	24	-999	-999	-999	-999	-999	-999	
525	25554	-999	0.169	0.383	4.215	2.973	22.86	-999	
526	25584	16	-999	-999	-999	-999	-999	-999	
528	25644	18	-999	-999	-999	-999	-999	-999	
530	25705	24	5.914	0.47	4.047	3.48	24.61	-999	
532	25765	19	-999	-999	-999	-999	-999	-999	
534	25825	22	-999	-999	-999	-999	-999	-999	
535	25855	-999	3.283	0.441	4.303	2.929	22.69	-999	
536	25885	26	-999	-999	-999	-999	-999	-999	
538	25946	20	-999	-999	-999	-999	-999	-999	
540	26006	20	1.033	-0.028	4.317	3.062	23.19	-999	
542	26066	24	-999	-999	-999	-999	-999	-999	
544	26126	24	-999	-999	-999	-999	-999	-999	
545	26157	-999	0.338	-999	4.21	3.631	25.08	-999	
546	26187	17	-999	-999	-999	-999	-999	-999	
548	26247	20	-999	-999	-999	-999	-999	-999	
550	26307	21	7.293	0.364	4.082	3.231	23.78	-999	
552	26368	26	-999	-999	-999	-999	-999	-999	
554	26428	22	-999	-999	-999	-999	-999	-999	
555	26458	-999	2.953	-0.539	3.877	3.266	23.9	-999	
556	26488	25	-999	-999	-999	-999	-999	-999	
558	26548	25	-999	-999	-999	-999	-999	-999	
560	26609	22	1.717	0.685	4.043	3.171	23.57	-999	
562	26669	27	-999	-999	-999	-999	-999	-999	
564	26729	24	-999	-999	-999	-999	-999	-999	
565	26759	-999	-999	0.593	3.991	3.016	23.02	-999	
566	26789	24	-999	-999	-999	-999	-999	-999	
568	26850	24	-999	-999	-999	-999	-999	-999	
570	26910	24	2.111	0.708	4.168	2.711	21.83	-999	
572	26970	22	-999	-999	-999	-999	-999	-999	
574	27031	30	-999	-999	-999	-999	-999	-999	
575	27061	-999	0.252	0.75	4.566	3.071	23.22	-999	
576	27091	25	-999	-999	-999	-999	-999	-999	
578	27151	22	-999	-999	-999	-999	-999	-999	
580	27211	19	2.253	0.893	4.123	2.866	22.45	-999	
582	27272	20	-999	-999	-999	-999	-999	-999	
584	27332	22	-999	-999	-999	-999	-999	-999	
585	27362	-999	3.034	0.596	4.182	2.915	22.64	-999	
586	27389	23	-999	-999	-999	-999	-999	-999	
588	27444	22	-999	-999	-999	-999	-999	-999	
590	27498	20	0.203	0.765	4.385	2.714	21.84	-999	
592	27553	23	-999	-999	-999	-999	-999	-999	
594	27608	17	-999	-999	-999	-999	-999	-999	
595	27635	-999	8.158	0.583	4.154	2.82	22.27	-999	
596	27662	21	-999	-999	-999	-999	-999	-999	
598	27717	20	2.644	0.427	4.297	2.939	22.73	-999	
600	27771	26	-999	-999	-999	-999	-999	-999	
602	27826	22	-999	-999	-999	-999	-999	-999	
603	27853	-999	2.19	0.366	4.323	3.185	23.62	-999	
604	27881	23	-999	-999	-999	-999	-999	-999	
605	27908	-999	1.917	0.385	4.214	2.904	22.6	-999	
606	27935	23	-999	-999	-999	-999	-999	-999	
608	27990	20	-999	-999	-999	-999	-999	-999	
610	28044	21	1.717	0.24	-999	2.72	21.87	-999	
612	28099	22	-999	-999	-999	-999	-999	-999	
614	28154	21	-999	-999	-999	-999	-999	-999	
615	28181	-999	-999	0.143	4.435	3.057	23.17	-999	
616	28208	16	-999	-999	-999	-999	-999	-999	
618	28263	19	-999	-999	-999	-999	-999	-999	
620	28317	20	2.492	0.945	4.24	2.687	21.73	-999	
622	28372	22	-999	-999	-999	-999	-999	-999	
624	28427	28	-999	-999	-999	-999	-999	-999	
625	28454	-999	3.468	0.319	4.124	2.686	21.73	-999	
626	28481	28	-999	-999	-999	-999	-999	-999	
628	28536	32	-999	-999	-999	-999	-999	-999	
630	28590	27	0.795	-999	4.374	2.806	22.21	-999	
632	28645	32	-999	-999	-999	-999	-999	-999	
634	28700	37	-999	-999	-999	-999	-999	-999	
635	28727	-999	0.473	-999	4.402	-999	-999	-999	
636	28754	29	-999	-999	-999	-999	-999	-999	
638	28809	29	-999	-999	-999	-999	-999	-999	
640	28863	28	0.768	0.32	4.214	2.994	22.94	-999	
642	28918	28	-999	-999	-999	-999	-999	-999	
644	28973	26	-999	-999	-999	-999	-999	-999	
645	29000	-999	2.996	0.087	4.194	2.646	21.56	-999	
646	29027	24	-999	-999	-999	-999	-999	-999	
648	29082	25	-999	-999	-999	-999	-999	-999	
650	29136	26	2.58	0.344	4.342	2.881	22.51	-999	
652	29191	30	-999	-999	-999	-999	-999	-999	
654	29246	30	-999	-999	-999	-999	-999	-999	
655	29273	-999	4.357	0.072	4.266	3.024	23.05	-999	
656	29300	29	-999	-999	-999	-999	-999	-999	
658	29355	28	-999	-999	-999	-999	-999	-999	
660	29409	32	3.841	-0.417	4.126	3.128	23.42	-999	
662	29464	33	-999	-999	-999	-999	-999	-999	
664	29519	28	-999	-999	-999	-999	-999	-999	
665	29546	-999	-999	-0.079	4.205	2.537	21.1	-999	
666	29573	27	-999	-999	-999	-999	-999	-999	
668	29628	27	-999	-999	-999	-999	-999	-999	
670	29682	36	2.672	0.385	4.174	2.711	21.83	-999	
672	29737	30	-999	-999	-999	-999	-999	-999	
674	29792	31	-999	-999	-999	-999	-999	-999	
675	29819	-999	0.736	0.432	4.23	2.674	21.68	-999	
676	29846	28	-999	-999	-999	-999	-999	-999	
678	29901	25	-999	-999	-999	-999	-999	-999	
680	29955	25	5.997	0	4.213	2.782	22.12	-999	
682	30010	26	-999	-999	-999	-999	-999	-999	
684	30065	27	-999	-999	-999	-999	-999	-999	
685	30092	-999	6.003	0.363	4.128	2.854	22.4	-999	
686	30119	28	-999	-999	-999	-999	-999	-999	
688	30174	31	-999	-999	-999	-999	-999	-999	
690	30228	32	-999	0.261	4.011	2.672	21.67	-999	
692	30283	32	-999	-999	-999	-999	-999	-999	
694	30338	28	-999	-999	-999	-999	-999	-999	
695	30365	-999	3.324	0.225	4.371	2.74	21.95	-999	
696	30392	28	-999	-999	-999	-999	-999	-999	
698	30447	28	-999	-999	-999	-999	-999	-999	
700	30501	27	8.612	0.023	4.459	3.323	24.09	-999	
702	30556	29	-999	-999	-999	-999	-999	-999	
704	30610	30	-999	-999	-999	-999	-999	-999	
705	30638	-999	4.979	-0.17	4.384	3.187	23.63	-999	
706	30665	33	-999	-999	-999	-999	-999	-999	
708	30720	27	-999	-999	-999	-999	-999	-999	
710	30774	32	5.248	0.173	4.3	3.201	23.68	-999	
712	30829	31	-999	-999	-999	-999	-999	-999	
714	30883	32	-999	-999	-999	-999	-999	-999	
715	30911	-999	3.114	0.162	4.109	2.88	22.5	-999	
716	30938	26	-999	-999	-999	-999	-999	-999	
718	30993	29	-999	-999	-999	-999	-999	-999	
720	31047	25	3.688	0.136	3.799	3.081	23.25	-999	
722	31102	28	-999	-999	-999	-999	-999	-999	
724	31156	34	-999	-999	-999	-999	-999	-999	
725	31184	-999	2.495	0.196	3.944	3.092	23.29	-999	
726	31211	38	-999	-999	-999	-999	-999	-999	
728	31266	33	-999	-999	-999	-999	-999	-999	
730	31320	25	3.608	0.935	4.007	3.024	23.05	-999	
732	31375	28	-999	-999	-999	-999	-999	-999	
734	31429	30	-999	-999	-999	-999	-999	-999	
735	31457	-999	3.33	0.317	4.086	3.107	23.35	-999	
736	31484	30	-999	-999	-999	-999	-999	-999	
738	31539	32	-999	-999	-999	-999	-999	-999	
740	31593	32	2.167	0.159	4.063	2.932	22.7	-999	
742	31648	31	-999	-999	-999	-999	-999	-999	
744	31702	29	-999	-999	-999	-999	-999	-999	
745	31730	-999	2.087	0.64	4.332	2.876	22.49	-999	
746	31757	24	-999	-999	-999	-999	-999	-999	
748	31812	-999	3.697	0.679	4.512	2.838	22.34	-999	
750	31866	22	-999	-999	-999	-999	-999	-999	
752	31921	16	3.497	-0.108	4.415	2.911	22.62	-999	
754	31975	12	-999	-999	-999	-999	-999	-999	
755	32003	-999	2.921	0.051	4.33	3.205	23.69	-999	
756	32030	10	-999	-999	-999	-999	-999	-999	
758	32085	10	-999	-999	-999	-999	-999	-999	
760	32139	15	-999	0.118	4.118	3.176	23.59	-999	
762	32194	15	-999	-999	-999	-999	-999	-999	
764	32248	18	-999	-999	-999	-999	-999	-999	
765	32276	-999	1.951	0.193	3.951	3.463	24.55	-999	
766	32303	21	-999	-999	-999	-999	-999	-999	
768	32358	25	-999	-999	-999	-999	-999	-999	
770	32412	23	1.474	0.129	3.888	3.076	23.24	-999	
772	32467	19	-999	-999	-999	-999	-999	-999	
774	32521	25	-999	-999	-999	-999	-999	-999	
775	32549	-999	0.774	-0.271	3.741	3.793	25.56	-999	
776	32576	21	-999	-999	-999	-999	-999	-999	
778	32631	26	-999	-999	-999	-999	-999	-999	
780	32685	31	1.004	0.033	-999	3.178	23.6	-999	
782	32740	32	-999	-999	-999	-999	-999	-999	
784	32794	25	-999	-999	-999	-999	-999	-999	
785	32822	-999	0.965	-0.028	3.778	3.212	23.72	-999	
786	32849	31	-999	-999	-999	-999	-999	-999	
788	32904	30	-999	-999	-999	-999	-999	-999	
790	32958	31	1.543	-0.001	3.805	3.458	24.54	-999	
792	33013	40	-999	-999	-999	-999	-999	-999	
794	33067	34	-999	-999	-999	-999	-999	-999	
795	33095	-999	0.186	-999	4.128	-999	-999	-999	
796	33122	34	-999	-999	-999	-999	-999	-999	
798	33177	31	-999	-999	-999	-999	-999	-999	
800	33231	40	0.98	0.571	3.862	3.137	23.45	-999	
802	33286	33	-999	-999	-999	-999	-999	-999	
804	33340	33	-999	-999	-999	-999	-999	-999	
805	33368	-999	0.364	0.489	3.727	3.307	24.04	-999	
806	33395	33	-999	-999	-999	-999	-999	-999	
808	33450	32	-999	-999	-999	-999	-999	-999	
810	33504	34	4.4	0.478	3.758	3.139	23.46	-999	
812	33559	34	-999	-999	-999	-999	-999	-999	
814	33613	36	-999	-999	-999	-999	-999	-999	
815	33641	-999	-999	0.575	3.764	3.454	24.52	-999	
816	33668	41	-999	-999	-999	-999	-999	-999	
818	33723	37	-999	-999	-999	-999	-999	-999	
820	33777	30	1.409	-0.295	3.895	3.493	24.65	-999	
822	33832	36	-999	-999	-999	-999	-999	-999	
824	33886	28	-999	-999	-999	-999	-999	-999	
825	33914	-999	2.96	0.688	3.637	3.528	24.76	-999	
826	33941	35	-999	-999	-999	-999	-999	-999	
828	33995	32	-999	-999	-999	-999	-999	-999	
830	34050	32	2.506	0.438	3.844	3.458	24.54	-999	
832	34105	33	-999	-999	-999	-999	-999	-999	
834	34159	33	-999	-999	-999	-999	-999	-999	
835	34187	-999	-999	0.429	3.677	2.926	22.68	-999	
836	34214	26	-999	-999	-999	-999	-999	-999	
838	34268	24	-999	-999	-999	-999	-999	-999	
840	34323	23	5.035	0.103	4	3.397	24.34	-999	
842	34378	21	-999	-999	-999	-999	-999	-999	
844	34432	21	-999	-999	-999	-999	-999	-999	
845	34460	-999	13.144	0.095	4.049	3.281	23.95	-999	
846	34487	21	-999	-999	-999	-999	-999	-999	
848	34541	22	-999	-999	-999	-999	-999	-999	
850	34596	21	11.304	-0.59	4.117	3.478	24.6	-999	
852	34651	24	-999	-999	-999	-999	-999	-999	
854	34705	20	-999	-999	-999	-999	-999	-999	
855	34733	-999	10.682	-0.634	4.003	3.436	24.47	-999	
856	34760	17	-999	-999	-999	-999	-999	-999	
858	34814	16	-999	-999	-999	-999	-999	-999	
860	34869	15	16.925	-0.289	3.685	3.454	24.52	-999	
862	34924	14	-999	-999	-999	-999	-999	-999	
864	34978	14	-999	-999	-999	-999	-999	-999	
865	35006	-999	15.947	-0.181	4.136	3.374	24.26	-999	
866	35033	13	-999	-999	-999	-999	-999	-999	
868	35087	10	-999	-999	-999	-999	-999	-999	
870	35142	14	13.308	-0.158	4.17	3.428	24.44	-999	
872	35197	16	-999	-999	-999	-999	-999	-999	
874	35251	16	-999	-999	-999	-999	-999	-999	
875	35279	-999	18.568	-0.102	4.21	3.583	24.93	-999	
876	35306	14	-999	-999	-999	-999	-999	-999	
878	35360	14	-999	-999	-999	-999	-999	-999	
880	35415	17	24.969	-0.19	3.936	3.769	25.49	-999	
882	35560	22	-999	-999	-999	-999	-999	-999	
884	35705	22	-999	-999	-999	-999	-999	-999	
885	35777	-999	16.874	-0.414	4.132	3.436	24.47	-999	
886	35849	24	-999	-999	-999	-999	-999	-999	
888	35994	26	-999	-999	-999	-999	-999	-999	
890	36139	24	16.999	0.128	4.043	3.792	25.56	-999	
892	36284	27	-999	-999	-999	-999	-999	-999	
894	36429	15	-999	-999	-999	-999	-999	-999	
895	36501	-999	-999	-0.086	3.942	3.533	24.77	-999	
896	36574	12	-999	-999	-999	-999	-999	-999	
898	36718	0	12.685	-0.936	3.893	3.404	24.36	-999	
900	36863	2	-999	-999	-999	-999	-999	-999	
902	37008	2	13.078	0.178	3.58	3.749	25.43	-999	
904	37153	3	-999	-999	-999	-999	-999	-999	
905	37225	-999	14.263	-0.379	4.038	3.34	24.15	-999	
906	37298	3	-999	-999	-999	-999	-999	-999	
908	37442	4	-999	-999	-999	-999	-999	-999	
910	37587	3	12.593	0.009	3.69	4.191	26.67	-999	
912	37732	4	-999	-999	-999	-999	-999	-999	
914	37877	4	-999	-999	-999	-999	-999	-999	
915	37949	-999	11.195	-0.035	3.701	3.526	24.75	-999	
916	38022	3	-999	-999	-999	-999	-999	-999	
918	38166	4	-999	-999	-999	-999	-999	-999	
920	38311	5	10.513	0.006	-999	3.339	24.15	-999	
922	38456	4	-999	-999	-999	-999	-999	-999	
924	38601	4	-999	-999	-999	-999	-999	-999	
925	38673	-999	16.488	0.21	4.011	3.849	25.73	-999	
926	38746	4	-999	-999	-999	-999	-999	-999	
928	38891	4	-999	-999	-999	-999	-999	-999	
930	39035	4	12.922	0.144	3.899	3.507	24.69	-999	
932	39180	5	-999	-999	-999	-999	-999	-999	
934	39325	4	-999	-999	-999	-999	-999	-999	
935	39397	-999	22.198	-0.588	4.044	3.556	24.85	-999	
936	39470	5	-999	-999	-999	-999	-999	-999	
938	39615	4	-999	-999	-999	-999	-999	-999	
940	39759	5	18.619	-0.149	9.309	3.176	23.59	-999	
942	39904	5	-999	-999	-999	-999	-999	-999	
944	40049	7	-999	-999	-999	-999	-999	-999	
945	40121	-999	16.948	-0.229	4.142	3.236	23.8	-999	
946	40194	9	-999	-999	-999	-999	-999	-999	
948	40339	7	-999	-999	-999	-999	-999	-999	
950	40483	5	14.235	-0.157	3.903	3.518	24.73	-999	
952	40628	5	-999	-999	-999	-999	-999	-999	
954	40773	5	-999	-999	-999	-999	-999	-999	
955	40845	-999	-999	-0.865	4.01	3.428	24.44	-999	
956	40918	4	-999	-999	-999	-999	-999	-999	
958	41063	6	-999	-999	-999	-999	-999	-999	
960	41208	5	20.59	0.032	4.018	3.321	24.09	-999	
962	41352	4	-999	-999	-999	-999	-999	-999	
964	41497	5	-999	-999	-999	-999	-999	-999	
965	41570	-999	14.076	-0.027	4.125	3.617	25.04	-999	
966	41642	13	-999	-999	-999	-999	-999	-999	
968	41787	17	-999	-999	-999	-999	-999	-999	
970	41932	17	21.556	-0.119	4.076	3.039	23.1	-999	
972	42076	18	-999	-999	-999	-999	-999	-999	
974	42221	15	-999	-999	-999	-999	-999	-999	
975	42294	-999	14.024	-0.593	4.033	3.248	23.84	-999	
976	42366	17	-999	-999	-999	-999	-999	-999	
978	42511	20	-999	-999	-999	-999	-999	-999	
980	42656	20	9.168	-0.041	3.385	2.893	22.55	-999	
982	42800	23	-999	-999	-999	-999	-999	-999	
984	42945	18	-999	-999	-999	-999	-999	-999	
985	43018	-999	6.873	-0.153	3.45	3.709	25.31	-999	
986	43090	23	-999	-999	-999	-999	-999	-999	
988	43235	27	-999	-999	-999	-999	-999	-999	
990	43380	24	5.711	-0.04	3.868	2.918	22.65	-999	
992	43525	22	-999	-999	-999	-999	-999	-999	
994	43669	22	-999	-999	-999	-999	-999	-999	
995	43742	-999	8.504	-0.089	3.947	2.924	22.67	-999	
996	43814	22	-999	-999	-999	-999	-999	-999	
998	43959	21	-999	-999	-999	-999	-999	-999	
1000	44104	20	13.942	0.399	4.034	2.779	22.11	-999	
1002	44249	25	-999	-999	-999	-999	-999	-999	
1004	44393	21	-999	-999	-999	-999	-999	-999	
1005	44466	-999	9.903	-0.093	4.082	2.859	22.42	-999	
1006	44538	18	-999	-999	-999	-999	-999	-999	
1008	44683	17	-999	-999	-999	-999	-999	-999	
1010	44828	12	23.402	-0.028	4.157	3.001	22.96	-999	
1012	44973	12	-999	-999	-999	-999	-999	-999	
1014	45117	12	-999	-999	-999	-999	-999	-999	
1015	45190	-999	23.296	-0.023	3.893	3.153	23.51	-999	
1016	45262	12	-999	-999	-999	-999	-999	-999	
1018	45407	12	-999	-999	-999	-999	-999	-999	
1020	45552	12	29.667	-0.557	-999	3.425	24.43	-999	
1022	45697	13	-999	-999	-999	-999	-999	-999	
1024	45842	12	-999	-999	-999	-999	-999	-999	
1025	45914	-999	30.133	-0.918	4.087	4.174	26.63	-999	
1026	45986	13	-999	-999	-999	-999	-999	-999	
1028	46131	13	-999	-999	-999	-999	-999	-999	
1030	46276	14	23.693	-1.237	3.847	3.465	24.56	-999	
1032	46421	14	-999	-999	-999	-999	-999	-999	
1034	46566	15	-999	-999	-999	-999	-999	-999	
1035	46638	-999	28.716	-0.889	4.048	3.72	25.35	-999	
1036	46710	15	-999	-999	-999	-999	-999	-999	
1038	46855	15	-999	-999	-999	-999	-999	-999	
1040	47000	12	24.48	-0.338	4.009	3.794	25.57	-999	
1042	47222	14	-999	-999	-999	-999	-999	-999	
1044	47444	13	-999	-999	-999	-999	-999	-999	
1045	47556	-999	30.365	0.166	3.999	3.547	24.82	-999	
1046	47667	12	-999	-999	-999	-999	-999	-999	
1048	47889	-999	31.301	-0.267	4.001	3.103	23.33	-999	
1050	48111	7	-999	-999	-999	-999	-999	-999	
1052	48333	9	-999	-0.57	4.083	3.421	24.42	-999	
1054	48556	17	-999	-999	-999	-999	-999	-999	
1055	48667	-999	24.308	-0.06	3.951	3.672	25.2	-999	
1056	48778	18	-999	-999	-999	-999	-999	-999	
1058	49000	15	-999	-999	-999	-999	-999	-999	
1060	49222	19	28.915	-0.174	3.769	3.457	24.53	-999	
1062	49444	20	-999	-999	-999	-999	-999	-999	
1064	49667	19	-999	-999	-999	-999	-999	-999	
1065	49778	-999	22.423	0.019	3.943	3.318	24.08	-999	
1066	49889	25	-999	-999	-999	-999	-999	-999	
1068	50111	21	-999	-999	-999	-999	-999	-999	
1070	50333	16	6.373	-0.052	2.57	3.573	24.9	-999	
1072	50556	16	-999	-999	-999	-999	-999	-999	
1074	50778	14	-999	-999	-999	-999	-999	-999	
1075	50889	-999	17.715	-0.7	3.73	3.548	24.82	-999	
1076	51000	16	-999	-999	-999	-999	-999	-999	
1078	51222	15	-999	-999	-999	-999	-999	-999	
1080	51444	15	21.749	-0.486	3.315	3.798	25.58	-999	
1082	51667	14	-999	-999	-999	-999	-999	-999	
1084	51889	14	-999	-999	-999	-999	-999	-999	
1085	52000	-999	14.597	-0.316	3.274	3.889	25.84	-999	
1086	52111	15	-999	-999	-999	-999	-999	-999	
1088	52333	16	-999	-999	-999	-999	-999	-999	
1090	52556	16	11.688	-0.712	3.405	3.802	25.59	-999	
1092	52778	17	-999	-999	-999	-999	-999	-999	
1094	53000	15	-999	-999	-999	-999	-999	-999	
1095	53111	-999	-999	0.267	3.437	3.484	24.62	-999	
1096	53222	15	-999	-999	-999	-999	-999	-999	
1098	53444	17	-999	-999	-999	-999	-999	-999	
1100	53667	16	15.488	0.529	3.613	3.508	24.7	-999	
1102	53889	16	-999	-999	-999	-999	-999	-999	
1104	54111	17	-999	-999	-999	-999	-999	-999	
1105	54222	-999	-999	-0.037	3.626	3.565	24.87	-999	
1106	54333	16	-999	-999	-999	-999	-999	-999	
1108	54556	14	-999	-999	-999	-999	-999	-999	
1110	54778	13	22.367	0.586	3.597	4.288	26.93	-999	
1112	55000	15	-999	-999	-999	-999	-999	-999	
1114	55222	14	-999	-999	-999	-999	-999	-999	
1115	55333	-999	16.466	0.766	3.773	3.679	25.22	-999	
1116	55444	15	-999	-999	-999	-999	-999	-999	
1118	55667	11	-999	-999	-999	-999	-999	-999	
1120	55889	15	15.198	-0.129	3.764	3.381	24.29	-999	
1122	56111	15	-999	-999	-999	-999	-999	-999	
1124	56333	15	-999	-999	-999	-999	-999	-999	
1125	56444	-999	22.129	0.091	3.83	3.459	24.54	-999	
1126	56556	19	-999	-999	-999	-999	-999	-999	
1128	56778	19	-999	-999	-999	-999	-999	-999	
1130	57000	20	14.322	0.531	4.027	3.415	24.4	-999	
1132	57222	25	-999	-999	-999	-999	-999	-999	
1134	57444	40	-999	-999	-999	-999	-999	-999	
1135	57556	-999	10.278	-0.131	4.19	3.315	24.07	-999	
1138	57889	18	-999	-999	-999	-999	-999	-999	
1140	58111	23	11.284	0.068	3.803	3.984	26.11	-999	
1142	58333	30	-999	-999	-999	-999	-999	-999	
1144	58556	37	-999	-999	-999	-999	-999	-999	
1145	58667	-999	5.701	0.251	4.071	3.482	24.61	-999	
1146	58778	32	-999	-999	-999	-999	-999	-999	
1148	59000	20	-999	-999	-999	-999	-999	-999	
1150	59222	15	8.895	0.548	4.001	3.619	25.04	-999	
1152	59444	26	-999	-999	-999	-999	-999	-999	
1154	59667	26	-999	-999	-999	-999	-999	-999	
1155	59778	-999	7.388	0.683	3.943	3.467	24.57	-999	
1156	59889	24	-999	-999	-999	-999	-999	-999	
1158	60111	22	-999	-999	-999	-999	-999	-999	
1160	60333	21	12.103	0.224	3.776	3.312	24.06	-999	
1162	60556	25	-999	-999	-999	-999	-999	-999	
1164	60778	22	-999	-999	-999	-999	-999	-999	
1165	60889	-999	11.537	-0.114	3.973	3.8	25.58	-999	
1166	61000	22	-999	-999	-999	-999	-999	-999	
1168	61222	13	-999	-999	-999	-999	-999	-999	
1170	61444	10	13.938	0.576	3.945	3.63	25.08	-999	
1172	61667	13	-999	-999	-999	-999	-999	-999	
1174	61889	11	-999	-999	-999	-999	-999	-999	
1175	62000	-999	13.416	0.533	3.958	3.428	24.44	-999	
1176	62111	10	-999	-999	-999	-999	-999	-999	
1178	62333	10	-999	-999	-999	-999	-999	-999	
1180	62556	10	16.503	0.533	3.957	3.373	24.26	-999	
1182	62778	11	-999	-999	-999	-999	-999	-999	
1184	63000	10	-999	-999	-999	-999	-999	-999	
1185	63111	-999	16.843	0.391	3.734	3.603	24.99	-999	
1186	63222	9	-999	-999	-999	-999	-999	-999	
1188	63444	9	-999	-999	-999	-999	-999	-999	
1190	63667	10	17.492	0.301	4.083	3.277	23.94	-999	
1192	63889	11	-999	-999	-999	-999	-999	-999	
1194	64111	11	-999	-999	-999	-999	-999	-999	
1195	64222	-999	18.118	0.311	4.192	3.229	23.78	-999	
1196	64333	10	-999	-999	-999	-999	-999	-999	
1198	64556	11	18.365	0.195	4.055	3.354	24.2	-999	
1200	64778	10	-999	-999	-999	-999	-999	-999	
1202	65000	10	17.994	-0.171	4.294	2.683	21.72	-999	
1204	65530	12	-999	-999	-999	-999	-999	-999	
1205	65795	-999	22.673	0.064	4.225	2.997	22.95	-999	
1206	66060	11	-999	-999	-999	-999	-999	-999	
1208	66590	11	-999	-999	-999	-999	-999	-999	
1210	67120	13	17.323	-0.17	4.2	3.041	23.11	-999	
1212	67651	13	-999	-999	-999	-999	-999	-999	
1214	68181	11	-999	-999	-999	-999	-999	-999	
1215	68446	-999	18.948	-0.015	4.149	3.25	23.85	-999	
1216	68711	11	-999	-999	-999	-999	-999	-999	
1218	69241	11	-999	-999	-999	-999	-999	-999	
1220	69771	8	13.691	0.133	3.252	3.258	23.87	-999	
1222	70301	9	-999	-999	-999	-999	-999	-999	
1224	70831	8	-999	-999	-999	-999	-999	-999	
1225	71096	-999	23.531	-0.001	3.988	3.471	24.58	-999	
1226	71361	6	-999	-999	-999	-999	-999	-999	
1228	71892	7	-999	-999	-999	-999	-999	-999	
1230	72422	6	22.13	-0.313	3.907	3.378	24.28	-999	
1232	72952	6	-999	-999	-999	-999	-999	-999	
1234	73482	6	-999	-999	-999	-999	-999	-999	
1235	73747	-999	22.638	-0.017	3.927	3.487	24.63	-999	
1236	74012	6	-999	-999	-999	-999	-999	-999	
1238	74542	6	-999	-999	-999	-999	-999	-999	
1240	75072	5	18.259	0.204	3.609	3.641	25.11	-999	
1242	75602	5	-999	-999	-999	-999	-999	-999	
1244	76133	4	-999	-999	-999	-999	-999	-999	
1245	76398	-999	19.628	0.359	3.853	3.711	25.32	-999	
1246	76663	5	-999	-999	-999	-999	-999	-999	
1248	77193	3	-999	-999	-999	-999	-999	-999	
1250	77723	2	27.154	-0.3	3.778	3.773	25.51	-999	
1252	78253	3	-999	-999	-999	-999	-999	-999	
1254	78783	3	-999	-999	-999	-999	-999	-999	
1255	79048	-999	21.998	-0.075	3.416	3.414	24.39	-999	
1256	79313	3	-999	-999	-999	-999	-999	-999	
1258	79843	2	-999	-999	-999	-999	-999	-999	
1260	80373	2	24.595	-0.85	3.349	3.548	24.82	-999	
1262	80904	3	-999	-999	-999	-999	-999	-999	
1264	81434	4	-999	-999	-999	-999	-999	-999	
1265	81699	-999	29.723	-1.268	3.414	3.692	25.26	-999	
1266	81964	4	-999	-999	-999	-999	-999	-999	
1268	82494	3	-999	-999	-999	-999	-999	-999	
1270	83024	6	30.809	-0.775	3.426	3.896	25.86	-999	
1272	83554	8	-999	-999	-999	-999	-999	-999	
1274	84084	4	-999	-999	-999	-999	-999	-999	
1275	84349	-999	21.433	-1.071	3.286	3.734	25.39	-999	
1276	84614	5	-999	-999	-999	-999	-999	-999	
1278	85145	6	-999	-999	-999	-999	-999	-999	
1280	85675	6	18.038	-1.484	3.595	3.951	26.02	-999	
1282	86205	7	-999	-999	-999	-999	-999	-999	
1284	86735	7	-999	-999	-999	-999	-999	-999	
1285	87000	-999	16.004	-0.756	3.636	3.78	25.53	-999	
1286	87210	5	-999	-999	-999	-999	-999	-999	
1288	87629	4	-999	-999	-999	-999	-999	-999	
1290	88048	6	21.788	-0.498	3.952	3.488	24.63	-999	
