# NOAA Paleoclimatology Program - Paleocean Site Data
# md2-2575-tab.txt
# Complete Data
# File Created: 16-Jul-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Dirk Nuernberg
# Core/Site:      MD02-2575
# Latitude:       29.00.06N	( 29.00167)
# Longitude:      87.07.08W	( -87.11889)
# Water Depth(m): 847
#
# Publications:
#   Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting
#     Loop Current variability and Mississippi River discharge over the past 400 kyr.
#     Earth and Planetary Science Letters, 272(1-2), 278-289.
#------------------
#
# Description & Notes:
#   DeSoto Canyon MD02-2575 400KYr Oxygen Isotope and Geochemical Data
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             susc          Magnetic Susceptibility
#             carb-coar%    Coarse Calcium Carbonate percent
#             d18Og.rub-w   delta O18 PDB (Globigerinoides ruber (white))
#             d18Ou.pereg   delta O18 PDB (Uvigerina peregrina)
#             Mg/Ca-g.rub-w Magnesium/Calcium ratio (Globigerinoides ruber, white) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca (C)
#             d18Og.crass   delta O18 PDB (Globorotalia crassaformis)
#
# CORE: MD02-2575
depth	calyrBP 	susc	carb-coar%	d18Og.rub-w	d18Ou.pereg	Mg/Ca-g.rub-w	sst-mg/ca	d18Og.crass	
142	7200.8	0	-999	-999	-999	-999	-999	1.452	
143	7234.2	-999	-999	-999	-999	-999	-999	1.466	
144	7267.6	0	-999	-999	-999	-999	-999	1.47	
145	7301	-999	30.41	-0.901	2.953	4.409	27.24	1.381	
146	7335	0	-999	-999	-999	-999	-999	-999	
148	7402	0	-999	-999	-999	-999	-999	-999	
150	7469	0	-999	-999	-999	-999	-999	-999	
152	7535	0	-999	-999	-999	-999	-999	-999	
153	7569	-999	-999	-999	-999	-999	-999	1.587	
154	7602	1	-999	-999	-999	-999	-999	-999	
155	7636	-999	26.465	-0.912	2.986	4.354	27.1	1.299	
156	7669	1	-999	-999	-999	-999	-999	1.295	
157	7702.8	-999	-999	-999	-999	-999	-999	1.395	
158	7736	0	-999	-999	-999	-999	-999	1.749	
159	7769.6	-999	-999	-999	-999	-999	-999	1.31	
160	7803	0	31.323	-1.012	2.919	4.141	26.54	1.2	
161	7868.8	-999	-999	-999	-999	-999	-999	1.187	
162	7934.6	0	-999	-999	-999	-999	-999	1.698	
163	8000.4	-999	-999	-999	-999	-999	-999	1.319	
164	8066	1	-999	-999	-999	-999	-999	1.552	
165	8132	-999	-999	-1.105	2.956	4.416	27.25	1.051	
166	8197.8	-1	-999	-999	-999	-999	-999	1.286	
167	8263.6	-999	-999	-999	-999	-999	-999	1.447	
168	8329	-1	-999	-999	-999	-999	-999	1.319	
169	8395.2	-999	-999	-999	-999	-999	-999	1.166	
170	8461	0	29.579	-0.911	3.005	4.374	27.15	1.63	
171	8526.6	-999	-999	-999	-999	-999	-999	1.474	
172	8592	1	-999	-999	-999	-999	-999	1.184	
173	8657.8	-999	-999	-999	-999	-999	-999	1.399	
174	8723.4	0	-999	-999	-999	-999	-999	1.495	
175	8789	-999	26.126	-1.326	2.92	4.631	27.78	0.951	
176	8854.8	0	-999	-999	-999	-999	-999	1.648	
177	8920.6	-999	-999	-999	-999	-999	-999	1.211	
178	8986.4	1	-999	-999	-999	-999	-999	1.36	
179	9052.2	-999	-999	-999	-999	-999	-999	1.547	
180	9118	0	30.253	-0.72	3.06	4.11	26.46	1.149	
181	9183.8	-999	-999	-999	-999	-999	-999	1.357	
182	9249.6	0	-999	-999	-999	-999	-999	1.193	
183	9315.4	-999	-999	-999	-999	-999	-999	1.366	
184	9381	0	-999	-999	-999	-999	-999	-999	
185	9447	-999	38.353	-1.112	2.988	4.332	27.04	1.221	
186	9515	1	-999	-999	-999	-999	-999	-999	
187	9583	-999	-999	-999	-999	-999	-999	1.283	
188	9651	0	-999	-999	-999	-999	-999	1.617	
189	9719	-999	-999	-999	-999	-999	-999	1.631	
190	9787	2	35.204	-0.884	3.552	4.075	26.36	1.311	
192	9923	2	-999	-999	-999	-999	-999	-999	
194	10059	3	-999	-999	-999	-999	-999	-999	
195	10126	-999	35.78	-0.804	3.198	4.322	27.01	-999	
196	10194	3	-999	-999	-999	-999	-999	-999	
198	10330	3	-999	-999	-999	-999	-999	-999	
200	10466	4	23.609	-0.984	3.282	4.09	26.4	1.283	
202	10602	4	-999	-999	-999	-999	-999	-999	
204	10738	3	-999	-999	-999	-999	-999	-999	
205	10806	-999	20.1	-0.539	3.58	3.943	25.99	2.147	
206	10874	5	-999	-999	-999	-999	-999	-999	
208	11010	4	-999	-999	-999	-999	-999	-999	
210	11146	3	21.884	-0.859	3.806	3.965	26.06	1.745	
212	11282	3	-999	-999	-999	-999	-999	-999	
214	11418	3	-999	-999	-999	-999	-999	-999	
215	11485	-999	19.434	-0.519	3.698	3.869	25.78	1.881	
