# NOAA Paleoclimatology Program - Paleocean Site Data
# lpaz 21p-tab.txt
# Complete Data
# File Created: 22-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      LPAZ 21P
# Latitude:       22.59.02N	( 22.98389)
# Longitude:      109.28.00W	( -109.4667)
# Water Depth(m): 624
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Isotope Data analytical error is ~0.1 per mil. The Uk'37 data have an analytical
#   precision equal to +- 0.15 Degrees Celsius. The age model comes from tuning benthic
#   delta 18O to an orbital age model.
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: LPAZ 21P
depth	calyrBP 	d18Oforams-b	sst-uk37	uk37	
571.5	160387.6	3.36	24.4	0.868	
576.5	161567.4	-999	23.3	0.832	
581.5	162747.2	3.27	23.1	0.823	
586.5	163927	-999	23.7	0.845	
591.5	165106.7	3.35	23.4	0.833	
596.5	166286.5	-999	23.5	0.837	
601.5	167466.3	3.07	23.7	0.845	
606.5	168646.1	-999	23.7	0.844	
611.5	169457.9	2.95	23.9	0.852	
616.5	170112.1	-999	23.9	0.852	
621.5	170766.4	3.19	24.3	0.864	
626.5	171420.6	-999	24.5	0.871	
631.5	172074.8	3.37	24.9	0.887	
636.5	172729	-999	24.4	0.869	
641.5	173383.2	3.05	24.1	0.857	
646.5	174037.4	-999	23.5	0.837	
651.5	174691.6	3.34	24.2	0.863	
656.5	175345.8	-999	25.1	0.894	
661.5	176000	3.41	24	0.855	
666.5	176654.2	-999	24.6	0.874	
671.5	177308.4	3.45	24.7	0.877	
676.5	177962.6	-999	23.9	0.852	
681.5	178616.8	3.48	24.7	0.878	
686.5	179271	-999	24.7	0.879	
691.5	179925.2	3.51	24.3	0.864	
696.5	180579.4	-999	24.4	0.868	
701.5	181233.6	3.35	24.3	0.864	
706.5	181887.9	-999	24.6	0.877	
711.5	182542.1	3.37	24.6	0.877	
716.5	183739.4	-999	24.8	0.881	
721.5	186204.2	3.41	25	0.888	
726.5	188669	-999	25.5	0.907	
731.5	191133.8	-999	25.7	0.914	
731.5	191133.8	-999	25.8	0.918	
736.5	193598.6	-999	24.6	0.874	
741.5	196063.4	2.73	24.9	0.887	
746.5	198528.2	-999	25.1	0.892	
751.5	200993	2.68	25	0.89	
756.5	203457.7	-999	25.1	0.893	
761.5	205922.5	2.79	25.1	0.892	
766.5	208387.3	-999	25.3	0.897	
766.5	208387.3	-999	25.2	0.895	
771.5	210852.1	-999	24.9	0.887	
776.5	213316.9	-999	25.4	0.901	
781.5	215781.7	2.78	25.4	0.901	
786.5	218090.9	-999	25.2	0.897	
791.5	219000	2.73	25.1	0.893	
796.5	219909.1	-999	23.6	0.841	
801.5	220818.2	3.19	23.5	0.837	
806.5	221727.3	-999	22.5	0.804	
806.5	221727.3	-999	22.7	0.81	
811.5	222636.4	3.11	23.4	0.834	
816.5	223545.5	-999	23.9	0.851	
821.5	224454.5	3.17	24.2	0.863	
826.5	225363.6	-999	24.7	0.877	
831.5	226354.2	2.85	24.8	0.881	
836.5	227534.7	-999	25.1	0.894	
841.5	228715.3	3.11	24.8	0.881	
846.5	229895.8	-999	24.1	0.857	
851.5	231076.4	3.15	25.1	0.893	
856.5	232256.9	-999	25.1	0.892	
861.5	233437.5	3.09	25.1	0.893	
861.5	233437.5	-999	25.2	0.895	
866.5	234618.1	-999	25.2	0.897	
871.5	235798.6	2.62	25.6	0.909	
