# Bermuda Rise High Resolution 60-25KYrBP Geochemical Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20248 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/henry2016/henry2016sst.txt
#
# Archive: Paleoceanography
#
# Parameter_Keywords: geochemistry, radiogenic isotope
#---------------------------------------
# Contribution_Date
#    Date: 2016-08-16
#---------------------------------------
# Title
#    Study_Name: Bermuda Rise High Resolution 60-25KYrBP Geochemical Data
#---------------------------------------
# Investigators
#      Investigators: Henry, L.G.; McManus, J.F.; Curry, W.B.; Roberts, N.L.; Piotrowski, A.M.; Keigwin, L.D.
#---------------------------------------
# Description and Notes
#        Description: Pa/Th, carbonate, and stable isotope data collected from bulk sediment in Bermuda Rise sediment core KNR191 CDH19 
#	 covering 60-25 ka.  High Resolution uranium series results from the Bermuda Rise in the N. Atlantic provide insight into glacial AMOC.
#         Provided Keywords: AMOC, NADW, Pa/Th, Heinrich Event, Marine Isotope Stage 3
#---------------------------------------
# Publication
# Authors: L.G. Henry, J.F. McManus, W.B. Curry, N.L. Roberts, A.M. Piotrowski, L.D. Keigwin
# Published_Date_or_Year: 2016-07-29
# Published_Title: North Atlantic ocean circulation and abrupt climate change during the last glaciation
# Journal_Name: Science
# Volume: 353
# Edition: 
# Issue: 6298
# Pages: 470-474
# Report Number: 
# DOI: 10.1126/science.aaf5529
# Online_Resource: http://science.sciencemag.org/content/353/6298/470
# Full_Citation: 
# Abstract: The most recent ice age was characterized by rapid and hemispherically asynchronous climate oscillations, whose origin remains unresolved. Variations in oceanic meridional heat transport may contribute to these repeated climate changes, which were most pronounced during marine isotope stage 3, the glacial interval 25 thousand to 60 thousand years ago. We examined climate and ocean circulation proxies throughout this interval at high resolution in a deep North Atlantic sediment core, combining the kinematic tracer protactinium/thorium (Pa/Th) with the deep water-mass tracer, epibenthic d13C. These indicators suggest reduced Atlantic overturning circulation during every cool northern stadial, with the greatest reductions during episodic Hudson Strait iceberg discharges, while sharp northern warming followed reinvigorated overturning. These results provide direct evidence for the ocean's persistent, central role in abrupt glacial climate change.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation
#    Grant: Graduate Research Fellowship, ATM-0936496, ATM-0836472, AGS 1548160
#---------------------------------------
# Site Information
# Site_Name: KNR191 CDH19
# Location: Ocean>Atlantic Ocean>North Atlantic Ocean 
# Country: 
# Northernmost_Latitude: 33.6907
# Southernmost_Latitude: 33.6907
# Easternmost_Longitude: -57.57598
# Westernmost_Longitude: -57.57598
# Elevation: -4541 m
#---------------------------------------
# Data_Collection
#   Collection_Name: Henry2016SST
#   First_Year: 130400
#   Last_Year: 32250
#   Time_Unit: cal yr BP
#   Core_Length: 38.81
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
# Age model was generated by correlating XRF Ca counts in CDH19 to carbonate measurements made in core MD95-2036. 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
## age_calkaBP	Age,,,kyrs,,,,,N
## sst-uk37	Sea Surface Temperature,,,degrees C,,paleoceanography,, alkenone reconstruction,N
#
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: 
#
age_calkaBP	sst-uk37
55.99	18.42
56.93	18.50
56.93	18.26
56.93	18.59
56.93	18.72
57.17	18.50
57.22	18.97
57.40	19.03
57.47	19.13
57.67	18.53
57.91	19.07
58.16	18.20
58.27	18.82
58.35	18.48
58.57	19.37
58.60	19.21
58.70	19.05
58.79	19.00
58.84	19.17
58.89	19.11
58.95	18.84
59.01	19.29
59.06	19.19
59.11	19.32
59.16	19.17
59.21	19.46
59.28	19.04
59.35	19.23
59.42	19.63
59.47	19.76
59.49	19.79
59.51	20.18
59.54	20.64
59.56	19.53
59.60	19.01
59.65	19.23
59.66	18.41
59.68	18.46
59.70	18.76
59.73	18.82
59.73	17.93
59.74	18.37
59.75	17.72
59.75	17.68
59.77	17.63
59.79	18.03
59.83	17.35
59.88	17.44
59.93	16.90
59.97	17.05
60.02	17.15
60.07	17.38
60.22	17.62
60.36	17.50
60.46	17.41
60.49	17.04
60.66	17.18
60.72	17.10
60.77	16.89
60.91	16.81
61.11	16.82
63.23	15.82
63.25	15.99
63.27	16.03
63.29	16.03
63.31	15.78
63.33	15.78
63.35	15.80
63.37	15.60
63.39	15.71
63.41	15.81
63.43	16.02
63.44	15.93
63.46	16.02
63.48	16.04
63.50	15.82
63.52	15.94
63.54	15.95
63.56	16.18
63.58	15.71
63.60	15.71
63.62	16.02
63.64	15.59
63.66	15.82
63.68	15.80
63.70	15.58
63.72	15.35
63.74	15.25
63.76	15.44
63.78	15.59
63.80	15.50
63.82	15.73
63.83	15.54
63.85	15.78
63.87	15.63
63.89	15.71
63.91	15.69
63.93	15.99
63.95	15.28
63.97	15.48
63.99	15.21
64.01	15.00
64.03	15.64
64.05	16.09
64.07	16.22
64.09	15.71
64.11	15.60
64.13	15.60
64.15	15.19
64.17	15.94
64.19	15.95
64.21	15.89
64.22	16.44
64.24	17.01
64.26	16.94
64.28	16.88
64.30	16.86
64.32	16.92
64.34	17.04
64.36	17.02
64.38	16.90
64.40	16.80
64.42	16.69
64.44	16.95
64.46	17.03
64.48	16.89
64.50	
64.52	16.81
64.54	16.72
64.56	16.87
64.58	16.65
64.60	16.71
64.61	16.53
64.63	16.44
64.65	16.72
64.67	16.58
64.69	16.71
64.71	16.68
64.73	16.53
64.75	16.77
64.79	16.87
64.81	16.43
64.83	16.42
64.85	16.19
64.87	16.76
64.89	16.66
64.91	16.84
64.93	16.48
64.95	16.54
64.97	16.56
64.99	16.26
65.00	16.46
65.02	16.58
65.04	16.52
65.06	16.63
65.08	16.51
65.10	16.80
65.12	16.74
65.14	16.31
65.16	16.07
65.18	16.37
65.20	16.57
65.22	16.75
65.24	16.44
65.26	16.26
65.28	16.10
65.30	16.29
65.32	16.07
65.34	15.99
65.36	15.81
65.38	15.77
65.40	15.96
65.41	16.03
65.43	16.00
65.45	16.05
65.47	16.01
65.49	16.17
65.51	16.16
65.53	16.30
65.55	16.31
65.57	16.42
65.59	16.38
65.61	16.17
65.63	16.40
65.65	16.23
65.67	16.56
65.69	16.50
65.71	16.25
65.73	16.26
65.75	16.19
65.77	16.15
65.79	16.24
65.80	16.15
65.82	16.37
65.84	16.01
65.86	15.89
65.88	15.85
65.90	15.97
65.92	15.71
65.94	15.74
65.96	15.44
65.98	15.33
66.00	15.31
66.02	15.45
66.04	15.47
66.06	15.19
66.08	14.99
66.10	15.71
66.16	14.73
66.18	14.97
66.19	15.27
66.21	15.60
66.23	15.52
66.25	15.85
66.27	16.14
66.29	15.88
66.31	15.95
66.33	16.08
66.35	16.10
66.37	16.02
66.39	15.79
66.41	16.28
66.43	15.95
66.45	15.79
66.47	15.61
66.49	15.60
66.51	15.52
66.53	15.51
66.55	15.72
66.57	15.54
66.58	15.40
66.60	15.28
66.62	15.32
66.64	15.71
66.66	15.20
66.68	15.36
66.70	16.26
66.72	15.91
66.74	15.85
66.76	16.03
66.78	16.04
66.80	16.16
66.82	16.27
66.84	16.32
66.86	16.19
66.88	16.24
66.90	16.44
66.92	16.27
66.94	16.49
66.96	16.29
66.98	16.42
66.99	16.29
67.01	16.15
67.03	16.27
67.05	16.54
67.07	16.60
67.09	16.34
67.11	16.28
67.13	16.14
67.15	16.10
67.17	15.93
67.19	16.11
67.21	15.96
67.23	15.51
67.25	15.70
67.27	14.06
67.29	12.87
67.31	14.16
67.33	16.92
67.35	16.87
67.37	16.86
67.38	16.78
67.40	16.73
67.42	16.83
67.44	16.94
67.46	16.59
67.48	16.44
67.50	16.55
67.52	16.53
67.54	16.58
67.56	16.45
67.58	16.42
67.60	16.47
67.62	16.44
67.64	16.55
67.66	16.54
67.68	16.41
67.70	16.40
67.72	16.37
67.74	16.22
67.76	16.19
67.77	16.10
67.79	16.02
67.81	15.60
67.83	15.74
67.85	16.42
67.87	16.33
67.89	16.22
67.91	16.18
67.93	16.19
67.95	16.22
67.97	16.41
67.99	16.36
68.01	16.12
68.03	15.83
68.05	15.85
68.07	15.64
68.09	15.66
68.15	14.96
68.16	15.71
68.18	16.43
68.20	16.70
68.22	16.52
68.24	16.79
68.26	16.71
68.28	16.72
68.30	16.63
68.32	16.65
68.34	16.81
68.36	16.80
68.38	16.80
68.40	16.81
68.42	16.76
68.44	16.62
68.46	16.58
68.48	16.54
68.50	16.47
68.52	16.58
68.54	16.55
68.55	16.61
68.57	16.60
68.59	16.52
68.61	16.24
68.63	15.88
68.65	15.81
68.67	16.04
68.69	16.14
68.71	16.01
68.73	16.43
68.75	16.92
68.77	17.21
68.79	16.86
68.81	16.93
68.83	17.02
68.85	16.94
68.87	16.98
68.89	16.99
68.91	17.00
68.93	17.09
68.95	17.00
68.96	16.87
68.98	16.90
69.00	17.19
69.02	17.33
69.04	17.40
69.06	16.84
69.08	16.91
69.10	16.87
69.12	16.94
69.14	17.63
69.16	17.61
69.18	17.52
69.20	17.54
69.22	17.28
69.24	17.50
69.26	17.36
69.28	17.31
69.30	17.09
69.32	17.01
69.34	17.11
69.35	17.45
69.37	17.89
69.39	17.89
69.41	17.69
69.43	17.15
69.45	16.99
69.47	16.93
69.49	16.93
69.51	16.77
69.53	16.50
69.58	16.73
69.62	16.64
69.67	16.93
69.71	16.97
69.76	17.29
69.81	17.33
69.85	17.72
69.90	17.59
69.94	17.44
69.99	17.51
70.04	17.98
70.08	17.91
70.13	18.10
70.17	18.17
70.22	18.22
70.27	18.39
70.31	18.41
70.36	18.09
70.40	18.07
70.45	17.99
70.50	18.27
70.54	18.13
70.59	17.83
70.63	17.92
70.68	17.76
70.73	17.78
70.77	17.75
70.82	17.65
70.86	17.33
70.91	17.60
70.96	17.62
71.00	17.70
71.05	18.06
71.09	18.23
71.14	18.30
71.19	17.98
71.23	17.77
71.28	18.32
71.32	18.37
71.37	18.17
71.42	18.29
71.46	18.22
71.51	18.57
71.55	18.52
71.60	18.60
71.66	17.99
71.72	18.08
71.78	17.42
71.84	17.27
71.90	17.39
71.96	17.77
72.02	17.08
72.08	16.52
72.14	17.23
72.21	17.83
72.27	17.45
72.33	17.43
72.39	17.26
72.45	16.77
72.51	16.84
72.57	16.11
72.63	16.25
72.69	16.89
72.75	16.56
72.81	15.95
72.87	16.00
72.93	15.56
72.99	15.68
73.05	15.68
73.11	15.59
73.17	15.43
73.23	15.43
73.29	15.56
73.36	15.66
73.42	15.71
73.48	15.68
73.54	15.84
73.60	15.82
73.66	16.12
73.72	16.56
73.78	17.08
73.84	17.03
73.90	17.21
73.94	17.06
73.98	16.86
74.02	16.87
74.06	16.78
74.09	16.89
74.13	16.82
74.17	16.71
74.21	16.76
74.25	16.96
74.29	16.75
74.33	16.68
74.37	16.53
74.40	16.39
74.44	16.48
74.48	16.26
74.52	16.24
74.56	16.45
74.60	16.40
74.64	16.49
74.68	16.54
74.71	16.60
74.75	16.57
74.79	17.13
74.83	16.99
74.87	17.06
74.91	17.32
74.95	17.58
74.99	17.51
75.02	18.14
75.06	18.15
75.10	18.50
75.14	18.39
75.18	18.39
75.22	18.80
75.26	18.57
75.30	19.05
75.33	19.06
75.37	18.98
75.41	19.29
75.45	
75.61	19.32
75.64	19.35
75.68	19.29
75.72	19.23
75.76	19.38
75.79	19.29
75.82	19.29
75.85	19.02
75.88	19.05
75.91	18.93
75.94	18.79
75.97	18.70
76.00	18.79
76.03	18.97
76.06	18.57
76.09	18.48
76.12	18.38
76.15	17.96
76.17	18.24
76.20	18.12
76.23	17.92
76.26	17.62
76.29	17.48
76.32	17.43
76.35	17.42
76.38	17.77
76.41	18.39
76.44	18.35
76.47	18.47
76.50	17.99
76.53	17.96
76.56	17.63
76.59	17.55
76.62	17.78
76.65	18.16
76.68	18.35
76.71	18.53
76.74	17.91
76.77	17.80
76.80	17.67
76.83	17.32
76.86	17.23
76.89	17.10
76.92	17.14
76.95	17.08
76.97	17.14
77.00	17.29
77.03	17.15
77.06	17.35
77.09	17.37
77.12	17.43
77.15	17.65
77.18	17.46
77.21	17.49
77.24	17.14
77.27	17.29
77.30	16.95
77.33	16.70
77.36	16.92
77.43	16.29
77.49	16.71
77.56	16.89
77.63	18.09
77.69	18.23
77.76	18.04
77.83	18.40
77.90	18.51
77.96	18.78
78.03	19.08
78.10	18.99
78.16	18.92
78.23	19.16
78.30	19.01
78.36	19.20
78.43	19.00
78.50	19.20
78.56	19.28
78.63	19.04
78.70	19.10
78.77	19.27
78.87	19.15
78.98	19.40
79.08	19.56
79.19	19.68
79.29	19.54
79.40	19.63
79.50	19.33
79.61	19.63
79.72	19.43
79.82	19.38
79.93	19.76
80.03	19.53
80.14	19.70
80.24	19.27
80.35	19.84
80.45	19.98
80.56	20.14
80.66	19.81
80.77	19.40
80.88	19.37
80.98	19.19
81.09	19.44
81.19	19.57
81.30	19.55
81.40	19.26
81.51	19.41
81.61	19.26
81.72	19.53
81.83	19.32
81.93	19.30
82.04	19.95
82.14	19.93
82.25	19.57
82.35	19.38
82.46	19.89
82.56	19.49
82.67	19.77
82.78	19.95
82.88	19.82
82.99	19.69
83.09	19.52
83.20	19.64
83.30	19.83
83.41	19.84
83.51	19.74
83.62	19.75
83.72	19.94
83.83	19.80
83.94	19.67
84.04	19.92
84.15	19.82
84.25	19.87
84.36	19.58
84.46	20.32
84.57	20.28
84.67	20.69
84.78	20.76
84.83	20.06
84.88	20.09
84.93	19.48
84.98	19.09
85.02	19.61
85.07	20.15
85.12	19.42
85.17	19.09
85.22	19.11
85.27	19.29
85.32	19.29
85.37	18.90
85.42	17.99
85.46	18.01
85.51	18.07
85.56	17.85
85.61	17.86
85.66	17.70
85.71	17.36
85.76	17.48
85.81	17.74
85.85	17.79
85.90	18.14
85.95	17.89
86.00	18.08
86.05	18.33
86.10	17.98
86.15	18.00
86.20	18.25
86.25	17.62
86.29	17.26
86.34	17.44
86.39	17.02
86.44	17.11
86.49	17.38
86.54	17.52
86.59	17.65
86.64	17.74
86.69	17.72
86.73	17.43
86.78	17.70
86.83	17.44
86.88	17.67
86.93	17.65
86.98	17.41
87.03	17.55
87.08	17.42
87.12	17.86
87.17	17.59
87.22	17.62
87.27	17.89
87.32	17.95
87.37	18.02
87.42	17.78
87.47	17.80
87.52	18.01
87.56	18.03
87.61	17.96
87.66	18.24
87.71	18.41
87.76	18.78
87.81	18.96
87.86	18.79
87.91	18.38
87.96	18.97
88.01	19.07
88.06	18.87
88.11	19.04
88.16	19.11
88.21	19.16
88.26	18.92
88.32	18.78
88.37	18.35
88.42	18.42
88.47	18.38
88.52	18.92
88.57	19.02
88.62	18.81
88.67	18.46
88.72	18.18
88.77	17.93
88.82	17.64
88.85	16.85
88.88	16.29
88.90	16.85
88.91	17.62
88.93	17.37
88.94	17.83
88.96	18.37
88.98	18.02
88.99	17.47
89.01	16.83
89.02	15.09
89.04	14.21
89.06	15.95
89.07	14.39
89.09	19.43
89.10	19.50
89.12	19.14
89.14	19.52
89.15	20.19
89.17	19.89
89.18	20.14
89.20	20.18
89.21	19.93
89.23	20.06
89.25	19.94
89.26	19.70
89.28	19.68
89.29	19.72
89.31	20.47
89.33	20.37
89.34	20.26
89.36	20.33
89.37	20.48
89.39	20.19
89.41	20.15
89.42	20.41
89.44	20.29
89.45	20.23
89.47	20.36
89.49	20.22
89.50	20.00
89.52	20.21
89.53	19.92
89.55	20.01
89.57	20.10
89.58	20.14
89.60	20.02
89.61	20.08
89.63	19.96
89.65	19.89
89.66	19.97
89.68	19.92
89.69	19.88
89.71	20.02
89.73	20.08
89.74	20.24
89.76	20.18
89.77	20.21
89.79	20.16
89.81	20.04
89.82	19.88
89.84	20.07
89.85	19.99
89.87	20.08
89.88	20.07
89.90	20.02
89.92	19.65
89.93	19.52
89.95	19.65
89.96	19.64
89.98	19.23
90.00	18.87
90.01	18.87
90.03	18.68
90.04	18.69
90.06	18.37
90.14	17.11
90.22	18.95
90.31	19.77
90.39	20.72
90.47	20.74
90.55	20.66
90.64	20.80
90.72	20.76
90.80	20.83
90.88	20.77
90.97	20.76
91.05	20.78
91.13	20.99
91.22	20.95
91.30	20.80
91.38	20.99
91.46	20.98
91.55	20.98
91.63	20.83
91.71	20.96
91.79	20.95
91.88	20.97
91.96	20.94
92.04	21.02
92.13	20.93
92.21	20.81
92.50	20.81
92.80	20.84
93.09	20.68
93.39	20.75
93.68	20.71
93.98	20.59
94.27	20.68
94.57	20.63
94.86	20.67
95.16	20.59
95.45	20.59
95.75	20.43
96.04	20.65
96.34	20.65
96.63	20.72
96.93	20.59
97.22	20.67
97.52	20.74
97.81	20.76
98.11	20.86
98.40	20.90
98.70	20.61
98.99	20.91
99.29	20.93
99.58	21.06
99.88	20.99
100.17	20.89
100.47	20.70
100.77	20.75
101.06	20.62
101.36	20.57
101.65	20.64
101.95	20.57
102.24	20.64
102.54	20.40
102.83	20.60
103.13	20.45
103.42	20.03
103.72	19.60
104.01	20.13
104.16	20.76
104.31	21.58
104.46	22.28
104.48	22.02
104.49	21.12
104.51	21.02
104.53	20.41
104.55	20.49
104.56	20.33
104.58	19.95
104.60	19.78
104.61	20.19
104.63	19.96
104.65	19.76
104.66	19.85
104.68	20.14
104.70	20.04
104.72	20.22
104.73	20.02
104.75	19.95
104.77	19.98
104.78	19.97
104.80	20.17
104.82	19.95
104.84	20.04
104.85	19.97
104.87	19.63
104.89	19.74
104.90	19.67
104.92	19.59
104.94	19.62
104.96	19.55
104.97	19.86
104.99	19.94
105.01	20.02
105.02	19.96
105.04	19.71
105.06	19.01
105.07	19.44
105.09	19.41
105.11	19.99
105.13	19.15
105.14	19.08
105.16	18.88
105.27	19.01
105.37	19.25
105.48	19.54
105.58	19.54
105.69	19.46
105.79	19.93
105.90	20.01
106.00	19.86
106.11	20.29
106.22	20.16
106.32	19.96
106.43	20.39
106.53	20.41
106.64	20.29
106.74	20.40
106.85	20.61
106.96	19.62
107.06	20.55
107.17	20.54
107.27	20.24
107.38	20.48
107.48	20.52
107.59	20.18
107.69	20.39
107.80	20.52
107.89	20.41
107.97	20.34
108.06	20.35
108.15	20.05
108.24	19.87
108.32	19.42
108.41	19.53
108.50	19.78
108.59	19.72
108.67	19.81
108.76	20.27
108.85	19.31
108.93	18.78
109.02	18.60
109.09	18.73
109.12	17.83
109.16	17.62
109.20	18.35
109.24	18.66
109.28	18.50
109.32	18.49
109.35	18.41
109.39	18.64
109.43	18.37
109.47	18.39
109.51	18.24
109.55	18.21
109.59	18.20
109.62	18.74
109.66	18.78
109.70	18.45
109.89	18.60
109.93	18.85
109.97	18.58
110.01	18.89
110.05	19.02
110.09	18.97
110.13	19.09
110.16	19.20
110.20	19.36
110.24	19.62
110.28	19.52
110.32	20.17
110.36	20.18
110.39	20.10
110.43	19.96
110.47	19.95
110.51	20.21
110.55	20.20
110.59	20.17
110.63	20.28
110.66	20.58
110.70	20.88
110.74	20.84
110.78	21.04
110.82	20.98
110.86	21.08
110.89	20.82
110.93	20.82
110.97	20.94
111.01	20.80
111.05	20.70
111.08	20.74
111.12	20.72
111.16	20.81
111.20	20.54
111.24	20.25
111.28	20.45
111.31	20.98
111.35	20.89
111.39	20.80
111.43	20.75
111.47	20.69
111.50	20.70
111.54	20.67
111.58	20.55
111.62	21.24
111.66	21.44
111.69	22.27
111.73	20.57
111.77	20.49
111.81	20.50
111.85	20.63
111.89	20.57
111.92	20.75
111.96	20.89
112.00	20.97
112.04	20.97
112.08	20.90
112.11	21.05
112.15	21.06
112.23	21.30
112.34	21.15
112.45	21.38
112.56	21.18
112.68	21.11
112.80	21.38
112.92	21.52
113.05	21.43
113.17	21.48
113.30	21.40
113.42	21.34
113.54	21.74
113.66	21.62
113.78	21.84
113.89	21.95
114.00	21.90
114.12	21.84
114.24	21.81
114.35	21.65
114.46	21.68
114.57	21.76
114.68	21.74
114.79	21.51
114.89	21.05
114.98	21.32
115.06	21.05
115.15	20.62
115.23	20.58
115.31	21.07
115.39	20.72
115.46	21.36
115.53	21.16
115.60	20.35
115.67	19.76
115.72	19.98
115.77	19.64
115.81	20.46
115.86	20.36
115.93	20.99
116.02	19.81
116.08	19.66
116.11	19.53
116.23	22.68
116.42	22.58
116.62	21.78
116.82	22.98
117.02	22.53
117.22	22.20
117.46	22.52
117.74	22.48
118.03	22.86
118.35	22.47
118.65	22.57
118.94	22.56
119.23	22.70
119.54	22.43
119.88	22.43
120.25	22.68
120.62	22.47
120.97	22.55
121.37	22.51
121.81	22.50
122.24	22.77
122.67	22.66
123.08	23.09
123.49	22.32
123.88	22.56
124.27	22.88
124.65	22.64
125.66	22.16
125.99	22.01
126.36	21.82
126.64	21.16
126.85	21.82
127.04	21.60
127.21	21.61
127.36	21.69
127.49	21.56
127.61	21.75
127.74	21.42
127.87	20.52
128.00	20.68
128.13	20.15
128.25	20.36
128.36	20.11
128.46	20.28
128.54	19.61
128.61	19.32
128.68	20.07
128.75	19.28
128.82	19.54
128.89	19.28
128.95	19.25
129.01	19.20
129.07	19.88
129.12	19.41
129.17	18.58
129.22	18.47
129.26	18.01
129.31	17.68
129.36	17.11
129.41	17.42
129.46	17.57
129.49	17.52
129.52	16.95
129.55	16.92
129.58	16.60
129.64	16.85
129.70	16.74
129.75	16.55
129.80	16.76
129.86	17.10
129.92	17.36
129.98	17.12
130.04	17.37
130.10	17.19
130.16	16.94
130.22	16.94
130.28	16.69
130.34	16.58
130.40	16.72
