Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!! 


NAME OF DATA SET: 
Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions 

LAST UPDATE: 1/2011 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Martínez-Garcia, A., A. Rosell-Melé, E.L. McClymont, 
R. Gersonde, and G.H. Haug. 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2011-006 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Martínez-Garcia, A., et al. 2010. 
Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2011-006. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE:  
Martínez-Garcia, A., A. Rosell-Melé, E.L. McClymont, R. Gersonde, 
and G.H. Haug. 2010. 
Subpolar Link to the Emergence of the Modern Equatorial Pacific 
Cold Tongue. 
Science, Vol. 328, No. 5985, pp. 1550-1553, 18 June 2010. 
DOI:10.1126/science.1184480 

ABSTRACT:
The cold upwelling "tongue" of the eastern equatorial Pacific 
is a central energetic feature of the ocean, dominating both 
the mean state and temporal variability of climate in the tropics
and beyond. Recent evidence for the development of the modern 
cold tongue during the Pliocene-Pleistocene transition has been 
explained as the result of extratropical cooling that drove 
a shoaling of the thermocline. We have found that the sub-Antarctic 
and sub-Arctic regions underwent substantial cooling nearly 
synchronous to the cold tongue development, thereby providing 
support for this hypothesis. In addition, we show that sub-Antarctic 
climate changed in its response to Earth's orbital variations, 
from a subtropical to a subpolar pattern, as expected if cooling 
shrank the warm-water sphere of the ocean and thus contracted
the subtropical gyres. 


ADDITIONAL REFERENCES: 
Martínez-Garcia, A., A. Rosell-Melé, W. Geibert, R. Gersonde, 
P. Masqué, V. Gaspari, and C. Barbante. 2009. 
Links between iron supply, marine productivity, sea surface 
temperature, and CO2 over the last 1.1 Ma. 
Paleoceanography, 24, PA1207, doi:10.1029/2008PA001657.  



GEOGRAPHIC REGION: Sub-polar North Pacific and South Atlantic 
PERIOD OF RECORD: 3.6 Ma - present 
FUNDING SOURCES: 
Ministerio de Ciencia e Innovación, Spain, FPU grant to A.M.-G. 



DESCRIPTION: 
Two Subpolar paleotemperature records for the past 3.6 million years 
based on the analysis of alkenone unsaturation indices in marine 
sediments.  Cores are located in the sub-Arctic Pacific (ODP Site 882) 
and the sub-Antarctic Atlantic (ODP Site 1090).  The percentage of 
the C37:4 alkenone relative to the total abundance of C37 alkenones 
(%C37:4) in these records is an additional tracer that can be used 
to infer variations in the meridional extent of polar and subpolar 
conditions through time. 

ODP Site 882: 50°21'N, 167°35'E, water depth 3244m 
ODP Site 1090: 42°54.5'S, 8°54.0'E, water depth 3702m 




DATA: 
1. ODP 982 
Age(ka)     SST(ºC)    %C37:4
810.98        4.32      19.76
817.22        5.19      13.89
823.86        5.59      14.45
832.24        8.36      11.06
838.22        9.94       5.98
843.52       11.54       5.86
846.91       10.03       6.12
849.84        9.20       7.53
855.80        6.34      12.60
859.40        7.11      15.56
864.40        8.56      13.29
870.40        7.62      15.03
874.79       11.58      11.28
879.40        2.81      22.54
882.55        4.00      18.53
889.32        5.66      15.88
895.57        4.25      19.90
901.46        5.53      17.19
907.34        4.51      16.21
912.05        5.80      14.09
919.31        4.64      18.39
925.00        7.17       8.14
930.71        6.79      10.14
936.43        9.02      10.04
941.00        7.61      16.12
946.18        3.27      23.14
950.29        2.66       5.37
953.82        2.07      27.83
957.76        3.35      22.57
963.83        3.79      20.05
972.93        4.56      20.94
980.78        1.89      28.58
993.20        2.60       6.29
997.34        1.76      28.09
1003.35       5.40      18.23
1010.04       3.18      24.96
1016.52       2.81      27.09
1021.88       3.29      25.79
1028.35       5.86      16.41
1033.93       5.39      16.34
1040.40       3.72      20.20
1045.76       3.83      19.65
1051.31       5.35      18.84
1054.19       4.50      20.97
1055.63       6.98      20.38
1060.21       8.30      15.78
1064.81       7.03      13.61
1068.79       9.24      15.03
1074.30       6.73      20.83
1081.28      10.97      10.04
1094.49       6.80      16.10
1108.96       6.11      17.26
1134.26       6.09      15.87
1140.86      10.25       7.76
1156.34       9.53       9.09
1168.72       7.05       5.19
1180.20       6.38      17.27
1186.38      13.02       5.63
1191.45      13.08       4.10
1198.06      11.19       5.71
1206.34      12.19       5.34
1214.49      10.19       5.93
1219.25       6.15      10.44
1225.40       9.33       6.98
1231.91      11.02       6.31
1238.88       7.07       9.61
1241.67       9.19       9.47
1257.05       6.54      12.10
1260.81       8.76       8.09
1264.58      12.50       3.43
1267.80      12.06       6.33
1270.31      11.85       7.43
1274.67       6.95      15.01
1281.00       6.63      19.47
1284.00       3.85      20.19
1289.67       4.57      19.93
1298.00       4.82      18.33
1305.67       9.13      11.20
1315.16      10.71       8.33
1330.95      13.10       5.36
1338.13      13.30       6.11
1343.32      11.49       5.94
1350.55      14.23       5.26
1357.77      15.68       1.69
1385.61      14.02       5.86
1392.83      12.90       5.28
1401.20      10.78       4.92
1408.13      11.90       2.43
1415.07      13.93       7.39
1422.00      17.51       1.64
1429.20      10.31       5.45
1441.51       8.12       5.80
1452.37      10.14       2.76
1460.33       8.97       4.16
1468.58      13.45       3.91
1475.44       9.36       2.17
1487.72      10.56       1.15
1500.48       6.96       1.17
1509.25       7.89       1.93
1516.75       8.81       2.63
1522.50       8.46       1.62
1531.25       7.73       1.88
1540.71      11.38       0.75
1545.05      11.54       0.60
1548.48      11.63       0.69
1551.73      11.64       0.76
1555.34       8.70       2.07
1558.77      10.76       2.22
1562.39       9.56       2.32
1565.64      12.59       2.25
1572.94       9.88       3.22
1580.69       7.33       2.18
1587.05       8.70       1.72
1588.61       8.42       0.59
1594.54       9.29       1.12
1599.60       8.56       1.11
1604.65       6.79       1.24
1608.97       9.75       1.02
1617.50       9.90       0.81
1621.76       8.55       1.04
1627.50       9.25       0.96
1635.00       8.55       0.54
1641.39       8.32       2.41
1649.49       7.70       0.55
