Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction
LAST UPDATE: 4/2006 (Original receipt by WDC Paleo)
CONTRIBUTOR: Matthew W. Schmidt, University of California Davis
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2006-038


SUGGESTED DATA CITATION: Schmidt, M.W., et al. 2006. 
Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2006-038.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: Schmidt, M.W., M.J. Vautravers, and H.J. Spero. 2006.
Western Caribbean sea surface temperatures during the late Quaternary.  
Geochemistry Geophysics Geosystems, vol. 7, no. 2, Q02P10.
doi:10.1029/2005GC000957.
 
ABSTRACT: 
Mg/Ca ratios in the planktonic foraminifera Globigerinoides ruber from 
Colombian Basin core ODP 999A suggest that Caribbean sea surface temperatures 
(SSTs) were from 2.1 to 2.7°C colder than the present during the last three 
glacial maximums. In comparison, faunal derived SSTs (SIMMAX method) show that 
August SSTs in the Caribbean varied <2°C over the past 360 kyr, whereas 
February SSTs varied between 21.0°C and 26.5°C. Changes in the Mg/Ca-SST record 
contain a strong 23 kyr periodicity, suggesting the Mg/Ca-SST record reflects 
a warm season weighted SST average rather than an annual mean SST. Combining 
several dissolution indices, we identify brief periods of decreased carbonate 
preservation in our record and show that MIS 11 stands out as the most intensive 
dissolution cycle in the Caribbean over the last 460 kyr. Comparison of Caribbean 
SST change with a similar estimate of tropical SST variability in the western 
Pacific over the past 360 kyr reveals shifts in the east-west tropical SST gradient 
that are coeval with glacial-interglacial climate change and consistent both with 
a southward migration of the glacial ITCZ and with a glacial El Niño-like mode of 
tropical circulation.


GEOGRAPHIC REGION: Western Caribbean, Colombian Basin 
PERIOD OF RECORD: 475 - 3 KYrBP


DESCRIPTION: 
Western Caribbbean SST's derived from OPD999A Globigerinoides ruber Mg/Ca d18O ratios.  
Caribbean sea surface temperatures (SSTs) were from 2.1 to 2.7°C colder than the present 
during the last three glacial maximums. In comparison, faunal derived SSTs (SIMMAX method) 
show that August SSTs in the Caribbean varied <2°C over the past 360 kyr, whereas February 
SSTs varied between 21.0°C and 26.5°C.  

Core ODP 999A:  12 deg. 45' N, 78 deg. 44' W, 2827m. depth.



DATA:
1. ODP 999A isotope, Mg/Ca, and SST data

 Depth       Age       d18Oc      Mg/Ca      SST(oC)
   436     105.06      -1.33      3.662      26.88
   441     106.24      -1.10      3.477      26.31
   453     109.06      -1.29      3.406      26.08
   457     110.00      -1.14      3.584      26.64
   461     110.98      -1.31      3.409      26.09
   465     111.96      -1.34      3.601      26.70
   470     113.18      -1.33      3.477      26.31
   476     114.65      -1.53      3.593      26.67
   481     115.88      -1.70      3.722      27.06
   488     117.59      -1.85      3.931      27.67
   493     118.82      -1.96      3.746      27.13
   498     120.04      -1.88      4.053      28.01
   503     121.44      -1.74      4.107      28.15
   506     123.89      -2.07      4.453      29.05
   511     126.10      -1.83      4.311      28.69
   517     128.60      -1.68      4.655      29.55
   522     130.75      -1.76      4.516      29.21
   526     131.80      -1.51      4.397      28.91
   531     132.80      -0.89      3.884      27.53
   537     133.20      -0.55      4.014      27.90
   542     135.10      -0.54      3.813      27.33
   547     135.90      -0.24      3.319      25.79
   552     136.70      -0.58      3.518      26.43
   556     137.30      -0.18      3.318      25.79
   561     138.20      -0.13      3.264      25.60
   566     139.70      -0.27      3.391      26.03
   571     140.20      -0.47      3.643      26.82
   576     141.70      -0.61      3.475      26.30
   581     142.90      -0.56      3.616      26.74
   586     144.33      -0.40      3.808      27.32
   591     145.75      -0.30      3.925      27.65
   596     147.18      -0.61      4.011      27.89
   603     149.18      -0.57      3.845      27.42
   606     150.04      -0.56      4.070      28.06
   611     151.46      -0.44      3.703      27.01
   616     152.89      -0.58      3.850      27.44
   621     154.32      -0.53      3.592      26.67
   626     155.74      -0.86
   631     157.17      -0.78      3.550      26.54
   638     159.17      -0.71      3.624      26.77
   643     160.60      -0.65      3.506      26.40
   646     161.45      -0.73      3.656      26.86
   651     162.88      -0.53
   656     164.31      -0.68      3.572      26.61
   661     165.73      -0.75      3.501      26.38
   666     167.16      -0.78      3.198      25.38
   671     168.59      -0.88      3.222      25.46
   676     170.03      -0.76      3.535      26.49
   681     171.46      -0.74      3.416      26.11
   686     172.90      -0.83      3.426      26.14
   691     174.33      -0.78      3.617      26.74
   696     175.76      -0.80      3.729      27.08
   699     176.62      -0.81      3.447      26.21
   703     177.77      -0.75      3.326      25.81
   706     178.63      -0.77      3.522      26.45
   711     180.07      -0.65      3.606      26.71
   716     181.50      -0.55      3.182      25.32
   721     182.95      -0.81      3.665      26.89
   726     184.40      -0.82      3.588      26.65
   731     185.85      -1.22      3.475      26.30
   739     188.17      -1.23      3.602      26.70
   744     189.62      -1.33      3.327      25.81
   746     190.20      -1.25      3.301      25.73
   751     191.65      -1.36      3.494      26.36
   755     192.81      -1.22      3.419      26.12
   758     193.68      -1.28      3.206      25.40
   763     195.13      -1.25      3.145      25.19
   763     196.00      -1.77      3.686      26.95
   766     197.17      -1.48      4.108      28.16
   771     199.13      -1.40      4.299      28.66
   776     201.09      -1.43      3.866      27.48
   781     203.04      -1.23      3.330      25.83
   786     205.00      -1.14      3.454      26.23
   791     207.88      -1.18      3.575      26.62
   798     211.90      -1.42      3.342      25.87
   803     214.78      -1.26      3.609      26.72
   806     216.50      -1.31      3.615      26.74
   811     219.38      -1.40      3.894      27.56
   816     222.25      -1.46      3.872      27.50
   821     225.13      -1.36      4.060      28.03
   826     228.00      -0.80      3.519      26.44
   831     228.50      -0.96      3.629      26.78
   836     229.00      -1.04      3.584      26.64
   841     229.50      -0.97      3.375      25.97
   846     230.00      -1.17      3.227      25.48
   851     230.50      -1.16      3.491      26.35
   856     231.00      -1.05      3.490      26.35
   861     232.75      -1.27      3.361      25.93
   866     234.50      -1.34      3.291      25.70
   871     236.25      -1.31      3.229      25.48
   876     238.00      -1.52      3.228      25.48
