# NOAA Paleoclimatology Program - Paleocean Site Data
# o806b-mm-tab.txt
# Complete Data
# File Created: 19-Mar-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Martin Medina-Elizalde
# Core/Site:      ODP806B
# Latitude:       0.19.04N	( 0.31778)
# Longitude:      159.21.25E	( 159.3569)
# Water Depth(m): 2520
#
# Publications:
#   Medina-Elizalde, M., D.W. Lea, and M.S. Fantle. 2008. Implications of seawater
#     Mg/Ca variability for Plio-Pleistocene tropical climate reconstruction. Earth
#     and Planetary Science Letters, 269(3-4), 585-595.
#------------------
#
# Description & Notes:
#   Plio-Pleistocene Seawater Mg/Ca Variability Data and SST reconstruction
#   All Mg/Ca data from Wara et al., 2005, Science
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Mg/Ca-g.sac   Magnesium/Calcium ratio (Globigerinoides sacculifer) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#             sst-mg/ca.adj Sea surface temperature from Mg/Ca adjusted for Mg/Ca variation
#
# CORE: ODP806B
depth	yrBP 	Mg/Ca-g.sac	sst-mg/ca	sst-mg/ca.adj	
-999	1608000	3.833	28.885	30.015	
-999	1620000	3.845	28.92	30.065	
-999	1632000	3.9	29.076	30.236	
-999	1644000	3.643	28.319	29.492	
-999	1656000	3.6	28.187	29.374	
-999	1668000	3.52	27.937	29.136	
-999	1680000	3.314	27.268	28.479	
-999	1692000	2.929	25.894	27.117	
-999	1704000	3.162	26.744	27.979	
-999	1716000	3.257	27.075	28.322	
-999	1728000	3.1	26.526	27.784	
-999	1740000	3.1	26.526	27.795	
-999	1752000	3.357	27.411	28.692	
-999	1764000	3.477	27.801	29.09	
-999	1776000	3.179	26.804	28.102	
-999	1788000	2.838	25.546	26.854	
-999	1800000	2.977	26.075	27.392	
-999	1812000	3.264	27.099	28.425	
-999	1824000	3.177	26.798	28.132	
-999	1836000	3.143	26.678	28.021	
-999	1848000	3.4	27.552	28.904	
-999	1860000	3.308	27.246	28.607	
-999	1872000	3.221	26.953	28.322	
-999	1884000	3.338	27.349	28.728	
-999	1896000	3.4	27.552	28.939	
-999	1908000	3.492	27.85	29.246	
-999	1920000	3.408	27.577	28.982	
-999	1932000	3.1	26.526	27.94	
-999	1944000	3.11	26.561	27.985	
-999	1956000	3.17	26.774	28.206	
-999	1968000	3.23	26.982	28.423	
-999	1980000	3.29	27.187	28.637	
-999	1992000	3.3	27.22	28.679	
-999	2004000	3.3	27.22	28.682	
-999	2016000	3.3	27.22	28.673	
-999	2028000	3.153	26.714	28.157	
-999	2040000	2.976	26.074	27.508	
-999	2052000	2.8	25.395	26.819	
-999	2064000	3.12	26.597	28.012	
-999	2076000	3.306	27.24	28.646	
-999	2088000	3.447	27.705	29.101	
-999	2100000	3.588	28.151	29.538	
-999	2112000	3.233	26.993	28.371	
-999	2124000	3.1	26.526	27.894	
-999	2136000	3.1	26.526	27.885	
-999	2148000	3.1	26.526	27.875	
-999	2160000	3.12	26.598	27.939	
-999	2172000	3.145	26.685	28.016	
-999	2184000	3.169	26.772	28.093	
-999	2196000	3.194	26.857	28.169	
-999	2208000	3.2	26.878	28.181	
-999	2220000	3.267	27.107	28.401	
-999	2232000	3.282	27.159	28.442	
-999	2244000	3.033	26.284	27.558	
-999	2256000	2.93	25.899	27.156	
-999	2268000	3.425	27.633	28.865	
-999	2280000	3.1	26.526	27.732	
-999	2292000	3.188	26.835	28.016	
-999	2304000	3.4	27.552	28.709	
-999	2316000	3.6	28.187	29.318	
-999	2328000	3.567	28.084	29.19	
-999	2340000	3.1	26.526	27.606	
-999	2352000	3.385	27.502	28.558	
-999	2364000	3.4	27.552	28.582	
-999	2376000	3.4	27.552	28.557	
-999	2388000	3.218	26.941	27.921	
-999	2400000	3.275	27.136	28.091	
-999	2412000	3.34	27.354	28.283	
-999	2424000	3.66	28.371	29.275	
-999	2436000	3.175	26.791	27.67	
-999	2448000	3.1	26.526	27.379	
-999	2460000	3.48	27.81	28.638	
-999	2472000	3.2	26.878	27.681	
-999	2484000	3.2	26.878	27.655	
-999	2496000	3.538	27.992	28.744	
-999	2508000	3.45	27.714	28.462	
-999	2520000	3.133	26.644	27.398	
-999	2532000	2.9	25.785	26.544	
-999	2544000	3.062	26.387	27.152	
-999	2556000	3.362	27.426	28.197	
-999	2568000	2.9	25.785	26.562	
