# Eastern Equatorial Pacific SST Reconstrucition during the last 1.5 Million Years
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20630
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/dyez2016/dyez2016-sst-gradient.txt
#
# Archive: Paleoceanography
#
# Parameter_Keywords: biomarkers, oxygen isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2017-02-15
#---------------------------------------
# Title
#    Study_Name: Eastern Equatorial Pacific SST Reconstrucition during the last 1.5 Million Years
#---------------------------------------
# Investigators
#      Investigators: Dyez, Kelsey; Ravelo, A. Christina; Mix, Alan. C.
#---------------------------------------
# Description and Notes
#        Description: Alkenone-based sea surface temperatures and age model based on benthic oxygen isotopes. Study covers 1.5 Ma to present.
#---------------------------------------
# Publication
# Authors: Dyez, K.A., A.C. Ravelo, and A.C. Mix
# Published_Date_or_Year: 2016
# Published_Title: Evaluating drivers of Pleistocene eastern tropical Pacific sea surface temperature
# Journal_Name: Paleoceanography
# Volume: 31
# Edition: 
# Issue: 
# Pages: 
# Report Number: 
# DOI: 10.1002/2015PA002873
# Online_Resource: 
# Full_Citation: 
# Abstract: Sea surface temperature (SST) of the eastern equatorial Pacific is a key component of tropical oceanic and atmospheric circulation with global teleconnections. Forcing factors such as local and high-latitude insolation changes, ice sheet size and albedo feedbacks, and greenhouse gas radiation have been proposed as controls of long-term eastern tropical Pacific SST, though the precise role each mechanism plays is not fully known on glacial-interglacial or longer timescales. Here proposed mechanisms are evaluated by comparing orbital-scale records of eastern Pacific SST with forcing variability over the past 1.5 Ma. The primary SST records are a compilation of new and existing data from Ocean Drilling Program Site 1239 at the northeastern margin of the modern eastern Pacific cold tongue and Site 846 SST within the cold tongue. Using time series analysis, we test previously proposed mechanisms for control of long-term tropical SST change and SST gradients in the eastern Pacific. We find that within statistical uncertainties, in the precession band eastern Pacific SST is consistent with direct forcing by equatorial radiation changes in the tropical cold season (summer-fall) rather than inversely correlated as previously suggested. In the obliquity band high-latitude solar forcing leads or is in phase with eastern equatorial Pacific SST, while in the eccentricity band atmospheric greenhouse gas concentrations are closely associated with cold tongue SST. Pleistocene eastern Pacific SST gradients indicate that the gradient on the northern margin of the cold tongue strengthened through the mid-Pleistocene transition, a result compatible with the cold tongue becoming more focused at ~900–650 ka
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Consortium for Ocean Leadership
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation
#    Grant: OCE-623419
#---------------------------------------
# Site Information
# Site_Name: ODP 1239
# Location: Eastern Equatorial Pacific
# Country: 
# Northernmost_Latitude: -0.672
# Southernmost_Latitude: -0.672
# Easternmost_Longitude: -82.081
# Westernmost_Longitude: -82.081
# Elevation: -1414
#---------------------------------------
# Data_Collection
#   Collection_Name: ODP1239-ODP846 SST Dyez16
#   First_Year: 1500000
#   Last_Year: 0
#   Time_Unit: cal yr BP
#   Core_Length: 
#   Notes: SST Difference from ODP 846 (3.1 S, 90.82 W, 3296m)
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_ka-inter	age,,,kiloyears before 1950AD,,paleoceanography,interpolated to 1ky ,,N
## SST-Uk37-1239	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,from ODP1239,,N
## SST-Uk37-846	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,from ODP846,,N
## SST-Uk37-diff	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,difference between ODP1239 and ODP846,,N
## SST-Uk37-diff-100	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,difference between ODP1239 and ODP846,100-kyr running mean,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
age_ka-inter	SST-Uk37-1239	SST-Uk37-846	SST-Uk37-diff	SST-Uk37-diff-100	
350	24.14	20.78	3.36	3.27	
351	23.95	20.65	3.29	3.26	
352	23.88	20.63	3.25	3.25	
353	23.72	20.67	3.05	3.24	
354	23.54	20.36	3.19	3.22	
355	23.65	20.13	3.52	3.21	
356	23.79	20.19	3.59	3.19	
357	23.79	20.24	3.55	3.17	
358	23.73	20.89	2.84	3.14	
359	23.56	21.35	2.21	3.12	
360	23.48	20.98	2.50	3.11	
361	23.47	20.60	2.87	3.09	
362	23.47	20.61	2.86	3.08	
363	23.46	20.75	2.71	3.06	
364	23.48	20.89	2.59	3.05	
365	23.60	20.98	2.62	3.04	
366	23.87	20.94	2.93	3.03	
367	23.96	20.89	3.08	3.03	
368	23.98	20.84	3.14	3.02	
369	23.97	20.83	3.14	3.01	
370	24.00	20.94	3.07	3.00	
371	24.37	21.04	3.33	2.99	
372	24.37	21.15	3.22	2.97	
373	24.51	21.18	3.32	2.96	
374	24.76	21.15	3.61	2.95	
375	24.86	21.12	3.74	2.95	
376	24.50	21.25	3.26	2.95	
377	24.59	21.54	3.05	2.94	
378	24.90	21.85	3.04	2.94	
379	25.42	22.27	3.15	2.94	
380	25.46	22.70	2.76	2.94	
381	25.32	23.00	2.31	2.94	
382	25.27	23.04	2.22	2.94	
383	25.47	23.08	2.39	2.94	
384	25.52	23.12	2.40	2.93	
385	25.47	23.18	2.29	2.91	
386	25.36	23.24	2.12	2.90	
387	25.40	23.27	2.13	2.87	
388	25.54	23.06	2.49	2.87	
389	25.65	22.79	2.86	2.87	
390	25.73	22.52	3.22	2.88	
391	25.43	22.31	3.13	2.89	
392	24.98	22.27	2.71	2.89	
393	24.91	22.25	2.66	2.88	
394	25.03	22.23	2.80	2.88	
395	25.31	22.21	3.10	2.88	
396	25.55	22.22	3.32	2.87	
397	25.75	22.26	3.49	2.87	
398	25.96	22.31	3.65	2.87	
399	24.61	22.54	2.07	2.87	
400	25.18	22.81	2.37	2.88	
401	26.11	23.06	3.05	2.88	
402	26.16	23.22	2.93	2.89	
403	25.92	23.37	2.56	2.89	
404	25.97	23.76	2.21	2.89	
405	26.26	23.82	2.44	2.90	
406	25.27	23.74	1.53	2.90	
407	25.56	23.91	1.65	2.90	
408	25.74	23.88	1.86	2.89	
409	25.73	23.68	2.05	2.89	
410	25.76	23.40	2.36	2.89	
411	25.95	23.25	2.70	2.90	
412	26.20	23.18	3.02	2.91	
413	26.01	23.13	2.88	2.91	
414	26.10	23.29	2.81	2.92	
415	26.40	23.37	3.03	2.93	
416	26.46	23.31	3.15	2.94	
417	26.30	23.23	3.07	2.95	
418	26.30	23.24	3.06	2.95	
419	25.90	23.29	2.61	2.95	
420	25.73	23.30	2.43	2.96	
421	25.75	23.30	2.45	2.96	
422	25.81	23.26	2.55	2.97	
423	25.26	23.02	2.24	2.97	
424	25.28	22.74	2.54	2.97	
425	25.19	22.45	2.73	2.97	
426	24.73	22.18	2.56	2.95	
427	24.33	21.93	2.40	2.95	
428	24.13	21.68	2.46	2.94	
429	24.16	21.41	2.75	2.94	
430	24.28	21.13	3.15	2.94	
431	24.04	20.84	3.20	2.95	
432	23.57	20.74	2.83	2.95	
433	23.91	20.89	3.01	2.96	
434	23.85	21.05	2.80	2.96	
435	23.78	21.08	2.71	2.97	
436	23.72	21.04	2.67	2.98	
437	23.65	21.00	2.65	2.98	
438	24.07	20.91	3.16	2.99	
439	24.24	20.80	3.44	3.00	
440	24.29	20.70	3.59	3.00	
441	24.24	20.66	3.58	2.99	
442	23.88	20.62	3.26	2.99	
443	23.69	20.62	3.07	3.00	
444	24.08	20.67	3.41	3.00	
445	24.15	20.77	3.38	3.00	
446	24.19	20.97	3.22	3.01	
447	24.19	21.16	3.04	3.01	
448	24.15	21.12	3.03	3.01	
449	24.58	21.03	3.55	2.99	
450	24.99	20.97	4.01	3.00	
451	24.91	20.93	3.99	3.01	
452	24.81	20.90	3.91	3.01	
453	24.50	20.90	3.60	3.01	
454	24.32	20.95	3.37	3.02	
455	24.60	21.11	3.50	3.04	
456	24.76	21.18	3.58	3.05	
457	24.56	21.13	3.43	3.07	
458	24.32	21.21	3.12	3.09	
459	23.85	21.41	2.44	3.10	
460	24.04	21.33	2.71	3.12	
461	24.37	21.19	3.17	3.13	
462	24.57	21.02	3.55	3.13	
463	24.41	20.92	3.48	3.13	
464	24.37	20.97	3.39	3.13	
465	24.77	21.03	3.74	3.13	
466	24.85	21.09	3.76	3.12	
467	24.91	21.24	3.67	3.12	
468	24.85	21.37	3.48	3.11	
469	24.47	21.28	3.19	3.11	
470	24.67	21.20	3.46	3.10	
471	24.95	21.20	3.75	3.10	
472	25.02	21.22	3.80	3.09	
473	25.08	21.28	3.80	3.09	
474	24.95	21.62	3.33	3.09	
475	25.09	22.13	2.96	3.09	
476	24.78	22.41	2.37	3.09	
477	24.88	22.55	2.34	3.09	
478	24.93	22.36	2.57	3.10	
479	25.39	22.02	3.37	3.12	
480	25.28	22.03	3.25	3.12	
481	25.21	22.22	2.99	3.13	
482	25.40	22.41	2.99	3.13	
483	25.57	22.60	2.96	3.15	
484	25.61	22.81	2.79	3.16	
485	25.73	23.01	2.72	3.16	
486	26.26	23.17	3.09	3.17	
487	26.32	23.32	2.99	3.18	
488	26.29	23.44	2.86	3.18	
489	26.47	23.51	2.96	3.18	
490	26.56	23.58	2.98	3.18	
491	26.40	23.55	2.85	3.17	
492	26.47	23.48	2.98	3.16	
493	26.48	23.41	3.07	3.16	
494	26.33	23.25	3.09	3.16	
495	26.24	23.05	3.19	3.15	
496	26.51	22.86	3.65	3.15	
497	26.30	22.84	3.46	3.15	
498	25.79	22.91	2.89	3.15	
499	25.52	22.97	2.55	3.15	
500	25.97	22.99	2.98	3.15	
501	25.77	22.93	2.84	3.14	
502	25.96	22.86	3.10	3.13	
503	25.56	22.78	2.78	3.13	
504	26.19	22.67	3.53	3.13	
505	26.72	22.55	4.17	3.13	
506	26.60	22.44	4.17	3.13	
507	25.96	22.49	3.47	3.14	
508	25.56	22.50	3.06	3.14	
509	26.27	22.50	3.77	3.15	
510	26.12	22.43	3.68	3.17	
511	25.70	22.37	3.33	3.18	
512	25.29	22.33	2.96	3.20	
513	24.91	22.30	2.61	3.21	
514	25.05	22.34	2.71	3.22	
515	25.10	22.42	2.68	3.22	
516	25.21	22.49	2.72	3.22	
517	25.07	22.51	2.56	3.22	
518	25.16	22.55	2.60	3.22	
519	25.10	22.61	2.49	3.22	
520	24.92	22.77	2.15	3.22	
521	25.05	22.98	2.06	3.21	
522	24.98	23.12	1.86	3.20	
523	24.82	22.76	2.06	3.20	
524	24.61	22.63	1.97	3.19	
525	24.93	22.39	2.53	3.18	
526	25.01	22.10	2.91	3.18	
527	25.02	21.81	3.22	3.19	
528	24.84	21.46	3.38	3.18	
529	24.61	20.99	3.62	3.18	
530	24.39	20.74	3.65	3.16	
531	24.17	20.64	3.53	3.15	
532	24.43	20.66	3.77	3.14	
533	24.89	20.75	4.14	3.13	
534	24.75	20.84	3.91	3.12	
535	24.62	20.93	3.69	3.13	
536	24.48	21.00	3.48	3.13	
537	24.34	21.07	3.27	3.14	
538	24.27	21.14	3.13	3.14	
539	24.28	21.21	3.07	3.15	
540	24.29	21.28	3.01	3.15	
541	24.30	21.32	2.97	3.16	
542	24.30	21.35	2.95	3.16	
543	24.28	21.38	2.90	3.17	
544	24.23	21.41	2.82	3.17	
545	24.28	21.44	2.84	3.17	
546	24.34	21.47	2.87	3.17	
547	24.40	21.50	2.90	3.16	
548	24.93	21.54	3.39	3.15	
549	24.83	21.58	3.25	3.14	
550	24.89	21.62	3.27	3.14	
551	24.72	21.66	3.06	3.15	
552	25.19	21.70	3.50	3.15	
553	25.31	21.74	3.57	3.16	
554	25.38	21.78	3.60	3.17	
555	25.47	21.78	3.69	3.17	
556	25.38	21.74	3.64	3.16	
557	25.46	21.70	3.76	3.16	
558	25.77	21.66	4.11	3.16	
559	25.77	21.62	4.14	3.17	
560	25.67	21.62	4.05	3.18	
561	25.90	21.68	4.22	3.18	
562	26.21	21.74	4.48	3.19	
563	26.34	21.79	4.55	3.20	
564	26.26	21.85	4.41	3.21	
565	26.23	21.99	4.24	3.23	
566	26.14	22.46	3.68	3.24	
567	25.93	22.39	3.53	3.25	
568	25.52	22.15	3.36	3.26	
569	25.37	22.24	3.13	3.28	
570	25.52	22.37	3.15	3.29	
571	25.50	22.44	3.07	3.30	
572	25.53	22.48	3.05	3.31	
573	25.54	22.55	2.99	3.32	
574	25.59	22.64	2.95	3.33	
575	25.77	22.78	2.99	3.35	
576	25.95	23.04	2.91	3.36	
577	25.90	23.31	2.59	3.36	
578	25.73	23.55	2.17	3.35	
579	25.62	23.63	2.00	3.35	
580	25.30	23.66	1.65	3.34	
581	25.36	23.69	1.68	3.34	
582	25.43	23.51	1.92	3.34	
583	25.33	23.13	2.20	3.34	
584	25.44	22.75	2.68	3.33	
585	25.54	22.40	3.14	3.32	
586	25.75	22.39	3.35	3.32	
587	25.99	22.51	3.48	3.33	
588	25.82	22.63	3.19	3.33	
589	26.04	22.65	3.39	3.34	
590	26.02	22.52	3.50	3.35	
591	25.82	22.39	3.43	3.35	
592	25.85	22.26	3.59	3.36	
593	25.97	22.37	3.60	3.37	
594	26.10	22.72	3.38	3.38	
595	26.21	23.06	3.15	3.39	
596	26.05	23.28	2.76	3.40	
597	25.78	23.26	2.51	3.41	
598	25.50	23.23	2.27	3.42	
599	25.65	23.22	2.43	3.43	
600	25.98	23.23	2.75	3.43	
601	26.28	23.05	3.22	3.43	
602	26.36	22.88	3.48	3.43	
603	26.41	22.73	3.67	3.43	
604	26.49	22.80	3.69	3.44	
605	26.58	22.90	3.68	3.44	
606	26.70	23.00	3.70	3.43	
607	26.66	23.07	3.59	3.43	
608	26.52	22.97	3.55	3.42	
609	27.09	22.84	4.25	3.41	
610	27.14	22.71	4.43	3.40	
611	27.15	22.67	4.48	3.40	
612	27.13	22.92	4.21	3.39	
613	27.05	23.18	3.86	3.37	
614	27.21	23.43	3.79	3.36	
615	27.17	23.34	3.83	3.35	
616	27.05	23.14	3.91	3.34	
617	26.91	22.94	3.97	3.33	
618	26.73	22.73	4.00	3.32	
619	26.56	22.58	3.99	3.32	
620	26.42	22.77	3.65	3.32	
621	26.34	22.98	3.35	3.32	
622	26.35	23.19	3.15	3.32	
623	26.22	23.15	3.07	3.32	
624	26.02	22.84	3.18	3.32	
625	25.91	22.54	3.38	3.32	
626	25.65	22.24	3.40	3.32	
627	25.01	22.06	2.95	3.33	
628	24.66	21.90	2.76	3.35	
629	24.59	21.75	2.84	3.37	
630	24.62	21.65	2.97	3.38	
631	24.92	21.58	3.34	3.40	
632	25.19	21.52	3.68	3.42	
633	25.16	21.47	3.69	3.43	
634	24.95	21.44	3.52	3.43	
635	24.30	21.39	2.90	3.43	
636	25.12	21.32	3.80	3.43	
637	25.20	21.23	3.97	3.43	
638	25.06	21.23	3.83	3.43	
639	25.18	21.27	3.92	3.44	
640	25.15	21.30	3.85	3.44	
641	24.49	21.30	3.19	3.45	
642	25.23	21.30	3.93	3.45	
643	25.44	21.33	4.11	3.45	
644	25.41	21.38	4.03	3.46	
645	25.16	21.43	3.73	3.46	
646	25.00	21.48	3.52	3.47	
647	25.35	21.50	3.85	3.47	
648	25.68	21.50	4.18	3.48	
649	25.60	21.50	4.10	3.49	
650	25.33	21.53	3.81	3.49	
651	24.62	21.64	2.98	3.50	
652	24.85	21.63	3.22	3.50	
653	25.25	21.57	3.68	3.50	
654	25.55	21.89	3.66	3.50	
655	25.57	22.02	3.55	3.50	
656	25.23	21.85	3.38	3.50	
657	25.27	22.01	3.26	3.49	
658	25.56	22.24	3.32	3.49	
659	25.57	22.45	3.12	3.49	
660	25.57	22.35	3.21	3.48	
661	25.60	22.16	3.44	3.46	
662	25.37	22.29	3.08	3.45	
663	25.19	22.44	2.76	3.44	
664	25.56	22.48	3.08	3.43	
665	25.73	22.37	3.36	3.42	
666	25.86	22.61	3.25	3.40	
667	25.89	22.80	3.09	3.39	
668	25.91	22.90	3.01	3.37	
669	25.95	22.88	3.06	3.36	
670	25.97	22.74	3.23	3.34	
671	25.93	22.81	3.12	3.33	
672	25.91	22.87	3.04	3.32	
673	26.05	22.91	3.14	3.31	
674	25.71	22.98	2.72	3.30	
675	25.91	23.06	2.84	3.28	
676	26.78	23.25	3.52	3.27	
677	27.24	23.42	3.82	3.26	
678	27.24	23.18	4.05	3.25	
679	27.18	23.05	4.13	3.24	
680	26.35	23.16	3.19	3.23	
681	26.71	23.10	3.60	3.22	
682	26.66	23.15	3.51	3.20	
683	26.15	23.33	2.83	3.18	
684	26.50	23.51	2.98	3.16	
685	26.23	23.44	2.79	3.15	
686	25.97	23.12	2.86	3.14	
687	26.24	22.81	3.43	3.12	
688	26.43	22.78	3.65	3.10	
689	26.29	22.90	3.40	3.08	
690	27.02	23.01	4.01	3.07	
691	27.12	23.13	3.99	3.04	
692	27.20	23.24	3.95	3.03	
693	26.87	23.31	3.56	3.00	
694	27.41	23.33	4.09	2.97	
695	27.24	23.35	3.89	2.95	
696	27.02	23.37	3.65	2.93	
697	26.82	23.39	3.44	2.91	
698	26.69	23.56	3.12	2.89	
699	26.61	23.67	2.94	2.88	
700	26.49	23.62	2.87	2.87	
701	26.99	23.58	3.41	2.87	
702	27.23	23.53	3.70	2.88	
703	26.84	23.50	3.35	2.89	
704	26.88	23.48	3.40	2.90	
705	27.21	23.46	3.75	2.91	
706	26.97	23.44	3.53	2.92	
707	26.80	23.43	3.38	2.93	
708	26.66	23.41	3.25	2.94	
709	26.56	23.32	3.23	2.95	
710	26.25	23.17	3.08	2.96	
711	26.18	23.02	3.16	2.97	
712	25.94	22.87	3.07	2.98	
713	25.68	22.72	2.96	2.99	
714	25.29	22.56	2.72	2.99	
715	25.24	22.41	2.83	3.00	
716	24.65	22.26	2.39	2.99	
717	24.48	22.11	2.37	2.99	
718	24.51	21.95	2.55	2.99	
719	24.47	21.83	2.63	2.99	
720	24.43	21.93	2.50	2.99	
721	24.38	21.94	2.45	2.99	
722	24.40	21.98	2.43	3.00	
723	24.50	22.73	1.77	3.01	
724	24.59	22.81	1.78	3.01	
725	24.68	22.72	1.96	3.01	
726	24.75	22.78	1.97	3.00	
727	24.78	22.86	1.92	2.99	
728	24.81	22.94	1.86	2.99	
729	24.84	22.98	1.86	2.98	
730	24.78	22.92	1.86	2.97	
731	24.65	22.85	1.80	2.95	
732	24.53	22.79	1.74	2.93	
733	24.44	22.73	1.72	2.91	
734	24.51	22.66	1.85	2.90	
735	24.59	22.60	1.99	2.88	
736	24.58	22.53	2.05	2.87	
737	24.55	22.47	2.08	2.87	
738	24.53	22.46	2.07	2.85	
739	24.57	22.59	1.98	2.84	
740	24.58	22.57	2.01	2.83	
741	24.29	22.55	1.74	2.82	
742	23.89	22.54	1.35	2.82	
743	23.71	22.52	1.19	2.81	
744	23.86	22.50	1.37	2.80	
745	24.03	22.46	1.57	2.79	
746	24.20	22.42	1.78	2.78	
747	24.38	22.45	1.93	2.78	
748	24.55	22.55	2.00	2.77	
749	24.73	22.09	2.65	2.77	
750	24.90	21.40	3.50	2.77	
751	25.05	21.21	3.84	2.76	
752	25.20	21.12	4.08	2.75	
753	25.34	21.16	4.19	2.73	
754	25.49	21.20	4.29	2.71	
755	25.64	21.20	4.44	2.70	
756	25.78	21.20	4.58	2.68	
757	25.80	21.23	4.58	2.66	
758	25.78	21.30	4.48	2.65	
759	25.76	21.37	4.39	2.64	
760	25.74	21.47	4.27	2.63	
761	25.73	21.59	4.13	2.62	
762	25.71	21.72	3.99	2.61	
763	25.70	21.87	3.83	2.59	
764	25.70	22.09	3.61	2.58	
765	25.68	22.31	3.37	2.57	
766	25.60	22.50	3.10	2.56	
767	25.52	22.67	2.85	2.56	
768	25.65	22.81	2.84	2.55	
769	25.99	22.90	3.08	2.55	
770	26.27	22.97	3.30	2.55	
771	26.20	22.84	3.36	2.55	
772	26.47	22.67	3.80	2.55	
773	26.48	22.72	3.76	2.55	
774	26.01	22.92	3.09	2.55	
775	25.89	23.11	2.78	2.56	
776	25.82	23.29	2.53	2.56	
777	25.90	23.23	2.67	2.57	
778	25.99	22.83	3.16	2.58	
779	25.87	22.60	3.27	2.59	
780	25.70	22.90	2.80	2.60	
781	24.95	23.21	1.74	2.61	
782	24.75	23.44	1.31	2.63	
783	25.20	23.62	1.58	2.64	
784	24.74	23.33	1.41	2.65	
785	24.12	22.89	1.24	2.66	
786	24.20	22.44	1.76	2.67	
787	24.40	22.00	2.40	2.67	
788	23.90	21.56	2.34	2.68	
789	23.32	21.16	2.16	2.68	
790	23.57	20.90	2.67	2.68	
791	23.69	20.57	3.12	2.69	
792	23.40	20.20	3.20	2.69	
793	23.28	20.18	3.10	2.70	
794	23.44	20.27	3.17	2.71	
795	23.45	20.37	3.08	2.72	
796	23.30	20.46	2.84	2.72	
797	23.48	20.53	2.95	2.72	
798	23.87	20.59	3.28	2.73	
799	23.79	20.83	2.96	2.73	
800	23.54	21.16	2.38	2.73	
801	23.78	21.39	2.39	2.71	
802	23.88	21.58	2.30	2.69	
803	23.17	21.65	1.52	2.67	
804	23.14	21.70	1.44	2.65	
805	23.66	21.81	1.85	2.62	
806	23.73	21.93	1.80	2.60	
807	23.88	22.02	1.86	2.57	
808	24.45	22.06	2.39	2.53	
809	24.51	22.11	2.40	2.50	
810	24.31	22.23	2.08	2.47	
811	24.32	22.35	1.97	2.44	
812	24.37	22.47	1.90	2.41	
813	24.41	22.58	1.82	2.38	
814	24.43	22.69	1.74	2.36	
815	24.47	22.74	1.73	2.34	
816	24.62	22.78	1.83	2.31	
817	24.62	22.74	1.88	2.28	
818	24.48	22.65	1.84	2.25	
819	24.82	22.55	2.27	2.23	
820	25.14	22.49	2.66	2.20	
821	24.88	22.43	2.44	2.18	
822	24.76	22.38	2.38	2.15	
823	24.79	22.33	2.46	2.12	
824	24.57	22.27	2.30	2.10	
825	24.34	22.22	2.12	2.08	
826	24.49	22.22	2.27	2.06	
827	24.79	22.25	2.54	2.05	
828	25.10	22.29	2.82	2.03	
829	25.16	22.23	2.93	2.01	
830	25.17	22.11	3.06	1.99	
831	25.18	21.98	3.20	1.97	
832	25.19	21.96	3.23	1.97	
833	25.20	22.14	3.07	1.97	
834	25.21	22.32	2.90	1.97	
835	25.22	22.48	2.74	1.97	
836	25.24	22.56	2.68	1.97	
837	25.25	22.62	2.63	1.97	
838	25.26	22.68	2.58	1.97	
839	25.27	22.79	2.48	1.96	
840	25.28	22.93	2.35	1.96	
841	25.29	23.07	2.22	1.95	
842	25.30	23.18	2.12	1.94	
843	25.31	23.17	2.14	1.92	
844	25.32	23.14	2.18	1.91	
845	25.25	23.11	2.14	1.90	
846	24.92	23.02	1.90	1.88	
847	25.03	22.89	2.14	1.87	
848	25.24	22.77	2.48	1.85	
849	25.32	22.65	2.68	1.84	
850	25.14	22.80	2.34	1.82	
851	24.75	23.09	1.66	1.81	
852	25.16	23.37	1.78	1.80	
853	25.64	23.62	2.02	1.79	
854	25.60	23.76	1.84	1.79	
855	25.58	23.89	1.68	1.80	
856	25.63	24.02	1.61	1.80	
857	25.67	24.11	1.56	1.80	
858	25.69	24.20	1.49	1.81	
859	25.66	24.28	1.38	1.82	
860	25.53	24.22	1.31	1.83	
861	25.24	24.14	1.10	1.84	
862	25.04	24.05	0.99	1.86	
863	24.94	23.84	1.10	1.87	
864	24.66	23.35	1.31	1.89	
865	24.23	22.85	1.38	1.90	
866	23.23	22.35	0.88	1.92	
867	22.19	22.05	0.15	1.93	
868	22.09	21.94	0.16	1.93	
869	22.16	21.83	0.33	1.93	
870	22.23	21.74	0.49	1.93	
871	22.29	21.76	0.53	1.93	
872	22.36	21.62	0.74	1.93	
873	22.43	21.46	0.97	1.93	
874	22.49	21.31	1.19	1.93	
875	22.52	21.23	1.29	1.92	
876	22.53	21.31	1.22	1.93	
877	22.53	21.40	1.14	1.92	
878	22.54	21.48	1.06	1.92	
879	22.54	21.50	1.04	1.91	
880	22.55	21.50	1.05	1.90	
881	22.62	21.50	1.12	1.88	
882	22.75	21.50	1.25	1.86	
883	22.87	21.52	1.35	1.84	
884	22.99	21.62	1.37	1.82	
885	23.12	21.66	1.46	1.80	
886	23.24	21.56	1.69	1.78	
887	23.30	21.48	1.82	1.76	
888	23.29	21.43	1.87	1.74	
889	23.29	21.42	1.87	1.73	
890	23.28	21.46	1.82	1.72	
891	23.28	21.50	1.78	1.70	
892	23.27	21.52	1.75	1.69	
893	23.28	21.54	1.74	1.68	
894	23.31	21.56	1.75	1.66	
895	23.33	21.58	1.76	1.65	
896	23.36	21.61	1.75	1.63	
897	23.38	21.81	1.57	1.62	
898	23.41	22.04	1.36	1.61	
899	23.47	22.15	1.32	1.59	
900	23.58	22.00	1.58	1.57	
901	23.69	22.08	1.61	1.56	
902	23.80	22.55	1.25	1.55	
903	23.90	22.51	1.39	1.55	
904	24.01	22.50	1.51	1.54	
905	24.11	22.40	1.71	1.53	
906	24.19	22.14	2.05	1.53	
907	24.26	21.88	2.38	1.53	
908	24.34	21.64	2.70	1.53	
909	24.42	21.43	2.98	1.54	
910	24.49	21.23	3.26	1.55	
911	24.51	21.02	3.48	1.56	
912	24.36	20.85	3.51	1.57	
913	24.21	20.69	3.52	1.58	
914	24.06	20.55	3.51	1.59	
915	23.91	20.64	3.27	1.59	
916	23.76	20.79	2.97	1.59	
917	23.68	20.89	2.79	1.60	
918	23.82	21.64	2.18	1.61	
919	23.97	21.90	2.06	1.62	
920	24.11	22.09	2.02	1.64	
921	24.26	21.90	2.36	1.65	
922	24.41	21.92	2.48	1.67	
923	24.50	22.03	2.48	1.68	
924	24.47	22.13	2.34	1.69	
925	24.42	22.20	2.22	1.70	
926	24.38	22.20	2.18	1.70	
927	24.34	22.20	2.14	1.71	
928	24.29	22.24	2.05	1.72	
929	24.25	22.43	1.82	1.74	
930	24.22	22.64	1.58	1.76	
931	24.19	22.85	1.34	1.77	
932	24.16	23.02	1.14	1.79	
933	24.13	23.10	1.03	1.80	
934	24.10	23.18	0.92	1.81	
935	24.15	23.26	0.89	1.81	
936	24.22	23.31	0.91	1.82	
937	24.30	23.33	0.96	1.82	
938	24.37	23.36	1.01	1.83	
939	24.45	23.38	1.07	1.82	
940	24.52	23.43	1.09	1.82	
941	24.59	23.58	1.02	1.82	
942	24.66	23.72	0.94	1.81	
943	24.73	23.87	0.86	1.81	
944	24.79	24.01	0.78	1.80	
945	24.86	24.16	0.70	1.80	
946	24.94	24.31	0.64	1.80	
947	25.06	24.45	0.60	1.80	
948	25.17	24.58	0.59	1.80	
949	25.28	24.57	0.71	1.81	
950	25.39	24.51	0.88	1.81	
951	25.50	24.45	1.05	1.82	
952	25.61	24.44	1.17	1.82	
953	25.72	24.61	1.10	1.83	
954	25.82	24.81	1.02	1.83	
955	25.93	24.92	1.01	1.84	
956	25.97	24.55	1.42	1.84	
957	25.89	24.10	1.79	1.83	
958	25.80	23.66	2.14	1.83	
959	25.72	23.37	2.35	1.81	
960	25.61	23.11	2.50	1.80	
961	25.40	22.94	2.46	1.78	
962	25.19	23.04	2.15	1.76	
963	24.97	23.15	1.82	1.74	
964	24.78	23.16	1.62	1.72	
965	24.69	23.08	1.61	1.70	
966	24.62	23.02	1.60	1.69	
967	24.55	23.06	1.49	1.67	
968	24.50	23.13	1.36	1.65	
969	24.52	23.12	1.40	1.65	
