# Bay of Bengal, Northeast Indian Margin Stable Isotope, Biomarker and SST Reconstructions since the Mid-Pleistocene
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33213
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-ocean-33213.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Paleoceanography
#
# Dataset_DOI: 10.25921/mzh5-p372
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/clemens2021/clemens2021-u1446-mgca-noaa.txt
#   Data_Download_Description: NOAA Template File; U1446 Mg/Ca and SST Data
#
#--------------------
# Contribution_Date
#   Date: 2021-04-08
#--------------------
# File_Last_Modified_Date
#   Date: 2024-08-18
#--------------------
# Title
#   Study_Name: Bay of Bengal, Northeast Indian Margin Stable Isotope, Biomarker and SST Reconstructions since the Mid-Pleistocene
#--------------------
# Investigators
#   Investigators: Clemens, S.C.(https://orcid.org/0000-0002-1136-7815); Yamamoto, M.(https://orcid.org/0000-0003-1312-825X); Thirumalai, K.(https://orcid.org/0000-0002-7875-4182); Giosan, L.; Richey, J.N.(https://orcid.org/0000-0002-2319-7980); Nilsson-Kerr, K.(https://orcid.org/0000-0001-7379-2684); Rosenthal, Y.(https://orcid.org/0000-0002-7546-6011); Anand, P.(https://orcid.org/0000-0002-3159-0096); McGrath, S.M.(https://orcid.org/0000-0003-3372-1894)
#--------------------
# Description_Notes_and_Keywords
#   Description: Provided Keywords: Indian monsoon, South Asian monsoon, precipitation, precipitation isotopes, paleoclimate, paleoceanography, carbon dioxide, ice volume
#--------------------
# Publication
#   Authors: Clemens, Steven; Yamamoto, Masanobu; Thirumalai, Kaustubh; Giosan, Liviu; Richey, Julie N.; Nilsson-Kerr, Katrina; Rosenthal, Yair; Anand, Pallavi; McGrath, Sarah M.
#   Journal_Name: Science Advances
#   Published_Title: Remote and Local Drivers of Pleistocene South Asian Summer Monsoon Precipitation: A Test for Future Predictions
#   Published_Date_or_Year: 2021
#   Volume: 7
#   Pages: 
#   Issue: 23
#   Report_Number: eabg3848
#   DOI: 10.1126/sciadv.abg3848
#   Full_Citation:
#   Abstract: South Asian precipitation amount and extreme variability are predicted to increase due to thermodynamic effects of increased 21st-century greenhouse gases, accompanied by an increased supply of moisture from the southern hemisphere Indian Ocean. We reconstructed South Asian summer monsoon precipitation and runoff into the Bay of Bengal to assess the extent to which these factors also operated in the Pleistocene, a time of large-scale natural changes in carbon dioxide and ice volume. South Asian precipitation and runoff are strongly coherent with, and lag, atmospheric carbon dioxide changes at Earth’s orbital eccentricity, obliquity, and precession bands and are closely tied to cross-equatorial wind strength at the precession band. We find that the projected monsoon response to ongoing, rapid high-latitude ice melt and rising carbon dioxide levels is fully consistent with dynamics of the past 0.9 million years.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Natural Environment Research Council (NERC)
#   Grant: JPMXS05R2900001, 19H05595
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: OCE1634774
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US Geological Survey
#   Grant: NE/L002493/1
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Japan Society for the Promotion of Science (JSPS)
#   Grant: JPMXS05R2900001
#--------------------
# Site_Information
#   Site_Name: IODP U1446
#   Location: Indian Ocean
#   Northernmost_Latitude: 19.083
#   Southernmost_Latitude: 19.083
#   Easternmost_Longitude: 85.733
#   Westernmost_Longitude: 85.733
#   Elevation_m: -1440
#--------------------
# Data_Collection
#   Collection_Name: U1446 Mg/Ca Clemens2021
#   First_Year: 677070
#   Last_Year: 320
#   Time_Unit: cal yr BP
#   Core_Length_m:
#   Parameter_Keywords: geochemistry, reconstruction
#   Notes: http://publications.iodp.org/proceedings/353/353title.html; 204 m composite depth.
#--------------------
# Chronology_Information
# Chronology:
# 
#--------------------
# Variables
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables list, one per line, shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## Site	sample identification,,,,,paleoceanography,,,C,Site identification
## Hole	sample identification,,,,,paleoceanography,,,C,Hole drilled at  Site U1446
## Core	sample identification,,,,,paleoceanography,,,N,Core number
## Type	sample identification,,,,,paleoceanography,,,C,H (9 m hydraulic piston core)  F (4.5 m hydraulic piston core)
## Section	sample identification,,,,,paleoceanography,,,N,Section number ( 1 through 7 and core catcher (CC))
## Section_Depth	sample identification,,,centimeter,,paleoceanography,,,N,Mid-depth of sample within section
## Sample_Depth	depth,,,meter,,paleoceanography,,,N,Spliced  core composite depth below sea floor (CCSF-D)
## Age	age,,,calendar kiloyear before present,,paleoceanography,,,N,
## Mg/Ca	magnesium/calcium,Globigerinoides ruber,,dimensionless,,paleoceanography,,inductively-coupled plasma mass spectrometry,N,
## Analytical_Facility	notes,,,,,paleoceanography,,,C,Laboratory where analyses were conducted
## Mg/Ca_SST	sea surface temperature,magnesium/calcium,,degree Celsius,,climate reconstructions;paleoceanography,,,N,Tierney et al. 2015
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: nan
Site	Hole	Core	Type	Section	Section_Depth	Sample_Depth	Age	Mg/Ca	Analytical_Facility	Mg/Ca_SST
U1446	C	3	H	4	64	23.273	95.55	4.32	Kerr (Open Univ.)	28.18
U1446	C	3	H	4	94	23.573	96.57	4.31	Kerr (Open Univ.)	28.52
U1446	C	3	H	4	124	23.873	97.60	4.30	Kerr (Open Univ.)	28.57
U1446	C	3	H	5	11	24.193	98.70	4.51	Kerr (Open Univ.)	28.45
U1446	C	3	H	5	41	24.493	99.72	4.68	Kerr (Open Univ.)	27.98
U1446	C	3	H	5	71	24.793	100.75	4.49	Kerr (Open Univ.)	28.01
U1446	C	3	H	5	101	25.093	101.78	4.27	Kerr (Open Univ.)	28.65
U1446	C	3	H	5	131	25.393	102.80	4.47	Kerr (Open Univ.)	29.04
U1446	C	3	H	6	15	25.693	103.83	4.77	Kerr (Open Univ.)	29.44
U1446	C	3	H	6	45	25.993	104.86	5.06	Kerr (Open Univ.)	28.68
U1446	C	3	H	6	75	26.293	105.88	4.77	Kerr (Open Univ.)	27.77
U1446	A	4	H	2	87	26.592	106.91	4.48	Kerr (Open Univ.)	27.48
U1446	A	4	H	2	117	26.892	107.94	4.44	Kerr (Open Univ.)	28.00
U1446	A	4	H	2	147	27.192	108.98	4.38	Kerr (Open Univ.)	27.92
U1446	A	4	H	3	29	27.512	110.23	4.28	Kerr (Open Univ.)	28.32
U1446	A	4	H	3	59	27.812	111.40	4.70	Kerr (Open Univ.)	27.18
U1446	A	4	H	3	89	28.112	112.56	4.07	Kerr (Open Univ.)	26.85
U1446	A	4	H	3	119	28.412	113.73	4.04	Kerr (Open Univ.)	27.02
U1446	A	4	H	3	149	28.712	114.90	4.21	Kerr (Open Univ.)	28.02
U1446	A	4	H	4	31	29.032	116.14	4.75	Kerr (Open Univ.)	28.23
U1446	A	4	H	4	61	29.332	117.31	4.58	Kerr (Open Univ.)	28.30
U1446	A	4	H	4	91	29.632	118.48	4.55	Kerr (Open Univ.)	28.56
U1446	A	4	H	4	121	29.932	119.65	4.61	Kerr (Open Univ.)	28.90
U1446	A	4	H	4	148	30.202	120.70	4.68	Kerr (Open Univ.)	29.08
U1446	A	4	H	5	33	30.552	122.06	4.73	Kerr (Open Univ.)	28.74
U1446	A	4	H	5	63	30.852	123.23	4.45	Kerr (Open Univ.)	28.89
U1446	A	4	H	5	93	31.152	124.39	4.55	Kerr (Open Univ.)	26.75
U1446	C	4	H	3	77	32.327	128.97	4.47	Kerr (Open Univ.)	26.34
U1446	C	4	H	3	107	32.627	131.72	4.22	Kerr (Open Univ.)	26.29
U1446	C	4	H	3	137	32.927	134.46	4.04	Kerr (Open Univ.)	25.99
U1446	C	4	H	4	22	33.237	137.30	4.04	Kerr (Open Univ.)	26.05
U1446	C	4	H	4	52	33.537	140.05	3.83	Kerr (Open Univ.)	26.08
U1446	C	4	H	4	82	33.837	142.79	3.93	Richey (USGS)	25.10
U1446	C	4	H	4	111.5	34.132	145.49	3.66	Richey (USGS)	25.21
U1446	C	4	H	4	142	34.437	148.28	3.96	Richey (USGS)	25.10
U1446	C	4	H	5	25.5	34.732	150.98	3.92	Richey (USGS)	25.63
U1446	C	4	H	5	55.5	35.032	153.72	4.14	Richey (USGS)	25.98
U1446	C	4	H	5	85.5	35.332	156.47	3.94	Richey (USGS)	25.88
U1446	C	4	H	5	115.5	35.632	159.21	3.85	Richey (USGS)	26.18
U1446	C	4	H	6	26.5	36.212	164.52	3.50	Richey (USGS)	27.55
U1446	C	4	H	6	56.5	36.512	167.27	4.67	Richey (USGS)	27.81
U1446	C	4	H	6	86.5	36.812	170.01	4.43	Richey (USGS)	26.06
U1446	C	4	H	6	116.5	37.112	172.76	3.55	Richey (USGS)	25.68
U1446	C	4	H	6	145.5	37.402	175.41	3.62	Richey (USGS)	25.88
U1446	C	4	H	7	30.5	37.712	178.25	3.83	Richey (USGS)	26.14
U1446	A	5	H	3	84.5	38.014	181.01	3.98	Richey (USGS)	26.87
U1446	A	5	H	3	114.5	38.314	183.75	4.45	Richey (USGS)	26.13
U1446	A	5	H	4	31.5	38.924	189.34	4.01	Richey (USGS)	25.57
U1446	A	5	H	4	61.5	39.224	192.08	3.85	Richey (USGS)	25.94
U1446	A	5	H	5	7.5	40.114	194.56	3.92	Richey (USGS)	27.30
U1446	A	5	H	6	126.5	42.804	202.04	4.53	Richey (USGS)	28.01
U1446	A	5	H	7	9.5	43.104	202.87	5.28	Richey (USGS)	27.08
U1446	C	5	H	4	45.5	43.401	203.70	4.24	Richey (USGS)	26.75
U1446	A	6	H	3	30.5	48.204	218.76	3.97	Richey (USGS)	26.42
U1446	A	6	H	3	60.5	48.504	219.71	3.93	Richey (USGS)	26.83
U1446	A	6	H	4	9.5	48.814	220.69	4.33	Richey (USGS)	26.95
U1446	A	6	H	4	72.5	49.444	223.35	3.76	Richey (USGS)	27.65
U1446	A	6	H	4	99.5	49.714	224.59	4.67	Richey (USGS)	27.22
U1446	A	6	H	4	129.5	50.014	225.96	4.56	Richey (USGS)	29.32
U1446	C	6	H	2	72.5	51.234	231.40	5.28	Richey (USGS)	29.64
U1446	C	6	H	3	22.5	52.144	235.21	5.02	Richey (USGS)	29.92
U1446	C	6	H	3	52.5	52.444	236.47	5.19	Richey (USGS)	27.51
U1446	C	6	H	4	6.5	53.344	240.24	4.19	Richey (USGS)	26.48
U1446	C	6	H	4	36.5	53.644	241.49	4.16	Richey (USGS)	26.02
U1446	C	6	H	4	66.5	53.944	242.75	4.12	Richey (USGS)	25.95
U1446	C	6	H	4	96.5	54.244	244.50	3.77	Richey (USGS)	25.91
U1446	C	6	H	4	126.5	54.544	246.75	3.91	Richey (USGS)	25.52
U1446	C	6	H	5	13.5	54.844	248.99	3.55	Richey (USGS)	25.04
U1446	C	6	H	5	43.5	55.144	251.23	3.32	Richey (USGS)	24.93
U1446	C	6	H	5	73.5	55.444	253.48	3.26	Richey (USGS)	25.18
U1446	C	6	H	5	103.5	55.744	255.72	3.60	Richey (USGS)	25.32
U1446	C	6	H	5	133.5	56.044	257.97	3.65	Richey (USGS)	25.28
U1446	C	6	H	6	20.5	56.354	260.29	3.68	Richey (USGS)	25.89
U1446	C	6	H	6	50.5	56.654	262.53	4.08	Richey (USGS)	25.69
