# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1020-tab.txt
# Complete Data
# File Created: 22-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      ODP1020
# Latitude:       41.00.03N	( 41.00083)
# Longitude:      126.26.01W	( -126.4336)
# Water Depth(m): 3042
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Isotope Data analytical error is ~0.1 per mil. The Uk'37 data have an analytical
#   precision equal to +- 0.15 Degrees Celsius. The age model comes from tuning benthic
#   delta 18O to an orbital age model.
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: ODP1020
depth	calyrBP 	d18Oforams-b	sst-uk37	uk37	notes
7390	701705.9	-999	9.179	0.351	1020C 8H-6 75
7415	705382.4	-999	8.887	0.341	1020C 8H-6 100
7417	705676.5	3.842	-999	-999	1020C 8H-6 100-105
7440	709058.8	-999	9.153	0.35	1020C 8H-6 125
7447	710088.2	3.933	-999	-999	1020C 8H-6 130-135
7465	712735.3	-999	10.556	0.398	1020C 8H-7 0
7477	714500	3.864	-999	-999	1020C 8H-7 010-015
7490	716411.8	-999	11.3	0.423	1020C 8H-7 25
7506	718764.7	-999	11.708	0.437	1020D 8H-3 0
7515	720088.2	-999	11.887	0.443	1020C 8H-7 50
7531	722441.2	-999	10.944	0.411	1020D 8H-3 25
7536	723176.5	3.591	-999	-999	1020C 8H-7 69-74
7556	726117.6	-999	11.21	0.42	1020D 8H-3 50
7581	729794.1	-999	11.533	0.431	1020D 8H-3 75
7589	730970.6	3.388	-999	-999	1020C 9H-1 010-015
7605	733323.5	-999	11.414	0.427	1020D 8H-3 99
7619	735382.4	3.494	-999	-999	1020C 9H-1 40-45
7631	737091.3	-999	11.198	0.42	1020D 8H-3 125
7649	738733.8	3.551	-999	-999	1020C 9H-1 70-75
7651	738916.3	-999	11.017	0.414	1020D 8H-3 145
7652	739007.6	-999	11.392	0.426	1020C 9H-1 75
7677	741289	-999	11.84	0.442	1020C 9H-1 100
7679	741471.5	3.564	-999	-999	1020C 9H-1 100-105
7702	743570.3	-999	8.643	0.333	1020C 9H-1 125
7709	744209.1	3.922	-999	-999	1020C 9H-1 130-135
7727	745851.7	-999	9.739	0.37	1020C 9H-2 0
7739	746946.8	3.89	-999	-999	1020C 9H-2 010-015
7752	748133.1	-999	9.243	0.353	1020C 9H-2 25
7777	750414.4	-999	9.405	0.359	1020C 9H-2 50
7802	752695.8	-999	9.922	0.376	1020C 9H-2 75
7827	754977.2	-999	9.617	0.366	1020C 9H-2 100
7829	755159.7	3.601	-999	-999	1020C 9H-2 100-105
7852	757258.6	-999	9.945	0.377	1020C 9H-2 125
7859	757897.3	3.497	-999	-999	1020C 9H-2 130-135
7877	759539.9	-999	9.767	0.371	1020C 9H-3 0
7889	760635	3.568	-999	-999	1020C 9H-3 010-015
7902	761821.3	-999	10.164	0.385	1020C 9H-3 25
7927	764102.7	-999	11.145	0.418	1020C 9H-3 50
7949	766110.3	3.319	-999	-999	1020C 9H-3 70-75
7952	766384	-999	8.929	0.343	1020C 9H-3 75
7977	768665.4	-999	9.592	0.365	1020C 9H-3 100
8002	770946.8	-999	11.137	0.418	1020C 9H-3 125
8027	773228.1	-999	9.547	0.364	1020C 9H-4 0
8052	775509.5	-999	11.911	0.444	1020C 9H-4 25
8077	777790.9	-999	11.254	0.422	1020C 9H-4 50
8102	780072.2	-999	12.126	0.451	1020C 9H-4 75
8127	782353.6	-999	10.543	0.397	1020C 9H-4 100
8129	782536.1	2.92	-999	-999	1020C 9H-4 100-105
8152	784635	-999	12.001	0.447	1020C 9H-4 125
8159	785367.6	3.289	-999	-999	1020C 9H-4 130-135
8177	787573.5	-999	8.676	0.334	1020C 9H-5 0
8189	789044.1	3.684	-999	-999	1020C 9H-5 010-015
8202	790637.3	-999	6.703	0.267	1020C 9H-5 25
8227	793701	-999	7.081	0.28	1020C 9H-5 50
8252	796764.7	-999	7.497	0.294	1020C 9H-5 75
8277	799828.4	-999	6.58	0.263	1020C 9H-5 100
8279	800073.5	3.882	-999	-999	1020C 9H-5 100-105
8302	802892.2	-999	7.384	0.29	1020C 9H-5 125
8309	803750	3.677	-999	-999	1020C 9H-5 130-135
8327	805955.9	-999	6.973	0.276	1020C 9H-6 0
8339	807426.5	3.678	-999	-999	1020C 9H-6 010-015
8352	809019.6	-999	8.813	0.339	1020C 9H-6 25
8369	810738	3.47	-999	-999	1020C 9H-6 40-45
8377	811394	-999	8.294	0.321	1020C 9H-6 50
8399	813198	3.457	-999	-999	1020C 9H-6 70-75
